Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545315758,2018-12-20T14:22:38Z,CAL5321,"40.657837,-73.778671",0,0,180
1545315808,2018-12-20T14:23:28Z,CAL5321,"40.657608,-73.778824",0,9,5
1545315833,2018-12-20T14:23:53Z,CAL5321,"40.657364,-73.778893",0,11,5
1545315860,2018-12-20T14:24:20Z,CAL5321,"40.657059,-73.778748",0,12,5
1545315890,2018-12-20T14:24:50Z,CAL5321,"40.656769,-73.778206",0,14,5
1545315911,2018-12-20T14:25:11Z,CAL5321,"40.656536,-73.777718",0,15,5
1545315927,2018-12-20T14:25:27Z,CAL5321,"40.656372,-73.777344",0,13,5
1545315943,2018-12-20T14:25:43Z,CAL5321,"40.656212,-73.777",0,14,5
1545315955,2018-12-20T14:25:55Z,CAL5321,"40.656094,-73.776733",0,13,5
1545316238,2018-12-20T14:30:38Z,CAL5321,"40.6562,-73.776939",0,14,5
1545316251,2018-12-20T14:30:51Z,CAL5321,"40.656235,-73.777176",0,12,5
1545316263,2018-12-20T14:31:03Z,CAL5321,"40.656075,-73.777435",0,14,5
1545316305,2018-12-20T14:31:45Z,CAL5321,"40.655193,-73.778137",0,17,5
1545316324,2018-12-20T14:32:04Z,CAL5321,"40.654736,-73.778488",0,20,210
1545316491,2018-12-20T14:34:51Z,CAL5321,"40.654381,-73.782898",0,20,239
1545316505,2018-12-20T14:35:05Z,CAL5321,"40.654095,-73.783554",0,26,239
1545316515,2018-12-20T14:35:15Z,CAL5321,"40.65382,-73.78418",0,27,239
1545316522,2018-12-20T14:35:22Z,CAL5321,"40.653671,-73.784561",0,28,241
1545316540,2018-12-20T14:35:40Z,CAL5321,"40.653255,-73.785538",0,26,239
1545316546,2018-12-20T14:35:46Z,CAL5321,"40.653088,-73.785919",0,24,239
1545316552,2018-12-20T14:35:52Z,CAL5321,"40.652973,-73.786179",0,23,239
1545316559,2018-12-20T14:35:59Z,CAL5321,"40.652847,-73.786476",0,22,239
1545316569,2018-12-20T14:36:09Z,CAL5321,"40.652607,-73.787018",0,26,239
1545316575,2018-12-20T14:36:15Z,CAL5321,"40.652481,-73.787323",0,28,241
1545316587,2018-12-20T14:36:27Z,CAL5321,"40.652252,-73.787979",0,27,250
1545316594,2018-12-20T14:36:34Z,CAL5321,"40.652172,-73.788582",0,29,264
1545316602,2018-12-20T14:36:42Z,CAL5321,"40.652184,-73.788986",0,27,275
1545316611,2018-12-20T14:36:51Z,CAL5321,"40.652287,-73.789551",0,26,286
1545316620,2018-12-20T14:37:00Z,CAL5321,"40.652412,-73.790085",0,27,286
1545316627,2018-12-20T14:37:07Z,CAL5321,"40.652557,-73.790672",0,28,286
1545316633,2018-12-20T14:37:13Z,CAL5321,"40.652649,-73.791061",0,29,286
1545316639,2018-12-20T14:37:19Z,CAL5321,"40.652718,-73.791374",0,30,286
1545316650,2018-12-20T14:37:30Z,CAL5321,"40.652927,-73.792297",0,29,281
1545316656,2018-12-20T14:37:36Z,CAL5321,"40.652939,-73.792542",0,27,272
1545316664,2018-12-20T14:37:44Z,CAL5321,"40.652893,-73.793091",0,27,258
1545316678,2018-12-20T14:37:58Z,CAL5321,"40.652618,-73.793945",0,25,241
1545316689,2018-12-20T14:38:09Z,CAL5321,"40.652416,-73.794403",0,26,239
1545316695,2018-12-20T14:38:15Z,CAL5321,"40.652229,-73.794838",0,28,239
1545316710,2018-12-20T14:38:30Z,CAL5321,"40.651871,-73.795685",0,30,241
1545316831,2018-12-20T14:40:31Z,CAL5321,"40.646072,-73.796555",0,31,143
1545316841,2018-12-20T14:40:41Z,CAL5321,"40.645515,-73.796089",0,27,157
1545316855,2018-12-20T14:40:55Z,CAL5321,"40.644886,-73.795975",0,26,177
1545316939,2018-12-20T14:42:19Z,CAL5321,"40.641537,-73.7976",0,28,261
1545316949,2018-12-20T14:42:29Z,CAL5321,"40.641518,-73.798355",0,24,281
1545316957,2018-12-20T14:42:37Z,CAL5321,"40.641663,-73.798737",0,24,300
1545317021,2018-12-20T14:43:41Z,CAL5321,"40.64352,-73.802124",0,30,300
1545317064,2018-12-20T14:44:24Z,CAL5321,"40.644829,-73.805",0,27,300
1545317122,2018-12-20T14:45:22Z,CAL5321,"40.64584,-73.807243",0,14,5
1545317139,2018-12-20T14:45:39Z,CAL5321,"40.646027,-73.807648",0,15,5
1545317150,2018-12-20T14:45:50Z,CAL5321,"40.646152,-73.807938",0,17,5
1545317157,2018-12-20T14:45:57Z,CAL5321,"40.646259,-73.808167",0,17,5
1545317173,2018-12-20T14:46:13Z,CAL5321,"40.646412,-73.808495",0,13,5
1545317184,2018-12-20T14:46:24Z,CAL5321,"40.646515,-73.808731",0,13,5
1545317230,2018-12-20T14:47:10Z,CAL5321,"40.647125,-73.810074",0,17,5
1545317241,2018-12-20T14:47:21Z,CAL5321,"40.647263,-73.810379",0,16,5
1545317503,2018-12-20T14:51:43Z,CAL5321,"40.648441,-73.812973",0,17,5
1545317563,2018-12-20T14:52:43Z,CAL5321,"40.649239,-73.814735",0,18,5
1545317701,2018-12-20T14:55:01Z,CAL5321,"40.639217,-73.796509",0,160,120
1545317713,2018-12-20T14:55:13Z,CAL5321,"40.634377,-73.785805",0,177,120
1545317719,2018-12-20T14:55:19Z,CAL5321,"40.631882,-73.780334",200,174,121
1545317729,2018-12-20T14:55:29Z,CAL5321,"40.626789,-73.769447",525,180,120
1545317736,2018-12-20T14:55:36Z,CAL5321,"40.623951,-73.763084",750,180,120
1545317742,2018-12-20T14:55:42Z,CAL5321,"40.621445,-73.757568",975,179,121
1545317750,2018-12-20T14:55:50Z,CAL5321,"40.618969,-73.751472",1225,180,116
1545317757,2018-12-20T14:55:57Z,CAL5321,"40.616966,-73.741669",1500,184,99
1545317764,2018-12-20T14:56:04Z,CAL5321,"40.616455,-73.735046",1675,185,94
1545317773,2018-12-20T14:56:13Z,CAL5321,"40.616089,-73.724792",1925,186,92
1545317781,2018-12-20T14:56:21Z,CAL5321,"40.615757,-73.715393",2125,187,92
1545317791,2018-12-20T14:56:31Z,CAL5321,"40.615383,-73.704407",2375,189,92
1545317821,2018-12-20T14:57:01Z,CAL5321,"40.621994,-73.671021",2975,203,46
1545317827,2018-12-20T14:57:07Z,CAL5321,"40.626091,-73.666389",3050,207,39
1545317834,2018-12-20T14:57:14Z,CAL5321,"40.633255,-73.659363",3150,217,36
1545317842,2018-12-20T14:57:22Z,CAL5321,"40.638565,-73.654297",3250,222,36
1545317848,2018-12-20T14:57:28Z,CAL5321,"40.643646,-73.649414",3350,228,36
1545317855,2018-12-20T14:57:35Z,CAL5321,"40.648453,-73.644714",3450,232,36
1545317867,2018-12-20T14:57:47Z,CAL5321,"40.659191,-73.633926",3600,246,37
1545317879,2018-12-20T14:57:59Z,CAL5321,"40.670315,-73.622696",3800,256,37
1545317888,2018-12-20T14:58:08Z,CAL5321,"40.681824,-73.611023",3950,269,37
