Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545665943,2018-12-24T15:39:03Z,CAL5321,"40.657841,-73.778687",0,0,5
1545666036,2018-12-24T15:40:36Z,CAL5321,"40.657574,-73.778854",0,11,5
1545666055,2018-12-24T15:40:55Z,CAL5321,"40.657318,-73.779015",0,10,5
1545666085,2018-12-24T15:41:25Z,CAL5321,"40.657131,-73.779358",0,11,5
1545666324,2018-12-24T15:45:24Z,CAL5321,"40.656727,-73.778152",0,0,113
1545666505,2018-12-24T15:48:25Z,CAL5321,"40.656635,-73.777924",0,16,5
1545666514,2018-12-24T15:48:34Z,CAL5321,"40.656502,-73.777641",0,16,5
1545666535,2018-12-24T15:48:55Z,CAL5321,"40.656162,-73.777435",0,16,5
1545666572,2018-12-24T15:49:32Z,CAL5321,"40.654919,-73.778358",0,26,210
1545666583,2018-12-24T15:49:43Z,CAL5321,"40.654385,-73.778778",0,26,210
1545666589,2018-12-24T15:49:49Z,CAL5321,"40.654163,-73.77887",0,21,188
1545666604,2018-12-24T15:50:04Z,CAL5321,"40.653778,-73.778564",0,21,126
1545666614,2018-12-24T15:50:14Z,CAL5321,"40.653545,-73.778091",0,26,123
1545666623,2018-12-24T15:50:23Z,CAL5321,"40.653305,-73.777573",0,30,120
1545666633,2018-12-24T15:50:33Z,CAL5321,"40.653011,-73.776924",0,34,120
1545666640,2018-12-24T15:50:40Z,CAL5321,"40.652687,-73.776215",0,15,120
1545666651,2018-12-24T15:50:51Z,CAL5321,"40.652321,-73.775406",0,33,120
1545666686,2018-12-24T15:51:26Z,CAL5321,"40.651588,-73.773865",0,16,5
1545666697,2018-12-24T15:51:37Z,CAL5321,"40.651218,-73.773834",0,20,194
1545666707,2018-12-24T15:51:47Z,CAL5321,"40.650936,-73.774002",0,21,205
1545666715,2018-12-24T15:51:55Z,CAL5321,"40.650719,-73.774094",0,22,196
1545666722,2018-12-24T15:52:02Z,CAL5321,"40.650368,-73.774239",0,25,196
1545666731,2018-12-24T15:52:11Z,CAL5321,"40.650021,-73.774429",0,30,205
1545666737,2018-12-24T15:52:17Z,CAL5321,"40.649677,-73.774765",0,29,219
1545666746,2018-12-24T15:52:26Z,CAL5321,"40.649368,-73.775101",0,28,219
1545666754,2018-12-24T15:52:34Z,CAL5321,"40.64904,-73.775299",0,19,5
1545666765,2018-12-24T15:52:45Z,CAL5321,"40.648773,-73.775146",0,19,5
1545666774,2018-12-24T15:52:54Z,CAL5321,"40.64859,-73.774796",0,23,120
1545666782,2018-12-24T15:53:02Z,CAL5321,"40.648376,-73.77433",0,26,120
1545666790,2018-12-24T15:53:10Z,CAL5321,"40.648224,-73.774002",0,27,120
1545666802,2018-12-24T15:53:22Z,CAL5321,"40.647892,-73.773254",0,30,120
1545666815,2018-12-24T15:53:35Z,CAL5321,"40.647518,-73.77243",0,32,120
1545666825,2018-12-24T15:53:45Z,CAL5321,"40.647156,-73.771652",0,30,123
1545666832,2018-12-24T15:53:52Z,CAL5321,"40.646896,-73.77124",0,26,137
1545666839,2018-12-24T15:53:59Z,CAL5321,"40.64661,-73.771011",0,26,151
1545666848,2018-12-24T15:54:08Z,CAL5321,"40.646214,-73.770897",0,28,174
1545666855,2018-12-24T15:54:15Z,CAL5321,"40.645878,-73.770889",0,29,180
1545666861,2018-12-24T15:54:21Z,CAL5321,"40.645535,-73.770889",0,28,180
1545666867,2018-12-24T15:54:27Z,CAL5321,"40.645214,-73.770905",0,28,180
1545666875,2018-12-24T15:54:35Z,CAL5321,"40.644932,-73.770897",0,25,180
1545666881,2018-12-24T15:54:41Z,CAL5321,"40.644573,-73.77095",0,23,191
1545666895,2018-12-24T15:54:55Z,CAL5321,"40.644104,-73.77121",0,24,208
1545666903,2018-12-24T15:55:03Z,CAL5321,"40.643768,-73.771477",0,25,210
1545666911,2018-12-24T15:55:11Z,CAL5321,"40.643398,-73.771774",0,26,210
1545666927,2018-12-24T15:55:27Z,CAL5321,"40.642811,-73.772232",0,26,210
1545666934,2018-12-24T15:55:34Z,CAL5321,"40.642559,-73.77243",0,25,210
1545666945,2018-12-24T15:55:45Z,CAL5321,"40.642128,-73.772758",0,24,210
1545666952,2018-12-24T15:55:52Z,CAL5321,"40.641872,-73.772949",0,25,210
1545666965,2018-12-24T15:56:05Z,CAL5321,"40.64138,-73.773346",0,28,210
1545666976,2018-12-24T15:56:16Z,CAL5321,"40.640839,-73.773773",0,31,210
1545666988,2018-12-24T15:56:28Z,CAL5321,"40.640099,-73.774338",0,16,210
1545666996,2018-12-24T15:56:36Z,CAL5321,"40.639557,-73.774773",0,16,210
1545667005,2018-12-24T15:56:45Z,CAL5321,"40.638985,-73.775223",0,17,210
1545667012,2018-12-24T15:56:52Z,CAL5321,"40.638588,-73.775528",0,16,210
1545667018,2018-12-24T15:56:58Z,CAL5321,"40.638256,-73.775787",0,31,210
1545667024,2018-12-24T15:57:04Z,CAL5321,"40.637959,-73.776016",0,29,210
1545667036,2018-12-24T15:57:16Z,CAL5321,"40.637421,-73.776428",0,27,210
1545667042,2018-12-24T15:57:22Z,CAL5321,"40.637203,-73.776581",0,23,205
1545667051,2018-12-24T15:57:31Z,CAL5321,"40.636845,-73.776627",0,22,165
1545667060,2018-12-24T15:57:40Z,CAL5321,"40.636562,-73.776291",0,26,129
1545667069,2018-12-24T15:57:49Z,CAL5321,"40.636311,-73.775848",0,27,126
1545667075,2018-12-24T15:57:55Z,CAL5321,"40.636127,-73.775482",0,29,120
