Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546520746,2019-01-03T13:05:46Z,CAL5321,"40.657841,-73.778687",0,0,5
1546520796,2019-01-03T13:06:36Z,CAL5321,"40.657562,-73.778839",0,11,5
1546520823,2019-01-03T13:07:03Z,CAL5321,"40.657223,-73.778809",0,11,5
1546520916,2019-01-03T13:08:36Z,CAL5321,"40.656479,-73.777611",0,11,5
1546520937,2019-01-03T13:08:57Z,CAL5321,"40.656349,-73.777328",0,11,5
1546520948,2019-01-03T13:09:08Z,CAL5321,"40.656258,-73.777122",0,11,5
1546520965,2019-01-03T13:09:25Z,CAL5321,"40.656162,-73.776909",0,11,5
1546520980,2019-01-03T13:09:40Z,CAL5321,"40.656075,-73.776703",0,10,5
1546521116,2019-01-03T13:11:56Z,CAL5321,"40.656178,-73.77697",0,15,5
1546521126,2019-01-03T13:12:06Z,CAL5321,"40.656189,-73.777206",0,14,5
1546521135,2019-01-03T13:12:15Z,CAL5321,"40.656059,-73.777435",0,14,5
1546521175,2019-01-03T13:12:55Z,CAL5321,"40.655182,-73.778152",0,10,5
1546521283,2019-01-03T13:14:43Z,CAL5321,"40.654324,-73.778793",0,23,202
1546521309,2019-01-03T13:15:09Z,CAL5321,"40.653522,-73.77803",0,27,120
1546521322,2019-01-03T13:15:22Z,CAL5321,"40.653099,-73.777084",0,32,120
1546521332,2019-01-03T13:15:32Z,CAL5321,"40.652813,-73.776489",0,34,120
1546521340,2019-01-03T13:15:40Z,CAL5321,"40.652523,-73.775848",0,33,120
1546521347,2019-01-03T13:15:47Z,CAL5321,"40.65229,-73.775314",0,34,120
1546521382,2019-01-03T13:16:22Z,CAL5321,"40.651417,-73.773407",0,27,120
1546521397,2019-01-03T13:16:37Z,CAL5321,"40.65094,-73.772354",0,15,120
1546521403,2019-01-03T13:16:43Z,CAL5321,"40.650719,-73.771866",0,17,120
1546521424,2019-01-03T13:17:04Z,CAL5321,"40.649815,-73.769882",0,19,120
