Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546779597,2019-01-06T12:59:57Z,CAL5321,"40.657837,-73.778671",0,0,180
1546779669,2019-01-06T13:01:09Z,CAL5321,"40.657619,-73.778809",0,11,5
1546779764,2019-01-06T13:02:44Z,CAL5321,"40.657356,-73.778992",0,9,5
1546779789,2019-01-06T13:03:09Z,CAL5321,"40.6572,-73.779221",0,2,5
1546779811,2019-01-06T13:03:31Z,CAL5321,"40.657173,-73.779434",0,2,5
1546779857,2019-01-06T13:04:17Z,CAL5321,"40.657166,-73.779182",0,12,5
1546779875,2019-01-06T13:04:35Z,CAL5321,"40.657001,-73.778748",0,15,5
1546779887,2019-01-06T13:04:47Z,CAL5321,"40.656876,-73.778458",0,14,5
1546780143,2019-01-06T13:09:03Z,CAL5321,"40.656647,-73.777939",0,12,5
1546780155,2019-01-06T13:09:15Z,CAL5321,"40.656498,-73.777603",0,17,5
1546780174,2019-01-06T13:09:34Z,CAL5321,"40.6562,-73.777405",0,16,5
1546780218,2019-01-06T13:10:18Z,CAL5321,"40.655159,-73.778198",0,18,5
1546780298,2019-01-06T13:11:38Z,CAL5321,"40.654953,-73.778343",0,0,180
1546780457,2019-01-06T13:14:17Z,CAL5321,"40.654312,-73.778824",0,19,5
1546780471,2019-01-06T13:14:31Z,CAL5321,"40.653957,-73.77887",0,18,5
1546780488,2019-01-06T13:14:48Z,CAL5321,"40.653534,-73.778061",0,24,120
1546780497,2019-01-06T13:14:57Z,CAL5321,"40.653328,-73.777603",0,26,120
1546780503,2019-01-06T13:15:03Z,CAL5321,"40.653168,-73.777252",0,27,120
1546780509,2019-01-06T13:15:09Z,CAL5321,"40.65303,-73.776962",0,28,120
1546780516,2019-01-06T13:15:16Z,CAL5321,"40.652836,-73.776535",0,29,120
1546780532,2019-01-06T13:15:32Z,CAL5321,"40.652424,-73.775635",0,30,120
1546780568,2019-01-06T13:16:08Z,CAL5321,"40.651276,-73.773087",0,34,120
1546780579,2019-01-06T13:16:19Z,CAL5321,"40.650856,-73.772163",0,15,120
1546780585,2019-01-06T13:16:25Z,CAL5321,"40.65065,-73.771698",0,16,120
1546780592,2019-01-06T13:16:32Z,CAL5321,"40.650379,-73.771103",0,16,120
1546780604,2019-01-06T13:16:44Z,CAL5321,"40.649998,-73.770279",0,16,120
1546780611,2019-01-06T13:16:51Z,CAL5321,"40.649765,-73.769745",0,17,120
1546780623,2019-01-06T13:17:03Z,CAL5321,"40.649288,-73.768692",0,17,120
1546780634,2019-01-06T13:17:14Z,CAL5321,"40.64883,-73.767685",0,32,120
1546780643,2019-01-06T13:17:23Z,CAL5321,"40.648716,-73.76722",0,20,87
1546780653,2019-01-06T13:17:33Z,CAL5321,"40.648865,-73.766953",0,18,5
1546780665,2019-01-06T13:17:45Z,CAL5321,"40.649181,-73.766701",0,18,5
1546780672,2019-01-06T13:17:52Z,CAL5321,"40.649414,-73.766518",0,20,30
1546780683,2019-01-06T13:18:03Z,CAL5321,"40.649677,-73.766296",0,17,5
1546780694,2019-01-06T13:18:14Z,CAL5321,"40.649918,-73.766113",0,16,5
1546780707,2019-01-06T13:18:27Z,CAL5321,"40.650169,-73.765923",0,15,5
1546780725,2019-01-06T13:18:45Z,CAL5321,"40.650402,-73.765747",0,10,5
1546780819,2019-01-06T13:20:19Z,CAL5321,"40.650658,-73.765564",0,13,5
1546780837,2019-01-06T13:20:37Z,CAL5321,"40.650936,-73.765305",0,15,5
1546780852,2019-01-06T13:20:52Z,CAL5321,"40.651039,-73.764954",0,14,5
1546780869,2019-01-06T13:21:09Z,CAL5321,"40.650879,-73.764458",0,20,118
1546780878,2019-01-06T13:21:18Z,CAL5321,"40.650696,-73.764015",0,26,120
1546780887,2019-01-06T13:21:27Z,CAL5321,"40.650414,-73.763626",0,23,151
1546780898,2019-01-06T13:21:38Z,CAL5321,"40.649929,-73.763779",0,29,210
1546780904,2019-01-06T13:21:44Z,CAL5321,"40.649567,-73.764076",0,17,210
1546780911,2019-01-06T13:21:51Z,CAL5321,"40.648693,-73.764786",0,37,210
1546780925,2019-01-06T13:22:05Z,CAL5321,"40.64526,-73.767464",0,90,210
1546780939,2019-01-06T13:22:19Z,CAL5321,"40.639206,-73.772186",0,140,210
