Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546867383,2019-01-07T13:23:03Z,CAL5321,"40.657864,-73.778702",0,0,5
1546867458,2019-01-07T13:24:18Z,CAL5321,"40.657654,-73.778839",0,11,5
1546867476,2019-01-07T13:24:36Z,CAL5321,"40.657433,-73.778954",0,11,5
1546867498,2019-01-07T13:24:58Z,CAL5321,"40.65723,-73.779114",0,10,5
1546867881,2019-01-07T13:31:21Z,CAL5321,"40.656643,-73.777924",0,15,5
1546867898,2019-01-07T13:31:38Z,CAL5321,"40.656475,-73.777573",0,13,5
1546867918,2019-01-07T13:31:58Z,CAL5321,"40.656151,-73.777451",0,13,5
1546867975,2019-01-07T13:32:55Z,CAL5321,"40.655045,-73.778275",0,18,5
1546867986,2019-01-07T13:33:06Z,CAL5321,"40.654758,-73.778488",0,19,210
1546868013,2019-01-07T13:33:33Z,CAL5321,"40.653999,-73.778877",0,16,5
1546868037,2019-01-07T13:33:57Z,CAL5321,"40.653652,-73.778374",0,14,5
1546868056,2019-01-07T13:34:16Z,CAL5321,"40.653351,-73.778351",0,12,5
1546868075,2019-01-07T13:34:35Z,CAL5321,"40.653057,-73.778549",0,14,5
1546868096,2019-01-07T13:34:56Z,CAL5321,"40.652718,-73.778824",0,14,5
1546868108,2019-01-07T13:35:08Z,CAL5321,"40.652416,-73.77906",0,23,210
1546868115,2019-01-07T13:35:15Z,CAL5321,"40.652184,-73.779251",0,24,210
1546868125,2019-01-07T13:35:25Z,CAL5321,"40.651794,-73.779556",0,22,210
1546868136,2019-01-07T13:35:36Z,CAL5321,"40.651485,-73.779808",0,23,213
1546868150,2019-01-07T13:35:50Z,CAL5321,"40.650993,-73.779938",0,19,5
1546868158,2019-01-07T13:35:58Z,CAL5321,"40.650799,-73.779686",0,20,129
1546868166,2019-01-07T13:36:06Z,CAL5321,"40.650673,-73.779404",0,23,118
1546868173,2019-01-07T13:36:13Z,CAL5321,"40.650558,-73.779129",0,24,118
