Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547041082,2019-01-09T13:38:02Z,CAL5321,"40.657848,-73.778656",0,2,5
1547041111,2019-01-09T13:38:31Z,CAL5321,"40.657597,-73.778839",0,11,5
1547041131,2019-01-09T13:38:51Z,CAL5321,"40.657345,-73.779022",0,10,5
1547041152,2019-01-09T13:39:12Z,CAL5321,"40.657188,-73.779251",0,10,5
1547041169,2019-01-09T13:39:29Z,CAL5321,"40.657143,-73.77948",0,10,5
1547041242,2019-01-09T13:40:42Z,CAL5321,"40.656979,-73.778717",0,14,5
1547041463,2019-01-09T13:44:23Z,CAL5321,"40.656578,-73.777863",0,15,5
1547041475,2019-01-09T13:44:35Z,CAL5321,"40.656433,-73.777519",0,16,5
1547041487,2019-01-09T13:44:47Z,CAL5321,"40.656151,-73.777435",0,16,5
1547041566,2019-01-09T13:46:06Z,CAL5321,"40.655151,-73.778152",0,10,5
1547041573,2019-01-09T13:46:13Z,CAL5321,"40.656116,-73.777451",0,2,5
1547041620,2019-01-09T13:47:00Z,CAL5321,"40.654583,-73.77861",0,16,5
1547041632,2019-01-09T13:47:12Z,CAL5321,"40.654346,-73.778793",0,18,5
1547041638,2019-01-09T13:47:18Z,CAL5321,"40.65414,-73.778877",0,16,5
1547041654,2019-01-09T13:47:34Z,CAL5321,"40.653866,-73.778702",0,15,5
1547041670,2019-01-09T13:47:50Z,CAL5321,"40.653534,-73.778061",0,22,120
1547041680,2019-01-09T13:48:00Z,CAL5321,"40.653347,-73.777641",0,24,120
1547041691,2019-01-09T13:48:11Z,CAL5321,"40.653057,-73.777016",0,27,120
1547041698,2019-01-09T13:48:18Z,CAL5321,"40.652882,-73.776627",0,29,120
1547041711,2019-01-09T13:48:31Z,CAL5321,"40.652527,-73.775833",0,31,120
1547041742,2019-01-09T13:49:02Z,CAL5321,"40.651497,-73.77359",0,15,120
1547041752,2019-01-09T13:49:12Z,CAL5321,"40.651131,-73.772766",0,32,120
1547041761,2019-01-09T13:49:21Z,CAL5321,"40.650856,-73.772156",0,31,120
1547041767,2019-01-09T13:49:27Z,CAL5321,"40.650658,-73.771744",0,28,120
1547041775,2019-01-09T13:49:35Z,CAL5321,"40.65052,-73.771431",0,23,120
1547041781,2019-01-09T13:49:41Z,CAL5321,"40.650391,-73.771149",0,23,120
1547041794,2019-01-09T13:49:54Z,CAL5321,"40.650089,-73.770462",0,24,120
1547041801,2019-01-09T13:50:01Z,CAL5321,"40.649948,-73.770149",0,22,120
1547041808,2019-01-09T13:50:08Z,CAL5321,"40.649837,-73.769913",0,20,120
1547041818,2019-01-09T13:50:18Z,CAL5321,"40.649723,-73.769653",0,16,5
1547041826,2019-01-09T13:50:26Z,CAL5321,"40.64962,-73.769424",0,13,5
1547041845,2019-01-09T13:50:45Z,CAL5321,"40.649517,-73.769211",0,9,5
1547041916,2019-01-09T13:51:56Z,CAL5321,"40.64938,-73.768906",0,10,5
1547041938,2019-01-09T13:52:18Z,CAL5321,"40.649273,-73.768669",0,2,5
1547041999,2019-01-09T13:53:19Z,CAL5321,"40.649078,-73.76825",0,24,120
1547042005,2019-01-09T13:53:25Z,CAL5321,"40.648956,-73.76799",0,25,120
1547042020,2019-01-09T13:53:40Z,CAL5321,"40.64859,-73.76741",0,20,160
1547042028,2019-01-09T13:53:48Z,CAL5321,"40.648285,-73.767448",0,20,196
1547042037,2019-01-09T13:53:57Z,CAL5321,"40.647995,-73.767639",0,22,208
1547042043,2019-01-09T13:54:03Z,CAL5321,"40.647766,-73.767792",0,24,210
1547042049,2019-01-09T13:54:09Z,CAL5321,"40.64753,-73.767982",0,27,210
1547042059,2019-01-09T13:54:19Z,CAL5321,"40.647053,-73.768341",0,32,210
1547042074,2019-01-09T13:54:34Z,CAL5321,"40.646343,-73.768921",0,28,210
1547042086,2019-01-09T13:54:46Z,CAL5321,"40.645832,-73.769318",0,26,210
1547042092,2019-01-09T13:54:52Z,CAL5321,"40.645573,-73.769508",0,23,210
1547042102,2019-01-09T13:55:02Z,CAL5321,"40.645271,-73.769745",0,23,205
1547042110,2019-01-09T13:55:10Z,CAL5321,"40.644958,-73.769867",0,22,191
1547042119,2019-01-09T13:55:19Z,CAL5321,"40.644585,-73.769928",0,21,188
1547042133,2019-01-09T13:55:33Z,CAL5321,"40.644142,-73.770073",0,21,199
1547042145,2019-01-09T13:55:45Z,CAL5321,"40.643768,-73.770309",0,21,205
1547042153,2019-01-09T13:55:53Z,CAL5321,"40.643524,-73.770477",0,19,5
1547042163,2019-01-09T13:56:03Z,CAL5321,"40.643291,-73.77066",0,18,5
1547042171,2019-01-09T13:56:11Z,CAL5321,"40.643082,-73.770836",0,17,5
1547042181,2019-01-09T13:56:21Z,CAL5321,"40.642834,-73.771027",0,16,5
1547042196,2019-01-09T13:56:36Z,CAL5321,"40.642559,-73.77124",0,14,5
1547042212,2019-01-09T13:56:52Z,CAL5321,"40.642296,-73.771454",0,14,5
1547042229,2019-01-09T13:57:09Z,CAL5321,"40.642067,-73.771637",0,9,5
1547042251,2019-01-09T13:57:31Z,CAL5321,"40.641861,-73.771774",0,11,5
1547042275,2019-01-09T13:57:55Z,CAL5321,"40.641586,-73.772003",0,15,5
1547042284,2019-01-09T13:58:04Z,CAL5321,"40.641361,-73.772179",0,20,210
1547042290,2019-01-09T13:58:10Z,CAL5321,"40.64114,-73.772339",0,24,210
1547042299,2019-01-09T13:58:19Z,CAL5321,"40.640762,-73.772644",0,27,210
1547042306,2019-01-09T13:58:26Z,CAL5321,"40.640522,-73.772797",0,24,202
1547042312,2019-01-09T13:58:32Z,CAL5321,"40.640282,-73.772858",0,20,185
1547042321,2019-01-09T13:58:41Z,CAL5321,"40.639999,-73.772789",0,20,160
1547042331,2019-01-09T13:58:51Z,CAL5321,"40.639778,-73.772629",0,15,5
1547042348,2019-01-09T13:59:08Z,CAL5321,"40.639595,-73.772385",0,10,5
1547042392,2019-01-09T13:59:52Z,CAL5321,"40.639435,-73.772141",0,12,5
1547042404,2019-01-09T14:00:04Z,CAL5321,"40.639229,-73.77179",0,23,126
1547042410,2019-01-09T14:00:10Z,CAL5321,"40.639103,-73.771568",0,21,126
1547042493,2019-01-09T14:01:33Z,CAL5321,"40.638977,-73.771378",0,0,301
1547042543,2019-01-09T14:02:23Z,CAL5321,"40.638805,-73.771088",0,17,5
