Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547213136,2019-01-11T13:25:36Z,CAL5321,"40.657562,-73.778854",0,14,5
1547213149,2019-01-11T13:25:49Z,CAL5321,"40.657356,-73.778961",0,14,5
1547213170,2019-01-11T13:26:10Z,CAL5321,"40.657116,-73.77916",0,11,5
1547213234,2019-01-11T13:27:14Z,CAL5321,"40.657047,-73.778946",0,13,5
1547213257,2019-01-11T13:27:37Z,CAL5321,"40.65683,-73.778381",0,14,5
1547213264,2019-01-11T13:27:44Z,CAL5321,"40.657085,-73.779221",0,10,5
1547213459,2019-01-11T13:30:59Z,CAL5321,"40.656738,-73.778183",0,11,5
1547213473,2019-01-11T13:31:13Z,CAL5321,"40.656555,-73.777756",0,22,120
1547213482,2019-01-11T13:31:22Z,CAL5321,"40.656372,-73.777481",0,17,5
1547213526,2019-01-11T13:32:06Z,CAL5321,"40.655186,-73.778137",0,19,5
1547213539,2019-01-11T13:32:19Z,CAL5321,"40.654781,-73.778458",0,22,210
1547213552,2019-01-11T13:32:32Z,CAL5321,"40.654339,-73.778793",0,21,205
1547213560,2019-01-11T13:32:40Z,CAL5321,"40.654106,-73.778854",0,19,5
1547213570,2019-01-11T13:32:50Z,CAL5321,"40.653835,-73.778625",0,18,5
1547213587,2019-01-11T13:33:07Z,CAL5321,"40.653534,-73.778061",0,23,120
1547213597,2019-01-11T13:33:17Z,CAL5321,"40.653271,-73.777496",0,26,120
1547213607,2019-01-11T13:33:27Z,CAL5321,"40.653,-73.776909",0,30,120
1547213614,2019-01-11T13:33:34Z,CAL5321,"40.652767,-73.77639",0,32,120
1547213623,2019-01-11T13:33:43Z,CAL5321,"40.652512,-73.775818",0,33,120
1547213655,2019-01-11T13:34:15Z,CAL5321,"40.651428,-73.77343",0,15,120
1547213662,2019-01-11T13:34:22Z,CAL5321,"40.651176,-73.772888",0,16,120
1547213668,2019-01-11T13:34:28Z,CAL5321,"40.650986,-73.772461",0,16,120
1547213677,2019-01-11T13:34:37Z,CAL5321,"40.65065,-73.771713",0,16,120
1547213686,2019-01-11T13:34:46Z,CAL5321,"40.650311,-73.770981",0,16,120
1547213692,2019-01-11T13:34:52Z,CAL5321,"40.650124,-73.770554",0,33,120
1547213700,2019-01-11T13:35:00Z,CAL5321,"40.649822,-73.769882",0,32,120
1547213706,2019-01-11T13:35:06Z,CAL5321,"40.64962,-73.769455",0,32,120
1547213718,2019-01-11T13:35:18Z,CAL5321,"40.649323,-73.768784",0,23,120
1547213729,2019-01-11T13:35:29Z,CAL5321,"40.649162,-73.768433",0,20,120
1547213745,2019-01-11T13:35:45Z,CAL5321,"40.649052,-73.768181",0,11,5
1547213759,2019-01-11T13:35:59Z,CAL5321,"40.648922,-73.767883",0,18,5
1547213766,2019-01-11T13:36:06Z,CAL5321,"40.648808,-73.767639",0,16,5
1547213956,2019-01-11T13:39:16Z,CAL5321,"40.648682,-73.76741",0,12,5
1547213966,2019-01-11T13:39:26Z,CAL5321,"40.64843,-73.767349",0,20,185
1547213975,2019-01-11T13:39:35Z,CAL5321,"40.648159,-73.767494",0,27,205
