Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547331514,2019-01-12T22:18:34Z,CAL5321,"40.657825,-73.778687",0,0,180
1547331638,2019-01-12T22:20:38Z,CAL5321,"40.657597,-73.778809",0,11,5
1547331659,2019-01-12T22:20:59Z,CAL5321,"40.657364,-73.778984",0,11,5
1547331679,2019-01-12T22:21:19Z,CAL5321,"40.657177,-73.779236",0,10,5
1547331768,2019-01-12T22:22:48Z,CAL5321,"40.656979,-73.778748",0,11,5
1547332083,2019-01-12T22:28:03Z,CAL5321,"40.656605,-73.777893",0,14,5
1547332092,2019-01-12T22:28:12Z,CAL5321,"40.656467,-73.777596",0,21,120
1547332099,2019-01-12T22:28:19Z,CAL5321,"40.656338,-73.777313",0,23,120
1547332108,2019-01-12T22:28:28Z,CAL5321,"40.656139,-73.776863",0,24,120
1547332119,2019-01-12T22:28:39Z,CAL5321,"40.65593,-73.77655",0,16,5
1547332161,2019-01-12T22:29:21Z,CAL5321,"40.654633,-73.777313",0,25,210
1547332180,2019-01-12T22:29:40Z,CAL5321,"40.65387,-73.777908",0,27,210
1547332186,2019-01-12T22:29:46Z,CAL5321,"40.653625,-73.778091",0,27,210
1547332192,2019-01-12T22:29:52Z,CAL5321,"40.653385,-73.778275",0,28,210
1547332202,2019-01-12T22:30:02Z,CAL5321,"40.652847,-73.778702",0,29,210
1547332217,2019-01-12T22:30:17Z,CAL5321,"40.652229,-73.779182",0,31,210
1547332223,2019-01-12T22:30:23Z,CAL5321,"40.651875,-73.779465",0,33,210
1547332229,2019-01-12T22:30:29Z,CAL5321,"40.651588,-73.779694",0,32,210
1547332237,2019-01-12T22:30:37Z,CAL5321,"40.651199,-73.779984",0,18,5
1547332250,2019-01-12T22:30:50Z,CAL5321,"40.65097,-73.779968",0,14,5
1547332260,2019-01-12T22:31:00Z,CAL5321,"40.650822,-73.779724",0,17,5
1547332270,2019-01-12T22:31:10Z,CAL5321,"40.650635,-73.779312",0,21,120
1547332278,2019-01-12T22:31:18Z,CAL5321,"40.650501,-73.779022",0,23,120
1547332287,2019-01-12T22:31:27Z,CAL5321,"40.650284,-73.778549",0,26,120
1547332296,2019-01-12T22:31:36Z,CAL5321,"40.649998,-73.777893",0,29,120
1547332302,2019-01-12T22:31:42Z,CAL5321,"40.649815,-73.777496",0,31,120
1547332308,2019-01-12T22:31:48Z,CAL5321,"40.649601,-73.777046",0,33,120
1547332327,2019-01-12T22:32:07Z,CAL5321,"40.648911,-73.775528",0,17,120
1547332340,2019-01-12T22:32:20Z,CAL5321,"40.648407,-73.774414",0,19,120
1547332351,2019-01-12T22:32:31Z,CAL5321,"40.647858,-73.773209",0,20,120
1547332357,2019-01-12T22:32:37Z,CAL5321,"40.647598,-73.772629",0,20,120
1547332363,2019-01-12T22:32:43Z,CAL5321,"40.647377,-73.772133",0,17,120
1547332369,2019-01-12T22:32:49Z,CAL5321,"40.647148,-73.771652",0,15,123
1547332376,2019-01-12T22:32:56Z,CAL5321,"40.646866,-73.77121",0,16,135
1547332388,2019-01-12T22:33:08Z,CAL5321,"40.646061,-73.770889",0,16,177
1547332397,2019-01-12T22:33:17Z,CAL5321,"40.645386,-73.770897",0,16,180
1547332403,2019-01-12T22:33:23Z,CAL5321,"40.644993,-73.770912",0,33,180
1547332410,2019-01-12T22:33:30Z,CAL5321,"40.644585,-73.770981",0,34,188
1547332416,2019-01-12T22:33:36Z,CAL5321,"40.644207,-73.771149",0,15,202
1547332425,2019-01-12T22:33:45Z,CAL5321,"40.643623,-73.771591",0,16,210
1547332433,2019-01-12T22:33:53Z,CAL5321,"40.642982,-73.772079",0,17,210
1547332443,2019-01-12T22:34:03Z,CAL5321,"40.642284,-73.772629",0,19,210
1547332450,2019-01-12T22:34:10Z,CAL5321,"40.641769,-73.773041",0,19,210
1547332456,2019-01-12T22:34:16Z,CAL5321,"40.641277,-73.773415",0,20,210
1547332465,2019-01-12T22:34:25Z,CAL5321,"40.640812,-73.773788",0,20,210
1547332473,2019-01-12T22:34:33Z,CAL5321,"40.639931,-73.77446",0,21,210
1547332480,2019-01-12T22:34:40Z,CAL5321,"40.639313,-73.77494",0,22,210
1547332486,2019-01-12T22:34:46Z,CAL5321,"40.638897,-73.775269",0,22,210
1547332494,2019-01-12T22:34:54Z,CAL5321,"40.638325,-73.775726",0,21,210
1547332500,2019-01-12T22:35:00Z,CAL5321,"40.637821,-73.776108",0,21,210
1547332512,2019-01-12T22:35:12Z,CAL5321,"40.636845,-73.776894",0,22,210
1547332523,2019-01-12T22:35:23Z,CAL5321,"40.635738,-73.77774",0,23,210
1547332529,2019-01-12T22:35:29Z,CAL5321,"40.635223,-73.778152",0,20,210
1547332536,2019-01-12T22:35:36Z,CAL5321,"40.6348,-73.778488",0,18,210
1547332547,2019-01-12T22:35:47Z,CAL5321,"40.633995,-73.779152",0,17,210
1547332554,2019-01-12T22:35:54Z,CAL5321,"40.633621,-73.779465",0,17,210
1547332564,2019-01-12T22:36:04Z,CAL5321,"40.632957,-73.779854",0,18,199
1547332573,2019-01-12T22:36:13Z,CAL5321,"40.632271,-73.780106",0,16,191
1547332581,2019-01-12T22:36:21Z,CAL5321,"40.63168,-73.780182",0,34,185
1547332594,2019-01-12T22:36:34Z,CAL5321,"40.630978,-73.780502",0,32,208
1547332601,2019-01-12T22:36:41Z,CAL5321,"40.630463,-73.780884",0,34,210
1547332609,2019-01-12T22:36:49Z,CAL5321,"40.630096,-73.781158",0,15,210
1547332616,2019-01-12T22:36:56Z,CAL5321,"40.629547,-73.781601",0,16,210
1547332622,2019-01-12T22:37:02Z,CAL5321,"40.629189,-73.781883",0,17,210
1547332633,2019-01-12T22:37:13Z,CAL5321,"40.628586,-73.782349",0,18,210
1547332647,2019-01-12T22:37:27Z,CAL5321,"40.627476,-73.783203",0,19,210
1547332658,2019-01-12T22:37:38Z,CAL5321,"40.626534,-73.783943",0,21,210
1547332665,2019-01-12T22:37:45Z,CAL5321,"40.626045,-73.784332",0,20,210
1547332671,2019-01-12T22:37:51Z,CAL5321,"40.625614,-73.78466",0,19,210
1547332677,2019-01-12T22:37:57Z,CAL5321,"40.625175,-73.785004",0,17,210
1547332683,2019-01-12T22:38:03Z,CAL5321,"40.624763,-73.785332",0,17,210
1547332695,2019-01-12T22:38:15Z,CAL5321,"40.62402,-73.785927",0,34,210
1547332707,2019-01-12T22:38:27Z,CAL5321,"40.623482,-73.786346",0,25,210
1547332715,2019-01-12T22:38:35Z,CAL5321,"40.623241,-73.78653",0,16,5
1547332899,2019-01-12T22:41:39Z,CAL5321,"40.623024,-73.786667",0,16,5
1547332905,2019-01-12T22:41:45Z,CAL5321,"40.622807,-73.786682",0,22,165
1547332911,2019-01-12T22:41:51Z,CAL5321,"40.622612,-73.786476",0,27,132
1547332917,2019-01-12T22:41:57Z,CAL5321,"40.622429,-73.786133",0,27,120
1547332928,2019-01-12T22:42:08Z,CAL5321,"40.622292,-73.785675",0,21,95
1547332935,2019-01-12T22:42:15Z,CAL5321,"40.622429,-73.785309",0,20,49
1547332945,2019-01-12T22:42:25Z,CAL5321,"40.622692,-73.78508",0,22,30
1547332955,2019-01-12T22:42:35Z,CAL5321,"40.62331,-73.784599",0,28,30
1547332965,2019-01-12T22:42:45Z,CAL5321,"40.626057,-73.782448",0,80,30
1547332976,2019-01-12T22:42:56Z,CAL5321,"40.631058,-73.778534",0,125,30
1547332983,2019-01-12T22:43:03Z,CAL5321,"40.634434,-73.775894",0,145,30
1547332997,2019-01-12T22:43:17Z,CAL5321,"40.64209,-73.769836",0,166,31
1547333007,2019-01-12T22:43:27Z,CAL5321,"40.649963,-73.763428",25,167,32
1547333015,2019-01-12T22:43:35Z,CAL5321,"40.653946,-73.760071",225,169,32
1547333027,2019-01-12T22:43:47Z,CAL5321,"40.662094,-73.75293",600,175,36
1547333035,2019-01-12T22:43:55Z,CAL5321,"40.666965,-73.745728",875,179,57
1547333044,2019-01-12T22:44:04Z,CAL5321,"40.669418,-73.736328",1150,183,77
1547333053,2019-01-12T22:44:13Z,CAL5321,"40.669895,-73.726067",1400,185,88
1547333061,2019-01-12T22:44:21Z,CAL5321,"40.669991,-73.718948",1575,185,89
1547333069,2019-01-12T22:44:29Z,CAL5321,"40.670082,-73.709274",1825,185,89
1547333079,2019-01-12T22:44:39Z,CAL5321,"40.670315,-73.695351",2125,187,88
1547333092,2019-01-12T22:44:52Z,CAL5321,"40.670547,-73.681679",2450,188,88
1547333104,2019-01-12T22:45:04Z,CAL5321,"40.670876,-73.667572",2725,192,87
1547333110,2019-01-12T22:45:10Z,CAL5321,"40.671616,-73.660583",2775,197,79
1547333116,2019-01-12T22:45:16Z,CAL5321,"40.673492,-73.653687",2825,200,68
1547333122,2019-01-12T22:45:22Z,CAL5321,"40.675949,-73.647041",2850,207,62
1547333129,2019-01-12T22:45:29Z,CAL5321,"40.678894,-73.640076",2925,216,60
1547333137,2019-01-12T22:45:37Z,CAL5321,"40.683472,-73.629395",3025,224,60
1547333145,2019-01-12T22:45:45Z,CAL5321,"40.687958,-73.618896",3175,233,60
1547333153,2019-01-12T22:45:53Z,CAL5321,"40.691345,-73.610901",3275,239,61
1547333163,2019-01-12T22:46:03Z,CAL5321,"40.6978,-73.595581",3450,250,61
1547333171,2019-01-12T22:46:11Z,CAL5321,"40.701366,-73.587173",3550,256,61
1547333177,2019-01-12T22:46:17Z,CAL5321,"40.70509,-73.578247",3675,262,61
1547333188,2019-01-12T22:46:28Z,CAL5321,"40.711933,-73.56208",3925,273,61
1547333194,2019-01-12T22:46:34Z,CAL5321,"40.715843,-73.552841",4150,276,61
1547333200,2019-01-12T22:46:40Z,CAL5321,"40.719707,-73.543602",4350,279,60
1547333206,2019-01-12T22:46:46Z,CAL5321,"40.723572,-73.534485",4550,282,60
1547333220,2019-01-12T22:47:00Z,CAL5321,"40.731346,-73.516136",4975,286,61
1547333239,2019-01-12T22:47:19Z,CAL5321,"40.746231,-73.485535",5675,290,48
1547333246,2019-01-12T22:47:26Z,CAL5321,"40.752182,-73.478516",5875,288,39
1547333253,2019-01-12T22:47:33Z,CAL5321,"40.75914,-73.472046",6125,286,33
1547333260,2019-01-12T22:47:40Z,CAL5321,"40.768524,-73.464172",6500,286,31
1547333268,2019-01-12T22:47:48Z,CAL5321,"40.775665,-73.458374",6725,288,31
1547333286,2019-01-12T22:48:06Z,CAL5321,"40.796288,-73.441048",7375,295,32
1547333298,2019-01-12T22:48:18Z,CAL5321,"40.81039,-73.428932",7825,298,32
1547333308,2019-01-12T22:48:28Z,CAL5321,"40.825104,-73.419136",8200,296,19
1547333316,2019-01-12T22:48:36Z,CAL5321,"40.83316,-73.416687",8400,292,10
1547333343,2019-01-12T22:49:03Z,CAL5321,"40.867355,-73.429932",9375,274,322
1547333362,2019-01-12T22:49:22Z,CAL5321,"40.886131,-73.452782",9975,278,313
1547333368,2019-01-12T22:49:28Z,CAL5321,"40.890369,-73.459587",10050,282,308
1547333378,2019-01-12T22:49:38Z,CAL5321,"40.898979,-73.474129",10200,291,308
1547333398,2019-01-12T22:49:58Z,CAL5321,"40.91629,-73.503418",10500,310,307
1547333414,2019-01-12T22:50:14Z,CAL5321,"40.930115,-73.527161",10775,323,307
1547333429,2019-01-12T22:50:29Z,CAL5321,"40.943802,-73.550903",11025,335,307
1547333443,2019-01-12T22:50:43Z,CAL5321,"40.958313,-73.576233",11400,344,307
1547333458,2019-01-12T22:50:58Z,CAL5321,"40.973137,-73.601967",11900,350,307
1547333474,2019-01-12T22:51:14Z,CAL5321,"40.987701,-73.627136",12450,354,307
1547333508,2019-01-12T22:51:48Z,CAL5321,"41.023636,-73.689087",13850,365,307
