Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547650583,2019-01-16T14:56:23Z,CAL5321,"40.657875,-73.778687",0,0,5
1547650682,2019-01-16T14:58:02Z,CAL5321,"40.657871,-73.778671",0,0,180
1547650837,2019-01-16T15:00:37Z,CAL5321,"40.657852,-73.778702",0,2,5
1547650860,2019-01-16T15:01:00Z,CAL5321,"40.657585,-73.778893",0,10,5
1547650879,2019-01-16T15:01:19Z,CAL5321,"40.657375,-73.778984",0,10,5
1547650901,2019-01-16T15:01:41Z,CAL5321,"40.657162,-73.778946",0,10,5
1547650923,2019-01-16T15:02:03Z,CAL5321,"40.656979,-73.778732",0,11,5
1547650940,2019-01-16T15:02:20Z,CAL5321,"40.656864,-73.778496",0,11,5
1547650995,2019-01-16T15:03:15Z,CAL5321,"40.656548,-73.777702",0,11,5
1547651015,2019-01-16T15:03:35Z,CAL5321,"40.656422,-73.777405",0,10,5
1547651035,2019-01-16T15:03:55Z,CAL5321,"40.656292,-73.77713",0,11,5
1547651205,2019-01-16T15:06:45Z,CAL5321,"40.656052,-73.776566",0,0,119
1547651293,2019-01-16T15:08:13Z,CAL5321,"40.655331,-73.778076",0,17,5
1547651449,2019-01-16T15:10:49Z,CAL5321,"40.654793,-73.778488",0,13,5
1547651466,2019-01-16T15:11:06Z,CAL5321,"40.654408,-73.778778",0,18,5
1547651480,2019-01-16T15:11:20Z,CAL5321,"40.654129,-73.778923",0,13,5
1547651532,2019-01-16T15:12:12Z,CAL5321,"40.653111,-73.777115",0,29,120
1547651543,2019-01-16T15:12:23Z,CAL5321,"40.652767,-73.776337",0,32,120
1547651580,2019-01-16T15:13:00Z,CAL5321,"40.6516,-73.773788",0,34,120
1547651595,2019-01-16T15:13:15Z,CAL5321,"40.651119,-73.77272",0,15,120
1547651605,2019-01-16T15:13:25Z,CAL5321,"40.650719,-73.77182",0,16,120
1547651616,2019-01-16T15:13:36Z,CAL5321,"40.650352,-73.771027",0,16,120
1547651622,2019-01-16T15:13:42Z,CAL5321,"40.650124,-73.770523",0,16,120
1547651636,2019-01-16T15:13:56Z,CAL5321,"40.649723,-73.769653",0,23,120
1547651642,2019-01-16T15:14:02Z,CAL5321,"40.649586,-73.769348",0,24,120
1547651648,2019-01-16T15:14:08Z,CAL5321,"40.649437,-73.769012",0,25,120
1547651659,2019-01-16T15:14:19Z,CAL5321,"40.649231,-73.768555",0,27,120
1547651666,2019-01-16T15:14:26Z,CAL5321,"40.64904,-73.768135",0,29,120
1547651678,2019-01-16T15:14:38Z,CAL5321,"40.648716,-73.767319",0,21,98
1547651688,2019-01-16T15:14:48Z,CAL5321,"40.648846,-73.766983",0,18,5
1547651696,2019-01-16T15:14:56Z,CAL5321,"40.649048,-73.7668",0,18,5
1547651707,2019-01-16T15:15:07Z,CAL5321,"40.649284,-73.766609",0,18,5
1547651717,2019-01-16T15:15:17Z,CAL5321,"40.649567,-73.766388",0,17,5
1547651794,2019-01-16T15:16:34Z,CAL5321,"40.649693,-73.766327",0,0,338
1547651840,2019-01-16T15:17:20Z,CAL5321,"40.649902,-73.766159",0,12,5
1547651858,2019-01-16T15:17:38Z,CAL5321,"40.650192,-73.765915",0,15,5
1547651876,2019-01-16T15:17:56Z,CAL5321,"40.650589,-73.765594",0,18,5
1547651889,2019-01-16T15:18:09Z,CAL5321,"40.650879,-73.765366",0,15,5
1547651907,2019-01-16T15:18:27Z,CAL5321,"40.651028,-73.76506",0,12,5
1547651923,2019-01-16T15:18:43Z,CAL5321,"40.650982,-73.764694",0,14,5
1547651935,2019-01-16T15:18:55Z,CAL5321,"40.650867,-73.764404",0,16,5
1547651948,2019-01-16T15:19:08Z,CAL5321,"40.650661,-73.763947",0,20,123
1547651960,2019-01-16T15:19:20Z,CAL5321,"40.650444,-73.763672",0,15,5
1547651975,2019-01-16T15:19:35Z,CAL5321,"40.650101,-73.763687",0,14,5
1547652020,2019-01-16T15:20:20Z,CAL5321,"40.650055,-73.763718",0,0,89
1547652040,2019-01-16T15:20:40Z,CAL5321,"40.649822,-73.763893",0,32,208
1547652052,2019-01-16T15:20:52Z,CAL5321,"40.647751,-73.765518",0,63,210
1547652064,2019-01-16T15:21:04Z,CAL5321,"40.643372,-73.768936",0,110,210
1547652070,2019-01-16T15:21:10Z,CAL5321,"40.6409,-73.770859",0,130,210
1547652076,2019-01-16T15:21:16Z,CAL5321,"40.637077,-73.773849",0,150,210
1547652084,2019-01-16T15:21:24Z,CAL5321,"40.633198,-73.776917",0,165,210
1547652095,2019-01-16T15:21:35Z,CAL5321,"40.624973,-73.783684",200,172,212
1547652101,2019-01-16T15:21:41Z,CAL5321,"40.62085,-73.786987",425,170,211
1547652112,2019-01-16T15:21:52Z,CAL5321,"40.612839,-73.792969",875,169,207
1547652119,2019-01-16T15:21:59Z,CAL5321,"40.608582,-73.795715",1075,171,205
1547652128,2019-01-16T15:22:08Z,CAL5321,"40.60199,-73.799805",1350,173,204
1547652134,2019-01-16T15:22:14Z,CAL5321,"40.598557,-73.80188",1500,174,204
1547652142,2019-01-16T15:22:22Z,CAL5321,"40.590897,-73.806465",1850,176,204
1547652150,2019-01-16T15:22:30Z,CAL5321,"40.586472,-73.809082",2050,178,204
1547652156,2019-01-16T15:22:36Z,CAL5321,"40.582123,-73.811279",2225,180,200
1547652165,2019-01-16T15:22:45Z,CAL5321,"40.573814,-73.812706",2450,195,178
1547652173,2019-01-16T15:22:53Z,CAL5321,"40.565807,-73.809776",2675,205,155
1547652179,2019-01-16T15:22:59Z,CAL5321,"40.560966,-73.805588",2850,210,141
1547652185,2019-01-16T15:23:05Z,CAL5321,"40.55687,-73.799721",3025,214,128
1547652194,2019-01-16T15:23:14Z,CAL5321,"40.55278,-73.789062",3175,221,109
1547652204,2019-01-16T15:23:24Z,CAL5321,"40.551544,-73.776672",3275,233,90
1547652227,2019-01-16T15:23:47Z,CAL5321,"40.562851,-73.746216",3750,243,46
1547652239,2019-01-16T15:23:59Z,CAL5321,"40.572929,-73.734055",4025,252,41
1547652245,2019-01-16T15:24:05Z,CAL5321,"40.578506,-73.7276",4175,259,41
1547652251,2019-01-16T15:24:11Z,CAL5321,"40.583961,-73.721069",4275,269,41
1547652263,2019-01-16T15:24:23Z,CAL5321,"40.595646,-73.707275",4500,286,42
1547652270,2019-01-16T15:24:30Z,CAL5321,"40.601761,-73.700012",4650,293,42
1547652281,2019-01-16T15:24:41Z,CAL5321,"40.613983,-73.685486",5175,299,42
1547652292,2019-01-16T15:24:52Z,CAL5321,"40.626091,-73.671196",5700,303,41
1547652305,2019-01-16T15:25:05Z,CAL5321,"40.638802,-73.656212",6225,309,41
1547652317,2019-01-16T15:25:17Z,CAL5321,"40.652206,-73.640236",6800,313,42
1547652328,2019-01-16T15:25:28Z,CAL5321,"40.664871,-73.62513",7350,317,42
1547652340,2019-01-16T15:25:40Z,CAL5321,"40.677887,-73.60968",7900,319,42
1547652352,2019-01-16T15:25:52Z,CAL5321,"40.691544,-73.593414",8475,322,42
1547652364,2019-01-16T15:26:04Z,CAL5321,"40.703979,-73.578552",9000,324,42
1547652376,2019-01-16T15:26:16Z,CAL5321,"40.718868,-73.56308",9550,324,34
