Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547730479,2019-01-17T13:07:59Z,CAL5321,"40.657871,-73.778656",0,0,22
1547730513,2019-01-17T13:08:33Z,CAL5321,"40.657608,-73.778839",0,12,5
1547730532,2019-01-17T13:08:52Z,CAL5321,"40.657356,-73.778915",0,13,5
1547730558,2019-01-17T13:09:18Z,CAL5321,"40.657001,-73.778656",0,14,5
1547730588,2019-01-17T13:09:48Z,CAL5321,"40.656704,-73.77803",0,13,5
1547730621,2019-01-17T13:10:21Z,CAL5321,"40.656338,-73.777283",0,14,5
1547730676,2019-01-17T13:11:16Z,CAL5321,"40.655994,-73.776535",0,0,121
1547730802,2019-01-17T13:13:22Z,CAL5321,"40.656094,-73.776764",0,16,5
1547730815,2019-01-17T13:13:35Z,CAL5321,"40.656212,-73.777107",0,14,5
1547730821,2019-01-17T13:13:41Z,CAL5321,"40.656132,-73.777328",0,19,5
1547730854,2019-01-17T13:14:14Z,CAL5321,"40.655163,-73.778152",0,19,210
1547730867,2019-01-17T13:14:27Z,CAL5321,"40.654804,-73.778442",0,21,210
1547730880,2019-01-17T13:14:40Z,CAL5321,"40.654301,-73.778824",0,22,208
1547730889,2019-01-17T13:14:49Z,CAL5321,"40.653999,-73.778854",0,19,5
1547730911,2019-01-17T13:15:11Z,CAL5321,"40.653557,-73.778107",0,21,120
1547730918,2019-01-17T13:15:18Z,CAL5321,"40.653442,-73.777863",0,23,120
1547730935,2019-01-17T13:15:35Z,CAL5321,"40.653023,-73.776939",0,27,120
1547730946,2019-01-17T13:15:46Z,CAL5321,"40.652721,-73.776276",0,29,120
1547730953,2019-01-17T13:15:53Z,CAL5321,"40.652584,-73.77597",0,29,120
1547730962,2019-01-17T13:16:02Z,CAL5321,"40.652321,-73.775391",0,30,120
1547730977,2019-01-17T13:16:17Z,CAL5321,"40.651817,-73.774277",0,29,120
1547730991,2019-01-17T13:16:31Z,CAL5321,"40.651554,-73.773773",0,16,5
1547731003,2019-01-17T13:16:43Z,CAL5321,"40.651222,-73.773804",0,21,199
1547731014,2019-01-17T13:16:54Z,CAL5321,"40.650742,-73.774094",0,23,202
1547731026,2019-01-17T13:17:06Z,CAL5321,"40.650379,-73.774254",0,23,196
1547731037,2019-01-17T13:17:17Z,CAL5321,"40.649803,-73.774643",0,29,216
1547731047,2019-01-17T13:17:27Z,CAL5321,"40.649391,-73.77507",0,29,219
1547731057,2019-01-17T13:17:37Z,CAL5321,"40.649025,-73.775299",0,22,182
1547731064,2019-01-17T13:17:44Z,CAL5321,"40.648819,-73.775177",0,23,146
1547731072,2019-01-17T13:17:52Z,CAL5321,"40.648575,-73.774773",0,27,120
1547731078,2019-01-17T13:17:58Z,CAL5321,"40.648407,-73.774399",0,29,120
1547731085,2019-01-17T13:18:05Z,CAL5321,"40.648224,-73.773987",0,30,120
1547731092,2019-01-17T13:18:12Z,CAL5321,"40.648041,-73.77359",0,32,120
1547731099,2019-01-17T13:18:19Z,CAL5321,"40.647762,-73.772987",0,33,120
1547731108,2019-01-17T13:18:28Z,CAL5321,"40.647526,-73.772461",0,34,120
1547731119,2019-01-17T13:18:39Z,CAL5321,"40.647125,-73.771591",0,16,123
1547731129,2019-01-17T13:18:49Z,CAL5321,"40.646587,-73.770996",0,16,154
1547731135,2019-01-17T13:18:55Z,CAL5321,"40.646004,-73.770889",0,17,180
1547731142,2019-01-17T13:19:02Z,CAL5321,"40.645458,-73.770897",0,17,180
1547731150,2019-01-17T13:19:10Z,CAL5321,"40.644974,-73.770905",0,16,180
1547731158,2019-01-17T13:19:18Z,CAL5321,"40.644447,-73.771027",0,34,194
