Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548004535,2019-01-20T17:15:35Z,CAL5321,"40.657803,-73.778656",0,0,180
1548004684,2019-01-20T17:18:04Z,CAL5321,"40.657536,-73.778877",0,10,5
1548004711,2019-01-20T17:18:31Z,CAL5321,"40.657299,-73.779144",0,10,5
1548004726,2019-01-20T17:18:46Z,CAL5321,"40.657196,-73.779358",0,11,5
1548004752,2019-01-20T17:19:12Z,CAL5321,"40.657162,-73.779648",0,0,262
1548004788,2019-01-20T17:19:48Z,CAL5321,"40.657162,-73.779297",0,11,5
1548004833,2019-01-20T17:20:33Z,CAL5321,"40.656803,-73.778343",0,13,5
1548004896,2019-01-20T17:21:36Z,CAL5321,"40.657223,-73.779282",0,0,122
1548004940,2019-01-20T17:22:20Z,CAL5321,"40.656738,-73.778183",0,0,122
1548005010,2019-01-20T17:23:30Z,CAL5321,"40.656769,-73.778168",0,0,26
1548005122,2019-01-20T17:25:22Z,CAL5321,"40.656757,-73.778152",0,2,5
1548005135,2019-01-20T17:25:35Z,CAL5321,"40.656666,-73.777939",0,15,5
1548005143,2019-01-20T17:25:43Z,CAL5321,"40.65657,-73.777718",0,20,120
1548005152,2019-01-20T17:25:52Z,CAL5321,"40.656395,-73.777328",0,21,118
1548005166,2019-01-20T17:26:06Z,CAL5321,"40.656178,-73.776794",0,18,5
1548005176,2019-01-20T17:26:16Z,CAL5321,"40.656006,-73.77652",0,13,5
1548005184,2019-01-20T17:26:24Z,CAL5321,"40.656223,-73.776901",0,14,5
1548005229,2019-01-20T17:27:09Z,CAL5321,"40.654617,-73.777328",0,25,210
1548005254,2019-01-20T17:27:34Z,CAL5321,"40.653614,-73.778107",0,28,210
1548005266,2019-01-20T17:27:46Z,CAL5321,"40.653046,-73.778549",0,33,210
1548005274,2019-01-20T17:27:54Z,CAL5321,"40.652584,-73.778915",0,31,210
1548005286,2019-01-20T17:28:06Z,CAL5321,"40.651943,-73.779419",0,30,210
1548005297,2019-01-20T17:28:17Z,CAL5321,"40.651577,-73.779709",0,26,210
1548005304,2019-01-20T17:28:24Z,CAL5321,"40.651253,-73.779953",0,20,199
1548005313,2019-01-20T17:28:33Z,CAL5321,"40.651005,-73.779907",0,18,5
1548005323,2019-01-20T17:28:43Z,CAL5321,"40.65081,-73.77964",0,20,126
1548005331,2019-01-20T17:28:51Z,CAL5321,"40.6506,-73.779221",0,25,120
1548005337,2019-01-20T17:28:57Z,CAL5321,"40.650455,-73.778915",0,27,120
1548005351,2019-01-20T17:29:11Z,CAL5321,"40.650101,-73.778122",0,31,120
1548005362,2019-01-20T17:29:22Z,CAL5321,"40.649715,-73.777283",0,33,120
1548005373,2019-01-20T17:29:33Z,CAL5321,"40.649334,-73.776443",0,16,120
1548005380,2019-01-20T17:29:40Z,CAL5321,"40.649094,-73.775909",0,16,120
1548005387,2019-01-20T17:29:47Z,CAL5321,"40.64883,-73.77533",0,17,120
1548005396,2019-01-20T17:29:56Z,CAL5321,"40.648354,-73.774284",0,18,120
1548005405,2019-01-20T17:30:05Z,CAL5321,"40.648121,-73.773773",0,17,120
1548005415,2019-01-20T17:30:15Z,CAL5321,"40.647663,-73.772766",0,15,120
1548005421,2019-01-20T17:30:21Z,CAL5321,"40.647472,-73.772316",0,32,120
1548005427,2019-01-20T17:30:27Z,CAL5321,"40.647297,-73.771942",0,32,120
1548005433,2019-01-20T17:30:33Z,CAL5321,"40.64711,-73.771553",0,31,126
