Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548427069,2019-01-25T14:37:49Z,CAL5321,"40.657448,-73.778992",0,11,5
1548427106,2019-01-25T14:38:26Z,CAL5321,"40.6572,-73.779388",0,10,5
1548427159,2019-01-25T14:39:19Z,CAL5321,"40.657166,-73.779182",0,11,5
1548427174,2019-01-25T14:39:34Z,CAL5321,"40.657059,-73.778877",0,14,5
1548427185,2019-01-25T14:39:45Z,CAL5321,"40.656979,-73.778671",0,13,5
1548427488,2019-01-25T14:44:48Z,CAL5321,"40.656643,-73.777924",0,14,5
1548427495,2019-01-25T14:44:55Z,CAL5321,"40.656544,-73.77771",0,19,5
1548427501,2019-01-25T14:45:01Z,CAL5321,"40.656441,-73.777481",0,22,120
1548427508,2019-01-25T14:45:08Z,CAL5321,"40.656292,-73.777145",0,22,120
1548427514,2019-01-25T14:45:14Z,CAL5321,"40.656143,-73.77681",0,21,120
1548427524,2019-01-25T14:45:24Z,CAL5321,"40.655968,-73.776566",0,16,5
1548427556,2019-01-25T14:45:56Z,CAL5321,"40.655361,-73.776764",0,15,5
1548427616,2019-01-25T14:46:56Z,CAL5321,"40.653652,-73.777969",0,16,5
1548427631,2019-01-25T14:47:11Z,CAL5321,"40.653442,-73.777748",0,16,5
1548427646,2019-01-25T14:47:26Z,CAL5321,"40.653198,-73.777283",0,19,5
1548427655,2019-01-25T14:47:35Z,CAL5321,"40.653034,-73.776924",0,21,120
1548427661,2019-01-25T14:47:41Z,CAL5321,"40.652905,-73.776627",0,22,120
1548427670,2019-01-25T14:47:50Z,CAL5321,"40.652767,-73.776337",0,23,120
1548427957,2019-01-25T14:52:37Z,CAL5321,"40.651405,-73.773346",0,25,120
1548427964,2019-01-25T14:52:44Z,CAL5321,"40.651234,-73.772964",0,27,120
1548427970,2019-01-25T14:52:50Z,CAL5321,"40.651066,-73.772614",0,28,120
1548427979,2019-01-25T14:52:59Z,CAL5321,"40.65081,-73.772026",0,30,120
1548427986,2019-01-25T14:53:06Z,CAL5321,"40.650639,-73.771637",0,31,120
1548427992,2019-01-25T14:53:12Z,CAL5321,"40.650463,-73.771225",0,32,120
1548428001,2019-01-25T14:53:21Z,CAL5321,"40.650135,-73.770538",0,33,120
1548428010,2019-01-25T14:53:30Z,CAL5321,"40.649879,-73.769966",0,34,120
1548428022,2019-01-25T14:53:42Z,CAL5321,"40.649437,-73.768982",0,16,120
1548428031,2019-01-25T14:53:51Z,CAL5321,"40.649136,-73.768326",0,15,120
1548428039,2019-01-25T14:53:59Z,CAL5321,"40.648853,-73.767685",0,28,120
1548428045,2019-01-25T14:54:05Z,CAL5321,"40.648739,-73.767433",0,22,118
1548428055,2019-01-25T14:54:15Z,CAL5321,"40.648739,-73.767166",0,16,5
1548428063,2019-01-25T14:54:23Z,CAL5321,"40.648922,-73.766922",0,16,5
