Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551055116,2019-02-25T00:38:36Z,CAL5321,"40.657875,-73.778671",0,0,180
1551055291,2019-02-25T00:41:31Z,CAL5321,"40.657597,-73.778824",0,12,5
1551055315,2019-02-25T00:41:55Z,CAL5321,"40.657352,-73.77903",0,10,5
1551055330,2019-02-25T00:42:10Z,CAL5321,"40.657246,-73.779236",0,10,5
1551055358,2019-02-25T00:42:38Z,CAL5321,"40.657188,-73.779594",0,2,5
1551055394,2019-02-25T00:43:14Z,CAL5321,"40.657188,-73.779312",0,11,5
1551055411,2019-02-25T00:43:31Z,CAL5321,"40.657097,-73.778999",0,14,5
1551055421,2019-02-25T00:43:41Z,CAL5321,"40.65699,-73.778748",0,14,5
1551055431,2019-02-25T00:43:51Z,CAL5321,"40.656898,-73.778534",0,12,5
1551055457,2019-02-25T00:44:17Z,CAL5321,"40.656757,-73.778221",0,2,5
1551055742,2019-02-25T00:49:02Z,CAL5321,"40.656635,-73.777954",0,14,5
1551055754,2019-02-25T00:49:14Z,CAL5321,"40.656521,-73.777679",0,14,5
1551055769,2019-02-25T00:49:29Z,CAL5321,"40.656303,-73.777435",0,16,5
1551055833,2019-02-25T00:50:33Z,CAL5321,"40.655186,-73.778152",0,2,5
1551055866,2019-02-25T00:51:06Z,CAL5321,"40.654964,-73.778328",0,11,5
1551055910,2019-02-25T00:51:50Z,CAL5321,"40.654095,-73.7789",0,15,5
1551055923,2019-02-25T00:52:03Z,CAL5321,"40.653866,-73.778717",0,15,5
1551055941,2019-02-25T00:52:21Z,CAL5321,"40.653545,-73.778076",0,22,120
1551055951,2019-02-25T00:52:31Z,CAL5321,"40.653328,-73.777618",0,25,120
1551055962,2019-02-25T00:52:42Z,CAL5321,"40.653042,-73.776978",0,28,120
1551055968,2019-02-25T00:52:48Z,CAL5321,"40.652893,-73.776657",0,29,120
1551055974,2019-02-25T00:52:54Z,CAL5321,"40.652756,-73.776367",0,26,120
1551055985,2019-02-25T00:53:05Z,CAL5321,"40.652515,-73.775833",0,23,120
1551056059,2019-02-25T00:54:19Z,CAL5321,"40.651566,-73.773727",0,0,120
1551056270,2019-02-25T00:57:50Z,CAL5321,"40.651451,-73.773499",0,14,5
1551056278,2019-02-25T00:57:58Z,CAL5321,"40.651348,-73.77327",0,18,5
1551056286,2019-02-25T00:58:06Z,CAL5321,"40.651222,-73.772995",0,20,120
1551056292,2019-02-25T00:58:12Z,CAL5321,"40.651108,-73.772751",0,21,120
1551056301,2019-02-25T00:58:21Z,CAL5321,"40.650959,-73.772446",0,17,5
1551056312,2019-02-25T00:58:32Z,CAL5321,"40.650822,-73.772118",0,14,5
1551056327,2019-02-25T00:58:47Z,CAL5321,"40.650684,-73.77182",0,11,5
1551056477,2019-02-25T01:01:17Z,CAL5321,"40.650558,-73.7715",0,12,5
1551056494,2019-02-25T01:01:34Z,CAL5321,"40.650433,-73.771225",0,11,5
1551056513,2019-02-25T01:01:53Z,CAL5321,"40.650295,-73.77095",0,10,5
1551056546,2019-02-25T01:02:26Z,CAL5321,"40.650204,-73.770744",0,0,89
1551056681,2019-02-25T01:04:41Z,CAL5321,"40.650101,-73.770538",0,11,5
1551056693,2019-02-25T01:04:53Z,CAL5321,"40.649998,-73.770309",0,14,5
1551056703,2019-02-25T01:05:03Z,CAL5321,"40.649891,-73.770073",0,12,5
1551056717,2019-02-25T01:05:17Z,CAL5321,"40.649799,-73.769852",0,12,5
1551056735,2019-02-25T01:05:35Z,CAL5321,"40.649681,-73.769608",0,10,5
1551056847,2019-02-25T01:07:27Z,CAL5321,"40.649597,-73.769409",0,0,131
1551056981,2019-02-25T01:09:41Z,CAL5321,"40.649586,-73.769424",0,0,221
1551057084,2019-02-25T01:11:24Z,CAL5321,"40.649448,-73.769089",0,13,5
1551057101,2019-02-25T01:11:41Z,CAL5321,"40.6493,-73.768738",0,13,5
1551057116,2019-02-25T01:11:56Z,CAL5321,"40.649193,-73.768494",0,12,5
1551057127,2019-02-25T01:12:07Z,CAL5321,"40.649071,-73.76825",0,16,5
1551057140,2019-02-25T01:12:20Z,CAL5321,"40.648903,-73.767868",0,17,5
1551057152,2019-02-25T01:12:32Z,CAL5321,"40.648727,-73.767479",0,16,5
