Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551359174,2019-02-28T13:06:14Z,CAL5321,"40.657852,-73.778671",0,0,180
1551359303,2019-02-28T13:08:23Z,CAL5321,"40.657597,-73.778839",0,11,5
1551359326,2019-02-28T13:08:46Z,CAL5321,"40.657257,-73.778893",0,13,5
1551359354,2019-02-28T13:09:14Z,CAL5321,"40.656841,-73.778503",0,13,5
1551359367,2019-02-28T13:09:27Z,CAL5321,"40.656734,-73.778221",0,13,5
1551359382,2019-02-28T13:09:42Z,CAL5321,"40.656631,-73.777924",0,12,5
1551359568,2019-02-28T13:12:48Z,CAL5321,"40.65593,-73.776375",0,0,120
1551359690,2019-02-28T13:14:50Z,CAL5321,"40.65517,-73.778152",0,22,210
1551359697,2019-02-28T13:14:57Z,CAL5321,"40.65493,-73.778351",0,24,210
1551359713,2019-02-28T13:15:13Z,CAL5321,"40.654381,-73.778778",0,21,210
1551359722,2019-02-28T13:15:22Z,CAL5321,"40.654152,-73.778893",0,17,5
1551359744,2019-02-28T13:15:44Z,CAL5321,"40.653694,-73.778397",0,20,123
1551359753,2019-02-28T13:15:53Z,CAL5321,"40.653522,-73.77803",0,25,120
1551359761,2019-02-28T13:16:01Z,CAL5321,"40.653305,-73.777557",0,29,120
1551359770,2019-02-28T13:16:10Z,CAL5321,"40.652996,-73.776855",0,33,120
1551359778,2019-02-28T13:16:18Z,CAL5321,"40.652695,-73.776207",0,34,120
1551359790,2019-02-28T13:16:30Z,CAL5321,"40.652302,-73.775345",0,15,120
1551359810,2019-02-28T13:16:50Z,CAL5321,"40.65152,-73.773636",0,16,120
1551359817,2019-02-28T13:16:57Z,CAL5321,"40.651299,-73.773132",0,16,120
1551359830,2019-02-28T13:17:10Z,CAL5321,"40.650845,-73.772141",0,17,120
1551359837,2019-02-28T13:17:17Z,CAL5321,"40.650578,-73.771568",0,17,120
1551359847,2019-02-28T13:17:27Z,CAL5321,"40.650192,-73.770691",0,16,120
1551359853,2019-02-28T13:17:33Z,CAL5321,"40.649937,-73.770119",0,32,120
1551359861,2019-02-28T13:17:41Z,CAL5321,"40.64978,-73.769791",0,25,120
1551359870,2019-02-28T13:17:50Z,CAL5321,"40.649563,-73.769333",0,20,123
1551359883,2019-02-28T13:18:03Z,CAL5321,"40.649334,-73.76915",0,15,5
1551359898,2019-02-28T13:18:18Z,CAL5321,"40.648937,-73.769539",0,23,227
1551359907,2019-02-28T13:18:27Z,CAL5321,"40.648693,-73.769966",0,28,233
1551359914,2019-02-28T13:18:34Z,CAL5321,"40.648487,-73.77034",0,30,233
1551359926,2019-02-28T13:18:46Z,CAL5321,"40.648075,-73.771088",0,28,233
1551359933,2019-02-28T13:18:53Z,CAL5321,"40.647915,-73.771393",0,23,233
1551359939,2019-02-28T13:18:59Z,CAL5321,"40.647789,-73.771637",0,20,233
1551359946,2019-02-28T13:19:06Z,CAL5321,"40.647583,-73.771835",0,16,5
1551359958,2019-02-28T13:19:18Z,CAL5321,"40.647308,-73.771759",0,16,5
1551359972,2019-02-28T13:19:32Z,CAL5321,"40.647045,-73.771439",0,21,135
1551359979,2019-02-28T13:19:39Z,CAL5321,"40.646725,-73.771118",0,26,149
1551359985,2019-02-28T13:19:45Z,CAL5321,"40.646446,-73.770981",0,27,165
1551359991,2019-02-28T13:19:51Z,CAL5321,"40.646141,-73.77092",0,28,174
1551359997,2019-02-28T13:19:57Z,CAL5321,"40.645805,-73.770912",0,29,180
1551360004,2019-02-28T13:20:04Z,CAL5321,"40.645481,-73.770912",0,30,180
1551360015,2019-02-28T13:20:15Z,CAL5321,"40.644806,-73.770943",0,29,185
1551360021,2019-02-28T13:20:21Z,CAL5321,"40.644482,-73.771042",0,29,194
1551360027,2019-02-28T13:20:27Z,CAL5321,"40.644165,-73.77121",0,30,205
1551360033,2019-02-28T13:20:33Z,CAL5321,"40.643887,-73.771423",0,31,210
1551360051,2019-02-28T13:20:51Z,CAL5321,"40.642883,-73.772194",0,34,210
1551360061,2019-02-28T13:21:01Z,CAL5321,"40.642342,-73.772614",0,15,210
1551360067,2019-02-28T13:21:07Z,CAL5321,"40.641987,-73.772888",0,16,210
1551360078,2019-02-28T13:21:18Z,CAL5321,"40.64138,-73.773376",0,32,210
1551360084,2019-02-28T13:21:24Z,CAL5321,"40.641022,-73.773643",0,32,210
1551360092,2019-02-28T13:21:32Z,CAL5321,"40.640717,-73.773895",0,32,210
