Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545453670,2018-12-22T04:41:10Z,CAL5322,"61.173889,-149.990662",0,0,89
1545454107,2018-12-22T04:48:27Z,CAL5322,"61.173946,-149.990326",0,14,5
1545454115,2018-12-22T04:48:35Z,CAL5322,"61.173992,-149.990036",0,17,5
1545454121,2018-12-22T04:48:41Z,CAL5322,"61.174038,-149.989761",0,15,5
1545454136,2018-12-22T04:48:56Z,CAL5322,"61.174015,-149.989365",0,10,5
1545454146,2018-12-22T04:49:06Z,CAL5322,"61.173912,-149.989136",0,11,5
1545454160,2018-12-22T04:49:20Z,CAL5322,"61.173714,-149.988907",0,15,5
1545454171,2018-12-22T04:49:31Z,CAL5322,"61.17342,-149.988663",0,19,5
1545454182,2018-12-22T04:49:42Z,CAL5322,"61.173145,-149.988449",0,20,160
1545454192,2018-12-22T04:49:52Z,CAL5322,"61.172806,-149.988205",0,17,5
1545454203,2018-12-22T04:50:03Z,CAL5322,"61.172539,-149.988144",0,15,5
1545454216,2018-12-22T04:50:16Z,CAL5322,"61.172272,-149.988434",0,17,5
1545454224,2018-12-22T04:50:24Z,CAL5322,"61.172138,-149.988693",0,18,5
1545454230,2018-12-22T04:50:30Z,CAL5322,"61.171944,-149.989105",0,20,227
1545454237,2018-12-22T04:50:37Z,CAL5322,"61.171806,-149.989441",0,21,230
1545454243,2018-12-22T04:50:43Z,CAL5322,"61.17168,-149.989761",0,20,230
1545454249,2018-12-22T04:50:49Z,CAL5322,"61.171532,-149.990128",0,21,230
1545454256,2018-12-22T04:50:56Z,CAL5322,"61.171417,-149.990479",0,19,239
1545454268,2018-12-22T04:51:08Z,CAL5322,"61.171303,-149.991119",0,16,5
1545454274,2018-12-22T04:51:14Z,CAL5322,"61.17128,-149.991409",0,15,5
1545454280,2018-12-22T04:51:20Z,CAL5322,"61.171268,-149.991684",0,15,5
1545454286,2018-12-22T04:51:26Z,CAL5322,"61.171257,-149.991959",0,15,5
1545454292,2018-12-22T04:51:32Z,CAL5322,"61.171257,-149.992249",0,16,5
1545454299,2018-12-22T04:51:39Z,CAL5322,"61.171257,-149.992584",0,18,5
1545454307,2018-12-22T04:51:47Z,CAL5322,"61.171246,-149.993179",0,20,270
1545454316,2018-12-22T04:51:56Z,CAL5322,"61.171246,-149.993866",0,22,270
1545454323,2018-12-22T04:52:03Z,CAL5322,"61.171246,-149.99437",0,22,270
1545454329,2018-12-22T04:52:09Z,CAL5322,"61.171246,-149.994888",0,23,270
1545454337,2018-12-22T04:52:17Z,CAL5322,"61.171246,-149.995621",0,21,270
1545454344,2018-12-22T04:52:24Z,CAL5322,"61.171246,-149.996033",0,20,270
