Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545799255,2018-12-26T04:40:55Z,CAL5322,"61.174965,-149.986511",0,19,5
1545799266,2018-12-26T04:41:06Z,CAL5322,"61.17532,-149.98645",0,20,351
1545799274,2018-12-26T04:41:14Z,CAL5322,"61.17561,-149.986618",0,22,343
1545799281,2018-12-26T04:41:21Z,CAL5322,"61.175926,-149.986847",0,25,340
1545799287,2018-12-26T04:41:27Z,CAL5322,"61.176159,-149.98703",0,21,340
1545799295,2018-12-26T04:41:35Z,CAL5322,"61.176392,-149.987213",0,20,340
1545799304,2018-12-26T04:41:44Z,CAL5322,"61.176647,-149.987442",0,18,5
1545799314,2018-12-26T04:41:54Z,CAL5322,"61.176846,-149.987823",0,17,5
1545799334,2018-12-26T04:42:14Z,CAL5322,"61.176807,-149.989059",0,19,5
1545799346,2018-12-26T04:42:26Z,CAL5322,"61.176659,-149.989929",0,20,247
1545799355,2018-12-26T04:42:35Z,CAL5322,"61.176544,-149.990311",0,18,5
1545799368,2018-12-26T04:42:48Z,CAL5322,"61.176239,-149.990646",0,16,5
1545799382,2018-12-26T04:43:02Z,CAL5322,"61.175903,-149.990509",0,17,5
1545799393,2018-12-26T04:43:13Z,CAL5322,"61.175629,-149.990311",0,17,5
1545799419,2018-12-26T04:43:39Z,CAL5322,"61.1749,-149.989746",0,20,160
1545799448,2018-12-26T04:44:08Z,CAL5322,"61.173923,-149.988983",0,21,160
1545799460,2018-12-26T04:44:20Z,CAL5322,"61.173477,-149.988663",0,20,160
1545799467,2018-12-26T04:44:27Z,CAL5322,"61.173271,-149.98851",0,19,5
1545799475,2018-12-26T04:44:35Z,CAL5322,"61.173038,-149.988327",0,17,5
1545799484,2018-12-26T04:44:44Z,CAL5322,"61.172806,-149.988144",0,17,5
1545799494,2018-12-26T04:44:54Z,CAL5322,"61.172596,-149.988052",0,16,5
1545799536,2018-12-26T04:45:36Z,CAL5322,"61.171642,-149.989807",0,21,227
1545799554,2018-12-26T04:45:54Z,CAL5322,"61.17136,-149.990723",0,16,5
1545799560,2018-12-26T04:46:00Z,CAL5322,"61.171318,-149.991043",0,17,5
1545799567,2018-12-26T04:46:07Z,CAL5322,"61.17128,-149.991409",0,18,5
1545799578,2018-12-26T04:46:18Z,CAL5322,"61.171268,-149.992142",0,19,5
1545799591,2018-12-26T04:46:31Z,CAL5322,"61.171257,-149.993027",0,20,270
1545799604,2018-12-26T04:46:44Z,CAL5322,"61.171257,-149.993927",0,20,270
1545799611,2018-12-26T04:46:51Z,CAL5322,"61.171257,-149.9944",0,20,270
1545799619,2018-12-26T04:46:59Z,CAL5322,"61.171257,-149.994995",0,21,270
1545799664,2018-12-26T04:47:44Z,CAL5322,"61.171337,-149.998444",0,19,5
1545799676,2018-12-26T04:47:56Z,CAL5322,"61.171555,-149.998795",0,12,5
1545799722,2018-12-26T04:48:42Z,CAL5322,"61.172108,-149.999115",0,26,345
1545799729,2018-12-26T04:48:49Z,CAL5322,"61.173412,-149.999847",0,54,345
1545799736,2018-12-26T04:48:56Z,CAL5322,"61.175564,-150.001068",0,84,345
1545799769,2018-12-26T04:49:29Z,CAL5322,"61.19664,-150.012924",725,166,345
1545799775,2018-12-26T04:49:35Z,CAL5322,"61.201172,-150.015762",1075,159,341
1545799781,2018-12-26T04:49:41Z,CAL5322,"61.205391,-150.019119",1325,161,335
1545799788,2018-12-26T04:49:48Z,CAL5322,"61.209305,-150.024002",1450,170,324
1545799794,2018-12-26T04:49:54Z,CAL5322,"61.212933,-150.030823",1600,178,314
1545799800,2018-12-26T04:50:00Z,CAL5322,"61.216324,-150.039001",1850,178,310
1545799806,2018-12-26T04:50:06Z,CAL5322,"61.219574,-150.04715",2075,177,309
1545799812,2018-12-26T04:50:12Z,CAL5322,"61.222824,-150.054901",2200,179,311
1545799825,2018-12-26T04:50:25Z,CAL5322,"61.230343,-150.071915",2425,188,312
1545799831,2018-12-26T04:50:31Z,CAL5322,"61.233994,-150.080017",2550,190,313
1545799843,2018-12-26T04:50:43Z,CAL5322,"61.241501,-150.096588",2825,195,313
1545799851,2018-12-26T04:50:51Z,CAL5322,"61.245346,-150.105026",2975,196,313
1545799861,2018-12-26T04:51:01Z,CAL5322,"61.252598,-150.120956",3300,198,313
1545799868,2018-12-26T04:51:08Z,CAL5322,"61.256878,-150.13031",3425,202,313
1545799874,2018-12-26T04:51:14Z,CAL5322,"61.26107,-150.139359",3525,205,313
1545799882,2018-12-26T04:51:22Z,CAL5322,"61.265072,-150.148117",3625,211,313
1545799893,2018-12-26T04:51:33Z,CAL5322,"61.274094,-150.167404",3800,224,314
1545799899,2018-12-26T04:51:39Z,CAL5322,"61.278625,-150.177124",3950,227,314
1545799905,2018-12-26T04:51:45Z,CAL5322,"61.283112,-150.186539",4075,231,314
1545799911,2018-12-26T04:51:51Z,CAL5322,"61.287697,-150.195816",4200,235,316
1545799919,2018-12-26T04:51:59Z,CAL5322,"61.293282,-150.205078",4325,240,324
1545799927,2018-12-26T04:52:07Z,CAL5322,"61.302658,-150.214493",4400,247,338
1545799933,2018-12-26T04:52:13Z,CAL5322,"61.309578,-150.217484",4500,252,352
1545799959,2018-12-26T04:52:39Z,CAL5322,"61.338181,-150.201447",5150,261,32
1545799971,2018-12-26T04:52:51Z,CAL5322,"61.349167,-150.181641",5600,264,45
1545799980,2018-12-26T04:53:00Z,CAL5322,"61.356216,-150.163284",5800,271,53
1545799986,2018-12-26T04:53:06Z,CAL5322,"61.360271,-150.148422",5975,274,63
1545799992,2018-12-26T04:53:12Z,CAL5322,"61.362972,-150.132858",6250,272,72
1545799998,2018-12-26T04:53:18Z,CAL5322,"61.36441,-150.118073",6550,269,81
1545800005,2018-12-26T04:53:25Z,CAL5322,"61.364685,-150.101303",6850,268,90
1545800011,2018-12-26T04:53:31Z,CAL5322,"61.364136,-150.085648",7075,269,95
1545800020,2018-12-26T04:53:40Z,CAL5322,"61.363018,-150.062057",7425,271,95
1545800027,2018-12-26T04:53:47Z,CAL5322,"61.362259,-150.045486",7700,272,95
1545800039,2018-12-26T04:53:59Z,CAL5322,"61.361156,-150.012619",8225,274,93
1545800052,2018-12-26T04:54:12Z,CAL5322,"61.360504,-149.979858",8775,276,92
1545800063,2018-12-26T04:54:23Z,CAL5322,"61.359993,-149.947922",9250,278,91
1545800075,2018-12-26T04:54:35Z,CAL5322,"61.359421,-149.914627",9750,280,92
1545800088,2018-12-26T04:54:48Z,CAL5322,"61.35878,-149.881073",10200,282,92
1545800100,2018-12-26T04:55:00Z,CAL5322,"61.358047,-149.848312",10575,287,93
1545800112,2018-12-26T04:55:12Z,CAL5322,"61.357086,-149.813492",10800,299,93
1545800124,2018-12-26T04:55:24Z,CAL5322,"61.356125,-149.777008",11000,312,92
1545800147,2018-12-26T04:55:47Z,CAL5322,"61.35791,-149.70549",11400,337,83
1545800158,2018-12-26T04:55:58Z,CAL5322,"61.360153,-149.671463",11600,346,81
1545800173,2018-12-26T04:56:13Z,CAL5322,"61.363529,-149.619751",11900,360,82
1545800183,2018-12-26T04:56:23Z,CAL5322,"61.365784,-149.583755",12175,368,82
1545800214,2018-12-26T04:56:54Z,CAL5322,"61.372932,-149.471741",13350,382,82
1545800245,2018-12-26T04:57:25Z,CAL5322,"61.380009,-149.356995",14700,392,82
1545800276,2018-12-26T04:57:56Z,CAL5322,"61.386993,-149.240524",16075,401,82
1545800309,2018-12-26T04:58:29Z,CAL5322,"61.394207,-149.118149",17500,410,83
1545800345,2018-12-26T04:59:05Z,CAL5322,"61.402447,-148.975021",19050,419,83
1545800406,2018-12-26T05:00:06Z,CAL5322,"61.417065,-148.722122",21375,437,83
1545800467,2018-12-26T05:01:07Z,CAL5322,"61.431519,-148.458847",23350,457,83
1545800528,2018-12-26T05:02:08Z,CAL5322,"61.446075,-148.184479",25025,480,83
1545800555,2018-12-26T05:02:35Z,CAL5322,"61.452576,-148.058228",25700,490,83
1545800645,2018-12-26T05:04:05Z,CAL5322,"61.473999,-147.628784",28400,506,84
1545800709,2018-12-26T05:05:09Z,CAL5322,"61.488106,-147.326553",30225,508,84
1545800768,2018-12-26T05:06:08Z,CAL5322,"61.501373,-147.027695",31000,510,84
1545800823,2018-12-26T05:07:03Z,CAL5322,"61.512863,-146.757431",31000,508,85
1545800912,2018-12-26T05:08:32Z,CAL5322,"61.526096,-146.272369",31000,510,82
1545800972,2018-12-26T05:09:32Z,CAL5322,"61.534744,-146.030426",31000,510,83
1545801029,2018-12-26T05:10:29Z,CAL5322,"61.538216,-145.779617",31000,500,89
1545801086,2018-12-26T05:11:26Z,CAL5322,"61.547813,-145.511337",31000,500,83
1545801178,2018-12-26T05:12:58Z,CAL5322,"61.573807,-145.01506",31000,508,86
1545801190,2018-12-26T05:13:10Z,CAL5322,"61.57539,-144.958603",31000,508,86
1545801282,2018-12-26T05:14:42Z,CAL5322,"61.587341,-144.506119",30975,511,87
1545801343,2018-12-26T05:15:43Z,CAL5322,"61.594475,-144.204605",31000,512,87
1545801406,2018-12-26T05:16:46Z,CAL5322,"61.601273,-143.891495",30975,513,87
1545801469,2018-12-26T05:17:49Z,CAL5322,"61.6073,-143.579636",31000,513,87
1545801530,2018-12-26T05:18:50Z,CAL5322,"61.612537,-143.26741",30975,514,88
1545801595,2018-12-26T05:19:55Z,CAL5322,"61.617142,-142.953323",31000,513,88
1545801659,2018-12-26T05:20:59Z,CAL5322,"61.621059,-142.633362",31000,515,88
1545801720,2018-12-26T05:22:00Z,CAL5322,"61.623989,-142.32869",31000,515,88
1545801784,2018-12-26T05:23:04Z,CAL5322,"61.62648,-142.003098",31000,518,89
1545801846,2018-12-26T05:24:06Z,CAL5322,"61.628174,-141.691071",30975,518,89
1545801860,2018-12-26T05:24:20Z,CAL5322,"61.628403,-141.628281",30975,518,89
1545801925,2018-12-26T05:25:25Z,CAL5322,"61.623032,-141.288055",31000,520,89
1545802051,2018-12-26T05:27:31Z,CAL5322,"61.587585,-140.67485",30975,513,106
1545802070,2018-12-26T05:27:50Z,CAL5322,"61.575809,-140.590515",31000,513,106
1545802159,2018-12-26T05:29:19Z,CAL5322,"61.514591,-140.159607",30975,511,106
1545802224,2018-12-26T05:30:24Z,CAL5322,"61.471436,-139.860565",30975,512,106
1545802288,2018-12-26T05:31:28Z,CAL5322,"61.427307,-139.558838",30975,511,107
1545802351,2018-12-26T05:32:31Z,CAL5322,"61.38295,-139.262299",30975,512,107
1545802412,2018-12-26T05:33:32Z,CAL5322,"61.338089,-138.968414",31000,512,107
1545802475,2018-12-26T05:34:35Z,CAL5322,"61.293564,-138.684799",30975,515,104
1545802537,2018-12-26T05:35:37Z,CAL5322,"61.273918,-138.375748",30975,519,94
1545802598,2018-12-26T05:36:38Z,CAL5322,"61.261505,-138.075684",30975,521,95
1545802661,2018-12-26T05:37:41Z,CAL5322,"61.247772,-137.762085",32350,526,95
