Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545972028,2018-12-28T04:40:28Z,CAL5322,"61.177925,-149.994278",0,0,180
1545972545,2018-12-28T04:49:05Z,CAL5322,"61.177986,-149.993927",0,15,5
1545972551,2018-12-28T04:49:11Z,CAL5322,"61.17802,-149.993637",0,17,5
1545972565,2018-12-28T04:49:25Z,CAL5322,"61.178009,-149.993027",0,14,5
1545972577,2018-12-28T04:49:37Z,CAL5322,"61.177856,-149.992676",0,13,5
1545972590,2018-12-28T04:49:50Z,CAL5322,"61.177692,-149.99234",0,14,5
1545972605,2018-12-28T04:50:05Z,CAL5322,"61.17738,-149.991776",0,20,140
1545972612,2018-12-28T04:50:12Z,CAL5322,"61.177174,-149.991501",0,23,149
1545972621,2018-12-28T04:50:21Z,CAL5322,"61.176811,-149.99115",0,27,157
1545972630,2018-12-28T04:50:30Z,CAL5322,"61.176346,-149.990799",0,27,160
1545972640,2018-12-28T04:50:40Z,CAL5322,"61.175835,-149.990433",0,27,160
1545972647,2018-12-28T04:50:47Z,CAL5322,"61.175507,-149.990189",0,26,160
1545972654,2018-12-28T04:50:54Z,CAL5322,"61.175251,-149.989975",0,26,160
1545972660,2018-12-28T04:51:00Z,CAL5322,"61.174988,-149.989761",0,26,157
1545972672,2018-12-28T04:51:12Z,CAL5322,"61.174435,-149.989349",0,25,160
1545972685,2018-12-28T04:51:25Z,CAL5322,"61.173923,-149.988983",0,24,160
1545972691,2018-12-28T04:51:31Z,CAL5322,"61.173672,-149.988815",0,23,160
1545972697,2018-12-28T04:51:37Z,CAL5322,"61.173443,-149.988632",0,22,160
1545972711,2018-12-28T04:51:51Z,CAL5322,"61.172939,-149.988266",0,19,5
1545972721,2018-12-28T04:52:01Z,CAL5322,"61.172714,-149.988098",0,16,5
1545972734,2018-12-28T04:52:14Z,CAL5322,"61.172459,-149.988129",0,14,5
1545972744,2018-12-28T04:52:24Z,CAL5322,"61.172237,-149.988449",0,16,5
1545972750,2018-12-28T04:52:30Z,CAL5322,"61.172127,-149.988693",0,17,5
1545972758,2018-12-28T04:52:38Z,CAL5322,"61.172001,-149.988953",0,20,225
1545972764,2018-12-28T04:52:44Z,CAL5322,"61.171852,-149.989319",0,22,227
1545972770,2018-12-28T04:52:50Z,CAL5322,"61.17168,-149.989716",0,24,227
1545972776,2018-12-28T04:52:56Z,CAL5322,"61.17152,-149.990112",0,24,230
1545972783,2018-12-28T04:53:03Z,CAL5322,"61.171394,-149.990555",0,21,241
1545972792,2018-12-28T04:53:12Z,CAL5322,"61.171307,-149.99115",0,19,5
1545972802,2018-12-28T04:53:22Z,CAL5322,"61.171257,-149.99176",0,20,264
1545972811,2018-12-28T04:53:31Z,CAL5322,"61.171246,-149.992447",0,22,267
1545972820,2018-12-28T04:53:40Z,CAL5322,"61.171246,-149.99321",0,23,270
1545972829,2018-12-28T04:53:49Z,CAL5322,"61.171246,-149.994064",0,23,270
1545972835,2018-12-28T04:53:55Z,CAL5322,"61.171234,-149.994614",0,23,267
1545972843,2018-12-28T04:54:03Z,CAL5322,"61.171234,-149.995178",0,24,270
1545972854,2018-12-28T04:54:14Z,CAL5322,"61.171234,-149.996292",0,24,270
1545972863,2018-12-28T04:54:23Z,CAL5322,"61.171234,-149.997055",0,22,270
1545972869,2018-12-28T04:54:29Z,CAL5322,"61.171246,-149.997513",0,20,270
1545972876,2018-12-28T04:54:36Z,CAL5322,"61.171246,-149.99794",0,19,5
1545972885,2018-12-28T04:54:45Z,CAL5322,"61.171326,-149.998428",0,17,5
1545972891,2018-12-28T04:54:51Z,CAL5322,"61.171444,-149.998657",0,17,5
1545972899,2018-12-28T04:54:59Z,CAL5322,"61.171715,-149.998886",0,18,5
1545972958,2018-12-28T04:55:58Z,CAL5322,"61.171993,-149.999054",0,25,345
1545972967,2018-12-28T04:56:07Z,CAL5322,"61.172642,-149.99942",0,30,345
1545972973,2018-12-28T04:56:13Z,CAL5322,"61.173946,-150.000168",0,58,345
1545972981,2018-12-28T04:56:21Z,CAL5322,"61.177578,-150.002167",0,105,345
1545972991,2018-12-28T04:56:31Z,CAL5322,"61.182655,-150.00502",0,135,345
1545972998,2018-12-28T04:56:38Z,CAL5322,"61.186958,-150.007416",0,160,345
1545973011,2018-12-28T04:56:51Z,CAL5322,"61.198792,-150.014099",725,175,344
1545973020,2018-12-28T04:57:00Z,CAL5322,"61.20369,-150.017029",950,175,343
1545973026,2018-12-28T04:57:06Z,CAL5322,"61.208267,-150.019775",1175,175,343
1545973034,2018-12-28T04:57:14Z,CAL5322,"61.215263,-150.025742",1500,176,331
1545973044,2018-12-28T04:57:24Z,CAL5322,"61.221588,-150.035568",1950,174,319
1545973050,2018-12-28T04:57:30Z,CAL5322,"61.22448,-150.041199",2200,168,316
1545973058,2018-12-28T04:57:38Z,CAL5322,"61.22974,-150.05188",2475,169,315
1545973065,2018-12-28T04:57:45Z,CAL5322,"61.233444,-150.059601",2600,173,314
1545973074,2018-12-28T04:57:54Z,CAL5322,"61.238537,-150.070389",2850,173,314
1545973081,2018-12-28T04:58:01Z,CAL5322,"61.242401,-150.078537",3075,171,314
1545973088,2018-12-28T04:58:08Z,CAL5322,"61.245758,-150.085693",3275,171,314
1545973099,2018-12-28T04:58:19Z,CAL5322,"61.252644,-150.100601",3475,179,313
1545973112,2018-12-28T04:58:32Z,CAL5322,"61.260044,-150.116882",3700,186,313
1545973119,2018-12-28T04:58:39Z,CAL5322,"61.263584,-150.124619",3775,193,313
1545973131,2018-12-28T04:58:51Z,CAL5322,"61.27153,-150.141907",3975,203,313
1545973138,2018-12-28T04:58:58Z,CAL5322,"61.275787,-150.151123",4100,207,313
1545973149,2018-12-28T04:59:09Z,CAL5322,"61.284439,-150.169769",4250,222,314
1545973155,2018-12-28T04:59:15Z,CAL5322,"61.288925,-150.178986",4350,227,315
1545973164,2018-12-28T04:59:24Z,CAL5322,"61.297195,-150.19104",4425,237,331
1545973171,2018-12-28T04:59:31Z,CAL5322,"61.303528,-150.195953",4500,243,343
1545973177,2018-12-28T04:59:37Z,CAL5322,"61.310577,-150.19812",4625,247,354
1545973199,2018-12-28T04:59:59Z,CAL5322,"61.335251,-150.185852",5150,262,23
1545973216,2018-12-28T05:00:16Z,CAL5322,"61.354385,-150.15976",5850,269,40
1545973225,2018-12-28T05:00:25Z,CAL5322,"61.360062,-150.148285",6050,272,45
1545973234,2018-12-28T05:00:34Z,CAL5322,"61.366928,-150.128067",6275,281,61
1545973241,2018-12-28T05:00:41Z,CAL5322,"61.370178,-150.111694",6475,283,72
1545973247,2018-12-28T05:00:47Z,CAL5322,"61.371769,-150.095932",6750,284,80
1545973274,2018-12-28T05:01:14Z,CAL5322,"61.369766,-150.020172",7925,286,96
1545973290,2018-12-28T05:01:30Z,CAL5322,"61.366837,-149.969986",8675,290,96
1545973305,2018-12-28T05:01:45Z,CAL5322,"61.36488,-149.93602",9150,293,96
1545973315,2018-12-28T05:01:55Z,CAL5322,"61.362991,-149.900894",9650,294,96
1545973328,2018-12-28T05:02:08Z,CAL5322,"61.361156,-149.865829",10150,296,96
1545973340,2018-12-28T05:02:20Z,CAL5322,"61.359341,-149.830322",10625,299,96
1545973355,2018-12-28T05:02:35Z,CAL5322,"61.357315,-149.792603",10900,310,96
1545973365,2018-12-28T05:02:45Z,CAL5322,"61.355385,-149.756271",11125,321,96
1545973378,2018-12-28T05:02:58Z,CAL5322,"61.353241,-149.716965",11375,333,96
1545973390,2018-12-28T05:03:10Z,CAL5322,"61.351147,-149.678345",11600,345,96
1545973402,2018-12-28T05:03:22Z,CAL5322,"61.348774,-149.634705",11875,356,97
1545973415,2018-12-28T05:03:35Z,CAL5322,"61.345139,-149.591705",12125,367,101
1545973446,2018-12-28T05:04:06Z,CAL5322,"61.331642,-149.48201",13000,389,105
1545973477,2018-12-28T05:04:37Z,CAL5322,"61.315861,-149.367569",14325,400,106
1545973525,2018-12-28T05:05:25Z,CAL5322,"61.290211,-149.187515",16550,415,106
1545973557,2018-12-28T05:05:57Z,CAL5322,"61.272812,-149.066528",17975,423,106
1545973587,2018-12-28T05:06:27Z,CAL5322,"61.255371,-148.945374",19400,424,106
1545973650,2018-12-28T05:07:30Z,CAL5322,"61.220306,-148.703674",20625,427,106
1545973712,2018-12-28T05:08:32Z,CAL5322,"61.183685,-148.455795",23100,440,107
1545973775,2018-12-28T05:09:35Z,CAL5322,"61.145645,-148.201355",25300,454,107
1545973803,2018-12-28T05:10:03Z,CAL5322,"61.127651,-148.08197",26275,458,107
1545973874,2018-12-28T05:11:14Z,CAL5322,"61.081795,-147.782486",28500,469,107
1545973963,2018-12-28T05:12:43Z,CAL5322,"61.021774,-147.397888",30350,493,107
1545974005,2018-12-28T05:13:25Z,CAL5322,"60.991653,-147.208374",31375,497,108
1545974054,2018-12-28T05:14:14Z,CAL5322,"60.955967,-146.985992",32600,499,108
1545974103,2018-12-28T05:15:03Z,CAL5322,"60.919556,-146.761627",32975,502,108
1545974217,2018-12-28T05:16:57Z,CAL5322,"60.843334,-146.288559",33000,490,104
1545974277,2018-12-28T05:17:57Z,CAL5322,"60.799831,-146.044739",33000,490,110
1545974334,2018-12-28T05:18:54Z,CAL5322,"60.752781,-145.788116",33000,490,110
1545974394,2018-12-28T05:19:54Z,CAL5322,"60.704113,-145.527893",33000,490,110
1545974472,2018-12-28T05:21:12Z,CAL5322,"60.655357,-145.225372",33000,490,104
1545974529,2018-12-28T05:22:09Z,CAL5322,"60.614841,-144.988281",33000,490,110
1545974587,2018-12-28T05:23:07Z,CAL5322,"60.57172,-144.747757",33000,500,110
1545974646,2018-12-28T05:24:06Z,CAL5322,"60.522854,-144.482285",33000,500,110
1545974704,2018-12-28T05:25:04Z,CAL5322,"60.472118,-144.211639",33000,500,110
1545974764,2018-12-28T05:26:04Z,CAL5322,"60.421741,-143.945633",33000,500,110
1545974822,2018-12-28T05:27:02Z,CAL5322,"60.372147,-143.684647",33000,500,110
1545974880,2018-12-28T05:28:00Z,CAL5322,"60.319862,-143.416946",33000,500,111
1545974938,2018-12-28T05:28:58Z,CAL5322,"60.269058,-143.154312",33000,500,110
1545974997,2018-12-28T05:29:57Z,CAL5322,"60.21875,-142.891586",33000,500,110
1545975057,2018-12-28T05:30:57Z,CAL5322,"60.160656,-142.625946",33000,500,116
1545975114,2018-12-28T05:31:54Z,CAL5322,"60.105824,-142.371033",33000,510,111
1545975173,2018-12-28T05:32:53Z,CAL5322,"60.051926,-142.107788",33000,500,110
1545975255,2018-12-28T05:34:15Z,CAL5322,"59.987865,-141.783356",33000,510,110
1545975317,2018-12-28T05:35:17Z,CAL5322,"59.933079,-141.546387",33000,510,117
1545975369,2018-12-28T05:36:09Z,CAL5322,"59.885098,-141.320923",33000,510,110
1545975426,2018-12-28T05:37:06Z,CAL5322,"59.835087,-141.072159",33000,510,110
1545975485,2018-12-28T05:38:05Z,CAL5322,"59.774849,-140.800735",33000,510,116
1545975544,2018-12-28T05:39:04Z,CAL5322,"59.710869,-140.538879",33000,520,117
1545975602,2018-12-28T05:40:02Z,CAL5322,"59.651825,-140.273972",33000,520,110
1545975661,2018-12-28T05:41:01Z,CAL5322,"59.588963,-140.007202",33000,520,116
1545975718,2018-12-28T05:41:58Z,CAL5322,"59.523537,-139.747238",33000,520,117
1545975797,2018-12-28T05:43:17Z,CAL5322,"59.464535,-139.414688",33000,530,101
1545975856,2018-12-28T05:44:16Z,CAL5322,"59.427433,-139.137177",33000,530,102
1545975903,2018-12-28T05:45:03Z,CAL5322,"59.399979,-138.941895",33000,570,111
1545975973,2018-12-28T05:46:13Z,CAL5322,"59.363922,-138.596527",33000,530,98
1545976031,2018-12-28T05:47:11Z,CAL5322,"59.336872,-138.306412",33000,530,102
1545976088,2018-12-28T05:48:08Z,CAL5322,"59.307671,-138.006805",33000,540,102
1545976146,2018-12-28T05:49:06Z,CAL5322,"59.270096,-137.711411",33000,540,108
1545976178,2018-12-28T05:49:38Z,CAL5322,"59.256805,-137.590088",33000,560,89
1545976238,2018-12-28T05:50:38Z,CAL5322,"59.219528,-137.324905",33000,540,123
1545976400,2018-12-28T05:53:20Z,CAL5322,"59.121315,-136.588165",33000,530,103
1545976446,2018-12-28T05:54:06Z,CAL5322,"59.088409,-136.277069",33000,535,105
1545976508,2018-12-28T05:55:08Z,CAL5322,"59.047882,-135.99028",33000,536,105
1545976570,2018-12-28T05:56:10Z,CAL5322,"59.006699,-135.704224",32975,535,105
1545976633,2018-12-28T05:57:13Z,CAL5322,"58.963852,-135.411255",33000,532,105
1545976695,2018-12-28T05:58:15Z,CAL5322,"58.921818,-135.128616",32975,533,106
1545976755,2018-12-28T05:59:15Z,CAL5322,"58.879086,-134.847427",32975,536,106
1545976819,2018-12-28T06:00:19Z,CAL5322,"58.83522,-134.563202",33000,535,106
1545976881,2018-12-28T06:01:21Z,CAL5322,"58.791138,-134.281723",32975,531,107
1545976941,2018-12-28T06:02:21Z,CAL5322,"58.746597,-134.003433",33000,530,107
1545976976,2018-12-28T06:02:56Z,CAL5322,"58.722343,-133.852753",32975,531,107
1545977064,2018-12-28T06:04:24Z,CAL5322,"58.655525,-133.486206",33000,530,109
1545977150,2018-12-28T06:05:50Z,CAL5322,"58.606262,-133.207642",33000,530,106
1545977211,2018-12-28T06:06:51Z,CAL5322,"58.565907,-132.988495",33000,510,109
1545978576,2018-12-28T06:29:36Z,CAL5322,"57.34314,-126.828918",32975,555,113
1545978640,2018-12-28T06:30:40Z,CAL5322,"57.278824,-126.553833",32975,553,113
1545978702,2018-12-28T06:31:42Z,CAL5322,"57.214188,-126.281235",33000,554,113
1545978710,2018-12-28T06:31:50Z,CAL5322,"57.207859,-126.254883",33000,554,113
1545978799,2018-12-28T06:33:19Z,CAL5322,"57.112656,-125.859634",33000,559,114
1545978862,2018-12-28T06:34:22Z,CAL5322,"57.046276,-125.588173",33000,559,114
1545978925,2018-12-28T06:35:25Z,CAL5322,"56.979263,-125.317528",32975,560,114
1545978988,2018-12-28T06:36:28Z,CAL5322,"56.91156,-125.047844",33000,558,114
1545979049,2018-12-28T06:37:29Z,CAL5322,"56.845543,-124.788116",32975,553,114
1545979111,2018-12-28T06:38:31Z,CAL5322,"56.778214,-124.525826",33000,548,115
1545979175,2018-12-28T06:39:35Z,CAL5322,"56.711426,-124.268486",33000,543,115
1545979238,2018-12-28T06:40:38Z,CAL5322,"56.642155,-124.005165",32975,540,115
1545979300,2018-12-28T06:41:40Z,CAL5322,"56.574875,-123.751831",32975,536,115
1545979363,2018-12-28T06:42:43Z,CAL5322,"56.507248,-123.500229",33000,538,115
1545979425,2018-12-28T06:43:45Z,CAL5322,"56.439285,-123.250542",33000,536,116
1545979487,2018-12-28T06:44:47Z,CAL5322,"56.371307,-123.003426",32975,536,116
1545979549,2018-12-28T06:45:49Z,CAL5322,"56.301956,-122.753822",32975,534,116
1545979611,2018-12-28T06:46:51Z,CAL5322,"56.233707,-122.510689",32975,534,116
1545979673,2018-12-28T06:47:53Z,CAL5322,"56.163895,-122.264435",33000,533,117
1545979736,2018-12-28T06:48:56Z,CAL5322,"56.09523,-122.024979",33000,533,117
1545979798,2018-12-28T06:49:58Z,CAL5322,"56.02264,-121.774689",32975,534,117
1545979860,2018-12-28T06:51:00Z,CAL5322,"55.954021,-121.540543",33000,533,117
1545979922,2018-12-28T06:52:02Z,CAL5322,"55.882332,-121.297989",33000,533,117
1545979986,2018-12-28T06:53:06Z,CAL5322,"55.808212,-121.050194",32975,535,118
1545980048,2018-12-28T06:54:08Z,CAL5322,"55.735519,-120.809746",32975,536,118
1545980085,2018-12-28T06:54:45Z,CAL5322,"55.69249,-120.668419",32975,536,118
1545980175,2018-12-28T06:56:15Z,CAL5322,"55.586166,-120.32312",33000,538,118
1545980236,2018-12-28T06:57:16Z,CAL5322,"55.512314,-120.08606",33000,537,118
1545980298,2018-12-28T06:58:18Z,CAL5322,"55.437897,-119.849274",32975,536,119
1545980362,2018-12-28T06:59:22Z,CAL5322,"55.362576,-119.612732",32975,537,119
1545980423,2018-12-28T07:00:23Z,CAL5322,"55.28688,-119.376526",32975,537,119
1545980487,2018-12-28T07:01:27Z,CAL5322,"55.21019,-119.139946",33000,536,119
1545980548,2018-12-28T07:02:28Z,CAL5322,"55.133606,-118.910683",33000,534,121
1545980610,2018-12-28T07:03:30Z,CAL5322,"55.053841,-118.684723",32975,532,121
1545980673,2018-12-28T07:04:33Z,CAL5322,"54.973351,-118.457756",32975,533,121
1545980732,2018-12-28T07:05:32Z,CAL5322,"54.89328,-118.232605",33000,533,121
1545980795,2018-12-28T07:06:35Z,CAL5322,"54.813118,-118.009064",33000,532,121
1545980856,2018-12-28T07:07:36Z,CAL5322,"54.733654,-117.789169",32975,531,122
1545980919,2018-12-28T07:08:39Z,CAL5322,"54.653503,-117.57003",33000,529,122
1545980980,2018-12-28T07:09:40Z,CAL5322,"54.572258,-117.350464",33000,528,122
1545981041,2018-12-28T07:10:41Z,CAL5322,"54.502895,-117.123245",33000,520,110
1545981102,2018-12-28T07:11:42Z,CAL5322,"54.460556,-116.880714",32975,514,106
1545981165,2018-12-28T07:12:45Z,CAL5322,"54.420219,-116.639519",32975,513,106
1545981227,2018-12-28T07:13:47Z,CAL5322,"54.379761,-116.402405",32975,510,106
1545981288,2018-12-28T07:14:48Z,CAL5322,"54.338699,-116.165558",32975,509,106
