Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546746904,2019-01-06T03:55:04Z,CAL5322,"61.173889,-149.990631",0,0,89
1546747336,2019-01-06T04:02:16Z,CAL5322,"61.173946,-149.990311",0,13,5
1546747344,2019-01-06T04:02:24Z,CAL5322,"61.174004,-149.990005",0,13,5
1546747350,2019-01-06T04:02:30Z,CAL5322,"61.174053,-149.989777",0,14,5
1546747359,2019-01-06T04:02:39Z,CAL5322,"61.174053,-149.989441",0,13,5
1546747371,2019-01-06T04:02:51Z,CAL5322,"61.173946,-149.989136",0,12,5
1546747384,2019-01-06T04:03:04Z,CAL5322,"61.173729,-149.988876",0,16,5
1546747395,2019-01-06T04:03:15Z,CAL5322,"61.173409,-149.988632",0,19,5
1546747409,2019-01-06T04:03:29Z,CAL5322,"61.173088,-149.988388",0,17,5
1546747421,2019-01-06T04:03:41Z,CAL5322,"61.172768,-149.988144",0,17,5
1546747434,2019-01-06T04:03:54Z,CAL5322,"61.172482,-149.988144",0,15,5
1546747449,2019-01-06T04:04:09Z,CAL5322,"61.172249,-149.988403",0,13,5
1546747461,2019-01-06T04:04:21Z,CAL5322,"61.172119,-149.988663",0,11,5
1546747472,2019-01-06T04:04:32Z,CAL5322,"61.172016,-149.988907",0,13,5
1546747481,2019-01-06T04:04:41Z,CAL5322,"61.171875,-149.989243",0,17,5
1546747488,2019-01-06T04:04:48Z,CAL5322,"61.171772,-149.989517",0,19,5
1546747497,2019-01-06T04:04:57Z,CAL5322,"61.171577,-149.990005",0,20,230
1546747506,2019-01-06T04:05:06Z,CAL5322,"61.17141,-149.990494",0,17,5
1546747512,2019-01-06T04:05:12Z,CAL5322,"61.171341,-149.990738",0,15,5
1546747518,2019-01-06T04:05:18Z,CAL5322,"61.171303,-149.991013",0,16,5
1546747525,2019-01-06T04:05:25Z,CAL5322,"61.171268,-149.991364",0,18,5
1546747535,2019-01-06T04:05:35Z,CAL5322,"61.171257,-149.991974",0,21,270
1546747544,2019-01-06T04:05:44Z,CAL5322,"61.171246,-149.992661",0,20,270
1546747553,2019-01-06T04:05:53Z,CAL5322,"61.171246,-149.993256",0,18,5
1546747561,2019-01-06T04:06:01Z,CAL5322,"61.171246,-149.993744",0,15,5
1546747568,2019-01-06T04:06:08Z,CAL5322,"61.171246,-149.994003",0,14,5
1546747581,2019-01-06T04:06:21Z,CAL5322,"61.171246,-149.994461",0,13,5
1546747593,2019-01-06T04:06:33Z,CAL5322,"61.171246,-149.994858",0,12,5
1546747603,2019-01-06T04:06:43Z,CAL5322,"61.171246,-149.995163",0,2,5
1546747650,2019-01-06T04:07:30Z,CAL5322,"61.171246,-149.995438",0,11,5
1546747658,2019-01-06T04:07:38Z,CAL5322,"61.171246,-149.995728",0,15,5
1546747665,2019-01-06T04:07:45Z,CAL5322,"61.171246,-149.996063",0,17,5
1546747671,2019-01-06T04:07:51Z,CAL5322,"61.171246,-149.996429",0,20,270
1546747679,2019-01-06T04:07:59Z,CAL5322,"61.171246,-149.997147",0,23,270
1546747686,2019-01-06T04:08:06Z,CAL5322,"61.171246,-149.997681",0,24,270
1546747692,2019-01-06T04:08:12Z,CAL5322,"61.17128,-149.998199",0,23,281
1546747699,2019-01-06T04:08:19Z,CAL5322,"61.171394,-149.998596",0,22,309
1546747706,2019-01-06T04:08:26Z,CAL5322,"61.171665,-149.998856",0,18,5
1546747713,2019-01-06T04:08:33Z,CAL5322,"61.171246,-149.996246",0,2,5
1546747758,2019-01-06T04:09:18Z,CAL5322,"61.171864,-149.998978",0,21,343
1546747764,2019-01-06T04:09:24Z,CAL5322,"61.172375,-149.999268",0,27,345
1546747770,2019-01-06T04:09:30Z,CAL5322,"61.173611,-149.999924",0,55,345
1546747776,2019-01-06T04:09:36Z,CAL5322,"61.175659,-150.001099",0,82,345
1546747782,2019-01-06T04:09:42Z,CAL5322,"61.178181,-150.002487",0,110,345
1546747789,2019-01-06T04:09:49Z,CAL5322,"61.181641,-150.004425",0,130,345
1546747801,2019-01-06T04:10:01Z,CAL5322,"61.190029,-150.009125",0,0,345
1546747813,2019-01-06T04:10:13Z,CAL5322,"61.199203,-150.014389",650,170,344
1546747821,2019-01-06T04:10:21Z,CAL5322,"61.203625,-150.01709",850,172,343
1546747827,2019-01-06T04:10:27Z,CAL5322,"61.208511,-150.020645",1100,174,338
1546747835,2019-01-06T04:10:35Z,CAL5322,"61.214378,-150.028381",1400,177,322
1546747841,2019-01-06T04:10:41Z,CAL5322,"61.218201,-150.036255",1650,179,314
1546747847,2019-01-06T04:10:47Z,CAL5322,"61.221638,-150.04364",1925,177,313
1546747854,2019-01-06T04:10:54Z,CAL5322,"61.225224,-150.051163",2225,175,314
1546747860,2019-01-06T04:11:00Z,CAL5322,"61.228203,-150.057373",2450,174,315
1546747871,2019-01-06T04:11:11Z,CAL5322,"61.235779,-150.073151",2925,178,314
1546747877,2019-01-06T04:11:17Z,CAL5322,"61.239285,-150.080765",3150,180,313
1546747883,2019-01-06T04:11:23Z,CAL5322,"61.242821,-150.088501",3400,181,313
1546747895,2019-01-06T04:11:35Z,CAL5322,"61.250175,-150.104477",3725,193,313
1546747903,2019-01-06T04:11:43Z,CAL5322,"61.253906,-150.112671",3825,202,313
1546747914,2019-01-06T04:11:54Z,CAL5322,"61.262329,-150.130829",4050,221,314
1546747927,2019-01-06T04:12:07Z,CAL5322,"61.271439,-150.150543",4125,243,313
1546747938,2019-01-06T04:12:18Z,CAL5322,"61.281227,-150.171509",4075,253,314
1546747947,2019-01-06T04:12:27Z,CAL5322,"61.288673,-150.187271",4225,258,314
1546747955,2019-01-06T04:12:35Z,CAL5322,"61.293842,-150.198166",4450,260,314
1546747967,2019-01-06T04:12:47Z,CAL5322,"61.304993,-150.216843",5075,264,327
1546747974,2019-01-06T04:12:54Z,CAL5322,"61.315487,-150.225327",5550,269,344
1546747980,2019-01-06T04:13:00Z,CAL5322,"61.322659,-150.227158",5875,271,357
1546748001,2019-01-06T04:13:21Z,CAL5322,"61.34882,-150.210068",7200,279,33
1546748008,2019-01-06T04:13:28Z,CAL5322,"61.355118,-150.200272",7575,280,37
1546748020,2019-01-06T04:13:40Z,CAL5322,"61.367115,-150.180054",8325,281,38
1546748029,2019-01-06T04:13:49Z,CAL5322,"61.375679,-150.163681",8800,284,45
1546748035,2019-01-06T04:13:55Z,CAL5322,"61.380939,-150.149124",9125,288,57
1546748041,2019-01-06T04:14:01Z,CAL5322,"61.38448,-150.134079",9450,291,67
1546748047,2019-01-06T04:14:07Z,CAL5322,"61.38662,-150.118301",9750,294,76
1546748054,2019-01-06T04:14:14Z,CAL5322,"61.387505,-150.101318",10075,297,87
1546748074,2019-01-06T04:14:34Z,CAL5322,"61.384666,-150.040283",11100,306,97
1546748080,2019-01-06T04:14:40Z,CAL5322,"61.383408,-150.021164",11425,308,97
1546748093,2019-01-06T04:14:53Z,CAL5322,"61.38121,-149.98526",12050,313,97
1546748126,2019-01-06T04:15:26Z,CAL5322,"61.375305,-149.883331",13825,320,96
1546748158,2019-01-06T04:15:58Z,CAL5322,"61.370186,-149.791061",15325,325,96
1546748190,2019-01-06T04:16:30Z,CAL5322,"61.371964,-149.683319",16825,335,81
1546748196,2019-01-06T04:16:36Z,CAL5322,"61.373291,-149.664093",17075,336,81
1546748229,2019-01-06T04:17:09Z,CAL5322,"61.379826,-149.564011",18350,345,82
1546748290,2019-01-06T04:18:10Z,CAL5322,"61.3923,-149.358826",20650,361,82
1546748349,2019-01-06T04:19:09Z,CAL5322,"61.405106,-149.136566",22400,390,83
