Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547383712,2019-01-13T12:48:32Z,CAL5322,"61.17519,-149.987747",0,0,180
1547383778,2019-01-13T12:49:38Z,CAL5322,"61.17519,-149.987747",0,0,89
1547383893,2019-01-13T12:51:33Z,CAL5322,"61.175194,-149.987762",0,0,180
1547384116,2019-01-13T12:55:16Z,CAL5322,"61.175438,-149.987488",0,14,5
1547384129,2019-01-13T12:55:29Z,CAL5322,"61.175705,-149.987152",0,18,5
1547384139,2019-01-13T12:55:39Z,CAL5322,"61.175961,-149.986984",0,17,5
1547384147,2019-01-13T12:55:47Z,CAL5322,"61.176239,-149.987106",0,20,343
1547384157,2019-01-13T12:55:57Z,CAL5322,"61.17659,-149.987335",0,22,337
1547384165,2019-01-13T12:56:05Z,CAL5322,"61.176796,-149.987656",0,22,312
1547384173,2019-01-13T12:56:13Z,CAL5322,"61.176899,-149.988312",0,22,270
1547384191,2019-01-13T12:56:31Z,CAL5322,"61.176647,-149.989975",0,26,247
1547384206,2019-01-13T12:56:46Z,CAL5322,"61.176205,-149.990646",0,22,180
1547384212,2019-01-13T12:56:52Z,CAL5322,"61.175995,-149.990555",0,22,165
1547384242,2019-01-13T12:57:22Z,CAL5322,"61.174877,-149.989731",0,23,160
1547384253,2019-01-13T12:57:33Z,CAL5322,"61.174393,-149.98938",0,25,160
1547384270,2019-01-13T12:57:50Z,CAL5322,"61.173702,-149.988831",0,24,160
1547384276,2019-01-13T12:57:56Z,CAL5322,"61.17347,-149.988663",0,24,160
1547384282,2019-01-13T12:58:02Z,CAL5322,"61.173237,-149.988495",0,23,160
1547384291,2019-01-13T12:58:11Z,CAL5322,"61.172962,-149.988297",0,22,160
1547384304,2019-01-13T12:58:24Z,CAL5322,"61.17247,-149.988068",0,20,188
1547384349,2019-01-13T12:59:09Z,CAL5322,"61.171307,-149.990799",0,19,253
1547384361,2019-01-13T12:59:21Z,CAL5322,"61.171257,-149.991608",0,19,5
1547384368,2019-01-13T12:59:28Z,CAL5322,"61.171246,-149.992111",0,20,270
1547384375,2019-01-13T12:59:35Z,CAL5322,"61.171246,-149.992538",0,21,270
1547384394,2019-01-13T12:59:54Z,CAL5322,"61.171246,-149.994247",0,24,270
1547384418,2019-01-13T13:00:18Z,CAL5322,"61.171246,-149.996613",0,26,270
1547384432,2019-01-13T13:00:32Z,CAL5322,"61.171234,-149.99791",0,24,270
1547384441,2019-01-13T13:00:41Z,CAL5322,"61.171337,-149.998489",0,18,5
1547384451,2019-01-13T13:00:51Z,CAL5322,"61.171524,-149.998734",0,13,5
1547384515,2019-01-13T13:01:55Z,CAL5322,"61.172253,-149.999237",0,30,343
1547384521,2019-01-13T13:02:01Z,CAL5322,"61.173622,-149.999954",0,60,345
1547384529,2019-01-13T13:02:09Z,CAL5322,"61.175892,-150.001221",0,88,345
1547384536,2019-01-13T13:02:16Z,CAL5322,"61.178684,-150.002792",0,115,345
1547384549,2019-01-13T13:02:29Z,CAL5322,"61.18816,-150.007965",0,165,345
1547384557,2019-01-13T13:02:37Z,CAL5322,"61.192776,-150.010574",725,162,344
1547384567,2019-01-13T13:02:47Z,CAL5322,"61.201447,-150.016739",1300,159,339
1547384574,2019-01-13T13:02:54Z,CAL5322,"61.205658,-150.020859",1475,165,332
1547384580,2019-01-13T13:03:00Z,CAL5322,"61.209778,-150.026749",1600,174,322
1547384586,2019-01-13T13:03:06Z,CAL5322,"61.213211,-150.03302",1725,180,318
1547384595,2019-01-13T13:03:15Z,CAL5322,"61.218941,-150.043747",1975,188,318
1547384601,2019-01-13T13:03:21Z,CAL5322,"61.223328,-150.051956",2200,189,317
1547384614,2019-01-13T13:03:34Z,CAL5322,"61.231522,-150.067261",2400,198,318
1547384625,2019-01-13T13:03:45Z,CAL5322,"61.240028,-150.083008",2625,209,318
1547384632,2019-01-13T13:03:52Z,CAL5322,"61.244431,-150.091095",2850,209,318
1547384643,2019-01-13T13:04:03Z,CAL5322,"61.253082,-150.107666",3200,209,317
1547384649,2019-01-13T13:04:09Z,CAL5322,"61.257111,-150.115326",3375,210,317
1547384656,2019-01-13T13:04:16Z,CAL5322,"61.262138,-150.125015",3550,212,317
1547384663,2019-01-13T13:04:23Z,CAL5322,"61.266376,-150.133163",3650,217,317
1547384670,2019-01-13T13:04:30Z,CAL5322,"61.270981,-150.142105",3700,225,317
1547384680,2019-01-13T13:04:40Z,CAL5322,"61.280685,-150.161041",3850,241,316
1547384689,2019-01-13T13:04:49Z,CAL5322,"61.286041,-150.171524",3925,251,316
1547384699,2019-01-13T13:04:59Z,CAL5322,"61.296635,-150.192154",4150,265,317
1547384705,2019-01-13T13:05:05Z,CAL5322,"61.302063,-150.20253",4225,273,317
1547384711,2019-01-13T13:05:11Z,CAL5322,"61.308086,-150.214233",4350,280,317
1547384718,2019-01-13T13:05:18Z,CAL5322,"61.31414,-150.225632",4475,287,317
1547384725,2019-01-13T13:05:25Z,CAL5322,"61.320557,-150.236267",4600,294,323
1547384732,2019-01-13T13:05:32Z,CAL5322,"61.330948,-150.248734",4900,299,334
1547384739,2019-01-13T13:05:39Z,CAL5322,"61.339508,-150.254623",5150,302,345
1547384747,2019-01-13T13:05:47Z,CAL5322,"61.348263,-150.256958",5425,303,356
1547384770,2019-01-13T13:06:10Z,CAL5322,"61.381119,-150.240005",6575,301,24
1547384782,2019-01-13T13:06:22Z,CAL5322,"61.394806,-150.219696",7100,298,42
1547384791,2019-01-13T13:06:31Z,CAL5322,"61.402542,-150.200607",7475,292,54
1547384800,2019-01-13T13:06:40Z,CAL5322,"61.40863,-150.177414",7900,288,65
1547384806,2019-01-13T13:06:46Z,CAL5322,"61.411572,-150.161743",8150,287,68
1547384812,2019-01-13T13:06:52Z,CAL5322,"61.414307,-150.146622",8400,288,69
1547384818,2019-01-13T13:06:58Z,CAL5322,"61.417191,-150.130142",8675,290,69
1547384835,2019-01-13T13:07:15Z,CAL5322,"61.423965,-150.0905",9275,294,70
1547384845,2019-01-13T13:07:25Z,CAL5322,"61.429634,-150.05687",9825,297,70
1547384858,2019-01-13T13:07:38Z,CAL5322,"61.435226,-150.023895",10325,301,70
1547384870,2019-01-13T13:07:50Z,CAL5322,"61.441086,-149.98996",10725,309,70
1547384882,2019-01-13T13:08:02Z,CAL5322,"61.447372,-149.954025",11000,323,69
1547384894,2019-01-13T13:08:14Z,CAL5322,"61.453674,-149.918457",11250,334,69
1547384907,2019-01-13T13:08:27Z,CAL5322,"61.460266,-149.880875",11525,347,69
1547384919,2019-01-13T13:08:39Z,CAL5322,"61.467251,-149.841507",11800,362,69
1547384931,2019-01-13T13:08:51Z,CAL5322,"61.474731,-149.799271",12075,375,69
1547384965,2019-01-13T13:09:25Z,CAL5322,"61.495365,-149.682007",13275,397,69
1547384998,2019-01-13T13:09:58Z,CAL5322,"61.517338,-149.55983",15050,408,68
1547385031,2019-01-13T13:10:31Z,CAL5322,"61.542709,-149.436127",16600,424,65
1547385065,2019-01-13T13:11:05Z,CAL5322,"61.570736,-149.309189",18150,437,64
1547385127,2019-01-13T13:12:07Z,CAL5322,"61.624649,-149.06868",20400,468,64
