Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547461307,2019-01-14T10:21:47Z,CAL5322,"61.179211,-149.995255",0,0,328
1547461432,2019-01-14T10:23:52Z,CAL5322,"61.179199,-149.995239",0,0,151
1547461623,2019-01-14T10:27:03Z,CAL5322,"61.179291,-149.994995",0,13,5
1547461629,2019-01-14T10:27:09Z,CAL5322,"61.179337,-149.994705",0,15,5
1547461635,2019-01-14T10:27:15Z,CAL5322,"61.179382,-149.994461",0,15,5
1547461646,2019-01-14T10:27:26Z,CAL5322,"61.179371,-149.993973",0,12,5
1547461659,2019-01-14T10:27:39Z,CAL5322,"61.179222,-149.993683",0,13,5
1547461670,2019-01-14T10:27:50Z,CAL5322,"61.179008,-149.993469",0,15,5
1547461682,2019-01-14T10:28:02Z,CAL5322,"61.17873,-149.993256",0,15,5
1547461695,2019-01-14T10:28:15Z,CAL5322,"61.178467,-149.993057",0,15,5
1547461708,2019-01-14T10:28:28Z,CAL5322,"61.178226,-149.992859",0,15,5
1547461722,2019-01-14T10:28:42Z,CAL5322,"61.177891,-149.992599",0,16,5
1547461735,2019-01-14T10:28:55Z,CAL5322,"61.177601,-149.992264",0,18,5
1547461742,2019-01-14T10:29:02Z,CAL5322,"61.17746,-149.992004",0,20,132
1547461749,2019-01-14T10:29:09Z,CAL5322,"61.177299,-149.991653",0,22,135
1547461757,2019-01-14T10:29:17Z,CAL5322,"61.176945,-149.991257",0,26,160
1547461766,2019-01-14T10:29:26Z,CAL5322,"61.176495,-149.990952",0,29,160
1547461775,2019-01-14T10:29:35Z,CAL5322,"61.176029,-149.990585",0,29,160
1547461784,2019-01-14T10:29:44Z,CAL5322,"61.175526,-149.990204",0,30,160
1547461793,2019-01-14T10:29:53Z,CAL5322,"61.175217,-149.989975",0,30,160
1547461803,2019-01-14T10:30:03Z,CAL5322,"61.174564,-149.989502",0,31,160
1547461809,2019-01-14T10:30:09Z,CAL5322,"61.174213,-149.989212",0,31,160
1547461815,2019-01-14T10:30:15Z,CAL5322,"61.173878,-149.988968",0,31,160
1547461823,2019-01-14T10:30:23Z,CAL5322,"61.17355,-149.988739",0,30,160
1547461833,2019-01-14T10:30:33Z,CAL5322,"61.173027,-149.988327",0,24,160
1547461840,2019-01-14T10:30:40Z,CAL5322,"61.172813,-149.988174",0,21,157
1547461849,2019-01-14T10:30:49Z,CAL5322,"61.172596,-149.988052",0,15,5
1547461861,2019-01-14T10:31:01Z,CAL5322,"61.172356,-149.988174",0,14,5
1547461875,2019-01-14T10:31:15Z,CAL5322,"61.172142,-149.988556",0,16,5
1547461885,2019-01-14T10:31:25Z,CAL5322,"61.171932,-149.98909",0,19,5
1547461892,2019-01-14T10:31:32Z,CAL5322,"61.171795,-149.989426",0,20,230
1547461898,2019-01-14T10:31:38Z,CAL5322,"61.171654,-149.989777",0,22,230
1547461907,2019-01-14T10:31:47Z,CAL5322,"61.171432,-149.99028",0,21,230
1547461916,2019-01-14T10:31:56Z,CAL5322,"61.171291,-149.990875",0,20,250
1547461922,2019-01-14T10:32:02Z,CAL5322,"61.171257,-149.991318",0,20,264
1547461928,2019-01-14T10:32:08Z,CAL5322,"61.171246,-149.99173",0,21,267
1547461935,2019-01-14T10:32:15Z,CAL5322,"61.171246,-149.992188",0,22,270
1547461942,2019-01-14T10:32:22Z,CAL5322,"61.171234,-149.992676",0,23,270
1547461948,2019-01-14T10:32:28Z,CAL5322,"61.171234,-149.993515",0,24,270
1547461955,2019-01-14T10:32:35Z,CAL5322,"61.171234,-149.994019",0,24,270
1547461962,2019-01-14T10:32:42Z,CAL5322,"61.171234,-149.994553",0,23,270
1547461975,2019-01-14T10:32:55Z,CAL5322,"61.171234,-149.995621",0,24,270
1547461986,2019-01-14T10:33:06Z,CAL5322,"61.171234,-149.996674",0,22,270
1547461993,2019-01-14T10:33:13Z,CAL5322,"61.171234,-149.997147",0,20,270
1547461999,2019-01-14T10:33:19Z,CAL5322,"61.171234,-149.997559",0,19,5
1547462005,2019-01-14T10:33:25Z,CAL5322,"61.171234,-149.99794",0,17,5
1547462016,2019-01-14T10:33:36Z,CAL5322,"61.171291,-149.998367",0,15,5
1547462023,2019-01-14T10:33:43Z,CAL5322,"61.171406,-149.998642",0,13,5
1547462083,2019-01-14T10:34:43Z,CAL5322,"61.171818,-149.998932",0,17,343
1547462091,2019-01-14T10:34:51Z,CAL5322,"61.173512,-149.999893",0,61,345
1547462098,2019-01-14T10:34:58Z,CAL5322,"61.176903,-150.001785",0,105,345
1547462105,2019-01-14T10:35:05Z,CAL5322,"61.180233,-150.003693",0,125,345
1547462112,2019-01-14T10:35:12Z,CAL5322,"61.18404,-150.005783",0,150,345
1547462119,2019-01-14T10:35:19Z,CAL5322,"61.187901,-150.007965",0,165,345
1547462129,2019-01-14T10:35:29Z,CAL5322,"61.197201,-150.013016",675,163,345
1547462138,2019-01-14T10:35:38Z,CAL5322,"61.201767,-150.015656",875,165,344
1547462146,2019-01-14T10:35:46Z,CAL5322,"61.208279,-150.021057",1175,169,334
1547462152,2019-01-14T10:35:52Z,CAL5322,"61.212097,-150.026855",1375,172,321
1547462159,2019-01-14T10:35:59Z,CAL5322,"61.215496,-150.033875",1625,173,313
1547462166,2019-01-14T10:36:06Z,CAL5322,"61.220707,-150.045273",1975,174,313
1547462173,2019-01-14T10:36:13Z,CAL5322,"61.224152,-150.052444",2050,181,315
1547462180,2019-01-14T10:36:20Z,CAL5322,"61.228134,-150.060486",2150,189,315
1547462186,2019-01-14T10:36:26Z,CAL5322,"61.231796,-150.067947",2350,191,315
1547462192,2019-01-14T10:36:32Z,CAL5322,"61.235744,-150.075989",2550,193,315
1547462198,2019-01-14T10:36:38Z,CAL5322,"61.239212,-150.083054",2700,195,315
1547462204,2019-01-14T10:36:44Z,CAL5322,"61.243652,-150.09198",2875,200,315
1547462215,2019-01-14T10:36:55Z,CAL5322,"61.251617,-150.108063",3300,201,315
1547462222,2019-01-14T10:37:02Z,CAL5322,"61.256042,-150.116989",3450,207,316
1547462228,2019-01-14T10:37:08Z,CAL5322,"61.259674,-150.123901",3575,210,317
1547462234,2019-01-14T10:37:14Z,CAL5322,"61.264748,-150.131836",3775,211,325
1547462244,2019-01-14T10:37:24Z,CAL5322,"61.273266,-150.138962",3900,219,344
1547462250,2019-01-14T10:37:30Z,CAL5322,"61.279411,-150.140381",3975,225,358
1547462271,2019-01-14T10:37:51Z,CAL5322,"61.302219,-150.128174",4300,247,20
1547462283,2019-01-14T10:38:03Z,CAL5322,"61.315521,-150.117188",4525,262,22
1547462290,2019-01-14T10:38:10Z,CAL5322,"61.322617,-150.111008",4650,270,22
1547462301,2019-01-14T10:38:21Z,CAL5322,"61.337322,-150.098267",5125,278,22
1547462313,2019-01-14T10:38:33Z,CAL5322,"61.352051,-150.085403",5625,285,22
1547462325,2019-01-14T10:38:45Z,CAL5322,"61.366928,-150.072327",6250,289,23
1547462336,2019-01-14T10:38:56Z,CAL5322,"61.381779,-150.059402",6825,295,22
