Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548608082,2019-01-27T16:54:42Z,CAL5322,"61.17519,-149.987747",0,0,180
1548608167,2019-01-27T16:56:07Z,CAL5322,"61.175205,-149.987747",0,0,271
1548608257,2019-01-27T16:57:37Z,CAL5322,"61.175205,-149.987762",0,0,271
1548608426,2019-01-27T17:00:26Z,CAL5322,"61.175217,-149.987747",0,0,28
1548608567,2019-01-27T17:02:47Z,CAL5322,"61.175205,-149.987762",0,0,209
1548608662,2019-01-27T17:04:22Z,CAL5322,"61.175423,-149.987534",0,15,5
1548608675,2019-01-27T17:04:35Z,CAL5322,"61.175705,-149.987289",0,20,22
1548608687,2019-01-27T17:04:47Z,CAL5322,"61.176132,-149.987091",0,18,5
1548608697,2019-01-27T17:04:57Z,CAL5322,"61.176437,-149.987228",0,20,343
1548608707,2019-01-27T17:05:07Z,CAL5322,"61.17667,-149.987442",0,16,5
1548608717,2019-01-27T17:05:17Z,CAL5322,"61.176865,-149.987854",0,16,5
1548608723,2019-01-27T17:05:23Z,CAL5322,"61.176899,-149.988174",0,17,5
1548608732,2019-01-27T17:05:32Z,CAL5322,"61.176857,-149.988815",0,22,253
1548608739,2019-01-27T17:05:39Z,CAL5322,"61.176773,-149.989304",0,23,250
1548608746,2019-01-27T17:05:46Z,CAL5322,"61.176704,-149.989685",0,21,250
1548608754,2019-01-27T17:05:54Z,CAL5322,"61.176544,-149.990326",0,20,233
1548608765,2019-01-27T17:06:05Z,CAL5322,"61.176292,-149.990601",0,19,5
1548608772,2019-01-27T17:06:12Z,CAL5322,"61.175995,-149.99057",0,20,165
1548608783,2019-01-27T17:06:23Z,CAL5322,"61.175705,-149.990356",0,21,160
1548608790,2019-01-27T17:06:30Z,CAL5322,"61.175388,-149.990112",0,23,160
1548608800,2019-01-27T17:06:40Z,CAL5322,"61.17503,-149.989822",0,24,160
1548608810,2019-01-27T17:06:50Z,CAL5322,"61.17461,-149.989517",0,25,160
1548608821,2019-01-27T17:07:01Z,CAL5322,"61.174084,-149.989105",0,26,160
1548608828,2019-01-27T17:07:08Z,CAL5322,"61.173786,-149.988907",0,26,160
1548608840,2019-01-27T17:07:20Z,CAL5322,"61.17326,-149.98851",0,25,160
1548608846,2019-01-27T17:07:26Z,CAL5322,"61.173019,-149.988312",0,22,157
1548608853,2019-01-27T17:07:33Z,CAL5322,"61.172791,-149.988129",0,22,160
1548608862,2019-01-27T17:07:42Z,CAL5322,"61.172493,-149.988098",0,20,194
1548608871,2019-01-27T17:07:51Z,CAL5322,"61.172199,-149.98848",0,22,219
1548608878,2019-01-27T17:07:58Z,CAL5322,"61.17205,-149.988815",0,22,227
1548608885,2019-01-27T17:08:05Z,CAL5322,"61.171875,-149.989227",0,24,230
1548608893,2019-01-27T17:08:13Z,CAL5322,"61.171608,-149.989899",0,26,230
