Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549425408,2019-02-06T03:56:48Z,CAL5322,"61.17453,-149.991119",0,0,5
1549425677,2019-02-06T04:01:17Z,CAL5322,"61.17453,-149.991119",0,0,180
1549425789,2019-02-06T04:03:09Z,CAL5322,"61.174656,-149.989944",0,14,5
1549425798,2019-02-06T04:03:18Z,CAL5322,"61.174564,-149.98967",0,14,5
1549425819,2019-02-06T04:03:39Z,CAL5322,"61.174225,-149.989243",0,14,5
1549425833,2019-02-06T04:03:53Z,CAL5322,"61.173958,-149.989044",0,14,5
1549425853,2019-02-06T04:04:13Z,CAL5322,"61.173489,-149.988693",0,18,5
1549425866,2019-02-06T04:04:26Z,CAL5322,"61.17313,-149.988403",0,20,160
1549425875,2019-02-06T04:04:35Z,CAL5322,"61.172928,-149.988266",0,20,160
1549425883,2019-02-06T04:04:43Z,CAL5322,"61.172642,-149.988098",0,20,171
1549425905,2019-02-06T04:05:05Z,CAL5322,"61.171932,-149.989075",0,24,230
1549425916,2019-02-06T04:05:16Z,CAL5322,"61.171654,-149.989746",0,26,227
1549425928,2019-02-06T04:05:28Z,CAL5322,"61.171375,-149.990662",0,20,250
1549425934,2019-02-06T04:05:34Z,CAL5322,"61.171318,-149.991104",0,19,5
1549425940,2019-02-06T04:05:40Z,CAL5322,"61.17128,-149.991455",0,19,5
1549425946,2019-02-06T04:05:46Z,CAL5322,"61.171257,-149.991837",0,21,264
1549425953,2019-02-06T04:05:53Z,CAL5322,"61.171246,-149.992371",0,23,267
1549425960,2019-02-06T04:06:00Z,CAL5322,"61.171246,-149.993057",0,25,270
1549425970,2019-02-06T04:06:10Z,CAL5322,"61.171234,-149.993958",0,26,270
1549425982,2019-02-06T04:06:22Z,CAL5322,"61.171234,-149.995056",0,22,270
1549425995,2019-02-06T04:06:35Z,CAL5322,"61.171234,-149.996048",0,20,270
1549426008,2019-02-06T04:06:48Z,CAL5322,"61.171234,-149.996902",0,19,270
1549426026,2019-02-06T04:07:06Z,CAL5322,"61.171246,-149.99823",0,20,281
1549426036,2019-02-06T04:07:16Z,CAL5322,"61.171474,-149.998718",0,19,5
1549426047,2019-02-06T04:07:27Z,CAL5322,"61.171715,-149.998886",0,13,5
1549426107,2019-02-06T04:08:27Z,CAL5322,"61.171967,-149.999039",0,15,345
1549426115,2019-02-06T04:08:35Z,CAL5322,"61.17276,-149.999496",0,38,345
1549426127,2019-02-06T04:08:47Z,CAL5322,"61.177174,-150.001984",0,98,345
1549426146,2019-02-06T04:09:06Z,CAL5322,"61.189247,-150.008698",0,165,343
1549426156,2019-02-06T04:09:16Z,CAL5322,"61.19577,-150.012619",450,165,343
1549426162,2019-02-06T04:09:22Z,CAL5322,"61.200165,-150.015366",650,165,343
1549426169,2019-02-06T04:09:29Z,CAL5322,"61.204788,-150.018417",875,166,341
1549426176,2019-02-06T04:09:36Z,CAL5322,"61.211212,-150.024719",1150,172,327
1549426182,2019-02-06T04:09:42Z,CAL5322,"61.214813,-150.031067",1375,172,318
1549426190,2019-02-06T04:09:50Z,CAL5322,"61.218475,-150.038422",1625,173,315
1549426197,2019-02-06T04:09:57Z,CAL5322,"61.221817,-150.045288",1825,175,315
1549426205,2019-02-06T04:10:05Z,CAL5322,"61.22731,-150.056671",2000,179,314
