Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551020641,2019-02-24T15:04:01Z,CAL5322,"61.176052,-149.988373",0,0,89
1551020975,2019-02-24T15:09:35Z,CAL5322,"61.176369,-149.988022",0,16,5
1551020986,2019-02-24T15:09:46Z,CAL5322,"61.176647,-149.987869",0,15,5
1551020999,2019-02-24T15:09:59Z,CAL5322,"61.17683,-149.988266",0,17,5
1551021010,2019-02-24T15:10:10Z,CAL5322,"61.1768,-149.989059",0,18,5
1551021018,2019-02-24T15:10:18Z,CAL5322,"61.176739,-149.989426",0,20,250
1551021028,2019-02-24T15:10:28Z,CAL5322,"61.176613,-149.990112",0,16,5
1551021034,2019-02-24T15:10:34Z,CAL5322,"61.17654,-149.990341",0,13,5
1551021053,2019-02-24T15:10:53Z,CAL5322,"61.176319,-149.99057",0,10,5
1551021070,2019-02-24T15:11:10Z,CAL5322,"61.176086,-149.990524",0,13,5
1551021085,2019-02-24T15:11:25Z,CAL5322,"61.175732,-149.990326",0,19,163
1551021092,2019-02-24T15:11:32Z,CAL5322,"61.175426,-149.990112",0,20,160
1551021107,2019-02-24T15:11:47Z,CAL5322,"61.175125,-149.989883",0,15,5
1551021116,2019-02-24T15:11:56Z,CAL5322,"61.174896,-149.989716",0,15,5
1551021134,2019-02-24T15:12:14Z,CAL5322,"61.174541,-149.989441",0,15,5
1551021147,2019-02-24T15:12:27Z,CAL5322,"61.174278,-149.989258",0,15,5
1551021157,2019-02-24T15:12:37Z,CAL5322,"61.174015,-149.989059",0,16,5
1551021168,2019-02-24T15:12:48Z,CAL5322,"61.173725,-149.988831",0,18,5
1551021181,2019-02-24T15:13:01Z,CAL5322,"61.173367,-149.988586",0,20,160
1551021190,2019-02-24T15:13:10Z,CAL5322,"61.173077,-149.988342",0,20,160
1551021200,2019-02-24T15:13:20Z,CAL5322,"61.172794,-149.988129",0,18,5
1551021208,2019-02-24T15:13:28Z,CAL5322,"61.172562,-149.988068",0,16,5
1551021218,2019-02-24T15:13:38Z,CAL5322,"61.172356,-149.988251",0,16,5
1551021224,2019-02-24T15:13:44Z,CAL5322,"61.17223,-149.988464",0,17,5
1551021231,2019-02-24T15:13:51Z,CAL5322,"61.172108,-149.988708",0,17,5
1551021242,2019-02-24T15:14:02Z,CAL5322,"61.171875,-149.989273",0,19,230
1551021248,2019-02-24T15:14:08Z,CAL5322,"61.171734,-149.989594",0,20,230
1551021254,2019-02-24T15:14:14Z,CAL5322,"61.171608,-149.989929",0,20,230
1551021263,2019-02-24T15:14:23Z,CAL5322,"61.171432,-149.990356",0,18,5
1551021272,2019-02-24T15:14:32Z,CAL5322,"61.171341,-149.990768",0,14,5
1551021279,2019-02-24T15:14:39Z,CAL5322,"61.171307,-149.990997",0,13,5
1551021287,2019-02-24T15:14:47Z,CAL5322,"61.171291,-149.991241",0,15,5
1551021293,2019-02-24T15:14:53Z,CAL5322,"61.171268,-149.991562",0,19,5
1551021300,2019-02-24T15:15:00Z,CAL5322,"61.171257,-149.99234",0,25,270
1551021306,2019-02-24T15:15:06Z,CAL5322,"61.171257,-149.992981",0,27,270
1551021314,2019-02-24T15:15:14Z,CAL5322,"61.171257,-149.993561",0,24,270
1551021324,2019-02-24T15:15:24Z,CAL5322,"61.171257,-149.994446",0,19,5
1551021332,2019-02-24T15:15:32Z,CAL5322,"61.171257,-149.994766",0,17,5
1551021340,2019-02-24T15:15:40Z,CAL5322,"61.171246,-149.995239",0,14,5
1551021347,2019-02-24T15:15:47Z,CAL5322,"61.171246,-149.995499",0,15,5
1551021356,2019-02-24T15:15:56Z,CAL5322,"61.171246,-149.996017",0,18,5
1551021364,2019-02-24T15:16:04Z,CAL5322,"61.171246,-149.996597",0,20,270
1551021372,2019-02-24T15:16:12Z,CAL5322,"61.171246,-149.997055",0,22,270
1551021380,2019-02-24T15:16:20Z,CAL5322,"61.171246,-149.997833",0,23,272
1551021391,2019-02-24T15:16:31Z,CAL5322,"61.171406,-149.998566",0,19,5
1551021402,2019-02-24T15:16:42Z,CAL5322,"61.171635,-149.998795",0,14,5
1551021464,2019-02-24T15:17:44Z,CAL5322,"61.171944,-149.998978",0,34,343
1551021471,2019-02-24T15:17:51Z,CAL5322,"61.173515,-149.999878",0,56,345
1551021478,2019-02-24T15:17:58Z,CAL5322,"61.175537,-150.000992",0,82,345
1551021485,2019-02-24T15:18:05Z,CAL5322,"61.178123,-150.002472",0,110,345
1551021491,2019-02-24T15:18:11Z,CAL5322,"61.181591,-150.004395",0,130,345
1551021503,2019-02-24T15:18:23Z,CAL5322,"61.189625,-150.008926",0,165,345
1551021510,2019-02-24T15:18:30Z,CAL5322,"61.196228,-150.013016",0,164,342
1551021517,2019-02-24T15:18:37Z,CAL5322,"61.200878,-150.015976",175,164,342
1551021525,2019-02-24T15:18:45Z,CAL5322,"61.207256,-150.021255",475,168,333
1551021531,2019-02-24T15:18:51Z,CAL5322,"61.211025,-150.027054",675,170,320
1551021538,2019-02-24T15:18:58Z,CAL5322,"61.214516,-150.034683",900,173,312
1551021547,2019-02-24T15:19:07Z,CAL5322,"61.219574,-150.04538",1225,172,315
1551021556,2019-02-24T15:19:16Z,CAL5322,"61.224838,-150.055679",1450,176,316
1551021568,2019-02-24T15:19:28Z,CAL5322,"61.232391,-150.070404",1600,188,316
1551021577,2019-02-24T15:19:37Z,CAL5322,"61.238297,-150.081879",1900,186,316
1551021583,2019-02-24T15:19:43Z,CAL5322,"61.242077,-150.08931",2150,181,316
1551021590,2019-02-24T15:19:50Z,CAL5322,"61.245483,-150.095993",2350,180,316
1551021602,2019-02-24T15:20:02Z,CAL5322,"61.252533,-150.109924",2700,179,316
1551021615,2019-02-24T15:20:15Z,CAL5322,"61.260498,-150.125519",2900,188,317
1551021624,2019-02-24T15:20:24Z,CAL5322,"61.267262,-150.134583",2975,199,335
1551021632,2019-02-24T15:20:32Z,CAL5322,"61.27533,-150.138184",3050,209,355
1551021653,2019-02-24T15:20:53Z,CAL5322,"61.295425,-150.119934",3375,231,44
1551021659,2019-02-24T15:20:59Z,CAL5322,"61.299149,-150.109756",3475,236,56
1551021665,2019-02-24T15:21:05Z,CAL5322,"61.301926,-150.097565",3575,241,68
1551021671,2019-02-24T15:21:11Z,CAL5322,"61.303619,-150.083206",3675,247,80
1551021695,2019-02-24T15:21:35Z,CAL5322,"61.301743,-150.027725",4200,265,97
1551021701,2019-02-24T15:21:41Z,CAL5322,"61.300735,-150.011841",4400,270,97
1551021708,2019-02-24T15:21:48Z,CAL5322,"61.299847,-149.996033",4600,273,96
1551021714,2019-02-24T15:21:54Z,CAL5322,"61.298962,-149.979752",4875,275,96
