Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551071892,2019-02-25T05:18:12Z,CAL5322,"61.173878,-149.990646",0,0,5
1551072314,2019-02-25T05:25:14Z,CAL5322,"61.173935,-149.990433",0,11,5
1551072320,2019-02-25T05:25:20Z,CAL5322,"61.173981,-149.990189",0,15,5
1551072327,2019-02-25T05:25:27Z,CAL5322,"61.174015,-149.989914",0,17,5
1551072338,2019-02-25T05:25:38Z,CAL5322,"61.173912,-149.989182",0,16,5
1551072347,2019-02-25T05:25:47Z,CAL5322,"61.173763,-149.988937",0,14,5
1551072359,2019-02-25T05:25:59Z,CAL5322,"61.173546,-149.988739",0,14,5
1551072371,2019-02-25T05:26:11Z,CAL5322,"61.173306,-149.988541",0,15,5
1551072383,2019-02-25T05:26:23Z,CAL5322,"61.173031,-149.988312",0,17,5
1551072395,2019-02-25T05:26:35Z,CAL5322,"61.17268,-149.988144",0,19,5
1551072406,2019-02-25T05:26:46Z,CAL5322,"61.172375,-149.988297",0,22,205
1551072413,2019-02-25T05:26:53Z,CAL5322,"61.172081,-149.988785",0,24,225
1551072420,2019-02-25T05:27:00Z,CAL5322,"61.171909,-149.989182",0,24,227
1551072426,2019-02-25T05:27:06Z,CAL5322,"61.171745,-149.989594",0,24,230
1551072432,2019-02-25T05:27:12Z,CAL5322,"61.171577,-149.990005",0,24,230
1551072438,2019-02-25T05:27:18Z,CAL5322,"61.171444,-149.990417",0,22,239
1551072446,2019-02-25T05:27:26Z,CAL5322,"61.171364,-149.990814",0,21,250
1551072452,2019-02-25T05:27:32Z,CAL5322,"61.171291,-149.991455",0,20,258
1551072458,2019-02-25T05:27:38Z,CAL5322,"61.171268,-149.991684",0,20,261
1551072466,2019-02-25T05:27:46Z,CAL5322,"61.171246,-149.992371",0,21,267
1551072473,2019-02-25T05:27:53Z,CAL5322,"61.171246,-149.992828",0,22,270
1551072482,2019-02-25T05:28:02Z,CAL5322,"61.171246,-149.993561",0,22,270
1551072491,2019-02-25T05:28:11Z,CAL5322,"61.171246,-149.994202",0,19,5
1551072501,2019-02-25T05:28:21Z,CAL5322,"61.171246,-149.994736",0,16,5
