Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551243395,2019-02-27T04:56:35Z,CAL5322,"61.176029,-149.988373",0,0,89
1551243801,2019-02-27T05:03:21Z,CAL5322,"61.17625,-149.988174",0,13,5
1551243814,2019-02-27T05:03:34Z,CAL5322,"61.176495,-149.9879",0,14,5
1551243827,2019-02-27T05:03:47Z,CAL5322,"61.176727,-149.987885",0,14,5
1551243842,2019-02-27T05:04:02Z,CAL5322,"61.176876,-149.988495",0,18,5
1551243853,2019-02-27T05:04:13Z,CAL5322,"61.1768,-149.989166",0,22,253
1551243861,2019-02-27T05:04:21Z,CAL5322,"61.176647,-149.98999",0,24,244
1551243867,2019-02-27T05:04:27Z,CAL5322,"61.17651,-149.990372",0,23,225
1551243877,2019-02-27T05:04:37Z,CAL5322,"61.176201,-149.99057",0,21,182
1551243883,2019-02-27T05:04:43Z,CAL5322,"61.175961,-149.990509",0,21,165
1551243917,2019-02-27T05:05:17Z,CAL5322,"61.174763,-149.989624",0,26,160
1551243930,2019-02-27T05:05:30Z,CAL5322,"61.174088,-149.989136",0,28,160
1551243943,2019-02-27T05:05:43Z,CAL5322,"61.173489,-149.988693",0,27,160
1551243949,2019-02-27T05:05:49Z,CAL5322,"61.173283,-149.98851",0,26,160
1551243964,2019-02-27T05:06:04Z,CAL5322,"61.172665,-149.988098",0,21,171
1551244006,2019-02-27T05:06:46Z,CAL5322,"61.171669,-149.989792",0,22,230
1551244020,2019-02-27T05:07:00Z,CAL5322,"61.171349,-149.990753",0,20,247
1551244028,2019-02-27T05:07:08Z,CAL5322,"61.171291,-149.991119",0,18,5
1551244034,2019-02-27T05:07:14Z,CAL5322,"61.171268,-149.991486",0,17,5
1551244045,2019-02-27T05:07:25Z,CAL5322,"61.171257,-149.992126",0,16,5
1551244053,2019-02-27T05:07:33Z,CAL5322,"61.171257,-149.992508",0,15,5
1551244080,2019-02-27T05:08:00Z,CAL5322,"61.171257,-149.993484",0,11,5
1551244098,2019-02-27T05:08:18Z,CAL5322,"61.171257,-149.993713",0,2,5
1551244125,2019-02-27T05:08:45Z,CAL5322,"61.171257,-149.994232",0,10,5
1551244194,2019-02-27T05:09:54Z,CAL5322,"61.171257,-149.994675",0,11,5
1551244203,2019-02-27T05:10:03Z,CAL5322,"61.171257,-149.99501",0,14,5
1551244213,2019-02-27T05:10:13Z,CAL5322,"61.171257,-149.995407",0,13,5
1551244241,2019-02-27T05:10:41Z,CAL5322,"61.171246,-149.996658",0,19,5
1551244257,2019-02-27T05:10:57Z,CAL5322,"61.171234,-149.997757",0,22,270
1551244264,2019-02-27T05:11:04Z,CAL5322,"61.171314,-149.998428",0,18,5
1551244287,2019-02-27T05:11:27Z,CAL5322,"61.171967,-149.999039",0,25,345
1551244293,2019-02-27T05:11:33Z,CAL5322,"61.172443,-149.999283",0,22,345
