Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551412281,2019-03-01T03:51:21Z,CAL5322,"61.174366,-149.987137",0,0,313
1551412721,2019-03-01T03:58:41Z,CAL5322,"61.174564,-149.986877",0,14,5
1551412735,2019-03-01T03:58:55Z,CAL5322,"61.1749,-149.986542",0,19,5
1551412743,2019-03-01T03:59:03Z,CAL5322,"61.175102,-149.986435",0,19,5
1551412751,2019-03-01T03:59:11Z,CAL5322,"61.175411,-149.986465",0,20,348
1551412765,2019-03-01T03:59:25Z,CAL5322,"61.175831,-149.986755",0,22,340
1551412774,2019-03-01T03:59:34Z,CAL5322,"61.176159,-149.987",0,21,337
1551412784,2019-03-01T03:59:44Z,CAL5322,"61.176563,-149.987335",0,19,334
1551412793,2019-03-01T03:59:53Z,CAL5322,"61.176727,-149.987564",0,18,5
1551412799,2019-03-01T03:59:59Z,CAL5322,"61.176857,-149.987976",0,19,5
1551412807,2019-03-01T04:00:07Z,CAL5322,"61.17688,-149.98848",0,22,267
1551412826,2019-03-01T04:00:26Z,CAL5322,"61.176647,-149.98999",0,22,247
1551412837,2019-03-01T04:00:37Z,CAL5322,"61.176414,-149.99054",0,19,5
1551412844,2019-03-01T04:00:44Z,CAL5322,"61.176178,-149.990601",0,19,5
1551412851,2019-03-01T04:00:51Z,CAL5322,"61.175972,-149.990509",0,20,165
1551412859,2019-03-01T04:00:59Z,CAL5322,"61.175697,-149.990326",0,20,163
1551412871,2019-03-01T04:01:11Z,CAL5322,"61.175274,-149.990005",0,21,160
1551412882,2019-03-01T04:01:22Z,CAL5322,"61.174934,-149.989746",0,21,160
1551412893,2019-03-01T04:01:33Z,CAL5322,"61.17461,-149.989517",0,17,5
1551412920,2019-03-01T04:02:00Z,CAL5322,"61.174377,-149.989365",0,2,5
1551412951,2019-03-01T04:02:31Z,CAL5322,"61.174152,-149.989182",0,10,5
1551412969,2019-03-01T04:02:49Z,CAL5322,"61.173912,-149.989014",0,13,5
1551412982,2019-03-01T04:03:02Z,CAL5322,"61.173695,-149.988831",0,14,5
1551412997,2019-03-01T04:03:17Z,CAL5322,"61.173367,-149.988586",0,16,5
1551413012,2019-03-01T04:03:32Z,CAL5322,"61.173008,-149.988297",0,16,5
1551413025,2019-03-01T04:03:45Z,CAL5322,"61.172722,-149.988068",0,16,5
1551413035,2019-03-01T04:03:55Z,CAL5322,"61.172424,-149.988068",0,17,5
1551413042,2019-03-01T04:04:02Z,CAL5322,"61.172264,-149.988297",0,20,219
1551413051,2019-03-01T04:04:11Z,CAL5322,"61.172058,-149.988785",0,20,230
1551413058,2019-03-01T04:04:18Z,CAL5322,"61.171932,-149.989105",0,20,230
1551413066,2019-03-01T04:04:26Z,CAL5322,"61.171726,-149.989624",0,20,227
1551413072,2019-03-01T04:04:32Z,CAL5322,"61.1716,-149.989883",0,18,5
1551413079,2019-03-01T04:04:39Z,CAL5322,"61.17149,-149.990158",0,17,5
1551413087,2019-03-01T04:04:47Z,CAL5322,"61.171371,-149.990448",0,14,5
1551413096,2019-03-01T04:04:56Z,CAL5322,"61.171303,-149.990768",0,14,5
1551413103,2019-03-01T04:05:03Z,CAL5322,"61.171268,-149.991043",0,15,5
1551413109,2019-03-01T04:05:09Z,CAL5322,"61.171257,-149.991379",0,17,5
1551413115,2019-03-01T04:05:15Z,CAL5322,"61.171257,-149.991776",0,19,5
1551413121,2019-03-01T04:05:21Z,CAL5322,"61.171257,-149.992188",0,20,270
1551413128,2019-03-01T04:05:28Z,CAL5322,"61.171257,-149.992554",0,19,5
1551413134,2019-03-01T04:05:34Z,CAL5322,"61.171257,-149.992935",0,18,5
