Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543598761,2018-11-30T17:26:01Z,CAL5997,"25.093735,121.247581",0,0,180
1543599416,2018-11-30T17:36:56Z,CAL5997,"25.093727,121.247566",0,0,307
1543599560,2018-11-30T17:39:20Z,CAL5997,"25.093996,121.247345",0,10,5
1543599596,2018-11-30T17:39:56Z,CAL5997,"25.09424,121.24707",0,10,5
1543599628,2018-11-30T17:40:28Z,CAL5997,"25.094524,121.246971",0,9,5
1543599747,2018-11-30T17:42:27Z,CAL5997,"25.09441,121.246719",0,12,5
1543599768,2018-11-30T17:42:48Z,CAL5997,"25.094238,121.246429",0,12,5
1543599860,2018-11-30T17:44:20Z,CAL5997,"25.094181,121.246323",0,0,311
1543599935,2018-11-30T17:45:35Z,CAL5997,"25.094181,121.246323",0,0,180
1543600073,2018-11-30T17:47:53Z,CAL5997,"25.093914,121.245987",0,17,5
1543600083,2018-11-30T17:48:03Z,CAL5997,"25.093704,121.245712",0,20,227
1543600093,2018-11-30T17:48:13Z,CAL5997,"25.093426,121.245369",0,24,227
1543600108,2018-11-30T17:48:28Z,CAL5997,"25.092934,121.244736",0,29,227
1543600119,2018-11-30T17:48:39Z,CAL5997,"25.092533,121.244217",0,32,230
1543600129,2018-11-30T17:48:49Z,CAL5997,"25.092075,121.243645",0,33,227
1543600135,2018-11-30T17:48:55Z,CAL5997,"25.091881,121.243385",0,32,227
1543600150,2018-11-30T17:49:10Z,CAL5997,"25.091307,121.242668",0,25,227
1543600166,2018-11-30T17:49:26Z,CAL5997,"25.090897,121.242279",0,20,202
1543600182,2018-11-30T17:49:42Z,CAL5997,"25.090294,121.242073",0,23,196
1543600196,2018-11-30T17:49:56Z,CAL5997,"25.089764,121.241859",0,22,210
1543600212,2018-11-30T17:50:12Z,CAL5997,"25.089294,121.241325",0,27,227
1543600218,2018-11-30T17:50:18Z,CAL5997,"25.089111,121.241089",0,29,230
1543600227,2018-11-30T17:50:27Z,CAL5997,"25.088724,121.240593",0,29,227
1543600234,2018-11-30T17:50:34Z,CAL5997,"25.088539,121.240364",0,25,227
1543600249,2018-11-30T17:50:49Z,CAL5997,"25.0882,121.23983",0,23,253
1543600255,2018-11-30T17:50:55Z,CAL5997,"25.088161,121.239563",0,24,261
1543600264,2018-11-30T17:51:04Z,CAL5997,"25.088118,121.239105",0,22,264
1543600274,2018-11-30T17:51:14Z,CAL5997,"25.088081,121.238724",0,19,5
1543600286,2018-11-30T17:51:26Z,CAL5997,"25.087921,121.23838",0,21,233
1543600296,2018-11-30T17:51:36Z,CAL5997,"25.087658,121.238037",0,24,230
1543600305,2018-11-30T17:51:45Z,CAL5997,"25.087349,121.237625",0,26,230
1543600312,2018-11-30T17:51:52Z,CAL5997,"25.087175,121.237411",0,28,227
1543600430,2018-11-30T17:53:50Z,CAL5997,"25.081009,121.229591",0,23,227
1543600620,2018-11-30T17:57:00Z,CAL5997,"25.072884,121.216331",0,24,343
1543600741,2018-11-30T17:59:01Z,CAL5997,"25.112411,121.266022",1600,188,49
1543600748,2018-11-30T17:59:08Z,CAL5997,"25.116096,121.270821",1750,197,49
1543600759,2018-11-30T17:59:19Z,CAL5997,"25.123823,121.280823",2125,213,49
1543600771,2018-11-30T17:59:31Z,CAL5997,"25.131319,121.290512",2650,219,49
1543600777,2018-11-30T17:59:37Z,CAL5997,"25.135881,121.295952",2975,219,45
1543600785,2018-11-30T17:59:45Z,CAL5997,"25.140768,121.300156",3275,220,35
1543600794,2018-11-30T17:59:54Z,CAL5997,"25.148916,121.304039",3675,223,17
1543600801,2018-11-30T18:00:01Z,CAL5997,"25.158554,121.305138",4100,225,5
1543600822,2018-11-30T18:00:22Z,CAL5997,"25.179407,121.295128",4600,246,318
1543600830,2018-11-30T18:00:30Z,CAL5997,"25.184189,121.289314",4775,253,309
1543600837,2018-11-30T18:00:37Z,CAL5997,"25.18923,121.279839",5050,258,293
1543600844,2018-11-30T18:00:44Z,CAL5997,"25.191193,121.272179",5325,260,281
1543600852,2018-11-30T18:00:52Z,CAL5997,"25.191324,121.259521",5875,259,264
1543600859,2018-11-30T18:00:59Z,CAL5997,"25.189508,121.251488",6225,259,252
1543600865,2018-11-30T18:01:05Z,CAL5997,"25.186716,121.244133",6600,259,245
1543600871,2018-11-30T18:01:11Z,CAL5997,"25.183456,121.237183",7000,259,241
1543600877,2018-11-30T18:01:17Z,CAL5997,"25.17952,121.229912",7400,260,237
1543600883,2018-11-30T18:01:23Z,CAL5997,"25.175491,121.223602",7775,261,234
1543600889,2018-11-30T18:01:29Z,CAL5997,"25.171122,121.216721",8175,260,234
1543600897,2018-11-30T18:01:37Z,CAL5997,"25.167252,121.210632",8525,261,235
1543600908,2018-11-30T18:01:48Z,CAL5997,"25.158554,121.1968",9325,262,235
1543600919,2018-11-30T18:01:59Z,CAL5997,"25.150497,121.18383",10025,264,235
1543600931,2018-11-30T18:02:11Z,CAL5997,"25.141983,121.169991",10550,272,235
1543600943,2018-11-30T18:02:23Z,CAL5997,"25.133102,121.155495",10875,289,236
1543600956,2018-11-30T18:02:36Z,CAL5997,"25.123718,121.139984",11200,307,236
1543600967,2018-11-30T18:02:47Z,CAL5997,"25.113831,121.123657",11550,323,236
1543600980,2018-11-30T18:03:00Z,CAL5997,"25.103256,121.106209",11925,340,236
1543600993,2018-11-30T18:03:13Z,CAL5997,"25.092499,121.088661",12375,352,235
1543601026,2018-11-30T18:03:46Z,CAL5997,"25.060839,121.037155",14125,372,235
1543601056,2018-11-30T18:04:16Z,CAL5997,"25.030207,120.98777",16025,382,235
1543601088,2018-11-30T18:04:48Z,CAL5997,"24.996002,120.933022",17950,396,235
1543601122,2018-11-30T18:05:22Z,CAL5997,"24.963823,120.881378",19625,406,235
1543601181,2018-11-30T18:06:21Z,CAL5997,"24.897537,120.775398",22950,421,235
1543601242,2018-11-30T18:07:22Z,CAL5997,"24.829102,120.666252",26100,434,235
