Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544799401,2018-12-14T14:56:41Z,CAL5997,"25.08728,121.237526",0,29,230
1544799452,2018-12-14T14:57:32Z,CAL5997,"25.084854,121.234451",0,19,230
1544799522,2018-12-14T14:58:42Z,CAL5997,"25.081215,121.229836",0,22,227
1544799696,2018-12-14T15:01:36Z,CAL5997,"25.07193,121.218018",0,33,227
1544799702,2018-12-14T15:01:42Z,CAL5997,"25.071739,121.217751",0,20,236
1544799860,2018-12-14T15:04:20Z,CAL5997,"25.072523,121.216599",0,27,317
1544799879,2018-12-14T15:04:39Z,CAL5997,"25.073158,121.21637",0,20,22
1544799960,2018-12-14T15:06:00Z,CAL5997,"25.074921,121.218552",0,61,47
1544800023,2018-12-14T15:07:03Z,CAL5997,"25.098587,121.248932",1175,138,49
1544800029,2018-12-14T15:07:09Z,CAL5997,"25.10092,121.251854",1300,145,49
1544800039,2018-12-14T15:07:19Z,CAL5997,"25.105295,121.2575",1550,155,49
1544800045,2018-12-14T15:07:25Z,CAL5997,"25.1082,121.261192",1775,158,49
1544800052,2018-12-14T15:07:32Z,CAL5997,"25.111221,121.265106",1825,173,49
1544800063,2018-12-14T15:07:43Z,CAL5997,"25.117958,121.273514",2075,193,48
1544800070,2018-12-14T15:07:50Z,CAL5997,"25.121916,121.278389",2425,193,48
1544800080,2018-12-14T15:08:00Z,CAL5997,"25.128618,121.286942",2900,199,49
1544800086,2018-12-14T15:08:06Z,CAL5997,"25.132553,121.291908",3275,199,48
1544800093,2018-12-14T15:08:13Z,CAL5997,"25.13658,121.296524",3625,200,44
1544800101,2018-12-14T15:08:21Z,CAL5997,"25.143841,121.302017",4050,210,29
1544800107,2018-12-14T15:08:27Z,CAL5997,"25.149195,121.304298",4300,218,20
1544800113,2018-12-14T15:08:33Z,CAL5997,"25.155014,121.305435",4550,232,5
1544800119,2018-12-14T15:08:39Z,CAL5997,"25.162308,121.305138",4850,241,353
1544800126,2018-12-14T15:08:46Z,CAL5997,"25.168699,121.303421",5125,248,342
1544800132,2018-12-14T15:08:52Z,CAL5997,"25.175354,121.300102",5425,255,331
1544800138,2018-12-14T15:08:58Z,CAL5997,"25.181501,121.295334",5725,259,322
1544800146,2018-12-14T15:09:06Z,CAL5997,"25.188675,121.286873",6100,262,306
1544800152,2018-12-14T15:09:12Z,CAL5997,"25.192629,121.279839",6425,261,300
1544800159,2018-12-14T15:09:19Z,CAL5997,"25.19632,121.272636",6675,265,299
1544800166,2018-12-14T15:09:26Z,CAL5997,"25.200077,121.265587",6850,272,300
1544800173,2018-12-14T15:09:33Z,CAL5997,"25.205109,121.25666",7100,280,302
1544800185,2018-12-14T15:09:45Z,CAL5997,"25.215345,121.240089",7825,287,304
1544800199,2018-12-14T15:09:59Z,CAL5997,"25.224747,121.22599",8725,281,306
1544800210,2018-12-14T15:10:10Z,CAL5997,"25.23436,121.211952",9425,283,306
1544800221,2018-12-14T15:10:21Z,CAL5997,"25.243652,121.198273",10100,283,306
1544800235,2018-12-14T15:10:35Z,CAL5997,"25.253704,121.183708",10525,295,307
1544800247,2018-12-14T15:10:47Z,CAL5997,"25.26376,121.169197",10925,308,307
1544800257,2018-12-14T15:10:57Z,CAL5997,"25.27293,121.15329",11300,317,296
1544800264,2018-12-14T15:11:04Z,CAL5997,"25.27597,121.143188",11500,320,284
1544800271,2018-12-14T15:11:11Z,CAL5997,"25.277214,121.133232",11725,325,274
1544800292,2018-12-14T15:11:32Z,CAL5997,"25.269974,121.098381",12400,348,243
1544800298,2018-12-14T15:11:38Z,CAL5997,"25.265156,121.0896",12575,355,237
1544800307,2018-12-14T15:11:47Z,CAL5997,"25.255381,121.075554",13025,362,230
1544800313,2018-12-14T15:11:53Z,CAL5997,"25.248537,121.067215",13325,368,227
1544800322,2018-12-14T15:12:02Z,CAL5997,"25.237877,121.055084",13775,374,225
1544800328,2018-12-14T15:12:08Z,CAL5997,"25.230289,121.046638",14125,375,225
1544800357,2018-12-14T15:12:37Z,CAL5997,"25.192978,121.006165",15950,384,223
1544800391,2018-12-14T15:13:11Z,CAL5997,"25.148941,120.959984",17900,394,224
1544800424,2018-12-14T15:13:44Z,CAL5997,"25.105017,120.912575",19525,408,224
1544800484,2018-12-14T15:14:44Z,CAL5997,"25.022461,120.82209",22525,422,224
1544800544,2018-12-14T15:15:44Z,CAL5997,"24.936722,120.729576",25275,435,224
1544800608,2018-12-14T15:16:48Z,CAL5997,"24.845764,120.632019",27925,438,224
1544800669,2018-12-14T15:17:49Z,CAL5997,"24.758514,120.538841",27975,434,224
1544800730,2018-12-14T15:18:50Z,CAL5997,"24.673477,120.445084",27975,432,226
1544800798,2018-12-14T15:19:58Z,CAL5997,"24.58,120.33828",28000,432,226
1544800859,2018-12-14T15:20:59Z,CAL5997,"24.492203,120.239609",28000,433,225
1544800920,2018-12-14T15:22:00Z,CAL5997,"24.406403,120.143486",28000,434,225
1544800983,2018-12-14T15:23:03Z,CAL5997,"24.316935,120.043152",28000,434,225
1544801048,2018-12-14T15:24:08Z,CAL5997,"24.228624,119.944374",28000,435,225
1544801109,2018-12-14T15:25:09Z,CAL5997,"24.138498,119.843735",28000,436,225
1544801173,2018-12-14T15:26:13Z,CAL5997,"24.0487,119.743927",27975,436,225
1544801235,2018-12-14T15:27:15Z,CAL5997,"23.962439,119.64785",28000,436,225
1544801297,2018-12-14T15:28:17Z,CAL5997,"23.872919,119.548248",28000,437,225
1544801357,2018-12-14T15:29:17Z,CAL5997,"23.787216,119.453621",27975,437,225
1544801421,2018-12-14T15:30:21Z,CAL5997,"23.696457,119.353279",28000,439,225
1544801486,2018-12-14T15:31:26Z,CAL5997,"23.606918,119.254509",27975,439,225
