Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549057557,2019-02-01T21:45:57Z,CAL5998,"29.732483,106.64212",0,0,271
1549057836,2019-02-01T21:50:36Z,CAL5998,"29.732277,106.642105",0,10,5
1549057860,2019-02-01T21:51:00Z,CAL5998,"29.732065,106.642036",0,9,5
1549057904,2019-02-01T21:51:44Z,CAL5998,"29.731831,106.641762",0,2,5
1549057940,2019-02-01T21:52:20Z,CAL5998,"29.731785,106.641502",0,2,5
1549058227,2019-02-01T21:57:07Z,CAL5998,"29.731762,106.641487",0,10,5
1549058261,2019-02-01T21:57:41Z,CAL5998,"29.73151,106.642479",0,17,5
1549058283,2019-02-01T21:58:03Z,CAL5998,"29.730913,106.642616",0,20,194
1549058292,2019-02-01T21:58:12Z,CAL5998,"29.73061,106.642494",0,20,196
1549058301,2019-02-01T21:58:21Z,CAL5998,"29.730343,106.642403",0,21,196
1549058311,2019-02-01T21:58:31Z,CAL5998,"29.729994,106.642281",0,21,196
1549058320,2019-02-01T21:58:40Z,CAL5998,"29.729679,106.642174",0,22,196
1549058329,2019-02-01T21:58:49Z,CAL5998,"29.729342,106.642052",0,20,196
1549058337,2019-02-01T21:58:57Z,CAL5998,"29.729132,106.641983",0,20,196
1549058350,2019-02-01T21:59:10Z,CAL5998,"29.728718,106.641846",0,17,5
1549058363,2019-02-01T21:59:23Z,CAL5998,"29.728386,106.641724",0,16,5
1549058371,2019-02-01T21:59:31Z,CAL5998,"29.728178,106.641647",0,18,5
1549058383,2019-02-01T21:59:43Z,CAL5998,"29.727781,106.64151",0,23,196
1549058392,2019-02-01T21:59:52Z,CAL5998,"29.727421,106.641396",0,26,196
1549058402,2019-02-01T22:00:02Z,CAL5998,"29.726862,106.641205",0,29,196
1549058409,2019-02-01T22:00:09Z,CAL5998,"29.726501,106.641068",0,30,196
1549058417,2019-02-01T22:00:17Z,CAL5998,"29.726166,106.640961",0,31,196
1549058427,2019-02-01T22:00:27Z,CAL5998,"29.725443,106.640709",0,15,196
1549058435,2019-02-01T22:00:35Z,CAL5998,"29.725,106.640556",0,16,196
1549058466,2019-02-01T22:01:06Z,CAL5998,"29.723854,106.640152",0,10,5
1549058527,2019-02-01T22:02:07Z,CAL5998,"29.723419,106.640022",0,17,5
1549058535,2019-02-01T22:02:15Z,CAL5998,"29.723167,106.639946",0,20,194
1549058554,2019-02-01T22:02:34Z,CAL5998,"29.722778,106.640076",0,13,5
1549058569,2019-02-01T22:02:49Z,CAL5998,"29.722591,106.640427",0,18,5
1549058585,2019-02-01T22:03:05Z,CAL5998,"29.721886,106.64035",0,26,196
1549058592,2019-02-01T22:03:12Z,CAL5998,"29.721579,106.640251",0,29,196
1549058601,2019-02-01T22:03:21Z,CAL5998,"29.721039,106.640045",0,34,196
1549058609,2019-02-01T22:03:29Z,CAL5998,"29.720581,106.639893",0,17,196
1549058631,2019-02-01T22:03:51Z,CAL5998,"29.718521,106.639175",0,22,196
1549058648,2019-02-01T22:04:08Z,CAL5998,"29.716795,106.63858",0,24,196
1549058656,2019-02-01T22:04:16Z,CAL5998,"29.716015,106.638321",0,25,196
1549058674,2019-02-01T22:04:34Z,CAL5998,"29.713955,106.637604",0,25,196
1549058708,2019-02-01T22:05:08Z,CAL5998,"29.710384,106.636368",0,25,196
1549058718,2019-02-01T22:05:18Z,CAL5998,"29.709103,106.635925",0,25,196
1549058737,2019-02-01T22:05:37Z,CAL5998,"29.707264,106.635292",0,18,196
1549058743,2019-02-01T22:05:43Z,CAL5998,"29.706856,106.635147",0,16,196
1549058787,2019-02-01T22:06:27Z,CAL5998,"29.70546,106.636009",0,27,106
1549058835,2019-02-01T22:07:15Z,CAL5998,"29.705898,106.636971",0,14,5
1549058844,2019-02-01T22:07:24Z,CAL5998,"29.706554,106.637222",0,28,16
1549058852,2019-02-01T22:07:32Z,CAL5998,"29.70829,106.637802",0,64,16
1549058927,2019-02-01T22:08:47Z,CAL5998,"29.758667,106.654907",2825,184,15
1549058939,2019-02-01T22:08:59Z,CAL5998,"29.76955,106.65834",3000,195,15
1549058948,2019-02-01T22:09:08Z,CAL5998,"29.777893,106.661087",3075,207,15
1549059026,2019-02-01T22:10:26Z,CAL5998,"29.866287,106.691826",5350,277,17
1549059055,2019-02-01T22:10:55Z,CAL5998,"29.904831,106.705399",6775,286,16
1549059075,2019-02-01T22:11:15Z,CAL5998,"29.927736,106.71328",7600,287,16
1549059087,2019-02-01T22:11:27Z,CAL5998,"29.945192,106.719543",8100,295,17
1549059111,2019-02-01T22:11:51Z,CAL5998,"29.979401,106.732124",8850,324,20
1549059117,2019-02-01T22:11:57Z,CAL5998,"29.987648,106.737122",8950,342,29
1549059124,2019-02-01T22:12:04Z,CAL5998,"29.996866,106.745361",9175,357,40
1549059130,2019-02-01T22:12:10Z,CAL5998,"30.003569,106.753983",9450,361,48
1549059136,2019-02-01T22:12:16Z,CAL5998,"30.009155,106.763954",9850,363,60
1549059142,2019-02-01T22:12:22Z,CAL5998,"30.013321,106.77478",10275,364,68
1549059148,2019-02-01T22:12:28Z,CAL5998,"30.016232,106.786507",10650,365,76
1549059154,2019-02-01T22:12:34Z,CAL5998,"30.017767,106.798973",10925,370,84
1549059179,2019-02-01T22:12:59Z,CAL5998,"30.009109,106.847534",11750,387,113
1549059188,2019-02-01T22:13:08Z,CAL5998,"30.003895,106.859894",12025,391,116
1549059223,2019-02-01T22:13:43Z,CAL5998,"29.977919,106.927185",13300,416,111
1549059262,2019-02-01T22:14:22Z,CAL5998,"29.941864,107.010551",14650,436,134
1549059269,2019-02-01T22:14:29Z,CAL5998,"29.934019,107.018539",14875,434,139
