Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547269799,2019-01-12T05:09:59Z,CAL025,"13.48865,144.802612",0,19,244
1547269808,2019-01-12T05:10:08Z,CAL025,"13.488316,144.801865",0,20,244
1547269816,2019-01-12T05:10:16Z,CAL025,"13.487952,144.801071",0,21,244
1547269823,2019-01-12T05:10:23Z,CAL025,"13.48764,144.800385",0,21,244
1547269830,2019-01-12T05:10:30Z,CAL025,"13.487382,144.799835",0,21,244
1547269836,2019-01-12T05:10:36Z,CAL025,"13.487114,144.799255",0,20,244
1547269843,2019-01-12T05:10:43Z,CAL025,"13.486847,144.798645",0,20,244
1547269849,2019-01-12T05:10:49Z,CAL025,"13.486602,144.798126",0,20,244
1547269855,2019-01-12T05:10:55Z,CAL025,"13.486324,144.797531",0,21,244
1547269861,2019-01-12T05:11:01Z,CAL025,"13.486067,144.796951",0,21,244
1547269871,2019-01-12T05:11:11Z,CAL025,"13.485649,144.796036",0,23,244
1547269877,2019-01-12T05:11:17Z,CAL025,"13.485357,144.795425",0,23,244
1547269884,2019-01-12T05:11:24Z,CAL025,"13.485077,144.794769",0,24,244
1547269890,2019-01-12T05:11:30Z,CAL025,"13.484756,144.794098",0,25,244
1547269897,2019-01-12T05:11:37Z,CAL025,"13.484459,144.793427",0,23,244
1547269910,2019-01-12T05:11:50Z,CAL025,"13.483855,144.792099",0,25,244
1547269916,2019-01-12T05:11:56Z,CAL025,"13.48353,144.791412",0,25,244
1547269922,2019-01-12T05:12:02Z,CAL025,"13.483215,144.79071",0,24,244
1547269928,2019-01-12T05:12:08Z,CAL025,"13.482903,144.790009",0,24,244
1547269935,2019-01-12T05:12:15Z,CAL025,"13.482587,144.789352",0,23,244
1547269941,2019-01-12T05:12:21Z,CAL025,"13.482307,144.788727",0,23,244
1547269947,2019-01-12T05:12:27Z,CAL025,"13.482029,144.788116",0,23,244
1547269957,2019-01-12T05:12:37Z,CAL025,"13.481563,144.787079",0,24,244
1547269963,2019-01-12T05:12:43Z,CAL025,"13.481272,144.786469",0,24,244
1547269969,2019-01-12T05:12:49Z,CAL025,"13.48098,144.785828",0,23,244
1547269976,2019-01-12T05:12:56Z,CAL025,"13.48069,144.785187",0,24,244
1547269982,2019-01-12T05:13:02Z,CAL025,"13.480373,144.7845",0,23,244
1547269988,2019-01-12T05:13:08Z,CAL025,"13.480097,144.78389",0,22,244
1547269994,2019-01-12T05:13:14Z,CAL025,"13.479824,144.783295",0,22,244
1547270005,2019-01-12T05:13:25Z,CAL025,"13.479375,144.782288",0,21,244
1547270011,2019-01-12T05:13:31Z,CAL025,"13.479154,144.781815",0,15,244
1547270020,2019-01-12T05:13:40Z,CAL025,"13.478966,144.781464",0,15,239
1547270033,2019-01-12T05:13:53Z,CAL025,"13.478654,144.781296",0,20,191
1547270040,2019-01-12T05:14:00Z,CAL025,"13.478351,144.781357",0,25,163
1547270046,2019-01-12T05:14:06Z,CAL025,"13.478084,144.781464",0,26,154
1547270055,2019-01-12T05:14:15Z,CAL025,"13.477867,144.781708",0,17,135
1547270126,2019-01-12T05:15:26Z,CAL025,"13.477979,144.781921",0,12,135
1547270132,2019-01-12T05:15:32Z,CAL025,"13.478256,144.782501",0,30,64
1547270138,2019-01-12T05:15:38Z,CAL025,"13.478954,144.784042",0,62,64
1547270146,2019-01-12T05:15:46Z,CAL025,"13.479973,144.78627",0,90,64
1547270152,2019-01-12T05:15:52Z,CAL025,"13.481312,144.7892",0,110,64
1547270159,2019-01-12T05:15:59Z,CAL025,"13.482994,144.792892",0,135,64
1547270166,2019-01-12T05:16:06Z,CAL025,"13.485168,144.797668",450,155,65
1547270172,2019-01-12T05:16:12Z,CAL025,"13.486789,144.8013",650,154,65
1547270180,2019-01-12T05:16:20Z,CAL025,"13.489334,144.807053",1025,154,65
1547270186,2019-01-12T05:16:26Z,CAL025,"13.491304,144.811615",1450,146,66
1547270194,2019-01-12T05:16:34Z,CAL025,"13.492887,144.815994",1750,144,72
1547270201,2019-01-12T05:16:41Z,CAL025,"13.493225,144.820831",2000,147,91
1547270208,2019-01-12T05:16:48Z,CAL025,"13.491943,144.825562",2175,154,112
1547270214,2019-01-12T05:16:54Z,CAL025,"13.489442,144.829437",2375,160,128
1547270221,2019-01-12T05:17:01Z,CAL025,"13.485438,144.832809",2575,166,145
1547270230,2019-01-12T05:17:10Z,CAL025,"13.478348,144.836121",2900,174,158
1547270237,2019-01-12T05:17:17Z,CAL025,"13.473495,144.838013",3175,173,159
1547270244,2019-01-12T05:17:24Z,CAL025,"13.467888,144.840179",3400,175,158
1547270256,2019-01-12T05:17:36Z,CAL025,"13.458847,144.843842",3625,189,158
1547270262,2019-01-12T05:17:42Z,CAL025,"13.453079,144.846161",3725,200,158
1547270271,2019-01-12T05:17:51Z,CAL025,"13.445938,144.849152",3875,210,157
1547270277,2019-01-12T05:17:57Z,CAL025,"13.440353,144.851517",3975,220,157
1547270285,2019-01-12T05:18:05Z,CAL025,"13.432369,144.85498",4200,229,156
1547270292,2019-01-12T05:18:12Z,CAL025,"13.425018,144.8582",4500,232,156
1547270299,2019-01-12T05:18:19Z,CAL025,"13.418152,144.861084",4775,236,158
1547270307,2019-01-12T05:18:27Z,CAL025,"13.409744,144.863266",5100,242,170
1547270347,2019-01-12T05:19:07Z,CAL025,"13.372833,144.83902",6825,256,240
1547270360,2019-01-12T05:19:20Z,CAL025,"13.36538,144.825531",7375,260,240
1547270374,2019-01-12T05:19:34Z,CAL025,"13.356995,144.809753",7725,269,241
1547270384,2019-01-12T05:19:44Z,CAL025,"13.349854,144.796066",7950,285,241
1547270394,2019-01-12T05:19:54Z,CAL025,"13.344223,144.785217",8100,289,241
1547270495,2019-01-12T05:21:35Z,CAL025,"13.300797,144.691971",11600,310,282
1547270555,2019-01-12T05:22:35Z,CAL025,"13.337552,144.604797",13400,340,302
1547270614,2019-01-12T05:23:34Z,CAL025,"13.392609,144.519409",15800,370,310
1547270671,2019-01-12T05:24:31Z,CAL025,"13.457527,144.434113",18700,380,310
1547270730,2019-01-12T05:25:30Z,CAL025,"13.530306,144.338699",20900,390,305
1547270808,2019-01-12T05:26:48Z,CAL025,"13.614977,144.235214",23100,410,310
1547270865,2019-01-12T05:27:45Z,CAL025,"13.689152,144.144302",25100,420,305
1547270925,2019-01-12T05:28:45Z,CAL025,"13.762525,144.048691",26800,420,305
1547270984,2019-01-12T05:29:44Z,CAL025,"13.845073,143.946579",28300,440,311
1547271042,2019-01-12T05:30:42Z,CAL025,"13.92213,143.845169",29900,450,305
1547271100,2019-01-12T05:31:40Z,CAL025,"14.00367,143.735016",31200,450,307
1547271159,2019-01-12T05:32:39Z,CAL025,"14.080137,143.626984",32700,460,305
1547271217,2019-01-12T05:33:37Z,CAL025,"14.157469,143.524948",34100,460,311
1547271276,2019-01-12T05:34:36Z,CAL025,"14.240861,143.419952",35900,460,311
1547271335,2019-01-12T05:35:35Z,CAL025,"14.32056,143.305298",37200,450,301
1547271395,2019-01-12T05:36:35Z,CAL025,"14.393442,143.196793",38000,450,305
1547271450,2019-01-12T05:37:30Z,CAL025,"14.467856,143.095459",38000,450,311
1547271508,2019-01-12T05:38:28Z,CAL025,"14.539764,142.993591",38000,450,305
1547271590,2019-01-12T05:39:50Z,CAL025,"14.628797,142.876556",38000,440,311
1547271646,2019-01-12T05:40:46Z,CAL025,"14.688912,142.785599",38000,440,301
1547271704,2019-01-12T05:41:44Z,CAL025,"14.75446,142.69371",38000,440,310
1547271763,2019-01-12T05:42:43Z,CAL025,"14.826386,142.592941",38000,450,307
1547271821,2019-01-12T05:43:41Z,CAL025,"14.904476,142.491241",38000,450,311
1547271879,2019-01-12T05:44:39Z,CAL025,"14.980322,142.387436",38000,440,305
1547271939,2019-01-12T05:45:39Z,CAL025,"15.051692,142.285675",38000,440,305
1547271996,2019-01-12T05:46:36Z,CAL025,"15.120632,142.184402",38000,450,305
1547272056,2019-01-12T05:47:36Z,CAL025,"15.189151,142.081818",38000,450,305
1547272114,2019-01-12T05:48:34Z,CAL025,"15.260636,141.985062",38000,450,311
1547272173,2019-01-12T05:49:33Z,CAL025,"15.332606,141.883911",38000,440,305
1547272231,2019-01-12T05:50:31Z,CAL025,"15.409301,141.776382",38000,450,307
1547272289,2019-01-12T05:51:29Z,CAL025,"15.482382,141.67099",38000,450,305
1547272367,2019-01-12T05:52:47Z,CAL025,"15.573284,141.541351",38000,410,307
1547272426,2019-01-12T05:53:46Z,CAL025,"15.648013,141.44371",38000,440,311
1547272484,2019-01-12T05:54:44Z,CAL025,"15.716677,141.341507",38000,440,301
1547279882,2019-01-12T07:58:02Z,CAL025,"23.090286,128.901886",38000,395,297
1547279939,2019-01-12T07:58:59Z,CAL025,"23.137253,128.803665",38000,395,297
1547280041,2019-01-12T08:00:41Z,CAL025,"23.220566,128.622086",38000,389,292
1547280064,2019-01-12T08:01:04Z,CAL025,"23.236038,128.582153",38000,388,292
1547280155,2019-01-12T08:02:35Z,CAL025,"23.300606,128.416336",38000,388,292
1547280220,2019-01-12T08:03:40Z,CAL025,"23.345808,128.299759",38000,389,292
1547280278,2019-01-12T08:04:38Z,CAL025,"23.386505,128.194962",38000,388,292
1547280301,2019-01-12T08:05:01Z,CAL025,"23.401794,128.155411",38000,388,292
1547280361,2019-01-12T08:06:01Z,CAL025,"23.444126,128.045853",38000,386,292
1547280390,2019-01-12T08:06:30Z,CAL025,"23.463776,127.994621",38000,386,292
1547280491,2019-01-12T08:08:11Z,CAL025,"23.533319,127.813721",38000,382,292
1547280545,2019-01-12T08:09:05Z,CAL025,"23.570049,127.717827",38000,382,292
1547280635,2019-01-12T08:10:35Z,CAL025,"23.630428,127.560181",38000,378,292
1547280695,2019-01-12T08:11:35Z,CAL025,"23.670975,127.453842",38000,378,292
1547280723,2019-01-12T08:12:03Z,CAL025,"23.689409,127.405289",38000,377,292
1547280812,2019-01-12T08:13:32Z,CAL025,"23.748438,127.249405",38000,373,292
1547280876,2019-01-12T08:14:36Z,CAL025,"23.78931,127.141045",38000,372,292
1547280940,2019-01-12T08:15:40Z,CAL025,"23.833349,127.025063",38025,372,292
1547281001,2019-01-12T08:16:41Z,CAL025,"23.872971,126.919304",38025,375,292
1547281064,2019-01-12T08:17:44Z,CAL025,"23.912888,126.813255",38000,376,292
1547281125,2019-01-12T08:18:45Z,CAL025,"23.95372,126.704353",38000,375,292
1547281187,2019-01-12T08:19:47Z,CAL025,"23.994644,126.594902",38000,375,292
1547281201,2019-01-12T08:20:01Z,CAL025,"24.004429,126.568565",38000,376,292
1547281262,2019-01-12T08:21:02Z,CAL025,"24.044266,126.461182",38000,376,291
1547281321,2019-01-12T08:22:01Z,CAL025,"24.081985,126.359962",38000,375,292
1547281380,2019-01-12T08:23:00Z,CAL025,"24.121088,126.254311",38000,375,291
1547281438,2019-01-12T08:23:58Z,CAL025,"24.158112,126.154175",38000,374,291
1547281502,2019-01-12T08:25:02Z,CAL025,"24.200455,126.039276",38000,376,291
1547281592,2019-01-12T08:26:32Z,CAL025,"24.259277,125.879059",38000,376,291
1547281661,2019-01-12T08:27:41Z,CAL025,"24.303131,125.759735",38000,376,291
1547281721,2019-01-12T08:28:41Z,CAL025,"24.341675,125.654144",38000,373,291
1547281781,2019-01-12T08:29:41Z,CAL025,"24.38063,125.546974",38000,371,291
1547281845,2019-01-12T08:30:45Z,CAL025,"24.420914,125.436096",38000,370,291
1547281905,2019-01-12T08:31:45Z,CAL025,"24.458918,125.33136",38000,368,291
1547281969,2019-01-12T08:32:49Z,CAL025,"24.498779,125.221153",38000,368,291
1547282033,2019-01-12T08:33:53Z,CAL025,"24.53871,125.110489",38025,367,291
1547282067,2019-01-12T08:34:27Z,CAL025,"24.55957,125.052643",38000,366,291
1547282158,2019-01-12T08:35:58Z,CAL025,"24.616379,124.894409",38000,366,291
1547282220,2019-01-12T08:37:00Z,CAL025,"24.65481,124.787117",38000,365,291
1547282283,2019-01-12T08:38:03Z,CAL025,"24.693604,124.678139",38000,362,291
1547282344,2019-01-12T08:39:04Z,CAL025,"24.729904,124.576164",38025,361,291
1547282406,2019-01-12T08:40:06Z,CAL025,"24.767374,124.470695",38000,364,291
1547282470,2019-01-12T08:41:10Z,CAL025,"24.806534,124.360504",38000,364,291
1547282528,2019-01-12T08:42:08Z,CAL025,"24.843393,124.25563",38000,365,291
1547282593,2019-01-12T08:43:13Z,CAL025,"24.882357,124.144936",38000,364,290
1547282654,2019-01-12T08:44:14Z,CAL025,"24.918295,124.042488",38000,364,291
1547282682,2019-01-12T08:44:42Z,CAL025,"24.933611,123.988434",38000,359,281
1547282689,2019-01-12T08:44:49Z,CAL025,"24.935472,123.976929",38000,358,279
1547282695,2019-01-12T08:44:55Z,CAL025,"24.936768,123.965759",38000,357,276
1547282701,2019-01-12T08:45:01Z,CAL025,"24.937895,123.955269",38000,357,276
1547282763,2019-01-12T08:46:03Z,CAL025,"24.949905,123.843895",37900,356,276
1547282828,2019-01-12T08:47:08Z,CAL025,"24.962566,123.724915",36475,360,276
1547282891,2019-01-12T08:48:11Z,CAL025,"24.974066,123.613655",35225,369,276
1547282952,2019-01-12T08:49:12Z,CAL025,"24.986572,123.494057",33950,377,276
1547283012,2019-01-12T08:50:12Z,CAL025,"24.998245,123.379059",32500,377,276
1547283075,2019-01-12T08:51:15Z,CAL025,"25.010468,123.261055",30875,367,276
1547283136,2019-01-12T08:52:16Z,CAL025,"25.021591,123.150124",29450,353,276
