Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547788895,2019-01-18T05:21:35Z,CAL025,"13.487277,144.799606",0,21,244
1547788901,2019-01-18T05:21:41Z,CAL025,"13.487011,144.799042",0,21,244
1547788913,2019-01-18T05:21:53Z,CAL025,"13.486496,144.797928",0,21,244
1547788924,2019-01-18T05:22:04Z,CAL025,"13.486067,144.796967",0,22,244
1547788931,2019-01-18T05:22:11Z,CAL025,"13.485776,144.796341",0,22,244
1547788937,2019-01-18T05:22:17Z,CAL025,"13.485462,144.795654",0,23,244
1547788947,2019-01-18T05:22:27Z,CAL025,"13.484997,144.794647",0,24,244
1547788953,2019-01-18T05:22:33Z,CAL025,"13.484705,144.793976",0,25,244
1547788959,2019-01-18T05:22:39Z,CAL025,"13.48439,144.793289",0,25,244
1547788966,2019-01-18T05:22:46Z,CAL025,"13.484058,144.792587",0,26,244
1547788972,2019-01-18T05:22:52Z,CAL025,"13.483727,144.791855",0,26,244
1547788979,2019-01-18T05:22:59Z,CAL025,"13.483402,144.791138",0,26,244
1547788990,2019-01-18T05:23:10Z,CAL025,"13.482731,144.789688",0,26,244
1547788997,2019-01-18T05:23:17Z,CAL025,"13.482422,144.789001",0,26,244
1547789004,2019-01-18T05:23:24Z,CAL025,"13.482087,144.788254",0,23,244
1547789011,2019-01-18T05:23:31Z,CAL025,"13.481815,144.787674",0,21,244
1547789019,2019-01-18T05:23:39Z,CAL025,"13.481435,144.78685",0,20,244
1547789029,2019-01-18T05:23:49Z,CAL025,"13.481086,144.786087",0,16,244
1547789035,2019-01-18T05:23:55Z,CAL025,"13.4809,144.78566",0,34,244
1547789043,2019-01-18T05:24:03Z,CAL025,"13.480714,144.785278",0,34,244
1547789051,2019-01-18T05:24:11Z,CAL025,"13.480434,144.784653",0,16,244
1547789057,2019-01-18T05:24:17Z,CAL025,"13.480213,144.784164",0,17,244
1547789064,2019-01-18T05:24:24Z,CAL025,"13.479984,144.783661",0,19,244
1547789070,2019-01-18T05:24:30Z,CAL025,"13.479759,144.783157",0,20,244
1547789080,2019-01-18T05:24:40Z,CAL025,"13.479321,144.782211",0,22,244
1547789087,2019-01-18T05:24:47Z,CAL025,"13.479073,144.781677",0,18,241
1547789098,2019-01-18T05:24:58Z,CAL025,"13.478439,144.781342",0,25,171
1547789107,2019-01-18T05:25:07Z,CAL025,"13.478142,144.781464",0,25,154
1547789113,2019-01-18T05:25:13Z,CAL025,"13.477913,144.781616",0,19,132
1547789123,2019-01-18T05:25:23Z,CAL025,"13.477943,144.78186",0,14,132
1547789140,2019-01-18T05:25:40Z,CAL025,"13.4782,144.782425",0,23,64
1547789146,2019-01-18T05:25:46Z,CAL025,"13.478737,144.783585",0,51,64
1547789152,2019-01-18T05:25:52Z,CAL025,"13.47963,144.785538",0,82,64
1547789159,2019-01-18T05:25:59Z,CAL025,"13.4809,144.788315",0,105,64
1547789169,2019-01-18T05:26:09Z,CAL025,"13.483269,144.793488",0,140,64
1547789175,2019-01-18T05:26:15Z,CAL025,"13.485252,144.797836",475,156,65
1547789183,2019-01-18T05:26:23Z,CAL025,"13.48772,144.803268",825,156,65
1547789191,2019-01-18T05:26:31Z,CAL025,"13.490047,144.80838",1175,156,64
1547789198,2019-01-18T05:26:38Z,CAL025,"13.49231,144.813065",1450,158,64
1547789205,2019-01-18T05:26:45Z,CAL025,"13.49447,144.817917",1750,158,65
1547789212,2019-01-18T05:26:52Z,CAL025,"13.497757,144.822723",2025,161,47
1547789222,2019-01-18T05:27:02Z,CAL025,"13.504166,144.826614",2275,176,19
1547789245,2019-01-18T05:27:25Z,CAL025,"13.523758,144.823013",2700,220,330
1547789252,2019-01-18T05:27:32Z,CAL025,"13.530734,144.818451",2825,233,327
1547789259,2019-01-18T05:27:39Z,CAL025,"13.537216,144.814194",3025,238,327
1547789266,2019-01-18T05:27:46Z,CAL025,"13.543762,144.809937",3225,244,327
1547789274,2019-01-18T05:27:54Z,CAL025,"13.551819,144.804688",3650,243,327
1547789280,2019-01-18T05:28:00Z,CAL025,"13.557734,144.800858",4000,242,327
1547789394,2019-01-18T05:29:54Z,CAL025,"13.623283,144.730804",7300,290,298
1547789451,2019-01-18T05:30:51Z,CAL025,"13.665465,144.658569",9900,310,308
1547789510,2019-01-18T05:31:50Z,CAL025,"13.71248,144.578445",11700,340,302
1547789573,2019-01-18T05:32:53Z,CAL025,"13.760549,144.495529",13900,360,302
1547789628,2019-01-18T05:33:48Z,CAL025,"13.815136,144.413559",16600,370,310
1547789685,2019-01-18T05:34:45Z,CAL025,"13.870027,144.319809",18800,380,298
1547789744,2019-01-18T05:35:44Z,CAL025,"13.935038,144.213547",21000,400,305
1547789802,2019-01-18T05:36:42Z,CAL025,"14.001524,144.108063",22900,410,305
1547789860,2019-01-18T05:37:40Z,CAL025,"14.062519,144.009354",24500,420,302
1547789921,2019-01-18T05:38:41Z,CAL025,"14.128369,143.898331",26200,430,301
1547789997,2019-01-18T05:39:57Z,CAL025,"14.203654,143.77681",27600,440,305
1547790055,2019-01-18T05:40:55Z,CAL025,"14.271182,143.676346",29000,450,307
1547790114,2019-01-18T05:41:54Z,CAL025,"14.342552,143.562775",30400,460,301
