Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547875086,2019-01-19T05:18:06Z,CAL025,"13.486794,144.798538",0,16,244
1547875096,2019-01-19T05:18:16Z,CAL025,"13.486463,144.797836",0,17,244
1547875102,2019-01-19T05:18:22Z,CAL025,"13.486244,144.797348",0,18,244
1547875109,2019-01-19T05:18:29Z,CAL025,"13.486009,144.796829",0,18,244
1547875115,2019-01-19T05:18:35Z,CAL025,"13.485765,144.796295",0,19,244
1547875122,2019-01-19T05:18:42Z,CAL025,"13.485489,144.7957",0,20,244
1547875129,2019-01-19T05:18:49Z,CAL025,"13.485217,144.795105",0,21,244
1547875135,2019-01-19T05:18:55Z,CAL025,"13.484938,144.79451",0,21,244
1547875142,2019-01-19T05:19:02Z,CAL025,"13.484653,144.793869",0,22,244
1547875155,2019-01-19T05:19:15Z,CAL025,"13.484054,144.792572",0,23,244
1547875171,2019-01-19T05:19:31Z,CAL025,"13.483285,144.790909",0,22,244
1547875184,2019-01-19T05:19:44Z,CAL025,"13.482761,144.789764",0,18,244
1547875191,2019-01-19T05:19:51Z,CAL025,"13.48254,144.789246",0,18,244
1547875197,2019-01-19T05:19:57Z,CAL025,"13.482307,144.788757",0,18,244
1547875203,2019-01-19T05:20:03Z,CAL025,"13.48209,144.788269",0,18,244
1547875210,2019-01-19T05:20:10Z,CAL025,"13.481838,144.787735",0,18,244
1547875216,2019-01-19T05:20:16Z,CAL025,"13.481598,144.787201",0,18,244
1547875223,2019-01-19T05:20:23Z,CAL025,"13.481369,144.786682",0,18,244
1547875236,2019-01-19T05:20:36Z,CAL025,"13.480958,144.785812",0,28,244
1547875243,2019-01-19T05:20:43Z,CAL025,"13.480808,144.785461",0,29,244
1547875249,2019-01-19T05:20:49Z,CAL025,"13.480671,144.785187",0,25,244
1547875260,2019-01-19T05:21:00Z,CAL025,"13.480434,144.784668",0,23,244
1547875268,2019-01-19T05:21:08Z,CAL025,"13.480318,144.784409",0,24,244
1547875278,2019-01-19T05:21:18Z,CAL025,"13.480097,144.78392",0,28,244
1547875284,2019-01-19T05:21:24Z,CAL025,"13.479939,144.783569",0,31,244
1547875291,2019-01-19T05:21:31Z,CAL025,"13.479759,144.783188",0,33,244
1547875301,2019-01-19T05:21:41Z,CAL025,"13.479469,144.782532",0,16,244
1547875317,2019-01-19T05:21:57Z,CAL025,"13.478956,144.781464",0,26,233
1547875324,2019-01-19T05:22:04Z,CAL025,"13.478691,144.781296",0,24,194
1547875330,2019-01-19T05:22:10Z,CAL025,"13.478474,144.781311",0,18,165
1547875340,2019-01-19T05:22:20Z,CAL025,"13.478165,144.781448",0,18,151
1547875352,2019-01-19T05:22:32Z,CAL025,"13.477967,144.781693",0,15,112
1547875365,2019-01-19T05:22:45Z,CAL025,"13.47797,144.781906",0,10,70
1547875381,2019-01-19T05:23:01Z,CAL025,"13.478071,144.78215",0,16,64
1547875397,2019-01-19T05:23:17Z,CAL025,"13.479165,144.784546",0,66,64
1547875404,2019-01-19T05:23:24Z,CAL025,"13.48027,144.786942",0,94,64
1547875410,2019-01-19T05:23:30Z,CAL025,"13.481758,144.790176",0,120,64
1547875417,2019-01-19T05:23:37Z,CAL025,"13.483519,144.794006",0,140,64
1547875425,2019-01-19T05:23:45Z,CAL025,"13.485811,144.799026",475,154,64
1547875432,2019-01-19T05:23:52Z,CAL025,"13.487915,144.803543",875,148,64
1547875439,2019-01-19T05:23:59Z,CAL025,"13.490067,144.808182",1175,149,64
1547875447,2019-01-19T05:24:07Z,CAL025,"13.492282,144.813248",1525,150,68
1547875453,2019-01-19T05:24:13Z,CAL025,"13.493271,144.81752",1750,151,80
1547875460,2019-01-19T05:24:20Z,CAL025,"13.492933,144.822693",1900,160,101
1547875466,2019-01-19T05:24:26Z,CAL025,"13.490662,144.828033",2050,171,120
