Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548393540,2019-01-25T05:19:00Z,CAL025,"13.486765,144.798477",0,25,244
1548393546,2019-01-25T05:19:06Z,CAL025,"13.486439,144.79776",0,25,244
1548393552,2019-01-25T05:19:12Z,CAL025,"13.486114,144.797043",0,26,244
1548393560,2019-01-25T05:19:20Z,CAL025,"13.485729,144.796219",0,27,244
1548393566,2019-01-25T05:19:26Z,CAL025,"13.485386,144.795456",0,25,244
1548393573,2019-01-25T05:19:33Z,CAL025,"13.485043,144.794708",0,25,244
1548393580,2019-01-25T05:19:40Z,CAL025,"13.484756,144.794067",0,21,244
1548393586,2019-01-25T05:19:46Z,CAL025,"13.484484,144.793488",0,22,244
1548393592,2019-01-25T05:19:52Z,CAL025,"13.484193,144.792862",0,22,244
1548393598,2019-01-25T05:19:58Z,CAL025,"13.48391,144.792236",0,23,244
1548393605,2019-01-25T05:20:05Z,CAL025,"13.4836,144.79155",0,24,244
1548393612,2019-01-25T05:20:12Z,CAL025,"13.483269,144.790848",0,25,244
1548393618,2019-01-25T05:20:18Z,CAL025,"13.48296,144.790146",0,25,244
1548393629,2019-01-25T05:20:29Z,CAL025,"13.482448,144.789032",0,25,244
1548393641,2019-01-25T05:20:41Z,CAL025,"13.481808,144.787643",0,25,244
1548393654,2019-01-25T05:20:54Z,CAL025,"13.481152,144.786209",0,27,244
1548393664,2019-01-25T05:21:04Z,CAL025,"13.480648,144.78511",0,25,244
1548393670,2019-01-25T05:21:10Z,CAL025,"13.480305,144.784363",0,25,244
1548393677,2019-01-25T05:21:17Z,CAL025,"13.479973,144.783615",0,25,244
1548393690,2019-01-25T05:21:30Z,CAL025,"13.479343,144.782242",0,19,244
1548393697,2019-01-25T05:21:37Z,CAL025,"13.479165,144.78186",0,22,244
1548394094,2019-01-25T05:28:14Z,CAL025,"13.47908,144.781693",0,0,180
1548394164,2019-01-25T05:29:24Z,CAL025,"13.478897,144.781448",0,21,219
1548394175,2019-01-25T05:29:35Z,CAL025,"13.47842,144.781357",0,23,163
1548394184,2019-01-25T05:29:44Z,CAL025,"13.478016,144.78154",0,22,151
1548394196,2019-01-25T05:29:56Z,CAL025,"13.477897,144.781799",0,14,73
1548394212,2019-01-25T05:30:12Z,CAL025,"13.478025,144.782043",0,10,64
1548394229,2019-01-25T05:30:29Z,CAL025,"13.478428,144.782928",0,40,64
1548394235,2019-01-25T05:30:35Z,CAL025,"13.479095,144.784378",0,67,64
1548394248,2019-01-25T05:30:48Z,CAL025,"13.481609,144.789856",0,120,64
1548394255,2019-01-25T05:30:55Z,CAL025,"13.483414,144.793808",0,145,64
1548394262,2019-01-25T05:31:02Z,CAL025,"13.485443,144.798187",450,160,64
1548394268,2019-01-25T05:31:08Z,CAL025,"13.488007,144.803787",700,164,65
1548394276,2019-01-25T05:31:16Z,CAL025,"13.490093,144.808472",975,164,65
1548394282,2019-01-25T05:31:22Z,CAL025,"13.492515,144.813492",1350,162,62
1548394290,2019-01-25T05:31:30Z,CAL025,"13.49501,144.818268",1650,163,61
1548394296,2019-01-25T05:31:36Z,CAL025,"13.497253,144.822388",1850,166,61
1548394352,2019-01-25T05:32:32Z,CAL025,"13.502427,144.852356",2700,190,71
1548394409,2019-01-25T05:33:29Z,CAL025,"13.527814,144.896439",4200,240,55
1548394468,2019-01-25T05:34:28Z,CAL025,"13.579794,144.955444",8100,280,44
1548394547,2019-01-25T05:35:47Z,CAL025,"13.646506,144.986313",10600,290,300
1548394604,2019-01-25T05:36:44Z,CAL025,"13.716578,144.969223",12600,310,330
1548394663,2019-01-25T05:37:43Z,CAL025,"13.796166,144.933167",13800,380,330
1548394723,2019-01-25T05:38:43Z,CAL025,"13.874644,144.859741",15300,410,305
1548394779,2019-01-25T05:39:39Z,CAL025,"13.941675,144.76297",17400,420,298
1548394838,2019-01-25T05:40:38Z,CAL025,"14.002053,144.652008",19200,430,298
1548394898,2019-01-25T05:41:38Z,CAL025,"14.065594,144.525757",20900,440,301
1548394956,2019-01-25T05:42:36Z,CAL025,"14.130733,144.393066",22500,440,301
1548395014,2019-01-25T05:43:34Z,CAL025,"14.190302,144.257233",23800,450,294
1548395073,2019-01-25T05:44:33Z,CAL025,"14.253235,144.122299",24900,460,301
1548395135,2019-01-25T05:45:35Z,CAL025,"14.318499,143.998627",25900,470,305
1548395189,2019-01-25T05:46:29Z,CAL025,"14.379296,143.887512",27500,470,301
1548395249,2019-01-25T05:47:29Z,CAL025,"14.445534,143.76149",28700,470,298
1548395327,2019-01-25T05:48:47Z,CAL025,"14.522668,143.619553",29800,470,301
1548395385,2019-01-25T05:49:45Z,CAL025,"14.57688,143.508469",31500,470,294
1548395444,2019-01-25T05:50:44Z,CAL025,"14.635218,143.404541",32800,460,305
1548395502,2019-01-25T05:51:42Z,CAL025,"14.695036,143.300125",34000,450,301
1548395559,2019-01-25T05:52:39Z,CAL025,"14.75261,143.187149",35100,450,294
1548395618,2019-01-25T05:53:38Z,CAL025,"14.813477,143.072922",36200,450,301
1548395677,2019-01-25T05:54:37Z,CAL025,"14.868737,142.966354",37000,440,298
1548395736,2019-01-25T05:55:36Z,CAL025,"14.931612,142.85022",37700,440,301
1548395794,2019-01-25T05:56:34Z,CAL025,"14.987676,142.735764",38000,450,294
1548395852,2019-01-25T05:57:32Z,CAL025,"15.047551,142.620941",38000,440,301
1548395910,2019-01-25T05:58:30Z,CAL025,"15.111446,142.503662",38000,440,301
1548395969,2019-01-25T05:59:29Z,CAL025,"15.170646,142.391953",38000,450,298
1548396048,2019-01-25T06:00:48Z,CAL025,"15.24179,142.262512",38000,410,301
1548396106,2019-01-25T06:01:46Z,CAL025,"15.29049,142.162903",38000,440,294
1548396164,2019-01-25T06:02:44Z,CAL025,"15.348201,142.052994",38000,440,301
1548396223,2019-01-25T06:03:43Z,CAL025,"15.410305,141.947281",38000,440,305
1548396282,2019-01-25T06:04:42Z,CAL025,"15.467185,141.837799",38000,440,294
1548396341,2019-01-25T06:05:41Z,CAL025,"15.530082,141.721481",38000,440,301
1548396398,2019-01-25T06:06:38Z,CAL025,"15.584897,141.616821",38000,440,298
1548396457,2019-01-25T06:07:37Z,CAL025,"15.646005,141.504669",38000,440,301
1548396516,2019-01-25T06:08:36Z,CAL025,"15.700989,141.392761",38000,450,295
