Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548565807,2019-01-27T05:10:07Z,CAL025,"13.486731,144.798401",0,17,244
1548565813,2019-01-27T05:10:13Z,CAL025,"13.486496,144.797882",0,18,244
1548565830,2019-01-27T05:10:30Z,CAL025,"13.485764,144.796295",0,24,244
1548565836,2019-01-27T05:10:36Z,CAL025,"13.48545,144.795593",0,26,244
1548565842,2019-01-27T05:10:42Z,CAL025,"13.485136,144.794907",0,26,244
1548565850,2019-01-27T05:10:50Z,CAL025,"13.484635,144.793823",0,26,244
1548565858,2019-01-27T05:10:58Z,CAL025,"13.484309,144.793106",0,25,244
1548565864,2019-01-27T05:11:04Z,CAL025,"13.483978,144.792389",0,24,244
1548565870,2019-01-27T05:11:10Z,CAL025,"13.483693,144.791763",0,22,244
1548565877,2019-01-27T05:11:17Z,CAL025,"13.483425,144.791153",0,22,244
1548565883,2019-01-27T05:11:23Z,CAL025,"13.483143,144.790558",0,22,244
1548565890,2019-01-27T05:11:30Z,CAL025,"13.482855,144.789932",0,22,244
1548565896,2019-01-27T05:11:36Z,CAL025,"13.482571,144.789322",0,19,244
1548565902,2019-01-27T05:11:42Z,CAL025,"13.48233,144.788773",0,18,244
1548565908,2019-01-27T05:11:48Z,CAL025,"13.482099,144.788269",0,18,244
1548565916,2019-01-27T05:11:56Z,CAL025,"13.481866,144.787766",0,18,244
1548565926,2019-01-27T05:12:06Z,CAL025,"13.481495,144.786972",0,19,244
1548565932,2019-01-27T05:12:12Z,CAL025,"13.481225,144.786377",0,22,244
1548565938,2019-01-27T05:12:18Z,CAL025,"13.480946,144.785767",0,23,244
1548565950,2019-01-27T05:12:30Z,CAL025,"13.48027,144.784286",0,27,244
1548565958,2019-01-27T05:12:38Z,CAL025,"13.479904,144.783478",0,27,244
1548565965,2019-01-27T05:12:45Z,CAL025,"13.479561,144.782715",0,26,244
1548565978,2019-01-27T05:12:58Z,CAL025,"13.479037,144.781631",0,32,239
1548565987,2019-01-27T05:13:07Z,CAL025,"13.478607,144.781342",0,30,191
1548565998,2019-01-27T05:13:18Z,CAL025,"13.478071,144.781677",0,29,112
1548566014,2019-01-27T05:13:34Z,CAL025,"13.478165,144.782318",0,15,64
1548566024,2019-01-27T05:13:44Z,CAL025,"13.478258,144.782547",0,17,64
1548566031,2019-01-27T05:13:51Z,CAL025,"13.478382,144.782791",0,23,64
1548566038,2019-01-27T05:13:58Z,CAL025,"13.478542,144.783142",0,16,64
1548566044,2019-01-27T05:14:04Z,CAL025,"13.478991,144.784149",0,49,64
1548566051,2019-01-27T05:14:11Z,CAL025,"13.479847,144.785995",0,74,64
1548566064,2019-01-27T05:14:24Z,CAL025,"13.482605,144.792053",0,130,64
1548566070,2019-01-27T05:14:30Z,CAL025,"13.484768,144.796783",0,155,64
1548566078,2019-01-27T05:14:38Z,CAL025,"13.486816,144.801361",425,169,65
1548566084,2019-01-27T05:14:44Z,CAL025,"13.489197,144.806625",700,170,64
1548566092,2019-01-27T05:14:52Z,CAL025,"13.491531,144.811554",1050,165,63
1548566099,2019-01-27T05:14:59Z,CAL025,"13.493818,144.816574",1375,166,65
1548566107,2019-01-27T05:15:07Z,CAL025,"13.495697,144.822586",1625,173,77
1548566131,2019-01-27T05:15:31Z,CAL025,"13.486649,144.83989",2625,185,144
1548566138,2019-01-27T05:15:38Z,CAL025,"13.481528,144.842789",2875,186,152
1548566144,2019-01-27T05:15:44Z,CAL025,"13.476221,144.845535",3125,188,153
1548566153,2019-01-27T05:15:53Z,CAL025,"13.46989,144.848755",3400,190,153
1548566224,2019-01-27T05:17:04Z,CAL025,"13.416303,144.88092",5000,240,162
1548566303,2019-01-27T05:18:23Z,CAL025,"13.341578,144.871735",7500,290,194
1548566362,2019-01-27T05:19:22Z,CAL025,"13.297347,144.816772",10200,290,248
1548566419,2019-01-27T05:20:19Z,CAL025,"13.260137,144.755112",12700,300,243
1548566478,2019-01-27T05:21:18Z,CAL025,"13.239467,144.669861",14300,320,271
1548566536,2019-01-27T05:22:16Z,CAL025,"13.231961,144.570786",15300,380,271
1548566596,2019-01-27T05:23:16Z,CAL025,"13.262839,144.466202",17300,400,310
1548566653,2019-01-27T05:24:13Z,CAL025,"13.312168,144.361786",19000,420,298
1548566712,2019-01-27T05:25:12Z,CAL025,"13.387355,144.250183",21100,410,311
1548566773,2019-01-27T05:26:13Z,CAL025,"13.472383,144.135483",22600,420,305
1548566830,2019-01-27T05:27:10Z,CAL025,"13.556041,144.036148",24000,430,310
1548566888,2019-01-27T05:28:08Z,CAL025,"13.646188,143.935272",25200,440,311
1548566946,2019-01-27T05:29:06Z,CAL025,"13.735554,143.838028",26400,450,311
1548567004,2019-01-27T05:30:04Z,CAL025,"13.826876,143.730408",27700,450,307
1548567085,2019-01-27T05:31:25Z,CAL025,"13.93528,143.603256",28900,460,311
1548567142,2019-01-27T05:32:22Z,CAL025,"14.005769,143.512878",30300,460,305
1548567199,2019-01-27T05:33:19Z,CAL025,"14.080853,143.419357",31600,460,311
1548567259,2019-01-27T05:34:19Z,CAL025,"14.162116,143.319916",32000,460,311
1548567315,2019-01-27T05:35:15Z,CAL025,"14.245699,143.218857",32000,470,311
1548567375,2019-01-27T05:36:15Z,CAL025,"14.329797,143.117981",32000,470,311
1548567434,2019-01-27T05:37:14Z,CAL025,"14.414049,143.009552",32000,480,307
1548567492,2019-01-27T05:38:12Z,CAL025,"14.496019,142.906479",32000,470,311
1548567550,2019-01-27T05:39:10Z,CAL025,"14.580642,142.802094",32000,470,311
1548567609,2019-01-27T05:40:09Z,CAL025,"14.664293,142.692703",32000,470,307
1548567667,2019-01-27T05:41:07Z,CAL025,"14.748122,142.586349",32000,460,311
1548567726,2019-01-27T05:42:06Z,CAL025,"14.834981,142.47876",32000,470,311
1548567784,2019-01-27T05:43:04Z,CAL025,"14.919197,142.368515",32000,460,307
1548567863,2019-01-27T05:44:23Z,CAL025,"15.007663,142.245438",32000,460,305
1548567921,2019-01-27T05:45:21Z,CAL025,"15.075933,142.163269",32000,460,317
1548567978,2019-01-27T05:46:18Z,CAL025,"15.141227,142.076584",32000,450,305
1548568038,2019-01-27T05:47:18Z,CAL025,"15.213101,141.977997",32000,450,307
1548568095,2019-01-27T05:48:15Z,CAL025,"15.293365,141.866028",32000,450,307
1548568155,2019-01-27T05:49:15Z,CAL025,"15.369581,141.763245",32000,460,310
1548568213,2019-01-27T05:50:13Z,CAL025,"15.454563,141.664871",32000,470,317
1548568272,2019-01-27T05:51:12Z,CAL025,"15.540444,141.565994",32000,460,311
1548568332,2019-01-27T05:52:12Z,CAL025,"15.622102,141.462418",32000,460,305
1548568390,2019-01-27T05:53:10Z,CAL025,"15.701039,141.356705",32000,460,307
