Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548998478,2019-02-01T05:21:18Z,CAL025,"13.485512,144.795761",0,17,244
1548998485,2019-02-01T05:21:25Z,CAL025,"13.485283,144.795242",0,17,244
1548998495,2019-02-01T05:21:35Z,CAL025,"13.484917,144.794449",0,18,244
1548998509,2019-02-01T05:21:49Z,CAL025,"13.484426,144.793381",0,17,244
1548998516,2019-02-01T05:21:56Z,CAL025,"13.484196,144.792862",0,16,244
1548998522,2019-02-01T05:22:02Z,CAL025,"13.483978,144.792404",0,15,244
1548998528,2019-02-01T05:22:08Z,CAL025,"13.483795,144.791992",0,16,244
1548998536,2019-02-01T05:22:16Z,CAL025,"13.483553,144.791473",0,16,244
1548998542,2019-02-01T05:22:22Z,CAL025,"13.483349,144.791016",0,16,244
1548998552,2019-02-01T05:22:32Z,CAL025,"13.48304,144.790329",0,16,244
1548998562,2019-02-01T05:22:42Z,CAL025,"13.482708,144.789627",0,16,244
1548998568,2019-02-01T05:22:48Z,CAL025,"13.482506,144.789185",0,16,244
1548998574,2019-02-01T05:22:54Z,CAL025,"13.482296,144.788712",0,16,244
1548998581,2019-02-01T05:23:01Z,CAL025,"13.482075,144.788223",0,16,244
1548998587,2019-02-01T05:23:07Z,CAL025,"13.481877,144.787811",0,16,244
1548998595,2019-02-01T05:23:15Z,CAL025,"13.481667,144.787338",0,16,244
1548998601,2019-02-01T05:23:21Z,CAL025,"13.48147,144.786911",0,15,244
1548998613,2019-02-01T05:23:33Z,CAL025,"13.48114,144.786194",0,29,244
1548998619,2019-02-01T05:23:39Z,CAL025,"13.481005,144.785873",0,29,244
1548998627,2019-02-01T05:23:47Z,CAL025,"13.48083,144.785507",0,30,244
1548998635,2019-02-01T05:23:55Z,CAL025,"13.480556,144.784927",0,34,244
1548998642,2019-02-01T05:24:02Z,CAL025,"13.480373,144.784515",0,15,244
1548998648,2019-02-01T05:24:08Z,CAL025,"13.480178,144.784103",0,32,244
1548998655,2019-02-01T05:24:15Z,CAL025,"13.480042,144.783768",0,27,244
1548998668,2019-02-01T05:24:28Z,CAL025,"13.479767,144.783173",0,26,244
