Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550380330,2019-02-17T05:12:10Z,CAL025,"13.485892,144.796585",0,18,244
1550380336,2019-02-17T05:12:16Z,CAL025,"13.485661,144.796082",0,19,244
1550380348,2019-02-17T05:12:28Z,CAL025,"13.48518,144.795029",0,21,244
1550380355,2019-02-17T05:12:35Z,CAL025,"13.484903,144.794403",0,19,244
1550380364,2019-02-17T05:12:44Z,CAL025,"13.48455,144.79364",0,19,244
1550380370,2019-02-17T05:12:50Z,CAL025,"13.484322,144.793137",0,20,244
1550380381,2019-02-17T05:13:01Z,CAL025,"13.483926,144.792282",0,18,244
1550380391,2019-02-17T05:13:11Z,CAL025,"13.483635,144.791656",0,31,244
1550380397,2019-02-17T05:13:17Z,CAL025,"13.483463,144.791275",0,31,244
1550380403,2019-02-17T05:13:23Z,CAL025,"13.483292,144.790909",0,33,244
1550380409,2019-02-17T05:13:29Z,CAL025,"13.48311,144.790512",0,33,244
1550380415,2019-02-17T05:13:35Z,CAL025,"13.482948,144.790161",0,29,244
1550380429,2019-02-17T05:13:49Z,CAL025,"13.482708,144.789627",0,23,244
1550380440,2019-02-17T05:14:00Z,CAL025,"13.482491,144.789154",0,22,244
1550380446,2019-02-17T05:14:06Z,CAL025,"13.482366,144.78891",0,22,244
1550380456,2019-02-17T05:14:16Z,CAL025,"13.482215,144.788559",0,23,244
1550380463,2019-02-17T05:14:23Z,CAL025,"13.482099,144.7883",0,24,244
1550380471,2019-02-17T05:14:31Z,CAL025,"13.481924,144.787903",0,25,244
1550380477,2019-02-17T05:14:37Z,CAL025,"13.481795,144.787628",0,25,244
1550380483,2019-02-17T05:14:43Z,CAL025,"13.481667,144.787369",0,26,244
1550380490,2019-02-17T05:14:50Z,CAL025,"13.481529,144.787048",0,27,244
1550380496,2019-02-17T05:14:56Z,CAL025,"13.481403,144.786758",0,25,244
1550380503,2019-02-17T05:15:03Z,CAL025,"13.481284,144.786499",0,23,244
1550380515,2019-02-17T05:15:15Z,CAL025,"13.481074,144.786057",0,18,244
1550380527,2019-02-17T05:15:27Z,CAL025,"13.480934,144.785736",0,17,244
1550380540,2019-02-17T05:15:40Z,CAL025,"13.480797,144.785461",0,14,244
1550380552,2019-02-17T05:15:52Z,CAL025,"13.480682,144.785202",0,13,244
1550380565,2019-02-17T05:16:05Z,CAL025,"13.480579,144.784988",0,12,244
1550380577,2019-02-17T05:16:17Z,CAL025,"13.480488,144.78476",0,11,244
1550380630,2019-02-17T05:17:10Z,CAL025,"13.480442,144.784668",0,0,250
1550380688,2019-02-17T05:18:08Z,CAL025,"13.48033,144.784424",0,19,244
1550380695,2019-02-17T05:18:15Z,CAL025,"13.480225,144.784195",0,24,244
1550380702,2019-02-17T05:18:22Z,CAL025,"13.480073,144.783875",0,28,244
1550380708,2019-02-17T05:18:28Z,CAL025,"13.479916,144.783508",0,31,244
1550380715,2019-02-17T05:18:35Z,CAL025,"13.479733,144.783112",0,33,244
1550380721,2019-02-17T05:18:41Z,CAL025,"13.479561,144.78273",0,31,244
1550380727,2019-02-17T05:18:47Z,CAL025,"13.479422,144.78244",0,26,244
1550380734,2019-02-17T05:18:54Z,CAL025,"13.479309,144.782196",0,21,244
1550380746,2019-02-17T05:19:06Z,CAL025,"13.479165,144.781876",0,13,244
1550380762,2019-02-17T05:19:22Z,CAL025,"13.479037,144.781631",0,11,244
1550380983,2019-02-17T05:23:03Z,CAL025,"13.478828,144.781403",0,10,214
1550381002,2019-02-17T05:23:22Z,CAL025,"13.478279,144.781403",0,21,160
1550381443,2019-02-17T05:30:43Z,CAL025,"13.583333,144.483337",12500,360,271
1550381500,2019-02-17T05:31:40Z,CAL025,"13.583333,144.366669",15300,370,271
1550381559,2019-02-17T05:32:39Z,CAL025,"13.624914,144.278046",17600,380,302
1550381617,2019-02-17T05:33:37Z,CAL025,"13.672904,144.182999",20200,390,298
1550381675,2019-02-17T05:34:35Z,CAL025,"13.734855,144.092133",22500,390,310
1550381734,2019-02-17T05:35:34Z,CAL025,"13.801093,143.997009",24400,400,305
1550381793,2019-02-17T05:36:33Z,CAL025,"13.876274,143.910461",26300,410,316
1550381872,2019-02-17T05:37:52Z,CAL025,"13.960401,143.803696",27700,430,305
1550381930,2019-02-17T05:38:50Z,CAL025,"14.024323,143.719711",29200,440,305
1550381988,2019-02-17T05:39:48Z,CAL025,"14.102809,143.613815",30700,450,307
1550382046,2019-02-17T05:40:46Z,CAL025,"14.17652,143.510376",32400,450,305
1550382105,2019-02-17T05:41:45Z,CAL025,"14.254367,143.408844",34000,450,311
1550382163,2019-02-17T05:42:43Z,CAL025,"14.32873,143.306824",35400,450,305
1550382222,2019-02-17T05:43:42Z,CAL025,"14.402082,143.202103",36900,440,305
1550382281,2019-02-17T05:44:41Z,CAL025,"14.479828,143.099304",38000,430,311
1550382339,2019-02-17T05:45:39Z,CAL025,"14.551606,142.999649",38000,430,305
1550382398,2019-02-17T05:46:38Z,CAL025,"14.622012,142.898148",38000,430,305
1550382455,2019-02-17T05:47:35Z,CAL025,"14.687469,142.801102",38000,430,305
1550382515,2019-02-17T05:48:35Z,CAL025,"14.761231,142.70166",38000,430,311
1550382572,2019-02-17T05:49:32Z,CAL025,"14.833737,142.59996",38000,430,305
1550382652,2019-02-17T05:50:52Z,CAL025,"14.913469,142.484741",38000,430,305
1550382709,2019-02-17T05:51:49Z,CAL025,"14.971891,142.397644",38000,430,305
1550382768,2019-02-17T05:52:48Z,CAL025,"15.044182,142.300659",38000,430,311
1550382827,2019-02-17T05:53:47Z,CAL025,"15.115863,142.200516",38000,430,305
1550382885,2019-02-17T05:54:45Z,CAL025,"15.18413,142.094238",38000,430,301
1550382962,2019-02-17T05:56:02Z,CAL025,"15.277054,141.976196",38000,470,317
1550383021,2019-02-17T05:57:01Z,CAL025,"15.348197,141.873795",38000,430,301
1550383080,2019-02-17T05:58:00Z,CAL025,"15.418077,141.770798",38000,520,305
1550383138,2019-02-17T05:58:58Z,CAL025,"15.485068,141.67041",38000,440,305
1550383196,2019-02-17T05:59:56Z,CAL025,"15.552881,141.567917",38000,440,305
1550383257,2019-02-17T06:00:57Z,CAL025,"15.626884,141.467285",38000,440,311
1550383314,2019-02-17T06:01:54Z,CAL025,"15.697765,141.367737",38000,440,305
1550391010,2019-02-17T08:10:10Z,CAL025,"23.063049,128.959061",38000,360,297
1550391070,2019-02-17T08:11:10Z,CAL025,"23.109835,128.861343",38000,359,297
1550391132,2019-02-17T08:12:12Z,CAL025,"23.157877,128.760422",38000,357,297
1550391192,2019-02-17T08:13:12Z,CAL025,"23.202393,128.667038",38000,357,297
1550391258,2019-02-17T08:14:18Z,CAL025,"23.251585,128.563797",38000,355,297
1550391319,2019-02-17T08:15:19Z,CAL025,"23.291294,128.464508",38000,354,292
1550391353,2019-02-17T08:15:53Z,CAL025,"23.312439,128.409805",38000,353,292
1550391444,2019-02-17T08:17:24Z,CAL025,"23.36998,128.261093",38000,353,292
1550391505,2019-02-17T08:18:25Z,CAL025,"23.40976,128.15741",38000,354,292
1550391563,2019-02-17T08:19:23Z,CAL025,"23.446314,128.062393",38000,354,292
1550391629,2019-02-17T08:20:29Z,CAL025,"23.487854,127.953865",38000,351,292
1550391688,2019-02-17T08:21:28Z,CAL025,"23.524149,127.859093",38000,349,292
1550391754,2019-02-17T08:22:34Z,CAL025,"23.565445,127.750854",38000,349,292
1550391821,2019-02-17T08:23:41Z,CAL025,"23.606174,127.643822",38000,349,292
1550391881,2019-02-17T08:24:41Z,CAL025,"23.643974,127.544121",38000,350,292
1550391943,2019-02-17T08:25:43Z,CAL025,"23.6821,127.443481",38000,351,292
1550392005,2019-02-17T08:26:45Z,CAL025,"23.72049,127.341713",38000,351,292
1550392066,2019-02-17T08:27:46Z,CAL025,"23.757843,127.242943",38000,351,292
1550392129,2019-02-17T08:28:49Z,CAL025,"23.797178,127.138191",38000,348,292
1550392190,2019-02-17T08:29:50Z,CAL025,"23.833923,127.040154",38000,349,292
1550392253,2019-02-17T08:30:53Z,CAL025,"23.872871,126.936348",38000,351,292
1550392314,2019-02-17T08:31:54Z,CAL025,"23.910141,126.836395",38000,351,292
1550392378,2019-02-17T08:32:58Z,CAL025,"23.949188,126.731468",38000,353,291
1550392438,2019-02-17T08:33:58Z,CAL025,"23.986412,126.631531",38000,352,291
1550392497,2019-02-17T08:34:57Z,CAL025,"24.02298,126.532845",38000,353,291
1550392562,2019-02-17T08:36:02Z,CAL025,"24.062119,126.427155",38000,351,292
1550392625,2019-02-17T08:37:05Z,CAL025,"24.100698,126.322769",38000,350,291
1550392688,2019-02-17T08:38:08Z,CAL025,"24.138931,126.218468",38000,350,291
1550392755,2019-02-17T08:39:15Z,CAL025,"24.178534,126.110504",38000,350,291
1550392766,2019-02-17T08:39:26Z,CAL025,"24.18544,126.091766",38000,350,291
1550392855,2019-02-17T08:40:55Z,CAL025,"24.238493,125.947006",38000,349,291
1550392927,2019-02-17T08:42:07Z,CAL025,"24.28212,125.827484",38000,351,291
1550392993,2019-02-17T08:43:13Z,CAL025,"24.322174,125.717468",38000,353,291
1550393013,2019-02-17T08:43:33Z,CAL025,"24.334442,125.683495",38000,353,291
1550393100,2019-02-17T08:45:00Z,CAL025,"24.38681,125.538734",38000,352,291
1550393176,2019-02-17T08:46:16Z,CAL025,"24.432404,125.413055",38000,350,291
1550393244,2019-02-17T08:47:24Z,CAL025,"24.471954,125.30233",38000,349,291
1550393305,2019-02-17T08:48:25Z,CAL025,"24.508347,125.201569",38000,349,291
1550393316,2019-02-17T08:48:36Z,CAL025,"24.514709,125.183815",38000,349,291
1550393379,2019-02-17T08:49:39Z,CAL025,"24.552395,125.079346",38000,349,291
1550393454,2019-02-17T08:50:54Z,CAL025,"24.595549,124.958183",38000,351,291
1550393545,2019-02-17T08:52:25Z,CAL025,"24.650761,124.803238",38000,352,291
1550393607,2019-02-17T08:53:27Z,CAL025,"24.686966,124.700775",38000,353,291
1550393642,2019-02-17T08:54:02Z,CAL025,"24.708069,124.641167",38000,353,291
1550393731,2019-02-17T08:55:31Z,CAL025,"24.760529,124.493103",38000,352,291
1550393793,2019-02-17T08:56:33Z,CAL025,"24.79549,124.393631",38000,342,290
1550393855,2019-02-17T08:57:35Z,CAL025,"24.831337,124.291542",38000,337,291
1550393919,2019-02-17T08:58:39Z,CAL025,"24.867233,124.189301",38000,338,291
1550393982,2019-02-17T08:59:42Z,CAL025,"24.902607,124.087723",38000,341,290
1550394045,2019-02-17T09:00:45Z,CAL025,"24.934387,123.985847",38000,341,280
1550394051,2019-02-17T09:00:51Z,CAL025,"24.935989,123.974152",38000,342,277
1550394060,2019-02-17T09:01:00Z,CAL025,"24.937614,123.958633",38000,341,276
1550394120,2019-02-17T09:02:00Z,CAL025,"24.948601,123.857224",38000,341,276
1550394185,2019-02-17T09:03:05Z,CAL025,"24.960342,123.744354",38000,341,276
1550394246,2019-02-17T09:04:06Z,CAL025,"24.97183,123.634491",38000,341,276
1550394308,2019-02-17T09:05:08Z,CAL025,"24.982773,123.530479",37375,342,276
1550394371,2019-02-17T09:06:11Z,CAL025,"24.99408,123.422752",36150,340,276
1550394433,2019-02-17T09:07:13Z,CAL025,"25.004974,123.313042",34575,362,276
1550394494,2019-02-17T09:08:14Z,CAL025,"25.017014,123.195442",32875,374,276
1550394555,2019-02-17T09:09:15Z,CAL025,"25.028458,123.081108",31250,381,276
1550394618,2019-02-17T09:10:18Z,CAL025,"25.040682,122.959038",29275,374,276
1550394680,2019-02-17T09:11:20Z,CAL025,"25.051987,122.846275",27375,358,276
1550394743,2019-02-17T09:12:23Z,CAL025,"25.062981,122.734695",25475,344,276
1550394803,2019-02-17T09:13:23Z,CAL025,"25.073502,122.629601",23625,340,275
1550394866,2019-02-17T09:14:26Z,CAL025,"25.083527,122.523293",22275,312,276
1550394930,2019-02-17T09:15:30Z,CAL025,"25.09296,122.425941",21000,300,276
1550394991,2019-02-17T09:16:31Z,CAL025,"25.101974,122.333122",20000,300,276
1550395021,2019-02-17T09:17:01Z,CAL025,"25.108974,122.288353",20000,305,288
1550395028,2019-02-17T09:17:08Z,CAL025,"25.112366,122.279106",20000,307,293
1550395038,2019-02-17T09:17:18Z,CAL025,"25.118284,122.266846",20000,310,299
1550395044,2019-02-17T09:17:24Z,CAL025,"25.124725,122.25489",20000,309,300
1550395051,2019-02-17T09:17:31Z,CAL025,"25.129257,122.246452",20000,309,300
1550395112,2019-02-17T09:18:32Z,CAL025,"25.173706,122.163544",20000,309,300
