Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551158290,2019-02-26T05:18:10Z,CAL025,"13.492654,144.808868",0,9,110
1551158308,2019-02-26T05:18:28Z,CAL025,"13.492641,144.809082",0,9,89
1551158329,2019-02-26T05:18:49Z,CAL025,"13.492722,144.809296",0,9,53
1551158615,2019-02-26T05:23:35Z,CAL025,"13.492561,144.809006",0,22,241
1551158621,2019-02-26T05:23:41Z,CAL025,"13.492424,144.808746",0,29,241
1551158636,2019-02-26T05:23:56Z,CAL025,"13.491898,144.807755",0,17,241
1551158642,2019-02-26T05:24:02Z,CAL025,"13.491665,144.807312",0,18,241
1551158649,2019-02-26T05:24:09Z,CAL025,"13.491363,144.806747",0,20,241
1551158655,2019-02-26T05:24:15Z,CAL025,"13.491095,144.806244",0,20,241
1551158667,2019-02-26T05:24:27Z,CAL025,"13.490559,144.805222",0,20,241
1551158673,2019-02-26T05:24:33Z,CAL025,"13.49028,144.804703",0,18,241
1551158682,2019-02-26T05:24:42Z,CAL025,"13.489838,144.804123",0,16,225
1551158689,2019-02-26T05:24:49Z,CAL025,"13.489506,144.803818",0,34,222
1551158695,2019-02-26T05:24:55Z,CAL025,"13.489221,144.803497",0,34,230
1551158703,2019-02-26T05:25:03Z,CAL025,"13.488865,144.802994",0,15,239
1551158710,2019-02-26T05:25:10Z,CAL025,"13.48865,144.802582",0,16,241
1551158717,2019-02-26T05:25:17Z,CAL025,"13.488429,144.802094",0,17,244
1551158729,2019-02-26T05:25:29Z,CAL025,"13.487988,144.801132",0,18,244
1551158736,2019-02-26T05:25:36Z,CAL025,"13.487755,144.800629",0,18,244
1551158742,2019-02-26T05:25:42Z,CAL025,"13.487522,144.800125",0,18,244
1551158748,2019-02-26T05:25:48Z,CAL025,"13.487312,144.799667",0,17,244
1551158754,2019-02-26T05:25:54Z,CAL025,"13.487091,144.799194",0,17,244
1551158760,2019-02-26T05:26:00Z,CAL025,"13.486874,144.798721",0,17,244
1551158767,2019-02-26T05:26:07Z,CAL025,"13.486645,144.798218",0,17,244
1551158773,2019-02-26T05:26:13Z,CAL025,"13.486439,144.79776",0,17,244
1551158782,2019-02-26T05:26:22Z,CAL025,"13.486118,144.797058",0,19,244
1551158789,2019-02-26T05:26:29Z,CAL025,"13.485867,144.796494",0,19,244
1551158795,2019-02-26T05:26:35Z,CAL025,"13.485601,144.795914",0,20,244
1551158802,2019-02-26T05:26:42Z,CAL025,"13.485352,144.795364",0,21,244
1551158808,2019-02-26T05:26:48Z,CAL025,"13.485077,144.794769",0,21,244
1551158815,2019-02-26T05:26:55Z,CAL025,"13.484814,144.794205",0,22,244
1551158827,2019-02-26T05:27:07Z,CAL025,"13.484251,144.792953",0,23,244
1551158833,2019-02-26T05:27:13Z,CAL025,"13.483937,144.792282",0,24,244
1551158839,2019-02-26T05:27:19Z,CAL025,"13.483646,144.791656",0,25,244
