Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546301360,2019-01-01T00:09:20Z,CAL026,"25.074409,121.237343",0,9,138
1546301559,2019-01-01T00:12:39Z,CAL026,"25.074163,121.237251",0,18,203
1546301593,2019-01-01T00:13:13Z,CAL026,"25.07341,121.23629",0,19,227
1546301602,2019-01-01T00:13:22Z,CAL026,"25.073233,121.236076",0,19,227
1546301610,2019-01-01T00:13:30Z,CAL026,"25.073055,121.235832",0,19,227
1546301631,2019-01-01T00:13:51Z,CAL026,"25.072723,121.235428",0,15,227
1546301642,2019-01-01T00:14:02Z,CAL026,"25.072557,121.235222",0,11,227
1546301704,2019-01-01T00:15:04Z,CAL026,"25.072477,121.2351",0,0,307
1546301737,2019-01-01T00:15:37Z,CAL026,"25.072208,121.234764",0,16,227
1546301790,2019-01-01T00:16:30Z,CAL026,"25.07094,121.23304",0,21,261
1546301834,2019-01-01T00:17:14Z,CAL026,"25.070766,121.231422",0,24,227
1546301862,2019-01-01T00:17:42Z,CAL026,"25.070068,121.230545",0,21,227
1546301868,2019-01-01T00:17:48Z,CAL026,"25.069893,121.230309",0,24,227
1546301877,2019-01-01T00:17:57Z,CAL026,"25.069555,121.229897",0,29,227
1546301887,2019-01-01T00:18:07Z,CAL026,"25.06913,121.229347",0,32,227
1546301894,2019-01-01T00:18:14Z,CAL026,"25.068857,121.229004",0,32,227
1546301901,2019-01-01T00:18:21Z,CAL026,"25.06859,121.228661",0,32,230
1546301913,2019-01-01T00:18:33Z,CAL026,"25.068089,121.228027",0,33,227
1546301921,2019-01-01T00:18:41Z,CAL026,"25.067711,121.227554",0,32,230
1546301933,2019-01-01T00:18:53Z,CAL026,"25.067274,121.22699",0,31,227
1546301965,2019-01-01T00:19:25Z,CAL026,"25.06604,121.22541",0,30,227
1546301973,2019-01-01T00:19:33Z,CAL026,"25.065742,121.225052",0,26,230
1546301979,2019-01-01T00:19:39Z,CAL026,"25.065582,121.224846",0,25,227
1546301994,2019-01-01T00:19:54Z,CAL026,"25.065102,121.224236",0,26,227
1546302470,2019-01-01T00:27:50Z,CAL026,"25.061199,121.223976",0,2,129
1546302506,2019-01-01T00:28:26Z,CAL026,"25.06255,121.22567",0,62,50
1546302514,2019-01-01T00:28:34Z,CAL026,"25.064854,121.2286",0,100,47
1546302531,2019-01-01T00:28:51Z,CAL026,"25.071918,121.237503",0,146,48
1546302542,2019-01-01T00:29:02Z,CAL026,"25.076385,121.243034",550,141,47
1546302553,2019-01-01T00:29:13Z,CAL026,"25.08078,121.248375",1100,140,48
1546302563,2019-01-01T00:29:23Z,CAL026,"25.085138,121.254028",1475,146,49
1546302572,2019-01-01T00:29:32Z,CAL026,"25.08989,121.26017",1700,161,49
1546302578,2019-01-01T00:29:38Z,CAL026,"25.092499,121.263634",1800,171,50
1546302587,2019-01-01T00:29:47Z,CAL026,"25.09794,121.270973",1975,191,50
1546302598,2019-01-01T00:29:58Z,CAL026,"25.10376,121.278801",2350,201,51
1546302606,2019-01-01T00:30:06Z,CAL026,"25.108974,121.285851",2800,202,50
1546302619,2019-01-01T00:30:19Z,CAL026,"25.116423,121.295486",3350,211,49
1546302629,2019-01-01T00:30:29Z,CAL026,"25.123032,121.303627",3600,229,46
1546302638,2019-01-01T00:30:38Z,CAL026,"25.130814,121.312309",4125,236,45
1546302654,2019-01-01T00:30:54Z,CAL026,"25.143311,121.326088",4950,250,44
1546302664,2019-01-01T00:31:04Z,CAL026,"25.151688,121.335396",5400,260,45
1546302679,2019-01-01T00:31:19Z,CAL026,"25.164883,121.350212",5975,281,46
1546302694,2019-01-01T00:31:34Z,CAL026,"25.178942,121.366379",6800,291,46
1546302704,2019-01-01T00:31:44Z,CAL026,"25.188671,121.377731",7450,295,46
1546302719,2019-01-01T00:31:59Z,CAL026,"25.201799,121.393951",8450,295,51
1546302725,2019-01-01T00:32:05Z,CAL026,"25.205978,121.401466",8800,298,61
1546302735,2019-01-01T00:32:15Z,CAL026,"25.21097,121.416756",9350,303,77
1546302746,2019-01-01T00:32:26Z,CAL026,"25.211975,121.431938",9875,305,91
1546302755,2019-01-01T00:32:35Z,CAL026,"25.210144,121.447601",10275,314,98
1546302761,2019-01-01T00:32:41Z,CAL026,"25.208967,121.456345",10375,323,98
1546302780,2019-01-01T00:33:00Z,CAL026,"25.204453,121.491272",11150,346,97
1546302796,2019-01-01T00:33:16Z,CAL026,"25.201218,121.517944",11875,356,97
1546302811,2019-01-01T00:33:31Z,CAL026,"25.197796,121.54615",12525,367,97
1546302841,2019-01-01T00:34:01Z,CAL026,"25.191147,121.60273",14025,382,97
1546302874,2019-01-01T00:34:34Z,CAL026,"25.183136,121.668495",15600,398,97
1546302915,2019-01-01T00:35:15Z,CAL026,"25.172703,121.753548",17375,416,97
1546302928,2019-01-01T00:35:28Z,CAL026,"25.169167,121.782356",18000,419,97
1546303019,2019-01-01T00:36:59Z,CAL026,"25.145052,121.97747",21725,448,97
1546303080,2019-01-01T00:38:00Z,CAL026,"25.127563,122.118782",23875,465,97
1546303141,2019-01-01T00:39:01Z,CAL026,"25.109207,122.265724",25575,484,98
1546303202,2019-01-01T00:40:02Z,CAL026,"25.092541,122.41993",27150,504,95
1546303274,2019-01-01T00:41:14Z,CAL026,"25.07579,122.606865",29150,514,95
1546303335,2019-01-01T00:42:15Z,CAL026,"25.060326,122.766411",30825,519,96
1546303396,2019-01-01T00:43:16Z,CAL026,"25.044266,122.927788",32100,530,96
1546303460,2019-01-01T00:44:20Z,CAL026,"25.026855,123.100433",33325,539,96
1546303519,2019-01-01T00:45:19Z,CAL026,"25.01033,123.264366",34675,539,96
1546303570,2019-01-01T00:46:10Z,CAL026,"24.996323,123.401848",36100,531,96
1546303660,2019-01-01T00:47:40Z,CAL026,"24.971272,123.640808",37850,530,96
1546303723,2019-01-01T00:48:43Z,CAL026,"24.953163,123.809959",39000,527,96
1546303786,2019-01-01T00:49:46Z,CAL026,"24.93552,123.973564",39000,528,98
1546303843,2019-01-01T00:50:43Z,CAL026,"24.896805,124.125114",39000,520,107
1546303910,2019-01-01T00:51:50Z,CAL026,"24.849398,124.288383",39000,517,107
1546303967,2019-01-01T00:52:47Z,CAL026,"24.805847,124.436798",39000,515,107
1546304029,2019-01-01T00:53:49Z,CAL026,"24.760849,124.589943",39000,512,107
1546304080,2019-01-01T00:54:40Z,CAL026,"24.724033,124.714569",39000,508,107
1546304156,2019-01-01T00:55:56Z,CAL026,"24.668636,124.900871",39000,506,108
1546304247,2019-01-01T00:57:27Z,CAL026,"24.602438,125.122665",39000,508,108
1546304307,2019-01-01T00:58:27Z,CAL026,"24.558168,125.270622",39000,509,108
1546304370,2019-01-01T00:59:30Z,CAL026,"24.510963,125.425262",39000,509,108
1546304430,2019-01-01T01:00:30Z,CAL026,"24.465807,125.574455",39000,510,108
1546304508,2019-01-01T01:01:48Z,CAL026,"24.408737,125.763908",39000,506,108
1546304572,2019-01-01T01:02:52Z,CAL026,"24.363235,125.913338",39000,503,108
1546304634,2019-01-01T01:03:54Z,CAL026,"24.316469,126.0662",39000,500,108
1546304694,2019-01-01T01:04:54Z,CAL026,"24.271591,126.212074",39000,500,108
1546304757,2019-01-01T01:05:57Z,CAL026,"24.22467,126.363983",39000,500,108
1546304819,2019-01-01T01:06:59Z,CAL026,"24.179626,126.509399",39000,499,108
1546304880,2019-01-01T01:08:00Z,CAL026,"24.13298,126.659492",39000,499,108
1546304947,2019-01-01T01:09:07Z,CAL026,"24.072674,126.803474",39000,489,116
1546305007,2019-01-01T01:10:07Z,CAL026,"24.011318,126.937538",39000,487,116
