Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546732787,2019-01-05T23:59:47Z,CAL026,"25.077141,121.228195",0,0,38
1546732922,2019-01-06T00:02:02Z,CAL026,"25.077141,121.22818",0,0,257
1546732962,2019-01-06T00:02:42Z,CAL026,"25.077141,121.22818",0,0,257
1546733042,2019-01-06T00:04:02Z,CAL026,"25.077141,121.22818",0,0,257
1546733131,2019-01-06T00:05:31Z,CAL026,"25.077381,121.227951",0,10,319
1546733156,2019-01-06T00:05:56Z,CAL026,"25.07761,121.227707",0,10,314
1546733187,2019-01-06T00:06:27Z,CAL026,"25.077911,121.227455",0,10,329
1546733207,2019-01-06T00:06:47Z,CAL026,"25.078125,121.227531",0,9,35
1546733320,2019-01-06T00:08:40Z,CAL026,"25.077971,121.227325",0,16,233
1546733335,2019-01-06T00:08:55Z,CAL026,"25.077644,121.22686",0,22,250
1546733350,2019-01-06T00:09:10Z,CAL026,"25.077946,121.226128",0,29,300
1546733356,2019-01-06T00:09:16Z,CAL026,"25.077982,121.225838",0,28,267
1546733365,2019-01-06T00:09:25Z,CAL026,"25.077702,121.225334",0,26,230
1546733381,2019-01-06T00:09:41Z,CAL026,"25.077209,121.224709",0,26,227
1546733391,2019-01-06T00:09:51Z,CAL026,"25.076866,121.224289",0,26,227
1546733402,2019-01-06T00:10:02Z,CAL026,"25.07655,121.223869",0,26,227
1546733411,2019-01-06T00:10:11Z,CAL026,"25.076225,121.223465",0,25,230
1546733422,2019-01-06T00:10:22Z,CAL026,"25.075911,121.223068",0,25,227
1546733436,2019-01-06T00:10:36Z,CAL026,"25.075457,121.222481",0,25,227
1546733447,2019-01-06T00:10:47Z,CAL026,"25.075142,121.222084",0,25,227
1546733478,2019-01-06T00:11:18Z,CAL026,"25.074385,121.221123",0,16,227
1546733492,2019-01-06T00:11:32Z,CAL026,"25.074223,121.220917",0,9,227
1546733553,2019-01-06T00:12:33Z,CAL026,"25.074154,121.220833",0,0,214
1546733977,2019-01-06T00:19:37Z,CAL026,"25.073971,121.220604",0,13,227
1546733997,2019-01-06T00:19:57Z,CAL026,"25.073709,121.220253",0,13,227
1546734017,2019-01-06T00:20:17Z,CAL026,"25.073431,121.219917",0,14,227
1546734038,2019-01-06T00:20:38Z,CAL026,"25.073153,121.219543",0,14,227
1546734058,2019-01-06T00:20:58Z,CAL026,"25.072861,121.219177",0,14,227
1546734073,2019-01-06T00:21:13Z,CAL026,"25.072628,121.21888",0,14,227
1546734093,2019-01-06T00:21:33Z,CAL026,"25.072311,121.218491",0,15,227
1546734104,2019-01-06T00:21:44Z,CAL026,"25.072151,121.218285",0,15,227
1546734124,2019-01-06T00:22:04Z,CAL026,"25.07193,121.218002",0,9,227
1546734155,2019-01-06T00:22:35Z,CAL026,"25.071732,121.217758",0,2,227
1546734171,2019-01-06T00:22:51Z,CAL026,"25.071686,121.217522",0,14,227
1546734181,2019-01-06T00:23:01Z,CAL026,"25.071814,121.217278",0,17,227
1546734201,2019-01-06T00:23:21Z,CAL026,"25.072046,121.217041",0,0,330
1546734295,2019-01-06T00:24:55Z,CAL026,"25.072058,121.217026",0,0,302
1546734338,2019-01-06T00:25:38Z,CAL026,"25.072336,121.216774",0,21,317
1546734348,2019-01-06T00:25:48Z,CAL026,"25.072721,121.216423",0,26,323
1546734359,2019-01-06T00:25:59Z,CAL026,"25.073105,121.216316",0,19,11
1546734369,2019-01-06T00:26:09Z,CAL026,"25.07333,121.216522",0,14,16
1546734419,2019-01-06T00:26:59Z,CAL026,"25.073914,121.21727",0,36,50
1546734430,2019-01-06T00:27:10Z,CAL026,"25.075794,121.219673",0,78,50
1546734440,2019-01-06T00:27:20Z,CAL026,"25.078981,121.223724",0,115,50
1546734450,2019-01-06T00:27:30Z,CAL026,"25.083035,121.228882",0,145,47
1546734460,2019-01-06T00:27:40Z,CAL026,"25.0877,121.235168",75,155,51
1546734471,2019-01-06T00:27:51Z,CAL026,"25.092075,121.241493",650,147,52
1546734482,2019-01-06T00:28:02Z,CAL026,"25.096573,121.247406",1075,148,48
1546734491,2019-01-06T00:28:11Z,CAL026,"25.1012,121.253098",1325,156,47
1546734501,2019-01-06T00:28:21Z,CAL026,"25.106369,121.259308",1525,166,47
1546734511,2019-01-06T00:28:31Z,CAL026,"25.111954,121.266228",1700,180,49
