Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547169587,2019-01-11T01:19:47Z,CAL026,"23.644207,127.730209",39000,472,116
1547172967,2019-01-11T02:16:07Z,CAL026,"20.999941,134.950012",39000,455,20
1547176779,2019-01-11T03:19:39Z,CAL026,"15.682219,141.427765",39000,450,190
1547176839,2019-01-11T03:20:39Z,CAL026,"15.590956,141.531769",39000,440,126
1547176896,2019-01-11T03:21:36Z,CAL026,"15.510992,141.63385",39000,460,124
1547176957,2019-01-11T03:22:37Z,CAL026,"15.425821,141.740311",39000,440,130
1547177016,2019-01-11T03:23:36Z,CAL026,"15.352754,141.83905",39000,450,124
1547177071,2019-01-11T03:24:31Z,CAL026,"15.278947,141.935532",39000,450,130
1547177129,2019-01-11T03:25:29Z,CAL026,"15.209117,142.040909",39000,460,120
1547177207,2019-01-11T03:26:47Z,CAL026,"15.121276,142.171478",39000,460,126
1547177266,2019-01-11T03:27:46Z,CAL026,"15.049748,142.269302",39000,450,130
1547177336,2019-01-11T03:28:56Z,CAL026,"14.96517,142.386093",39000,450,126
1547177386,2019-01-11T03:29:46Z,CAL026,"14.902529,142.476013",39000,440,124
1547177446,2019-01-11T03:30:46Z,CAL026,"14.831214,142.580536",39000,440,124
1547177500,2019-01-11T03:31:40Z,CAL026,"14.756695,142.680634",39000,440,130
1547177568,2019-01-11T03:32:48Z,CAL026,"14.675456,142.794159",39000,440,124
1547177637,2019-01-11T03:33:57Z,CAL026,"14.60416,142.905548",39000,440,120
1547177694,2019-01-11T03:34:54Z,CAL026,"14.534026,143.003159",39000,440,130
1547177753,2019-01-11T03:35:53Z,CAL026,"14.466022,143.100647",38800,440,124
1547177813,2019-01-11T03:36:53Z,CAL026,"14.399321,143.198334",36600,440,124
1547177870,2019-01-11T03:37:50Z,CAL026,"14.325727,143.296417",33600,450,130
1547177931,2019-01-11T03:38:51Z,CAL026,"14.252157,143.398529",30500,450,124
1547177989,2019-01-11T03:39:49Z,CAL026,"14.175676,143.497238",28100,450,130
1547178049,2019-01-11T03:40:49Z,CAL026,"14.090724,143.602188",25700,440,130
1547178107,2019-01-11T03:41:47Z,CAL026,"14.01857,143.697495",23400,420,124
1547178164,2019-01-11T03:42:44Z,CAL026,"13.955585,143.796158",21300,400,117
1547178223,2019-01-11T03:43:43Z,CAL026,"13.89239,143.888351",19100,400,129
1547178289,2019-01-11T03:44:49Z,CAL026,"13.822796,143.983932",16900,380,129
1547178340,2019-01-11T03:45:40Z,CAL026,"13.762573,144.062317",14900,360,129
1547178416,2019-01-11T03:46:56Z,CAL026,"13.687983,144.157059",12800,350,129
1547178476,2019-01-11T03:47:56Z,CAL026,"13.635703,144.231201",11200,330,121
1547178534,2019-01-11T03:48:54Z,CAL026,"13.586259,144.300018",10300,310,127
1547178591,2019-01-11T03:49:51Z,CAL026,"13.540197,144.363144",8900,280,127
1547178650,2019-01-11T03:50:50Z,CAL026,"13.499558,144.428619",7200,280,117
1547178710,2019-01-11T03:51:50Z,CAL026,"13.458288,144.483414",5500,270,135
1547178768,2019-01-11T03:52:48Z,CAL026,"13.414138,144.541412",4800,240,127
1547178826,2019-01-11T03:53:46Z,CAL026,"13.383356,144.586411",4100,190,117
1547178885,2019-01-11T03:54:45Z,CAL026,"13.368271,144.632385",3200,170,89
1547178945,2019-01-11T03:55:45Z,CAL026,"13.372642,144.670837",2700,150,62
1547179005,2019-01-11T03:56:45Z,CAL026,"13.389565,144.71048",2000,140,71
1547179061,2019-01-11T03:57:41Z,CAL026,"13.412237,144.745407",1200,140,62
1547179119,2019-01-11T03:58:39Z,CAL026,"13.437218,144.777969",600,140,62
