Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548115207,2019-01-22T00:00:07Z,CAL026,"25.077164,121.228165",0,2,315
1548115304,2019-01-22T00:01:44Z,CAL026,"25.078022,121.227455",0,9,25
1548115492,2019-01-22T00:04:52Z,CAL026,"25.077793,121.227135",0,23,230
1548115498,2019-01-22T00:04:58Z,CAL026,"25.077656,121.226921",0,25,241
1548115508,2019-01-22T00:05:08Z,CAL026,"25.077724,121.226448",0,27,309
1548115517,2019-01-22T00:05:17Z,CAL026,"25.078005,121.225967",0,26,278
1548115528,2019-01-22T00:05:28Z,CAL026,"25.077806,121.225479",0,25,233
1548115539,2019-01-22T00:05:39Z,CAL026,"25.077461,121.225052",0,27,227
1548115549,2019-01-22T00:05:49Z,CAL026,"25.077084,121.224556",0,30,227
1548115559,2019-01-22T00:05:59Z,CAL026,"25.076677,121.224052",0,32,230
1548115569,2019-01-22T00:06:09Z,CAL026,"25.076223,121.223465",0,15,230
1548115575,2019-01-22T00:06:15Z,CAL026,"25.075991,121.223167",0,15,230
1548115585,2019-01-22T00:06:25Z,CAL026,"25.075525,121.222572",0,15,230
1548115594,2019-01-22T00:06:34Z,CAL026,"25.075069,121.222",0,15,230
1548115605,2019-01-22T00:06:45Z,CAL026,"25.074594,121.221397",0,15,227
1548115620,2019-01-22T00:07:00Z,CAL026,"25.073885,121.220505",0,15,230
1548115631,2019-01-22T00:07:11Z,CAL026,"25.073431,121.219917",0,34,227
1548115641,2019-01-22T00:07:21Z,CAL026,"25.072966,121.219322",0,34,230
1548115651,2019-01-22T00:07:31Z,CAL026,"25.07254,121.218773",0,30,230
1548115662,2019-01-22T00:07:42Z,CAL026,"25.072186,121.218338",0,25,230
1548115671,2019-01-22T00:07:51Z,CAL026,"25.071922,121.217995",0,22,227
1548115681,2019-01-22T00:08:01Z,CAL026,"25.071693,121.217628",0,20,253
1548115687,2019-01-22T00:08:07Z,CAL026,"25.071709,121.217415",0,20,286
1548115698,2019-01-22T00:08:18Z,CAL026,"25.071911,121.217171",0,17,320
1548115917,2019-01-22T00:11:57Z,CAL026,"25.072071,121.217026",0,0,234
1548116137,2019-01-22T00:15:37Z,CAL026,"25.072289,121.216827",0,21,317
1548116152,2019-01-22T00:15:52Z,CAL026,"25.072906,121.216301",0,25,343
1548116162,2019-01-22T00:16:02Z,CAL026,"25.07325,121.216446",0,19,47
1548116255,2019-01-22T00:17:35Z,CAL026,"25.07349,121.216759",0,15,50
1548116265,2019-01-22T00:17:45Z,CAL026,"25.074745,121.218361",0,59,47
1548116276,2019-01-22T00:17:56Z,CAL026,"25.077187,121.221466",0,98,50
1548116286,2019-01-22T00:18:06Z,CAL026,"25.08103,121.226341",0,135,47
1548116295,2019-01-22T00:18:15Z,CAL026,"25.085419,121.231903",0,157,49
1548116305,2019-01-22T00:18:25Z,CAL026,"25.089933,121.237709",300,152,50
1548116315,2019-01-22T00:18:35Z,CAL026,"25.094833,121.244202",850,148,50
1548116325,2019-01-22T00:18:45Z,CAL026,"25.099091,121.249695",1200,150,49
1548116336,2019-01-22T00:18:56Z,CAL026,"25.104038,121.255898",1350,165,48
1548116346,2019-01-22T00:19:06Z,CAL026,"25.109665,121.262817",1600,177,48
1548116356,2019-01-22T00:19:16Z,CAL026,"25.115351,121.269989",1825,187,49
1548116362,2019-01-22T00:19:22Z,CAL026,"25.118378,121.273827",1950,192,49
1548116371,2019-01-22T00:19:31Z,CAL026,"25.124149,121.281189",2125,203,49
1548116381,2019-01-22T00:19:41Z,CAL026,"25.130947,121.289734",2625,204,48
1548116390,2019-01-22T00:19:50Z,CAL026,"25.136208,121.296425",3025,204,48
1548116403,2019-01-22T00:20:03Z,CAL026,"25.143469,121.305908",3525,212,50
1548116413,2019-01-22T00:20:13Z,CAL026,"25.150497,121.315231",3775,222,50
1548116427,2019-01-22T00:20:27Z,CAL026,"25.161066,121.32917",4200,239,50
1548116437,2019-01-22T00:20:37Z,CAL026,"25.167664,121.337685",4500,245,49
1548116463,2019-01-22T00:21:03Z,CAL026,"25.184052,121.36805",4950,279,76
1548116477,2019-01-22T00:21:17Z,CAL026,"25.184761,121.388771",5275,291,95
1548116483,2019-01-22T00:21:23Z,CAL026,"25.183922,121.39711",5475,293,96
1548116504,2019-01-22T00:21:44Z,CAL026,"25.181259,121.428734",6200,307,95
1548116524,2019-01-22T00:22:04Z,CAL026,"25.178616,121.460335",6850,319,95
1548116567,2019-01-22T00:22:47Z,CAL026,"25.172703,121.533043",8500,336,95
1548116582,2019-01-22T00:23:02Z,CAL026,"25.170456,121.559654",9050,343,95
1548116593,2019-01-22T00:23:13Z,CAL026,"25.1689,121.578575",9500,345,95
1548116608,2019-01-22T00:23:28Z,CAL026,"25.166702,121.606239",10000,351,94
1548116619,2019-01-22T00:23:39Z,CAL026,"25.165115,121.624771",10300,358,95
1548116646,2019-01-22T00:24:06Z,CAL026,"25.16074,121.674675",11400,367,95
1548116661,2019-01-22T00:24:21Z,CAL026,"25.158319,121.70266",11850,376,95
1548116676,2019-01-22T00:24:36Z,CAL026,"25.156038,121.728928",12375,381,95
1548116708,2019-01-22T00:25:08Z,CAL026,"25.15004,121.796265",13800,391,95
1548116742,2019-01-22T00:25:42Z,CAL026,"25.144167,121.863205",15325,399,95
1548116774,2019-01-22T00:26:14Z,CAL026,"25.138046,121.932678",16550,414,95
1548116807,2019-01-22T00:26:47Z,CAL026,"25.13225,121.998093",17350,436,95
1548116838,2019-01-22T00:27:18Z,CAL026,"25.1255,122.072769",18475,450,95
1548116903,2019-01-22T00:28:23Z,CAL026,"25.112228,122.221733",20300,480,95
1548116962,2019-01-22T00:29:22Z,CAL026,"25.097946,122.375282",21750,505,95
1548117025,2019-01-22T00:30:25Z,CAL026,"25.08252,122.532707",23300,511,96
1548117084,2019-01-22T00:31:24Z,CAL026,"25.067076,122.69091",24425,524,96
1548117148,2019-01-22T00:32:28Z,CAL026,"25.050364,122.861923",26025,526,96
1548117166,2019-01-22T00:32:46Z,CAL026,"25.045898,122.908379",26450,527,95
1548117254,2019-01-22T00:34:14Z,CAL026,"25.022293,123.148293",28325,540,96
1548117319,2019-01-22T00:35:19Z,CAL026,"25.004654,123.322906",29425,548,96
1548117380,2019-01-22T00:36:20Z,CAL026,"24.986959,123.493217",30475,556,96
1548117440,2019-01-22T00:37:20Z,CAL026,"24.968903,123.665825",31450,562,96
1548117500,2019-01-22T00:38:20Z,CAL026,"24.950697,123.8396",32625,562,96
1548117563,2019-01-22T00:39:23Z,CAL026,"24.933151,124.006805",34225,545,96
1548117623,2019-01-22T00:40:23Z,CAL026,"24.912231,124.174957",35300,541,97
1548117687,2019-01-22T00:41:27Z,CAL026,"24.891342,124.349121",35975,548,97
1548117748,2019-01-22T00:42:28Z,CAL026,"24.87204,124.51696",37000,541,97
1548117808,2019-01-22T00:43:28Z,CAL026,"24.852356,124.680634",37000,535,97
