Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548460606,2019-01-25T23:56:46Z,CAL026,"25.081018,121.232475",0,12,323
1548460634,2019-01-25T23:57:14Z,CAL026,"25.081367,121.232132",0,12,315
1548460656,2019-01-25T23:57:36Z,CAL026,"25.081659,121.232056",0,10,18
1548460678,2019-01-25T23:57:58Z,CAL026,"25.081833,121.232307",0,2,53
1548460879,2019-01-26T00:01:19Z,CAL026,"25.081753,121.231476",0,24,315
1548460888,2019-01-26T00:01:28Z,CAL026,"25.082005,121.231079",0,25,286
1548460898,2019-01-26T00:01:38Z,CAL026,"25.08181,121.230568",0,27,227
1548460917,2019-01-26T00:01:57Z,CAL026,"25.081089,121.229675",0,34,230
1548460930,2019-01-26T00:02:10Z,CAL026,"25.080494,121.228905",0,33,230
1548460937,2019-01-26T00:02:17Z,CAL026,"25.080151,121.228462",0,33,227
1548460951,2019-01-26T00:02:31Z,CAL026,"25.079622,121.227798",0,33,230
1548460970,2019-01-26T00:02:50Z,CAL026,"25.078743,121.226677",0,33,227
1548460976,2019-01-26T00:02:56Z,CAL026,"25.078493,121.226357",0,33,230
1548460993,2019-01-26T00:03:13Z,CAL026,"25.077795,121.225464",0,33,227
1548461007,2019-01-26T00:03:27Z,CAL026,"25.077198,121.224693",0,33,227
1548461016,2019-01-26T00:03:36Z,CAL026,"25.076763,121.224152",0,33,227
1548461031,2019-01-26T00:03:51Z,CAL026,"25.076143,121.223366",0,33,227
1548461042,2019-01-26T00:04:02Z,CAL026,"25.075642,121.222733",0,33,227
1548461058,2019-01-26T00:04:18Z,CAL026,"25.074978,121.221886",0,33,230
1548461086,2019-01-26T00:04:46Z,CAL026,"25.07373,121.220306",0,33,227
1548461097,2019-01-26T00:04:57Z,CAL026,"25.07325,121.219696",0,33,230
1548461109,2019-01-26T00:05:09Z,CAL026,"25.072769,121.219078",0,33,227
1548461120,2019-01-26T00:05:20Z,CAL026,"25.072369,121.218582",0,27,230
1548461140,2019-01-26T00:05:40Z,CAL026,"25.071991,121.218094",0,2,227
1548461329,2019-01-26T00:08:49Z,CAL026,"25.071716,121.217766",0,13,228
1548461339,2019-01-26T00:08:59Z,CAL026,"25.071648,121.217552",0,15,258
1548461349,2019-01-26T00:09:09Z,CAL026,"25.071774,121.217293",0,18,309
1548461364,2019-01-26T00:09:24Z,CAL026,"25.072037,121.217041",0,14,321
1548461419,2019-01-26T00:10:19Z,CAL026,"25.072256,121.216835",0,10,324
1548461430,2019-01-26T00:10:30Z,CAL026,"25.072472,121.216637",0,19,317
1548461441,2019-01-26T00:10:41Z,CAL026,"25.072767,121.216354",0,21,317
1548461450,2019-01-26T00:10:50Z,CAL026,"25.072998,121.216187",0,13,317
1548461481,2019-01-26T00:11:21Z,CAL026,"25.07321,121.216408",0,9,317
1548461532,2019-01-26T00:12:12Z,CAL026,"25.074017,121.217422",0,43,47
1548461540,2019-01-26T00:12:20Z,CAL026,"25.075596,121.219429",0,76,47
1548461552,2019-01-26T00:12:32Z,CAL026,"25.079018,121.223778",0,115,50
1548461569,2019-01-26T00:12:49Z,CAL026,"25.086136,121.232811",0,146,48
1548461584,2019-01-26T00:13:04Z,CAL026,"25.09268,121.240974",725,141,48
1548461595,2019-01-26T00:13:15Z,CAL026,"25.09701,121.246674",1150,141,49
1548461604,2019-01-26T00:13:24Z,CAL026,"25.101711,121.252525",1375,151,48
1548461620,2019-01-26T00:13:40Z,CAL026,"25.109299,121.262169",1625,175,48
1548461630,2019-01-26T00:13:50Z,CAL026,"25.115072,121.269577",1875,187,50
1548461640,2019-01-26T00:14:00Z,CAL026,"25.120743,121.276909",2200,195,49
