Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548720357,2019-01-29T00:05:57Z,CAL026,"25.074532,121.237244",0,2,140
1548720385,2019-01-29T00:06:25Z,CAL026,"25.07444,121.237473",0,2,95
1548720589,2019-01-29T00:09:49Z,CAL026,"25.073948,121.236977",0,24,227
1548720622,2019-01-29T00:10:22Z,CAL026,"25.073116,121.235931",0,22,227
1548720787,2019-01-29T00:13:07Z,CAL026,"25.072685,121.235374",0,12,227
1548720933,2019-01-29T00:15:33Z,CAL026,"25.069904,121.230331",0,28,227
1548720940,2019-01-29T00:15:40Z,CAL026,"25.06966,121.230026",0,28,230
1548720971,2019-01-29T00:16:11Z,CAL026,"25.068579,121.228638",0,27,227
1548720984,2019-01-29T00:16:24Z,CAL026,"25.068111,121.22805",0,27,227
1548720995,2019-01-29T00:16:35Z,CAL026,"25.067762,121.2276",0,28,230
1548721003,2019-01-29T00:16:43Z,CAL026,"25.067459,121.227226",0,29,230
1548721037,2019-01-29T00:17:17Z,CAL026,"25.066132,121.225525",0,15,227
1548721046,2019-01-29T00:17:26Z,CAL026,"25.065662,121.224937",0,16,227
1548721255,2019-01-29T00:20:55Z,CAL026,"25.076805,121.243927",125,161,50
1548721264,2019-01-29T00:21:04Z,CAL026,"25.080624,121.249001",475,159,50
1548721276,2019-01-29T00:21:16Z,CAL026,"25.086044,121.256462",1000,156,52
1548721283,2019-01-29T00:21:23Z,CAL026,"25.089003,121.260559",1250,157,50
1548721294,2019-01-29T00:21:34Z,CAL026,"25.094833,121.268364",1525,166,50
1548721301,2019-01-29T00:21:41Z,CAL026,"25.097801,121.27227",1625,176,50
1548721307,2019-01-29T00:21:47Z,CAL026,"25.101196,121.276703",1700,185,49
1548721319,2019-01-29T00:21:59Z,CAL026,"25.108322,121.28569",1950,197,48
1548721331,2019-01-29T00:22:11Z,CAL026,"25.116074,121.295265",2175,211,48
1548721338,2019-01-29T00:22:18Z,CAL026,"25.120007,121.299995",2325,217,46
1548721348,2019-01-29T00:22:28Z,CAL026,"25.128757,121.309586",2725,228,44
1548721355,2019-01-29T00:22:35Z,CAL026,"25.133785,121.314919",2825,237,44
1548721363,2019-01-29T00:22:43Z,CAL026,"25.13858,121.320152",2950,246,44
1548721373,2019-01-29T00:22:53Z,CAL026,"25.148392,121.331177",3325,255,46
1548721383,2019-01-29T00:23:03Z,CAL026,"25.156128,121.34008",3675,259,46
1548721395,2019-01-29T00:23:15Z,CAL026,"25.166046,121.351768",4100,268,47
1548721402,2019-01-29T00:23:22Z,CAL026,"25.171167,121.35788",4375,272,46
1548721413,2019-01-29T00:23:33Z,CAL026,"25.181534,121.369934",4975,276,46
1548721430,2019-01-29T00:23:50Z,CAL026,"25.197968,121.388908",5925,281,46
1548721442,2019-01-29T00:24:02Z,CAL026,"25.208038,121.40213",6525,282,57
1548721449,2019-01-29T00:24:09Z,CAL026,"25.211668,121.410118",6825,283,67
1548721457,2019-01-29T00:24:17Z,CAL026,"25.214493,121.422676",7275,282,81
1548721464,2019-01-29T00:24:24Z,CAL026,"25.2155,121.431274",7575,282,83
1548721473,2019-01-29T00:24:33Z,CAL026,"25.216827,121.44455",8025,285,83
1548721493,2019-01-29T00:24:53Z,CAL026,"25.219349,121.471268",8850,292,84
1548721502,2019-01-29T00:25:02Z,CAL026,"25.220947,121.489006",9350,299,84
1548721515,2019-01-29T00:25:15Z,CAL026,"25.222595,121.508331",9675,312,85
1548721543,2019-01-29T00:25:43Z,CAL026,"25.219254,121.55304",10400,339,99
1548721551,2019-01-29T00:25:51Z,CAL026,"25.216928,121.568695",10675,348,99
1548721563,2019-01-29T00:26:03Z,CAL026,"25.214035,121.588951",11025,357,99
1548721574,2019-01-29T00:26:14Z,CAL026,"25.21055,121.61264",11450,365,99
1548721587,2019-01-29T00:26:27Z,CAL026,"25.207352,121.634727",11800,374,99
1548721597,2019-01-29T00:26:37Z,CAL026,"25.204651,121.652985",12125,380,99
1548721632,2019-01-29T00:27:12Z,CAL026,"25.194305,121.720833",13550,390,99
1548721667,2019-01-29T00:27:47Z,CAL026,"25.183876,121.787849",14800,400,99
1548721699,2019-01-29T00:28:19Z,CAL026,"25.173542,121.855324",15975,411,99
1548721731,2019-01-29T00:28:51Z,CAL026,"25.163315,121.922096",17000,422,99
1548721765,2019-01-29T00:29:25Z,CAL026,"25.152035,121.994728",18150,430,99
1548721829,2019-01-29T00:30:29Z,CAL026,"25.130768,122.130989",20250,440,99
1548721890,2019-01-29T00:31:30Z,CAL026,"25.108974,122.270889",21825,460,99
