Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549151832,2019-02-02T23:57:12Z,CAL026,"25.077141,121.22818",0,0,103
1549151920,2019-02-02T23:58:40Z,CAL026,"25.077353,121.227974",0,9,324
1549151950,2019-02-02T23:59:10Z,CAL026,"25.077608,121.22776",0,9,328
1549151971,2019-02-02T23:59:31Z,CAL026,"25.077793,121.227554",0,9,309
1549151996,2019-02-02T23:59:56Z,CAL026,"25.078011,121.227478",0,2,351
1549152073,2019-02-03T00:01:13Z,CAL026,"25.078079,121.227547",0,0,49
1549152200,2019-02-03T00:03:20Z,CAL026,"25.077862,121.227226",0,12,235
1549152220,2019-02-03T00:03:40Z,CAL026,"25.077633,121.226936",0,11,227
1549152241,2019-02-03T00:04:01Z,CAL026,"25.077517,121.226692",0,2,257
1549152267,2019-02-03T00:04:27Z,CAL026,"25.077656,121.226479",0,12,322
1549152281,2019-02-03T00:04:41Z,CAL026,"25.077953,121.226143",0,16,309
1549152297,2019-02-03T00:04:57Z,CAL026,"25.077946,121.225739",0,15,261
1549152306,2019-02-03T00:05:06Z,CAL026,"25.077827,121.225525",0,15,234
1549152332,2019-02-03T00:05:32Z,CAL026,"25.07737,121.224937",0,19,227
1549152343,2019-02-03T00:05:43Z,CAL026,"25.077129,121.224632",0,21,227
1549152352,2019-02-03T00:05:52Z,CAL026,"25.076853,121.224274",0,23,227
1549152362,2019-02-03T00:06:02Z,CAL026,"25.076534,121.223885",0,27,227
1549152374,2019-02-03T00:06:14Z,CAL026,"25.076157,121.223396",0,30,227
1549152383,2019-02-03T00:06:23Z,CAL026,"25.075735,121.222862",0,33,227
1549152393,2019-02-03T00:06:33Z,CAL026,"25.075293,121.222305",0,15,227
1549152403,2019-02-03T00:06:43Z,CAL026,"25.074745,121.221603",0,16,227
1549152415,2019-02-03T00:06:55Z,CAL026,"25.074245,121.22097",0,16,230
1549152430,2019-02-03T00:07:10Z,CAL026,"25.073618,121.220177",0,27,227
1549152439,2019-02-03T00:07:19Z,CAL026,"25.073318,121.219788",0,23,227
1549152449,2019-02-03T00:07:29Z,CAL026,"25.073071,121.219475",0,20,227
1549152459,2019-02-03T00:07:39Z,CAL026,"25.072849,121.2192",0,19,227
1549152469,2019-02-03T00:07:49Z,CAL026,"25.072651,121.218933",0,18,230
1549152490,2019-02-03T00:08:10Z,CAL026,"25.072289,121.218475",0,12,230
1549152754,2019-02-03T00:12:34Z,CAL026,"25.072092,121.218231",0,11,230
1549152769,2019-02-03T00:12:49Z,CAL026,"25.071899,121.217979",0,14,230
1549152788,2019-02-03T00:13:08Z,CAL026,"25.071648,121.217552",0,15,230
1549152799,2019-02-03T00:13:19Z,CAL026,"25.071779,121.217285",0,15,230
1549152819,2019-02-03T00:13:39Z,CAL026,"25.071999,121.217079",0,2,230
1549153073,2019-02-03T00:17:53Z,CAL026,"25.072268,121.216835",0,20,317
1549153083,2019-02-03T00:18:03Z,CAL026,"25.072563,121.216545",0,22,320
1549153099,2019-02-03T00:18:19Z,CAL026,"25.072987,121.216225",0,15,320
1549153119,2019-02-03T00:18:39Z,CAL026,"25.073256,121.216446",0,0,49
1549153155,2019-02-03T00:19:15Z,CAL026,"25.073675,121.216988",0,28,50
1549153165,2019-02-03T00:19:25Z,CAL026,"25.073664,121.217636",0,33,123
1549153175,2019-02-03T00:19:35Z,CAL026,"25.073128,121.218132",0,33,137
1549153185,2019-02-03T00:19:45Z,CAL026,"25.072655,121.218552",0,28,151
1549153195,2019-02-03T00:19:55Z,CAL026,"25.072268,121.218452",0,19,225
1549153295,2019-02-03T00:21:35Z,CAL026,"25.072094,121.218239",0,9,225
1549153307,2019-02-03T00:21:47Z,CAL026,"25.071911,121.21801",0,19,230
1549153316,2019-02-03T00:21:56Z,CAL026,"25.071705,121.217712",0,19,241
1549153327,2019-02-03T00:22:07Z,CAL026,"25.071732,121.217354",0,19,253
1549153337,2019-02-03T00:22:17Z,CAL026,"25.071953,121.217117",0,13,315
1549153606,2019-02-03T00:26:46Z,CAL026,"25.072313,121.216797",0,23,320
1549153616,2019-02-03T00:26:56Z,CAL026,"25.072689,121.216446",0,25,320
1549153626,2019-02-03T00:27:06Z,CAL026,"25.073009,121.216225",0,17,340
1549153637,2019-02-03T00:27:17Z,CAL026,"25.07321,121.21637",0,13,340
1549153677,2019-02-03T00:27:57Z,CAL026,"25.073454,121.216705",0,17,50
1549153688,2019-02-03T00:28:08Z,CAL026,"25.074862,121.218491",0,64,47
1549153697,2019-02-03T00:28:17Z,CAL026,"25.077574,121.221939",0,100,47
1549153708,2019-02-03T00:28:28Z,CAL026,"25.081625,121.227081",0,140,47
1549153718,2019-02-03T00:28:38Z,CAL026,"25.086411,121.233162",0,170,48
1549153728,2019-02-03T00:28:48Z,CAL026,"25.091721,121.239677",325,172,48
1549153738,2019-02-03T00:28:58Z,CAL026,"25.097076,121.246391",800,168,48
1549153749,2019-02-03T00:29:09Z,CAL026,"25.102478,121.253151",1050,179,48
1549153757,2019-02-03T00:29:17Z,CAL026,"25.107996,121.260094",1325,186,48
1549153768,2019-02-03T00:29:28Z,CAL026,"25.114094,121.267868",1525,198,49
