Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549584065,2019-02-08T00:01:05Z,CAL026,"25.077131,121.22821",0,0,141
1549584166,2019-02-08T00:02:46Z,CAL026,"25.077364,121.227974",0,9,311
1549584193,2019-02-08T00:03:13Z,CAL026,"25.077585,121.227745",0,10,313
1549584229,2019-02-08T00:03:49Z,CAL026,"25.077953,121.227478",0,10,333
1549584254,2019-02-08T00:04:14Z,CAL026,"25.078156,121.2276",0,0,31
1549584418,2019-02-08T00:06:58Z,CAL026,"25.077713,121.22702",0,20,230
1549584429,2019-02-08T00:07:09Z,CAL026,"25.077621,121.226639",0,21,275
1549584439,2019-02-08T00:07:19Z,CAL026,"25.077843,121.226303",0,19,315
1549584448,2019-02-08T00:07:28Z,CAL026,"25.078022,121.226006",0,19,284
1549584454,2019-02-08T00:07:34Z,CAL026,"25.077993,121.225784",0,21,253
1549584464,2019-02-08T00:07:44Z,CAL026,"25.077759,121.225418",0,25,230
1549584470,2019-02-08T00:07:50Z,CAL026,"25.077587,121.225204",0,28,230
1549584480,2019-02-08T00:08:00Z,CAL026,"25.077175,121.224686",0,33,230
1549584491,2019-02-08T00:08:11Z,CAL026,"25.076666,121.224037",0,17,230
1549584500,2019-02-08T00:08:20Z,CAL026,"25.076077,121.223282",0,19,227
1549584506,2019-02-08T00:08:26Z,CAL026,"25.075806,121.222923",0,20,227
1549584516,2019-02-08T00:08:36Z,CAL026,"25.075115,121.222054",0,21,230
1549584526,2019-02-08T00:08:46Z,CAL026,"25.074463,121.221237",0,21,227
1549584536,2019-02-08T00:08:56Z,CAL026,"25.073814,121.220413",0,20,227
1549584547,2019-02-08T00:09:07Z,CAL026,"25.073187,121.219604",0,18,227
1549584557,2019-02-08T00:09:17Z,CAL026,"25.07262,121.218895",0,17,227
1549584567,2019-02-08T00:09:27Z,CAL026,"25.072151,121.218285",0,32,227
1549584578,2019-02-08T00:09:38Z,CAL026,"25.071808,121.217857",0,21,230
1549584588,2019-02-08T00:09:48Z,CAL026,"25.071705,121.217514",0,18,261
1549584598,2019-02-08T00:09:58Z,CAL026,"25.071859,121.217239",0,15,261
1549584618,2019-02-08T00:10:18Z,CAL026,"25.072092,121.217003",0,2,261
1549584721,2019-02-08T00:12:01Z,CAL026,"25.07246,121.21666",0,21,317
1549584732,2019-02-08T00:12:12Z,CAL026,"25.072767,121.216354",0,20,317
1549584757,2019-02-08T00:12:37Z,CAL026,"25.073292,121.216484",0,11,326
1549584840,2019-02-08T00:14:00Z,CAL026,"25.073456,121.216713",0,31,50
1549584849,2019-02-08T00:14:09Z,CAL026,"25.074635,121.218201",0,58,50
1549584865,2019-02-08T00:14:25Z,CAL026,"25.079121,121.223907",0,115,50
1549584875,2019-02-08T00:14:35Z,CAL026,"25.083309,121.229225",0,150,47
1549584885,2019-02-08T00:14:45Z,CAL026,"25.087978,121.235168",200,155,48
1549584895,2019-02-08T00:14:55Z,CAL026,"25.092728,121.241249",800,145,49
1549584905,2019-02-08T00:15:05Z,CAL026,"25.097305,121.247101",1225,146,49
1549584916,2019-02-08T00:15:16Z,CAL026,"25.101746,121.252693",1425,155,49
1549584926,2019-02-08T00:15:26Z,CAL026,"25.106873,121.259361",1600,172,49
1549584937,2019-02-08T00:15:37Z,CAL026,"25.112419,121.266418",1750,184,49
1549584947,2019-02-08T00:15:47Z,CAL026,"25.118546,121.274055",1900,199,49
1549584956,2019-02-08T00:15:56Z,CAL026,"25.124754,121.282013",2075,215,49
1549584967,2019-02-08T00:16:07Z,CAL026,"25.131737,121.290977",2350,227,49
1549584976,2019-02-08T00:16:16Z,CAL026,"25.138916,121.300148",2750,233,49
1549584987,2019-02-08T00:16:27Z,CAL026,"25.146542,121.310051",3075,243,49
1549584996,2019-02-08T00:16:36Z,CAL026,"25.153381,121.319122",3500,247,50
1549585007,2019-02-08T00:16:47Z,CAL026,"25.161118,121.329292",3925,251,49
1549585021,2019-02-08T00:17:01Z,CAL026,"25.172333,121.344093",4300,268,50
1549585029,2019-02-08T00:17:09Z,CAL026,"25.178375,121.352234",4600,268,51
1549585057,2019-02-08T00:17:37Z,CAL026,"25.202682,121.383537",5500,294,49
1549585074,2019-02-08T00:17:54Z,CAL026,"25.21488,121.404785",6025,305,69
1549585084,2019-02-08T00:18:04Z,CAL026,"25.216827,121.420387",6475,302,89
1549585104,2019-02-08T00:18:24Z,CAL026,"25.213257,121.449837",7300,305,101
1549585125,2019-02-08T00:18:45Z,CAL026,"25.207031,121.484169",8250,311,100
1549585140,2019-02-08T00:19:00Z,CAL026,"25.203568,121.507179",8875,314,98
1549585152,2019-02-08T00:19:12Z,CAL026,"25.200943,121.527405",9400,318,97
1549585170,2019-02-08T00:19:30Z,CAL026,"25.197601,121.556038",10125,323,97
1549585186,2019-02-08T00:19:46Z,CAL026,"25.194536,121.582634",10425,340,97
1549585202,2019-02-08T00:20:02Z,CAL026,"25.191193,121.609856",10750,355,97
