Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549670814,2019-02-09T00:06:54Z,CAL026,"25.077959,121.229218",0,0,307
1549670912,2019-02-09T00:08:32Z,CAL026,"25.078239,121.228958",0,10,330
1549670932,2019-02-09T00:08:52Z,CAL026,"25.078447,121.228752",0,11,320
1549670957,2019-02-09T00:09:17Z,CAL026,"25.078703,121.228531",0,11,322
1549670984,2019-02-09T00:09:44Z,CAL026,"25.078947,121.228615",0,9,30
1549671173,2019-02-09T00:12:53Z,CAL026,"25.078762,121.228355",0,13,230
1549671184,2019-02-09T00:13:04Z,CAL026,"25.078587,121.228119",0,18,232
1549671194,2019-02-09T00:13:14Z,CAL026,"25.07832,121.227798",0,23,227
1549671204,2019-02-09T00:13:24Z,CAL026,"25.078022,121.227417",0,23,227
1549671215,2019-02-09T00:13:35Z,CAL026,"25.077738,121.227058",0,23,227
1549671225,2019-02-09T00:13:45Z,CAL026,"25.077656,121.226593",0,24,286
1549671231,2019-02-09T00:13:51Z,CAL026,"25.077805,121.226372",0,26,315
1549671240,2019-02-09T00:14:00Z,CAL026,"25.078005,121.225868",0,26,270
1549671251,2019-02-09T00:14:11Z,CAL026,"25.077738,121.225388",0,29,230
1549671257,2019-02-09T00:14:17Z,CAL026,"25.077539,121.225128",0,31,227
1549671266,2019-02-09T00:14:26Z,CAL026,"25.077072,121.224533",0,16,227
1549671281,2019-02-09T00:14:41Z,CAL026,"25.076271,121.223518",0,16,227
1549671302,2019-02-09T00:15:02Z,CAL026,"25.07527,121.222252",0,16,227
1549671308,2019-02-09T00:15:08Z,CAL026,"25.075012,121.221924",0,15,227
1549671318,2019-02-09T00:15:18Z,CAL026,"25.074509,121.221291",0,15,227
1549671329,2019-02-09T00:15:29Z,CAL026,"25.074039,121.220688",0,15,227
1549671338,2019-02-09T00:15:38Z,CAL026,"25.07357,121.220085",0,15,227
1549671348,2019-02-09T00:15:48Z,CAL026,"25.073101,121.219498",0,15,230
1549671364,2019-02-09T00:16:04Z,CAL026,"25.072403,121.218605",0,34,230
1549671375,2019-02-09T00:16:15Z,CAL026,"25.071991,121.218086",0,27,227
1549671385,2019-02-09T00:16:25Z,CAL026,"25.071739,121.217743",0,19,239
1549671400,2019-02-09T00:16:40Z,CAL026,"25.071854,121.217232",0,19,320
1549671415,2019-02-09T00:16:55Z,CAL026,"25.072069,121.217041",0,2,320
1549671610,2019-02-09T00:20:10Z,CAL026,"25.072313,121.216812",0,20,317
1549671626,2019-02-09T00:20:26Z,CAL026,"25.072849,121.216339",0,23,331
1549671636,2019-02-09T00:20:36Z,CAL026,"25.073181,121.21637",0,17,2
1549671657,2019-02-09T00:20:57Z,CAL026,"25.07341,121.216637",0,0,31
1549671754,2019-02-09T00:22:34Z,CAL026,"25.073868,121.217232",0,33,50
1549671763,2019-02-09T00:22:43Z,CAL026,"25.075584,121.219414",0,76,50
1549671779,2019-02-09T00:22:59Z,CAL026,"25.080856,121.226112",0,135,50
1549671789,2019-02-09T00:23:09Z,CAL026,"25.085464,121.231956",0,162,48
1549671805,2019-02-09T00:23:25Z,CAL026,"25.093472,121.241745",550,162,47
