Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550015484,2019-02-12T23:51:24Z,CAL026,"25.077971,121.22921",0,0,180
1550015580,2019-02-12T23:53:00Z,CAL026,"25.078171,121.229004",0,9,323
1550015605,2019-02-12T23:53:25Z,CAL026,"25.0784,121.228806",0,10,313
1550015631,2019-02-12T23:53:51Z,CAL026,"25.078609,121.228577",0,10,302
1550015660,2019-02-12T23:54:20Z,CAL026,"25.078903,121.228546",0,9,24
1550015808,2019-02-12T23:56:48Z,CAL026,"25.078726,121.228302",0,18,232
1550015829,2019-02-12T23:57:09Z,CAL026,"25.078285,121.227745",0,20,227
1550015844,2019-02-12T23:57:24Z,CAL026,"25.077923,121.227287",0,20,227
1550015853,2019-02-12T23:57:33Z,CAL026,"25.07769,121.226982",0,21,230
1550015864,2019-02-12T23:57:44Z,CAL026,"25.077644,121.226578",0,22,284
1550015874,2019-02-12T23:57:54Z,CAL026,"25.077919,121.226196",0,25,312
1550015889,2019-02-12T23:58:09Z,CAL026,"25.077953,121.225647",0,19,250
1550015899,2019-02-12T23:58:19Z,CAL026,"25.077726,121.225357",0,22,227
1550015914,2019-02-12T23:58:34Z,CAL026,"25.077244,121.224762",0,26,227
1550015924,2019-02-12T23:58:44Z,CAL026,"25.076923,121.224342",0,26,227
1550015934,2019-02-12T23:58:54Z,CAL026,"25.076572,121.223907",0,27,227
1550015944,2019-02-12T23:59:04Z,CAL026,"25.076237,121.223473",0,27,227
1550015961,2019-02-12T23:59:21Z,CAL026,"25.075689,121.222778",0,28,227
1550015970,2019-02-12T23:59:30Z,CAL026,"25.075321,121.222321",0,28,227
1550015980,2019-02-12T23:59:40Z,CAL026,"25.074955,121.221848",0,29,230
1550015991,2019-02-12T23:59:51Z,CAL026,"25.074577,121.221352",0,30,230
1550016001,2019-02-13T00:00:01Z,CAL026,"25.074188,121.220863",0,30,227
1550016017,2019-02-13T00:00:17Z,CAL026,"25.073582,121.2201",0,30,230
1550016026,2019-02-13T00:00:26Z,CAL026,"25.073187,121.219597",0,31,227
