Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546428623,2019-01-02T11:30:23Z,CAL027,"9.895562,128.398834",36000,481,292
1546428630,2019-01-02T11:30:30Z,CAL027,"9.902802,128.380875",36000,481,292
1546428720,2019-01-02T11:32:00Z,CAL027,"9.97931,128.190277",36000,479,292
1546428728,2019-01-02T11:32:08Z,CAL027,"9.984012,128.178619",36000,479,292
1546428828,2019-01-02T11:33:48Z,CAL027,"10.069808,127.965767",36000,478,292
1546428854,2019-01-02T11:34:14Z,CAL027,"10.089779,127.916",36000,476,292
1546428963,2019-01-02T11:36:03Z,CAL027,"10.180602,127.689163",36000,477,292
1546429027,2019-01-02T11:37:07Z,CAL027,"10.233536,127.556763",36000,477,291
1546429088,2019-01-02T11:38:08Z,CAL027,"10.284786,127.428238",36000,479,292
1546429149,2019-01-02T11:39:09Z,CAL027,"10.335109,127.302376",36000,480,291
1546429188,2019-01-02T11:39:48Z,CAL027,"10.366764,127.223053",36000,480,292
1546429280,2019-01-02T11:41:20Z,CAL027,"10.443008,127.031563",36000,478,291
1546429472,2019-01-02T11:44:32Z,CAL027,"10.6019,126.630875",36000,479,291
1546429536,2019-01-02T11:45:36Z,CAL027,"10.654876,126.496872",36000,481,291
1546429582,2019-01-02T11:46:22Z,CAL027,"10.693142,126.400261",36000,482,291
1546429670,2019-01-02T11:47:50Z,CAL027,"10.767998,126.211182",36000,484,291
1546429735,2019-01-02T11:48:55Z,CAL027,"10.820695,126.076881",36000,483,291
1546429795,2019-01-02T11:49:55Z,CAL027,"10.870972,125.948761",36000,482,291
1546429856,2019-01-02T11:50:56Z,CAL027,"10.921341,125.820923",36000,482,291
1546429918,2019-01-02T11:51:58Z,CAL027,"10.973759,125.687256",36000,480,291
1546429981,2019-01-02T11:53:01Z,CAL027,"11.023523,125.560043",36000,482,291
1546430041,2019-01-02T11:54:01Z,CAL027,"11.073486,125.432327",36000,482,291
1546430101,2019-01-02T11:55:01Z,CAL027,"11.123154,125.30542",36000,478,291
1546430163,2019-01-02T11:56:03Z,CAL027,"11.173233,125.177086",36000,475,291
1546430227,2019-01-02T11:57:07Z,CAL027,"11.226791,125.044868",36000,476,297
1546430239,2019-01-02T11:57:19Z,CAL027,"11.240271,125.021088",36000,478,301
1546430245,2019-01-02T11:57:25Z,CAL027,"11.24758,125.009811",36000,478,303
1546430251,2019-01-02T11:57:31Z,CAL027,"11.255539,124.998466",36000,478,305
1546430259,2019-01-02T11:57:39Z,CAL027,"11.267578,124.982887",36000,478,309
1546430324,2019-01-02T11:58:44Z,CAL027,"11.357815,124.872192",36000,479,309
1546430383,2019-01-02T11:59:43Z,CAL027,"11.443844,124.767342",36000,481,309
1546430445,2019-01-02T12:00:45Z,CAL027,"11.530524,124.661674",36000,485,309
1546430510,2019-01-02T12:01:50Z,CAL027,"11.624863,124.546227",36000,482,309
1546430559,2019-01-02T12:02:39Z,CAL027,"11.694168,124.46122",36025,478,309
1546430599,2019-01-02T12:03:19Z,CAL027,"11.74904,124.39386",36000,480,309
1546430690,2019-01-02T12:04:50Z,CAL027,"11.880085,124.233444",36000,480,309
1546430750,2019-01-02T12:05:50Z,CAL027,"11.966675,124.126846",36000,480,309
1546430813,2019-01-02T12:06:53Z,CAL027,"12.054703,124.018501",36000,480,309
1546430876,2019-01-02T12:07:56Z,CAL027,"12.144882,123.907364",36000,478,309
1546430938,2019-01-02T12:08:58Z,CAL027,"12.23053,123.80175",36000,478,309
1546430958,2019-01-02T12:09:18Z,CAL027,"12.260239,123.765152",36000,478,309
1546431046,2019-01-02T12:10:46Z,CAL027,"12.385549,123.610451",36000,475,309
1546431109,2019-01-02T12:11:49Z,CAL027,"12.473007,123.506218",36000,475,310
1546431173,2019-01-02T12:12:53Z,CAL027,"12.56403,123.397087",36000,475,310
1546431232,2019-01-02T12:13:52Z,CAL027,"12.648743,123.294632",36000,473,310
1546431294,2019-01-02T12:14:54Z,CAL027,"12.736084,123.189178",36000,474,310
1546431357,2019-01-02T12:15:57Z,CAL027,"12.827042,123.079216",36000,475,310
1546431421,2019-01-02T12:17:01Z,CAL027,"12.917222,122.970116",36000,475,310
1546431481,2019-01-02T12:18:01Z,CAL027,"13.003483,122.865555",36000,474,310
1546431543,2019-01-02T12:19:03Z,CAL027,"13.089981,122.760567",36000,472,309
1546431604,2019-01-02T12:20:04Z,CAL027,"13.178604,122.652885",36000,467,309
1546431667,2019-01-02T12:21:07Z,CAL027,"13.26329,122.549835",36000,465,309
1546431726,2019-01-02T12:22:06Z,CAL027,"13.347565,122.447174",36000,464,309
1546431788,2019-01-02T12:23:08Z,CAL027,"13.432508,122.343651",36000,468,309
1546431851,2019-01-02T12:24:11Z,CAL027,"13.520416,122.236443",36000,467,309
1546431913,2019-01-02T12:25:13Z,CAL027,"13.606613,122.131081",36000,467,309
1546431973,2019-01-02T12:26:13Z,CAL027,"13.690315,122.028618",36000,467,309
1546432037,2019-01-02T12:27:17Z,CAL027,"13.779509,121.91938",36000,469,309
1546432098,2019-01-02T12:28:18Z,CAL027,"13.864792,121.814941",36000,470,309
1546432158,2019-01-02T12:29:18Z,CAL027,"13.949936,121.710335",36000,472,309
1546432223,2019-01-02T12:30:23Z,CAL027,"14.038293,121.601692",36775,470,309
1546432233,2019-01-02T12:30:33Z,CAL027,"14.053329,121.583138",36975,469,309
1546432321,2019-01-02T12:32:01Z,CAL027,"14.175063,121.432899",38000,465,309
1546432385,2019-01-02T12:33:05Z,CAL027,"14.264557,121.322495",38000,463,309
1546432446,2019-01-02T12:34:06Z,CAL027,"14.347306,121.220444",38000,462,309
1546432510,2019-01-02T12:35:10Z,CAL027,"14.433838,121.113426",38000,463,309
1546432549,2019-01-02T12:35:49Z,CAL027,"14.489868,121.048927",38000,464,321
1546432555,2019-01-02T12:35:55Z,CAL027,"14.500488,121.041397",38000,465,328
1546432562,2019-01-02T12:36:02Z,CAL027,"14.511887,121.035095",38000,465,333
1546432569,2019-01-02T12:36:09Z,CAL027,"14.530426,121.027901",38000,464,342
1546432575,2019-01-02T12:36:15Z,CAL027,"14.543015,121.024872",38000,464,348
1546432582,2019-01-02T12:36:22Z,CAL027,"14.555878,121.023209",38000,464,355
1546432588,2019-01-02T12:36:28Z,CAL027,"14.567498,121.022789",38000,464,358
1546432606,2019-01-02T12:36:46Z,CAL027,"14.608046,121.022743",38000,465,359
1546432666,2019-01-02T12:37:46Z,CAL027,"14.737508,121.016716",38000,465,357
1546432729,2019-01-02T12:38:49Z,CAL027,"14.873932,121.010986",38000,463,357
1546432792,2019-01-02T12:39:52Z,CAL027,"15.009476,121.006065",38600,461,358
1546432854,2019-01-02T12:40:54Z,CAL027,"15.144747,121.000771",39000,460,357
1546432917,2019-01-02T12:41:57Z,CAL027,"15.273743,120.995277",39000,460,357
1546432978,2019-01-02T12:42:58Z,CAL027,"15.408875,120.989876",39000,459,357
1546433043,2019-01-02T12:44:03Z,CAL027,"15.543001,120.984581",39000,459,357
1546433105,2019-01-02T12:45:05Z,CAL027,"15.677537,120.979187",39000,459,357
1546433166,2019-01-02T12:46:06Z,CAL027,"15.806946,120.973976",39000,461,357
1546433229,2019-01-02T12:47:09Z,CAL027,"15.942444,120.968529",39000,464,357
1546433293,2019-01-02T12:48:13Z,CAL027,"16.077188,120.96315",39000,464,357
1546433356,2019-01-02T12:49:16Z,CAL027,"16.215309,120.957512",39000,466,357
1546433419,2019-01-02T12:50:19Z,CAL027,"16.352234,120.952003",39000,465,357
1546433483,2019-01-02T12:51:23Z,CAL027,"16.487732,120.946411",39000,464,357
1546433544,2019-01-02T12:52:24Z,CAL027,"16.617939,120.941132",39000,462,357
1546433607,2019-01-02T12:53:27Z,CAL027,"16.753872,120.935638",39000,460,357
1546433668,2019-01-02T12:54:28Z,CAL027,"16.884171,120.93029",39000,458,357
1546433729,2019-01-02T12:55:29Z,CAL027,"17.01503,120.924942",39000,458,357
1546433790,2019-01-02T12:56:30Z,CAL027,"17.143799,120.91967",39000,459,357
1546433850,2019-01-02T12:57:30Z,CAL027,"17.273348,120.914398",39000,463,357
1546433912,2019-01-02T12:58:32Z,CAL027,"17.407791,120.908905",39000,465,357
1546433973,2019-01-02T12:59:33Z,CAL027,"17.540325,120.903511",39000,468,357
1546433980,2019-01-02T12:59:40Z,CAL027,"17.552902,120.902954",39000,468,357
1546434732,2019-01-02T13:12:12Z,CAL027,"19.168167,120.835831",39000,457,357
1546434792,2019-01-02T13:13:12Z,CAL027,"19.298309,120.830383",39000,460,357
1546434854,2019-01-02T13:14:14Z,CAL027,"19.432487,120.82489",39000,463,357
1546434920,2019-01-02T13:15:20Z,CAL027,"19.572739,120.818954",39000,463,357
1546434981,2019-01-02T13:16:21Z,CAL027,"19.704483,120.813416",39000,465,357
1546435042,2019-01-02T13:17:22Z,CAL027,"19.835632,120.807823",39000,466,357
