Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547034597,2019-01-09T11:49:57Z,CAL027,"10.616409,126.594368",36000,472,291
1547034659,2019-01-09T11:50:59Z,CAL027,"10.665894,126.469116",36000,473,291
1547034711,2019-01-09T11:51:51Z,CAL027,"10.706922,126.365417",36000,473,291
1547034802,2019-01-09T11:53:22Z,CAL027,"10.781754,126.175896",36000,473,291
1547034863,2019-01-09T11:54:23Z,CAL027,"10.832566,126.046669",36000,473,291
1547034924,2019-01-09T11:55:24Z,CAL027,"10.88205,125.920891",36000,472,291
1547034969,2019-01-09T11:56:09Z,CAL027,"10.922365,125.829063",36000,471,302
1547034976,2019-01-09T11:56:16Z,CAL027,"10.930481,125.816994",36000,471,305
1547034982,2019-01-09T11:56:22Z,CAL027,"10.938492,125.806435",36000,471,308
1547034988,2019-01-09T11:56:28Z,CAL027,"10.947006,125.796295",36000,471,311
1547034994,2019-01-09T11:56:34Z,CAL027,"10.956907,125.785652",36000,471,314
1547035000,2019-01-09T11:56:40Z,CAL027,"10.966171,125.776253",36000,471,314
1547035064,2019-01-09T11:57:44Z,CAL027,"11.060944,125.678383",36000,472,314
1547035125,2019-01-09T11:58:45Z,CAL027,"11.156158,125.579933",36000,473,314
1547035187,2019-01-09T11:59:47Z,CAL027,"11.251328,125.482101",36000,474,314
1547035248,2019-01-09T12:00:48Z,CAL027,"11.34478,125.386147",36000,471,314
1547035310,2019-01-09T12:01:50Z,CAL027,"11.440887,125.28714",36000,471,314
1547035372,2019-01-09T12:02:52Z,CAL027,"11.536483,125.188774",36000,471,314
1547035434,2019-01-09T12:03:54Z,CAL027,"11.630704,125.091492",36000,468,314
1547035495,2019-01-09T12:04:55Z,CAL027,"11.725065,124.994102",36000,467,314
1547035558,2019-01-09T12:05:58Z,CAL027,"11.82101,124.895035",36000,465,314
1547035623,2019-01-09T12:07:03Z,CAL027,"11.917605,124.795197",36000,467,314
1547035685,2019-01-09T12:08:05Z,CAL027,"12.013364,124.695885",36000,468,314
1547035747,2019-01-09T12:09:07Z,CAL027,"12.108398,124.597511",36000,470,314
1547035809,2019-01-09T12:10:09Z,CAL027,"12.203437,124.498947",36000,470,314
1547035870,2019-01-09T12:11:10Z,CAL027,"12.296821,124.401901",36000,470,314
1547035932,2019-01-09T12:12:12Z,CAL027,"12.391113,124.303864",36000,470,314
1547035998,2019-01-09T12:13:18Z,CAL027,"12.488846,124.20224",36000,470,314
1547036058,2019-01-09T12:14:18Z,CAL027,"12.583603,124.103554",36000,470,314
1547036123,2019-01-09T12:15:23Z,CAL027,"12.67934,124.0037",36000,472,314
1547036182,2019-01-09T12:16:22Z,CAL027,"12.772751,123.905937",36000,473,314
1547036251,2019-01-09T12:17:31Z,CAL027,"12.880371,123.793617",36000,475,314
1547036290,2019-01-09T12:18:10Z,CAL027,"12.939101,123.73217",36000,474,314
1547036378,2019-01-09T12:19:38Z,CAL027,"13.07341,123.591408",36000,474,314
1547036442,2019-01-09T12:20:42Z,CAL027,"13.172468,123.487343",36000,473,314
1547036472,2019-01-09T12:21:12Z,CAL027,"13.216232,123.441338",36000,473,314
1547036561,2019-01-09T12:22:41Z,CAL027,"13.353745,123.29686",36000,472,314
1547036623,2019-01-09T12:23:43Z,CAL027,"13.448227,123.197273",36000,471,314
1547036682,2019-01-09T12:24:42Z,CAL027,"13.541441,123.09906",36000,473,313
