Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547898020,2019-01-19T11:40:20Z,CAL027,"10.17128,127.712433",36000,460,291
1547898028,2019-01-19T11:40:28Z,CAL027,"10.179112,127.69281",36000,460,292
1547898213,2019-01-19T11:43:33Z,CAL027,"10.327744,127.320839",36000,461,291
1547898315,2019-01-19T11:45:15Z,CAL027,"10.409081,127.116646",36000,462,291
1547898376,2019-01-19T11:46:16Z,CAL027,"10.458146,126.993477",36000,462,291
1547898436,2019-01-19T11:47:16Z,CAL027,"10.506683,126.871208",36000,464,291
1547898498,2019-01-19T11:48:18Z,CAL027,"10.555939,126.746902",36000,462,291
1547898561,2019-01-19T11:49:21Z,CAL027,"10.605996,126.62114",35975,460,291
1547898622,2019-01-19T11:50:22Z,CAL027,"10.654038,126.498604",36000,458,291
1547898683,2019-01-19T11:51:23Z,CAL027,"10.703018,126.375496",36000,463,291
1547898743,2019-01-19T11:52:23Z,CAL027,"10.752319,126.250244",36000,468,291
1547898807,2019-01-19T11:53:27Z,CAL027,"10.802078,126.124184",35975,470,291
1547898868,2019-01-19T11:54:28Z,CAL027,"10.851242,125.999123",36000,467,291
1547898931,2019-01-19T11:55:31Z,CAL027,"10.900533,125.874214",36000,464,291
1547898994,2019-01-19T11:56:34Z,CAL027,"10.951414,125.743919",36000,462,291
1547899055,2019-01-19T11:57:35Z,CAL027,"11.000656,125.618576",36000,460,291
1547899117,2019-01-19T11:58:37Z,CAL027,"11.049453,125.494225",36000,462,291
1547899180,2019-01-19T11:59:40Z,CAL027,"11.098389,125.368301",36000,462,291
1547899240,2019-01-19T12:00:40Z,CAL027,"11.146607,125.244812",36000,463,291
1547899303,2019-01-19T12:01:43Z,CAL027,"11.195984,125.118362",36000,461,291
1547899352,2019-01-19T12:02:32Z,CAL027,"11.239619,125.021957",36000,461,301
1547899359,2019-01-19T12:02:39Z,CAL027,"11.246648,125.01107",36000,461,303
1547899366,2019-01-19T12:02:46Z,CAL027,"11.254562,124.999741",36000,460,306
1547899373,2019-01-19T12:02:53Z,CAL027,"11.265381,124.985725",36000,460,309
1547899435,2019-01-19T12:03:55Z,CAL027,"11.350739,124.881203",36000,460,309
1547899499,2019-01-19T12:04:59Z,CAL027,"11.43576,124.777313",36000,461,309
1547899559,2019-01-19T12:05:59Z,CAL027,"11.520081,124.674271",36000,462,309
1547899620,2019-01-19T12:07:00Z,CAL027,"11.603851,124.571846",36000,460,309
1547899682,2019-01-19T12:08:02Z,CAL027,"11.687439,124.46965",36000,460,309
1547899745,2019-01-19T12:09:05Z,CAL027,"11.771711,124.366295",36000,454,309
1547899804,2019-01-19T12:10:04Z,CAL027,"11.852898,124.266602",36000,450,309
1547899866,2019-01-19T12:11:06Z,CAL027,"11.934082,124.166862",36000,450,309
1547899927,2019-01-19T12:12:07Z,CAL027,"12.015564,124.066566",36000,451,309
1547899988,2019-01-19T12:13:08Z,CAL027,"12.097733,123.965462",36000,451,309
1547900050,2019-01-19T12:14:10Z,CAL027,"12.179508,123.864685",36000,450,309
1547900111,2019-01-19T12:15:11Z,CAL027,"12.261063,123.764061",36000,449,309
1547900148,2019-01-19T12:15:48Z,CAL027,"12.309952,123.703781",36000,449,309
1547900239,2019-01-19T12:17:19Z,CAL027,"12.431636,123.553787",36100,452,310
1547900301,2019-01-19T12:18:21Z,CAL027,"12.513977,123.455643",37000,451,310
1547900364,2019-01-19T12:19:24Z,CAL027,"12.599922,123.352081",37825,452,310
1547900426,2019-01-19T12:20:26Z,CAL027,"12.682365,123.252342",38000,454,310
1547900487,2019-01-19T12:21:27Z,CAL027,"12.768356,123.148499",38000,452,310
1547900551,2019-01-19T12:22:31Z,CAL027,"12.854842,123.044273",38000,452,310
1547900612,2019-01-19T12:23:32Z,CAL027,"12.936722,122.945107",38000,452,310
1547900673,2019-01-19T12:24:33Z,CAL027,"13.018707,122.845856",38000,449,310
1547900737,2019-01-19T12:25:37Z,CAL027,"13.103896,122.742775",38000,448,310
1547900798,2019-01-19T12:26:38Z,CAL027,"13.184875,122.644409",38000,447,309
1547900859,2019-01-19T12:27:39Z,CAL027,"13.269995,122.540878",38000,447,310
1547900923,2019-01-19T12:28:43Z,CAL027,"13.350266,122.443192",38000,447,310
1547900985,2019-01-19T12:29:45Z,CAL027,"13.43541,122.339722",38000,448,310
1547901045,2019-01-19T12:30:45Z,CAL027,"13.516571,122.240562",38000,447,310
1547901107,2019-01-19T12:31:47Z,CAL027,"13.596931,122.142578",38000,447,310
1547901171,2019-01-19T12:32:51Z,CAL027,"13.681796,122.038834",38000,448,309
1547901229,2019-01-19T12:33:49Z,CAL027,"13.762711,121.939857",38000,448,309
1547901293,2019-01-19T12:34:53Z,CAL027,"13.847214,121.836441",38000,449,309
1547901353,2019-01-19T12:35:53Z,CAL027,"13.928375,121.736565",38000,450,309
1547901417,2019-01-19T12:36:57Z,CAL027,"14.013428,121.632004",38000,450,309
1547901481,2019-01-19T12:38:01Z,CAL027,"14.09802,121.528015",38000,448,309
1547901544,2019-01-19T12:39:04Z,CAL027,"14.181885,121.424828",38000,448,309
1547901606,2019-01-19T12:40:06Z,CAL027,"14.264008,121.323441",38000,445,309
1547901668,2019-01-19T12:41:08Z,CAL027,"14.345445,121.222565",38000,440,309
1547901694,2019-01-19T12:41:34Z,CAL027,"14.380498,121.179535",38000,438,309
1547901730,2019-01-19T12:42:10Z,CAL027,"14.426056,121.123367",38000,438,309
