Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550488771,2019-02-18T11:19:31Z,CAL027,"10.308434,127.369476",34000,484,291
1550488816,2019-02-18T11:20:16Z,CAL027,"10.346832,127.273026",34000,483,291
1550488866,2019-02-18T11:21:06Z,CAL027,"10.388644,127.168167",34000,484,291
1550488956,2019-02-18T11:22:36Z,CAL027,"10.464706,126.976952",34000,485,291
1550489019,2019-02-18T11:23:39Z,CAL027,"10.516616,126.846123",34000,485,291
1550489081,2019-02-18T11:24:41Z,CAL027,"10.569031,126.714226",34000,487,291
1550489143,2019-02-18T11:25:43Z,CAL027,"10.621079,126.582832",34000,488,291
1550489205,2019-02-18T11:26:45Z,CAL027,"10.673264,126.4506",34000,487,291
1550489267,2019-02-18T11:27:47Z,CAL027,"10.725077,126.31955",34000,485,291
1550489328,2019-02-18T11:28:48Z,CAL027,"10.776169,126.189774",34000,484,291
1550489391,2019-02-18T11:29:51Z,CAL027,"10.827818,126.058624",34000,482,291
1550489451,2019-02-18T11:30:51Z,CAL027,"10.879257,125.928421",34000,483,291
1550489512,2019-02-18T11:31:52Z,CAL027,"10.929813,125.799721",34000,482,291
1550489575,2019-02-18T11:32:55Z,CAL027,"10.980696,125.66967",34000,482,291
1550489636,2019-02-18T11:33:56Z,CAL027,"11.03153,125.53952",34000,483,291
1550489697,2019-02-18T11:34:57Z,CAL027,"11.082321,125.40979",34000,483,291
1550489759,2019-02-18T11:35:59Z,CAL027,"11.133293,125.27932",34000,482,291
1550489821,2019-02-18T11:37:01Z,CAL027,"11.184035,125.149261",34000,483,291
1550489883,2019-02-18T11:38:03Z,CAL027,"11.240158,125.021431",34000,480,301
1550489889,2019-02-18T11:38:09Z,CAL027,"11.248231,125.008995",34000,478,304
1550489895,2019-02-18T11:38:15Z,CAL027,"11.255959,124.998009",34000,478,305
1550489901,2019-02-18T11:38:21Z,CAL027,"11.264106,124.987358",34000,477,308
1550489967,2019-02-18T11:39:27Z,CAL027,"11.355488,124.875519",34000,476,309
1550490028,2019-02-18T11:40:28Z,CAL027,"11.443085,124.768227",34000,476,309
1550490090,2019-02-18T11:41:30Z,CAL027,"11.530151,124.661911",34000,477,309
1550490150,2019-02-18T11:42:30Z,CAL027,"11.616366,124.55677",34000,475,309
1550490213,2019-02-18T11:43:33Z,CAL027,"11.70286,124.450623",34000,474,309
1550490273,2019-02-18T11:44:33Z,CAL027,"11.788376,124.345818",34000,473,309
1550490334,2019-02-18T11:45:34Z,CAL027,"11.873795,124.240929",34000,471,309
1550490396,2019-02-18T11:46:36Z,CAL027,"11.959076,124.136086",34000,471,309
1550490458,2019-02-18T11:47:38Z,CAL027,"12.045531,124.029625",34000,470,309
1550490521,2019-02-18T11:48:41Z,CAL027,"12.131699,123.923508",34000,468,309
1550490581,2019-02-18T11:49:41Z,CAL027,"12.216202,123.819519",34000,466,309
1550490599,2019-02-18T11:49:59Z,CAL027,"12.240967,123.788925",34000,466,309
1550490689,2019-02-18T11:51:29Z,CAL027,"12.36204,123.639465",34000,464,309
1550490748,2019-02-18T11:52:28Z,CAL027,"12.446686,123.537094",34000,464,310
1550490811,2019-02-18T11:53:31Z,CAL027,"12.531723,123.435104",34000,464,310
1550490873,2019-02-18T11:54:33Z,CAL027,"12.620126,123.328568",34000,463,310
1550490935,2019-02-18T11:55:35Z,CAL027,"12.705185,123.226585",34000,463,311
1550490958,2019-02-18T11:55:58Z,CAL027,"12.742859,123.19088",34000,461,320
1550491024,2019-02-18T11:57:04Z,CAL027,"12.852448,123.105453",34000,462,322
1550491083,2019-02-18T11:58:03Z,CAL027,"12.955399,123.025047",34000,463,322
1550491145,2019-02-18T11:59:05Z,CAL027,"13.059671,122.943855",34000,464,322
1550491207,2019-02-18T12:00:07Z,CAL027,"13.167673,122.859192",34000,464,322
1550491271,2019-02-18T12:01:11Z,CAL027,"13.27739,122.773354",34000,463,322
1550491332,2019-02-18T12:02:12Z,CAL027,"13.381487,122.691795",34000,463,322
1550491392,2019-02-18T12:03:12Z,CAL027,"13.484461,122.610939",34000,462,322
1550491454,2019-02-18T12:04:14Z,CAL027,"13.588257,122.529427",34000,462,322
1550491517,2019-02-18T12:05:17Z,CAL027,"13.696198,122.444618",34000,461,322
1550491579,2019-02-18T12:06:19Z,CAL027,"13.798508,122.364067",34000,459,322
1550491639,2019-02-18T12:07:19Z,CAL027,"13.901917,122.282425",34000,460,322
1550491699,2019-02-18T12:08:19Z,CAL027,"14.004869,122.201172",34000,464,322
1550491763,2019-02-18T12:09:23Z,CAL027,"14.113907,122.115074",34000,466,322
1550491825,2019-02-18T12:10:25Z,CAL027,"14.218002,122.032677",34000,466,322
1550491885,2019-02-18T12:11:25Z,CAL027,"14.321703,121.950508",34000,466,322
1550491949,2019-02-18T12:12:29Z,CAL027,"14.430679,121.86409",34000,464,322
1550492013,2019-02-18T12:13:33Z,CAL027,"14.539032,121.778099",34000,463,322
1550492073,2019-02-18T12:14:33Z,CAL027,"14.642258,121.695938",34000,462,322
1550492134,2019-02-18T12:15:34Z,CAL027,"14.743332,121.615524",34000,462,322
1550492148,2019-02-18T12:15:48Z,CAL027,"14.772217,121.596725",34000,461,332
1550492157,2019-02-18T12:15:57Z,CAL027,"14.785084,121.590706",34000,461,336
1550492165,2019-02-18T12:16:05Z,CAL027,"14.803253,121.584084",34000,461,342
1550492171,2019-02-18T12:16:11Z,CAL027,"14.814835,121.58091",34000,461,346
1550492180,2019-02-18T12:16:20Z,CAL027,"14.835892,121.576927",34000,461,352
1550492188,2019-02-18T12:16:28Z,CAL027,"14.854614,121.574661",34000,461,353
1550492252,2019-02-18T12:17:32Z,CAL027,"14.989122,121.557442",34000,459,352
1550492317,2019-02-18T12:18:37Z,CAL027,"15.124054,121.539917",33700,458,352
1550492377,2019-02-18T12:19:37Z,CAL027,"15.254013,121.523193",32975,457,352
1550492438,2019-02-18T12:20:38Z,CAL027,"15.381912,121.506477",33000,456,352
1550492483,2019-02-18T12:21:23Z,CAL027,"15.476761,121.49424",33000,455,352
1550492524,2019-02-18T12:22:04Z,CAL027,"15.560623,121.483543",33000,455,352
1550492614,2019-02-18T12:23:34Z,CAL027,"15.749646,121.459106",33000,455,352
1550492676,2019-02-18T12:24:36Z,CAL027,"15.883392,121.441711",33000,455,352
1550492739,2019-02-18T12:25:39Z,CAL027,"16.015961,121.424751",33000,455,352
