Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547011921,2019-01-09T05:32:01Z,CAL028,"25.084545,121.237831",0,0,329
1547012040,2019-01-09T05:34:00Z,CAL028,"25.084545,121.237793",0,2,309
1547012076,2019-01-09T05:34:36Z,CAL028,"25.084755,121.237434",0,10,307
1547012096,2019-01-09T05:34:56Z,CAL028,"25.084917,121.237175",0,10,303
1547012118,2019-01-09T05:35:18Z,CAL028,"25.085045,121.236916",0,11,289
1547012134,2019-01-09T05:35:34Z,CAL028,"25.085094,121.236671",0,10,280
1547012154,2019-01-09T05:35:54Z,CAL028,"25.085033,121.236382",0,11,252
1547012176,2019-01-09T05:36:16Z,CAL028,"25.084877,121.23613",0,10,228
1547012370,2019-01-09T05:39:30Z,CAL028,"25.08522,121.236519",0,18,47
1547012387,2019-01-09T05:39:47Z,CAL028,"25.085655,121.237083",0,25,50
1547012396,2019-01-09T05:39:56Z,CAL028,"25.085953,121.23745",0,25,50
1547012403,2019-01-09T05:40:03Z,CAL028,"25.08617,121.237732",0,25,50
1547012409,2019-01-09T05:40:09Z,CAL028,"25.086353,121.237961",0,25,47
1547012431,2019-01-09T05:40:31Z,CAL028,"25.086594,121.238823",0,20,120
1547012441,2019-01-09T05:40:41Z,CAL028,"25.086376,121.239067",0,16,129
1547012454,2019-01-09T05:40:54Z,CAL028,"25.086151,121.239288",0,16,129
1547012468,2019-01-09T05:41:08Z,CAL028,"25.085861,121.239563",0,15,129
1547012486,2019-01-09T05:41:26Z,CAL028,"25.085541,121.239853",0,16,129
1547012498,2019-01-09T05:41:38Z,CAL028,"25.085255,121.240128",0,20,140
1547012510,2019-01-09T05:41:50Z,CAL028,"25.084911,121.240448",0,25,137
1547012531,2019-01-09T05:42:11Z,CAL028,"25.084185,121.24115",0,23,140
1547012580,2019-01-09T05:43:00Z,CAL028,"25.082737,121.242523",0,21,140
1547012625,2019-01-09T05:43:45Z,CAL028,"25.081455,121.243248",0,19,140
1547012902,2019-01-09T05:48:22Z,CAL028,"25.069695,121.230034",0,32,227
1547012962,2019-01-09T05:49:22Z,CAL028,"25.06661,121.226097",0,19,227
1547013012,2019-01-09T05:50:12Z,CAL028,"25.063993,121.222778",0,25,227
1547013032,2019-01-09T05:50:32Z,CAL028,"25.063225,121.222519",0,21,185
1547013048,2019-01-09T05:50:48Z,CAL028,"25.062584,121.222443",0,21,185
1547013058,2019-01-09T05:50:58Z,CAL028,"25.062189,121.222473",0,23,165
1547013067,2019-01-09T05:51:07Z,CAL028,"25.061852,121.222717",0,24,140
1547013074,2019-01-09T05:51:14Z,CAL028,"25.061642,121.222923",0,21,140
1547013088,2019-01-09T05:51:28Z,CAL028,"25.061302,121.223297",0,16,140
1547013098,2019-01-09T05:51:38Z,CAL028,"25.061176,121.223564",0,17,140
1547013105,2019-01-09T05:51:45Z,CAL028,"25.061176,121.22377",0,20,87
1547013114,2019-01-09T05:51:54Z,CAL028,"25.061417,121.22419",0,28,47
1547013124,2019-01-09T05:52:04Z,CAL028,"25.061979,121.224907",0,30,50
1547013137,2019-01-09T05:52:17Z,CAL028,"25.064552,121.228195",0,86,47
1547013155,2019-01-09T05:52:35Z,CAL028,"25.071266,121.236687",0,150,47
1547013165,2019-01-09T05:52:45Z,CAL028,"25.07666,121.243385",250,160,48
1547013176,2019-01-09T05:52:56Z,CAL028,"25.081604,121.249542",725,161,48
1547013185,2019-01-09T05:53:05Z,CAL028,"25.086456,121.255646",1225,157,49
1547013195,2019-01-09T05:53:15Z,CAL028,"25.091263,121.262001",1525,163,49
1547013206,2019-01-09T05:53:26Z,CAL028,"25.09639,121.26902",1825,172,51
1547013215,2019-01-09T05:53:35Z,CAL028,"25.101385,121.276001",2050,183,51
1547013226,2019-01-09T05:53:46Z,CAL028,"25.107344,121.284294",2275,196,51
1547013241,2019-01-09T05:54:01Z,CAL028,"25.116423,121.296371",2775,212,49
1547013251,2019-01-09T05:54:11Z,CAL028,"25.123638,121.304764",3275,220,45
1547013261,2019-01-09T05:54:21Z,CAL028,"25.13048,121.312332",3525,233,44
1547013273,2019-01-09T05:54:33Z,CAL028,"25.139791,121.322594",3775,252,44
1547013287,2019-01-09T05:54:47Z,CAL028,"25.152687,121.336998",4300,266,45
1547013297,2019-01-09T05:54:57Z,CAL028,"25.161301,121.346687",4750,273,45
1547013308,2019-01-09T05:55:08Z,CAL028,"25.170914,121.357727",5250,279,46
1547013323,2019-01-09T05:55:23Z,CAL028,"25.184574,121.373581",5850,288,46
1547013338,2019-01-09T05:55:38Z,CAL028,"25.198837,121.390282",6575,292,46
1547013351,2019-01-09T05:55:51Z,CAL028,"25.210922,121.40432",7175,297,47
1547013364,2019-01-09T05:56:04Z,CAL028,"25.220606,121.421104",7700,303,63
1547013373,2019-01-09T05:56:13Z,CAL028,"25.224144,121.434998",7975,310,78
1547013379,2019-01-09T05:56:19Z,CAL028,"25.225159,121.443481",8250,310,82
1547013388,2019-01-09T05:56:28Z,CAL028,"25.226486,121.456757",8675,310,83
1547013394,2019-01-09T05:56:34Z,CAL028,"25.227676,121.468147",9025,312,83
1547013400,2019-01-09T05:56:40Z,CAL028,"25.2285,121.475731",9275,313,83
1547013415,2019-01-09T05:56:55Z,CAL028,"25.231081,121.50164",9950,317,84
1547013427,2019-01-09T05:57:07Z,CAL028,"25.232666,121.520386",10200,329,84
1547013457,2019-01-09T05:57:37Z,CAL028,"25.228409,121.572266",10775,359,101
1547013476,2019-01-09T05:57:56Z,CAL028,"25.222002,121.607925",11675,360,101
1547013516,2019-01-09T05:58:36Z,CAL028,"25.209457,121.680809",13250,374,100
1547013549,2019-01-09T05:59:09Z,CAL028,"25.199144,121.743179",14675,381,100
1547013582,2019-01-09T05:59:42Z,CAL028,"25.188206,121.807541",15925,389,100
1547013613,2019-01-09T06:00:13Z,CAL028,"25.177685,121.869682",17125,393,100
1547013652,2019-01-09T06:00:52Z,CAL028,"25.164597,121.946259",18525,399,100
1547013716,2019-01-09T06:01:56Z,CAL028,"25.14184,122.080444",20125,428,100
1547013781,2019-01-09T06:03:01Z,CAL028,"25.117865,122.220779",22125,439,100
1547013844,2019-01-09T06:04:04Z,CAL028,"25.099228,122.362366",23800,452,96
1547013908,2019-01-09T06:05:08Z,CAL028,"25.084953,122.510773",25275,465,96
1547013969,2019-01-09T06:06:09Z,CAL028,"25.070568,122.658417",26800,472,96
1547014037,2019-01-09T06:07:17Z,CAL028,"25.054413,122.820839",28325,477,96
1547014097,2019-01-09T06:08:17Z,CAL028,"25.039471,122.969093",29425,487,96
1547014109,2019-01-09T06:08:29Z,CAL028,"25.036652,122.997337",29625,489,96
1547014200,2019-01-09T06:10:00Z,CAL028,"25.014175,123.223625",31000,505,96
1547014232,2019-01-09T06:10:32Z,CAL028,"25.005753,123.307854",31550,510,96
1547014322,2019-01-09T06:12:02Z,CAL028,"24.967621,123.534752",33200,505,105
