Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550468315,2019-02-18T05:38:35Z,CAL028,"25.073372,121.233002",0,18,230
1550468348,2019-02-18T05:39:08Z,CAL028,"25.072756,121.232224",0,10,230
1550468444,2019-02-18T05:40:44Z,CAL028,"25.070045,121.230492",0,19,227
1550468460,2019-02-18T05:41:00Z,CAL028,"25.069176,121.229385",0,19,230
1550468488,2019-02-18T05:41:28Z,CAL028,"25.067484,121.227226",0,18,230
1550468514,2019-02-18T05:41:54Z,CAL028,"25.066051,121.225418",0,17,227
1550468520,2019-02-18T05:42:00Z,CAL028,"25.065762,121.225052",0,17,230
1550468852,2019-02-18T05:47:32Z,CAL028,"25.078529,121.246307",525,162,50
1550468861,2019-02-18T05:47:41Z,CAL028,"25.084351,121.25412",1025,163,50
1550468867,2019-02-18T05:47:47Z,CAL028,"25.087372,121.257988",1200,167,49
1550468874,2019-02-18T05:47:54Z,CAL028,"25.090586,121.262115",1350,173,49
1550468880,2019-02-18T05:48:00Z,CAL028,"25.093918,121.26638",1475,180,48
1550468892,2019-02-18T05:48:12Z,CAL028,"25.100739,121.275124",1775,191,50
1550468900,2019-02-18T05:48:20Z,CAL028,"25.104172,121.279755",1975,196,50
1550468906,2019-02-18T05:48:26Z,CAL028,"25.107742,121.284431",2125,201,50
1550468916,2019-02-18T05:48:36Z,CAL028,"25.115025,121.294189",2350,216,50
1550468923,2019-02-18T05:48:43Z,CAL028,"25.119076,121.299377",2450,224,48
1550468929,2019-02-18T05:48:49Z,CAL028,"25.123777,121.304871",2575,234,46
1550468935,2019-02-18T05:48:55Z,CAL028,"25.128386,121.310204",2750,242,46
1550468947,2019-02-18T05:49:07Z,CAL028,"25.138229,121.321411",3050,257,46
1550468953,2019-02-18T05:49:13Z,CAL028,"25.143143,121.326996",3225,263,46
1550468965,2019-02-18T05:49:25Z,CAL028,"25.153477,121.338966",3675,271,46
1550468977,2019-02-18T05:49:37Z,CAL028,"25.164185,121.351265",4250,275,46
1550468983,2019-02-18T05:49:43Z,CAL028,"25.169586,121.357422",4525,278,46
1550468989,2019-02-18T05:49:49Z,CAL028,"25.175171,121.363739",4800,280,46
1550468996,2019-02-18T05:49:56Z,CAL028,"25.180069,121.369324",5075,280,46
1550469006,2019-02-18T05:50:06Z,CAL028,"25.191833,121.382599",5575,287,45
