Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550899743,2019-02-23T05:29:03Z,CAL028,"25.084728,121.238518",0,0,244
1550900190,2019-02-23T05:36:30Z,CAL028,"25.085011,121.238617",0,9,12
1550900217,2019-02-23T05:36:57Z,CAL028,"25.085289,121.238533",0,10,330
1550900237,2019-02-23T05:37:17Z,CAL028,"25.085495,121.238365",0,10,319
1550900262,2019-02-23T05:37:42Z,CAL028,"25.085756,121.238121",0,10,315
1550900298,2019-02-23T05:38:18Z,CAL028,"25.086056,121.237793",0,10,320
1550900328,2019-02-23T05:38:48Z,CAL028,"25.086256,121.237801",0,0,76
1550900461,2019-02-23T05:41:01Z,CAL028,"25.086021,121.237549",0,15,231
1550900470,2019-02-23T05:41:10Z,CAL028,"25.085848,121.23732",0,17,232
1550900485,2019-02-23T05:41:25Z,CAL028,"25.085598,121.236992",0,15,229
1550900495,2019-02-23T05:41:35Z,CAL028,"25.085449,121.236786",0,16,231
1550900505,2019-02-23T05:41:45Z,CAL028,"25.085232,121.236511",0,20,227
1550900516,2019-02-23T05:41:56Z,CAL028,"25.085003,121.236214",0,19,227
1550900531,2019-02-23T05:42:11Z,CAL028,"25.084545,121.235657",0,28,227
1550900541,2019-02-23T05:42:21Z,CAL028,"25.084362,121.235123",0,28,281
1550900550,2019-02-23T05:42:30Z,CAL028,"25.084682,121.234589",0,31,295
1550900557,2019-02-23T05:42:37Z,CAL028,"25.084684,121.234238",0,30,255
1550900567,2019-02-23T05:42:47Z,CAL028,"25.084362,121.233749",0,29,227
1550900587,2019-02-23T05:43:07Z,CAL028,"25.083607,121.23278",0,30,227
1550900597,2019-02-23T05:43:17Z,CAL028,"25.083206,121.232285",0,30,227
1550900606,2019-02-23T05:43:26Z,CAL028,"25.082834,121.231812",0,30,227
1550900617,2019-02-23T05:43:37Z,CAL028,"25.082428,121.231293",0,31,227
1550900627,2019-02-23T05:43:47Z,CAL028,"25.082008,121.230759",0,32,227
1550900637,2019-02-23T05:43:57Z,CAL028,"25.081604,121.23024",0,33,230
