Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551072385,2019-02-25T05:26:25Z,CAL028,"25.084721,121.23851",0,0,76
1551072489,2019-02-25T05:28:09Z,CAL028,"25.084728,121.238503",0,0,322
1551072758,2019-02-25T05:32:38Z,CAL028,"25.08474,121.238495",0,0,327
1551072788,2019-02-25T05:33:08Z,CAL028,"25.084946,121.238609",0,9,30
1551072824,2019-02-25T05:33:44Z,CAL028,"25.085278,121.238647",0,9,345
1551072856,2019-02-25T05:34:16Z,CAL028,"25.085546,121.238342",0,10,322
1551072877,2019-02-25T05:34:37Z,CAL028,"25.085779,121.238121",0,11,325
1551072909,2019-02-25T05:35:09Z,CAL028,"25.086056,121.237854",0,9,316
1551072976,2019-02-25T05:36:16Z,CAL028,"25.086021,121.237526",0,0,264
1551073102,2019-02-25T05:38:22Z,CAL028,"25.086239,121.237808",0,11,51
1551073118,2019-02-25T05:38:38Z,CAL028,"25.086491,121.238121",0,18,48
1551073131,2019-02-25T05:38:51Z,CAL028,"25.086687,121.238495",0,20,78
1551073140,2019-02-25T05:39:00Z,CAL028,"25.086594,121.238838",0,17,106
1551073160,2019-02-25T05:39:20Z,CAL028,"25.086273,121.239166",0,14,106
1551073177,2019-02-25T05:39:37Z,CAL028,"25.085978,121.239441",0,15,106
1551073193,2019-02-25T05:39:53Z,CAL028,"25.085701,121.239723",0,16,106
1551073203,2019-02-25T05:40:03Z,CAL028,"25.085495,121.239944",0,18,106
1551073214,2019-02-25T05:40:14Z,CAL028,"25.085197,121.240196",0,22,143
1551073225,2019-02-25T05:40:25Z,CAL028,"25.084843,121.240517",0,25,140
1551073232,2019-02-25T05:40:32Z,CAL028,"25.084534,121.240814",0,27,140
1551073242,2019-02-25T05:40:42Z,CAL028,"25.084091,121.241234",0,30,140
1551073269,2019-02-25T05:41:09Z,CAL028,"25.082897,121.242371",0,32,137
1551073338,2019-02-25T05:42:18Z,CAL028,"25.079948,121.241348",0,33,227
1551073347,2019-02-25T05:42:27Z,CAL028,"25.079588,121.240883",0,15,227
1551073439,2019-02-25T05:43:59Z,CAL028,"25.074577,121.234528",0,17,227
1551073490,2019-02-25T05:44:50Z,CAL028,"25.072105,121.23188",0,28,168
1551073518,2019-02-25T05:45:18Z,CAL028,"25.070766,121.231384",0,31,227
1551073536,2019-02-25T05:45:36Z,CAL028,"25.070057,121.230484",0,32,227
1551073559,2019-02-25T05:45:59Z,CAL028,"25.069008,121.229156",0,16,227
1551073575,2019-02-25T05:46:15Z,CAL028,"25.068123,121.228027",0,16,227
1551073582,2019-02-25T05:46:22Z,CAL028,"25.067787,121.2276",0,17,227
1551073588,2019-02-25T05:46:28Z,CAL028,"25.067493,121.227226",0,16,227
1551073617,2019-02-25T05:46:57Z,CAL028,"25.066109,121.225456",0,17,227
1551073623,2019-02-25T05:47:03Z,CAL028,"25.065834,121.225113",0,17,227
1551073762,2019-02-25T05:49:22Z,CAL028,"25.077576,121.244713",525,153,48
1551073773,2019-02-25T05:49:33Z,CAL028,"25.083252,121.251884",1000,158,49
1551073780,2019-02-25T05:49:40Z,CAL028,"25.086163,121.255791",1200,159,50
1551073792,2019-02-25T05:49:52Z,CAL028,"25.092041,121.26358",1400,174,50
1551073799,2019-02-25T05:49:59Z,CAL028,"25.095428,121.268211",1475,185,50
1551073805,2019-02-25T05:50:05Z,CAL028,"25.098732,121.272583",1550,194,50
1551073816,2019-02-25T05:50:16Z,CAL028,"25.106228,121.282379",1800,207,49
1551073823,2019-02-25T05:50:23Z,CAL028,"25.109812,121.286987",1925,214,49
1551073834,2019-02-25T05:50:34Z,CAL028,"25.118042,121.297455",2225,228,48
1551073840,2019-02-25T05:50:40Z,CAL028,"25.122437,121.302643",2425,232,46
1551073846,2019-02-25T05:50:46Z,CAL028,"25.12685,121.307617",2625,236,45
1551073852,2019-02-25T05:50:52Z,CAL028,"25.131409,121.312714",2750,243,44
1551073858,2019-02-25T05:50:58Z,CAL028,"25.136812,121.318703",2875,253,45
1551073865,2019-02-25T05:51:05Z,CAL028,"25.142258,121.324715",2975,263,45
1551073872,2019-02-25T05:51:12Z,CAL028,"25.147247,121.330261",3225,263,45
1551073882,2019-02-25T05:51:22Z,CAL028,"25.157364,121.341652",3575,273,45
1551073889,2019-02-25T05:51:29Z,CAL028,"25.163132,121.348213",3675,282,46
1551073900,2019-02-25T05:51:40Z,CAL028,"25.174192,121.36084",3950,294,46
1551073907,2019-02-25T05:51:47Z,CAL028,"25.180338,121.367882",4150,300,46
1551073919,2019-02-25T05:51:59Z,CAL028,"25.191742,121.381172",4550,306,46
1551073925,2019-02-25T05:52:05Z,CAL028,"25.197842,121.388252",4775,309,46
1551073932,2019-02-25T05:52:12Z,CAL028,"25.204126,121.395767",4975,312,47
1551073938,2019-02-25T05:52:18Z,CAL028,"25.208921,121.402344",5075,319,52
1551073946,2019-02-25T05:52:26Z,CAL028,"25.215624,121.417114",5375,326,70
1551073953,2019-02-25T05:52:33Z,CAL028,"25.217514,121.42588",5600,328,79
1551073959,2019-02-25T05:52:39Z,CAL028,"25.218418,121.436966",5825,331,88
1551073980,2019-02-25T05:53:00Z,CAL028,"25.21463,121.47039",6625,335,98
1551073987,2019-02-25T05:53:07Z,CAL028,"25.212831,121.484329",7000,336,98
1551073999,2019-02-25T05:53:19Z,CAL028,"25.209898,121.507492",7625,338,97
1551074029,2019-02-25T05:53:49Z,CAL028,"25.203232,121.558838",8950,345,98
1551074046,2019-02-25T05:54:06Z,CAL028,"25.199751,121.585228",9600,350,98
1551074056,2019-02-25T05:54:16Z,CAL028,"25.197098,121.605476",10075,353,98
1551074072,2019-02-25T05:54:32Z,CAL028,"25.193573,121.632133",10750,356,98
1551074082,2019-02-25T05:54:42Z,CAL028,"25.191092,121.650574",11250,359,98
1551074098,2019-02-25T05:54:58Z,CAL028,"25.186995,121.681198",12100,361,98
1551074124,2019-02-25T05:55:24Z,CAL028,"25.180571,121.729813",13325,369,98
1551074149,2019-02-25T05:55:49Z,CAL028,"25.174379,121.776917",14325,382,98
1551074212,2019-02-25T05:56:52Z,CAL028,"25.157455,121.905464",16450,422,98
1551074244,2019-02-25T05:57:24Z,CAL028,"25.148666,121.97184",17775,429,98
1551074280,2019-02-25T05:58:00Z,CAL028,"25.138367,122.048851",19175,438,98
1551074342,2019-02-25T05:59:02Z,CAL028,"25.119232,122.192284",21475,457,98
1551074404,2019-02-25T06:00:04Z,CAL028,"25.101385,122.340797",23575,474,95
1551074466,2019-02-25T06:01:06Z,CAL028,"25.087048,122.490929",25525,487,96
1551074526,2019-02-25T06:02:06Z,CAL028,"25.072174,122.643944",26625,515,96
1551074584,2019-02-25T06:03:04Z,CAL028,"25.057301,122.795433",27975,531,96
1551074672,2019-02-25T06:04:32Z,CAL028,"25.033327,123.037239",30275,541,96
1551074733,2019-02-25T06:05:33Z,CAL028,"25.016602,123.205566",31475,551,96
1551074811,2019-02-25T06:06:51Z,CAL028,"24.994354,123.423515",33300,554,96
1551074875,2019-02-25T06:07:55Z,CAL028,"24.975769,123.602348",34475,559,96
1551074938,2019-02-25T06:08:58Z,CAL028,"24.956469,123.784462",35000,567,96
1551074999,2019-02-25T06:09:59Z,CAL028,"24.937775,123.957314",35000,569,96
1551075063,2019-02-25T06:11:03Z,CAL028,"24.912989,124.139442",35000,566,104
1551075122,2019-02-25T06:12:02Z,CAL028,"24.865356,124.300438",35025,564,108
1551075188,2019-02-25T06:13:08Z,CAL028,"24.811798,124.479271",35550,562,108
1551075249,2019-02-25T06:14:09Z,CAL028,"24.763184,124.639427",36025,557,108
1551075310,2019-02-25T06:15:10Z,CAL028,"24.710632,124.812012",36000,558,108
1551075355,2019-02-25T06:15:55Z,CAL028,"24.674921,124.92968",36000,557,108
1551075446,2019-02-25T06:17:26Z,CAL028,"24.601135,125.170082",36175,555,108
1551075475,2019-02-25T06:17:55Z,CAL028,"24.577394,125.247299",36400,552,108
