Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546837599,2019-01-07T05:06:39Z,CAL561,"25.082031,121.234741",0,10,137
1546837624,2019-01-07T05:07:04Z,CAL561,"25.082279,121.234497",0,11,137
1546837651,2019-01-07T05:07:31Z,CAL561,"25.082567,121.234222",0,11,140
1546837666,2019-01-07T05:07:46Z,CAL561,"25.082703,121.234001",0,12,165
1546837686,2019-01-07T05:08:06Z,CAL561,"25.082973,121.233856",0,12,208
1546837814,2019-01-07T05:10:14Z,CAL561,"25.082882,121.233574",0,17,227
1546837824,2019-01-07T05:10:24Z,CAL561,"25.082672,121.233315",0,21,227
1546837835,2019-01-07T05:10:35Z,CAL561,"25.082314,121.232857",0,27,227
1546837844,2019-01-07T05:10:44Z,CAL561,"25.081959,121.232399",0,29,227
1546837854,2019-01-07T05:10:54Z,CAL561,"25.081625,121.231956",0,25,236
1546837864,2019-01-07T05:11:04Z,CAL561,"25.081776,121.231445",0,27,309
1546837875,2019-01-07T05:11:15Z,CAL561,"25.082062,121.230911",0,30,272
1546837885,2019-01-07T05:11:25Z,CAL561,"25.081694,121.230385",0,29,225
1546837895,2019-01-07T05:11:35Z,CAL561,"25.081276,121.229881",0,32,227
1546837905,2019-01-07T05:11:45Z,CAL561,"25.080826,121.229301",0,15,227
1546837916,2019-01-07T05:11:56Z,CAL561,"25.08032,121.228661",0,16,230
1546837926,2019-01-07T05:12:06Z,CAL561,"25.079798,121.228004",0,18,227
1546837937,2019-01-07T05:12:17Z,CAL561,"25.079191,121.227226",0,19,227
1546837945,2019-01-07T05:12:25Z,CAL561,"25.078552,121.22641",0,21,227
1546837956,2019-01-07T05:12:36Z,CAL561,"25.077866,121.225555",0,22,227
1546837967,2019-01-07T05:12:47Z,CAL561,"25.077152,121.224632",0,23,230
1546837977,2019-01-07T05:12:57Z,CAL561,"25.076488,121.223778",0,22,230
1546837986,2019-01-07T05:13:06Z,CAL561,"25.075779,121.222893",0,21,230
1546837997,2019-01-07T05:13:17Z,CAL561,"25.075069,121.221985",0,21,227
1546838007,2019-01-07T05:13:27Z,CAL561,"25.074532,121.221291",0,16,227
1546838017,2019-01-07T05:13:37Z,CAL561,"25.074074,121.220726",0,31,227
1546838023,2019-01-07T05:13:43Z,CAL561,"25.073776,121.220627",0,31,185
1546838032,2019-01-07T05:13:52Z,CAL561,"25.073227,121.221008",0,33,137
1546838038,2019-01-07T05:13:58Z,CAL561,"25.072966,121.221268",0,32,137
1546838048,2019-01-07T05:14:08Z,CAL561,"25.072512,121.221695",0,30,137
1546838058,2019-01-07T05:14:18Z,CAL561,"25.072083,121.222099",0,28,140
1546838069,2019-01-07T05:14:29Z,CAL561,"25.071709,121.222458",0,26,140
1546838078,2019-01-07T05:14:38Z,CAL561,"25.071337,121.222809",0,26,137
1546838113,2019-01-07T05:15:13Z,CAL561,"25.069736,121.224327",0,30,140
1546838121,2019-01-07T05:15:21Z,CAL561,"25.069485,121.224571",0,28,137
1546838170,2019-01-07T05:16:10Z,CAL561,"25.068432,121.225571",0,10,137
1546838235,2019-01-07T05:17:15Z,CAL561,"25.068226,121.225761",0,0,138
1546838276,2019-01-07T05:17:56Z,CAL561,"25.067879,121.226082",0,17,140
1546838333,2019-01-07T05:18:53Z,CAL561,"25.065891,121.22522",0,32,230
1546838674,2019-01-07T05:24:34Z,CAL561,"25.061071,121.223679",0,25,104
1546838785,2019-01-07T05:26:25Z,CAL561,"25.072685,121.238533",0,155,47
1546838802,2019-01-07T05:26:42Z,CAL561,"25.081833,121.249985",475,167,48
1546838814,2019-01-07T05:26:54Z,CAL561,"25.0877,121.257347",975,163,49
1546838820,2019-01-07T05:27:00Z,CAL561,"25.090942,121.261497",1225,162,50
1546838826,2019-01-07T05:27:06Z,CAL561,"25.093704,121.265221",1350,164,50
1546838832,2019-01-07T05:27:12Z,CAL561,"25.096684,121.269165",1450,169,50
1546838838,2019-01-07T05:27:18Z,CAL561,"25.09971,121.273308",1500,176,50
1546838850,2019-01-07T05:27:30Z,CAL561,"25.106369,121.282295",1625,192,51
1546838857,2019-01-07T05:27:37Z,CAL561,"25.109253,121.286263",1675,200,50
1546838869,2019-01-07T05:27:49Z,CAL561,"25.117447,121.297195",1825,218,50
1546838880,2019-01-07T05:28:00Z,CAL561,"25.126602,121.306709",1975,235,35
1546838887,2019-01-07T05:28:07Z,CAL561,"25.132902,121.309998",2075,244,22
1546838893,2019-01-07T05:28:13Z,CAL561,"25.140163,121.311707",2175,253,7
1546838916,2019-01-07T05:28:36Z,CAL561,"25.167955,121.306786",2925,265,349
1546838940,2019-01-07T05:29:00Z,CAL561,"25.196182,121.317444",3875,275,34
1546838947,2019-01-07T05:29:07Z,CAL561,"25.203003,121.323547",4100,276,39
1546838955,2019-01-07T05:29:15Z,CAL561,"25.211622,121.332436",4350,285,43
1546838961,2019-01-07T05:29:21Z,CAL561,"25.215904,121.337051",4525,287,44
1546838968,2019-01-07T05:29:28Z,CAL561,"25.223236,121.344963",4800,289,44
1546838974,2019-01-07T05:29:34Z,CAL561,"25.229218,121.35125",5075,289,43
1546838986,2019-01-07T05:29:46Z,CAL561,"25.240995,121.362907",5550,289,41
1546838998,2019-01-07T05:29:58Z,CAL561,"25.253798,121.374672",6100,290,39
1546839010,2019-01-07T05:30:10Z,CAL561,"25.2666,121.385712",6525,294,37
1546839022,2019-01-07T05:30:22Z,CAL561,"25.279541,121.396385",6925,298,36
1546839034,2019-01-07T05:30:34Z,CAL561,"25.293686,121.407829",7375,302,35
1546839046,2019-01-07T05:30:46Z,CAL561,"25.307465,121.418816",7625,308,35
1546839059,2019-01-07T05:30:59Z,CAL561,"25.321472,121.429955",7825,311,35
1546839071,2019-01-07T05:31:11Z,CAL561,"25.335526,121.441093",8025,312,35
1546839083,2019-01-07T05:31:23Z,CAL561,"25.350037,121.452637",8225,311,35
1546839094,2019-01-07T05:31:34Z,CAL561,"25.36377,121.463524",8425,311,35
1546839106,2019-01-07T05:31:46Z,CAL561,"25.377487,121.474434",8625,308,35
1546839119,2019-01-07T05:31:59Z,CAL561,"25.391418,121.485542",8850,303,35
1546839130,2019-01-07T05:32:10Z,CAL561,"25.404953,121.496353",9250,301,35
1546839142,2019-01-07T05:32:22Z,CAL561,"25.419113,121.507622",9875,297,35
1546839155,2019-01-07T05:32:35Z,CAL561,"25.432884,121.518532",10200,303,35
1546839167,2019-01-07T05:32:47Z,CAL561,"25.447174,121.5299",10350,317,35
1546839179,2019-01-07T05:32:59Z,CAL561,"25.462118,121.541695",10500,330,35
1546839191,2019-01-07T05:33:11Z,CAL561,"25.477295,121.553772",10650,341,35
1546839203,2019-01-07T05:33:23Z,CAL561,"25.492996,121.566216",10825,353,35
1546839216,2019-01-07T05:33:36Z,CAL561,"25.509842,121.579643",10975,365,35
1546839227,2019-01-07T05:33:47Z,CAL561,"25.526459,121.592964",11200,374,36
1546839240,2019-01-07T05:34:00Z,CAL561,"25.543259,121.606369",11375,383,36
1546839251,2019-01-07T05:34:11Z,CAL561,"25.561647,121.621086",11525,393,35
1546839264,2019-01-07T05:34:24Z,CAL561,"25.579926,121.635689",11725,403,35
1546839277,2019-01-07T05:34:37Z,CAL561,"25.597725,121.650002",12150,403,36
1546839309,2019-01-07T05:35:09Z,CAL561,"25.648979,121.6912",13250,408,36
1546839343,2019-01-07T05:35:43Z,CAL561,"25.70042,121.732452",14225,414,36
1546839373,2019-01-07T05:36:13Z,CAL561,"25.747879,121.770531",14875,426,36
1546839405,2019-01-07T05:36:45Z,CAL561,"25.801071,121.813354",16350,424,36
1546839439,2019-01-07T05:37:19Z,CAL561,"25.852831,121.855125",17750,423,36
1546839472,2019-01-07T05:37:52Z,CAL561,"25.905529,121.897697",19100,422,36
1546839533,2019-01-07T05:38:53Z,CAL561,"26.004089,121.977318",20750,442,36
1546839597,2019-01-07T05:39:57Z,CAL561,"26.111895,122.062698",22500,456,35
1546839660,2019-01-07T05:41:00Z,CAL561,"26.2239,122.150009",24050,472,35
1546839723,2019-01-07T05:42:03Z,CAL561,"26.339396,122.2407",25375,489,35
1546839779,2019-01-07T05:42:59Z,CAL561,"26.44368,122.322868",26775,494,35
1546839864,2019-01-07T05:44:24Z,CAL561,"26.605675,122.450813",28375,511,35
1546839941,2019-01-07T05:45:41Z,CAL561,"26.755434,122.569656",30275,511,35
1546839974,2019-01-07T05:46:14Z,CAL561,"26.816116,122.617889",31275,502,35
1546840026,2019-01-07T05:47:06Z,CAL561,"26.914993,122.696449",32250,504,35
1546840133,2019-01-07T05:48:53Z,CAL561,"27.11673,122.856323",34775,480,32
1546840209,2019-01-07T05:50:09Z,CAL561,"27.267462,122.89782",35775,424,359
1546840218,2019-01-07T05:50:18Z,CAL561,"27.282032,122.895287",35900,406,349
1546840310,2019-01-07T05:51:50Z,CAL561,"27.393711,122.780617",36950,345,300
1546840338,2019-01-07T05:52:18Z,CAL561,"27.413452,122.735733",37000,346,293
1546840442,2019-01-07T05:54:02Z,CAL561,"27.43895,122.547829",37000,367,269
1546840493,2019-01-07T05:54:53Z,CAL561,"27.439224,122.44693",37025,378,270
1546840593,2019-01-07T05:56:33Z,CAL561,"27.514526,122.265862",37100,395,297
