Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547183433,2019-01-11T05:10:33Z,CAL561,"25.077003,121.237381",0,10,255
1547183583,2019-01-11T05:13:03Z,CAL561,"25.07674,121.237297",0,15,230
1547183962,2019-01-11T05:19:22Z,CAL561,"25.061085,121.223694",0,22,101
1547184025,2019-01-11T05:20:25Z,CAL561,"25.061758,121.224648",0,21,50
1547184041,2019-01-11T05:20:41Z,CAL561,"25.064461,121.228081",0,82,50
1547184078,2019-01-11T05:21:18Z,CAL561,"25.079739,121.247658",300,168,49
1547184085,2019-01-11T05:21:25Z,CAL561,"25.083183,121.252113",575,167,50
1547184094,2019-01-11T05:21:34Z,CAL561,"25.088816,121.259682",1050,166,50
1547184102,2019-01-11T05:21:42Z,CAL561,"25.091936,121.263824",1300,165,50
1547184113,2019-01-11T05:21:53Z,CAL561,"25.098127,121.272011",1475,176,49
1547184121,2019-01-11T05:22:01Z,CAL561,"25.101433,121.27626",1525,185,49
1547184131,2019-01-11T05:22:11Z,CAL561,"25.108694,121.285591",1650,200,49
1547184138,2019-01-11T05:22:18Z,CAL561,"25.112274,121.29023",1700,209,49
1547184149,2019-01-11T05:22:29Z,CAL561,"25.120333,121.30072",1875,227,49
1547184157,2019-01-11T05:22:37Z,CAL561,"25.124895,121.305435",1950,234,43
1547184166,2019-01-11T05:22:46Z,CAL561,"25.134384,121.310936",2075,250,21
1547184175,2019-01-11T05:22:55Z,CAL561,"25.144684,121.312767",2300,260,3
1547184198,2019-01-11T05:23:18Z,CAL561,"25.172935,121.303726",3375,266,337
1547184205,2019-01-11T05:23:25Z,CAL561,"25.179794,121.300713",3650,267,338
1547184216,2019-01-11T05:23:36Z,CAL561,"25.194817,121.295387",4275,271,344
1547184223,2019-01-11T05:23:43Z,CAL561,"25.201612,121.293518",4575,270,346
1547184229,2019-01-11T05:23:49Z,CAL561,"25.209229,121.291862",4950,269,348
1547184237,2019-01-11T05:23:57Z,CAL561,"25.220535,121.289879",5400,269,351
1547184247,2019-01-11T05:24:07Z,CAL561,"25.232943,121.288284",5775,276,353
1547184264,2019-01-11T05:24:24Z,CAL561,"25.255568,121.286469",6425,284,356
1547184275,2019-01-11T05:24:35Z,CAL561,"25.269951,121.285744",6850,292,357
1547184288,2019-01-11T05:24:48Z,CAL561,"25.288759,121.284966",7375,299,357
1547184300,2019-01-11T05:25:00Z,CAL561,"25.304819,121.284348",7900,302,358
1547184312,2019-01-11T05:25:12Z,CAL561,"25.321747,121.283775",8350,306,358
1547184324,2019-01-11T05:25:24Z,CAL561,"25.339128,121.283203",8900,308,358
1547184360,2019-01-11T05:26:00Z,CAL561,"25.390503,121.290077",10475,321,22
1547184374,2019-01-11T05:26:14Z,CAL561,"25.405655,121.301826",10650,340,40
1547184380,2019-01-11T05:26:20Z,CAL561,"25.416,121.314644",10800,352,49
1547184386,2019-01-11T05:26:26Z,CAL561,"25.41893,121.318565",10850,356,50
1547184394,2019-01-11T05:26:34Z,CAL561,"25.428602,121.331451",10975,367,50
1547184412,2019-01-11T05:26:52Z,CAL561,"25.449051,121.358391",11250,385,49
1547184424,2019-01-11T05:27:04Z,CAL561,"25.463608,121.377319",11650,393,49
1547184435,2019-01-11T05:27:15Z,CAL561,"25.478165,121.39608",12125,397,49
1547184465,2019-01-11T05:27:45Z,CAL561,"25.512634,121.440376",13100,409,49
1547184499,2019-01-11T05:28:19Z,CAL561,"25.555782,121.495628",14200,422,49
1547184533,2019-01-11T05:28:53Z,CAL561,"25.59938,121.551514",15200,435,49
1547184565,2019-01-11T05:29:25Z,CAL561,"25.643719,121.608337",16350,443,49
1547184599,2019-01-11T05:29:59Z,CAL561,"25.688461,121.665802",17500,449,49
1547184616,2019-01-11T05:30:16Z,CAL561,"25.714991,121.695351",18100,447,39
1547184623,2019-01-11T05:30:23Z,CAL561,"25.725092,121.703331",18300,445,34
1547184632,2019-01-11T05:30:32Z,CAL561,"25.740873,121.713799",18550,443,30
1547184641,2019-01-11T05:30:41Z,CAL561,"25.757307,121.724159",18800,445,30
1547184702,2019-01-11T05:31:42Z,CAL561,"25.866898,121.796349",20250,467,30
1547184765,2019-01-11T05:32:45Z,CAL561,"25.986603,121.875641",21950,478,30
1547184829,2019-01-11T05:33:49Z,CAL561,"26.110428,121.957726",23275,497,30
1547184895,2019-01-11T05:34:55Z,CAL561,"26.243313,122.046219",24800,507,31
1547184956,2019-01-11T05:35:56Z,CAL561,"26.371424,122.131683",26025,519,30
1547184978,2019-01-11T05:36:18Z,CAL561,"26.412231,122.158897",26400,523,31
1547185044,2019-01-11T05:37:24Z,CAL561,"26.555864,122.255013",27450,536,31
1547185118,2019-01-11T05:38:38Z,CAL561,"26.712233,122.360016",28500,549,31
1547185182,2019-01-11T05:39:42Z,CAL561,"26.856544,122.45726",29675,557,31
1547185271,2019-01-11T05:41:11Z,CAL561,"27.04969,122.587875",31800,546,31
1547185332,2019-01-11T05:42:12Z,CAL561,"27.179626,122.676033",33300,534,31
1547185362,2019-01-11T05:42:42Z,CAL561,"27.246653,122.715012",33800,514,19
1547185374,2019-01-11T05:42:54Z,CAL561,"27.269323,122.721725",34000,501,12
1547185383,2019-01-11T05:43:03Z,CAL561,"27.292419,122.72506",34250,485,4
