Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550207374,2019-02-15T05:09:34Z,CAL561,"25.079956,121.231728",0,2,137
1550207405,2019-02-15T05:10:05Z,CAL561,"25.080238,121.231445",0,12,140
1550207421,2019-02-15T05:10:21Z,CAL561,"25.080473,121.231308",0,11,120
1550207440,2019-02-15T05:10:40Z,CAL561,"25.080711,121.231064",0,11,75
1550207461,2019-02-15T05:11:01Z,CAL561,"25.080692,121.230827",0,11,53
1550207476,2019-02-15T05:11:16Z,CAL561,"25.08054,121.230598",0,10,50
1550207627,2019-02-15T05:13:47Z,CAL561,"25.080868,121.230972",0,20,50
1550207638,2019-02-15T05:13:58Z,CAL561,"25.081135,121.231323",0,24,50
1550207648,2019-02-15T05:14:08Z,CAL561,"25.081501,121.231613",0,24,8
1550207659,2019-02-15T05:14:19Z,CAL561,"25.081938,121.231346",0,28,309
1550207668,2019-02-15T05:14:28Z,CAL561,"25.081974,121.230713",0,30,250
1550207679,2019-02-15T05:14:39Z,CAL561,"25.081615,121.230263",0,29,227
1550207689,2019-02-15T05:14:49Z,CAL561,"25.081228,121.229774",0,31,227
1550207698,2019-02-15T05:14:58Z,CAL561,"25.080786,121.22921",0,34,230
1550207709,2019-02-15T05:15:09Z,CAL561,"25.080297,121.2286",0,16,227
1550207720,2019-02-15T05:15:20Z,CAL561,"25.07975,121.227898",0,18,227
1550207729,2019-02-15T05:15:29Z,CAL561,"25.079155,121.22715",0,19,227
1550207740,2019-02-15T05:15:40Z,CAL561,"25.078552,121.226387",0,21,227
1550207750,2019-02-15T05:15:50Z,CAL561,"25.077873,121.225525",0,22,227
1550207759,2019-02-15T05:15:59Z,CAL561,"25.077168,121.224625",0,23,227
1550207770,2019-02-15T05:16:10Z,CAL561,"25.076374,121.223602",0,25,227
1550207785,2019-02-15T05:16:25Z,CAL561,"25.075287,121.222229",0,22,227
1550207796,2019-02-15T05:16:36Z,CAL561,"25.074657,121.221413",0,17,230
1550207805,2019-02-15T05:16:45Z,CAL561,"25.074257,121.220917",0,27,227
1550207820,2019-02-15T05:17:00Z,CAL561,"25.073536,121.220711",0,32,154
1550207831,2019-02-15T05:17:11Z,CAL561,"25.073032,121.221199",0,32,137
1550207837,2019-02-15T05:17:17Z,CAL561,"25.07279,121.221436",0,31,137
