Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551071726,2019-02-25T05:15:26Z,CAL561,"25.073582,121.231689",0,9,317
1551071783,2019-02-25T05:16:23Z,CAL561,"25.072952,121.232185",0,10,261
1551071944,2019-02-25T05:19:04Z,CAL561,"25.072699,121.232162",0,16,227
1551072018,2019-02-25T05:20:18Z,CAL561,"25.070721,121.231369",0,26,227
1551072049,2019-02-25T05:20:49Z,CAL561,"25.069817,121.230202",0,29,227
1551072068,2019-02-25T05:21:08Z,CAL561,"25.068951,121.229118",0,15,230
1551072076,2019-02-25T05:21:16Z,CAL561,"25.068542,121.2286",0,33,230
1551072104,2019-02-25T05:21:44Z,CAL561,"25.067493,121.227264",0,31,227
1551072137,2019-02-25T05:22:17Z,CAL561,"25.06625,121.225685",0,29,227
1551072148,2019-02-25T05:22:28Z,CAL561,"25.065832,121.225151",0,28,230
1551072155,2019-02-25T05:22:35Z,CAL561,"25.065617,121.224861",0,26,230
1551072546,2019-02-25T05:29:06Z,CAL561,"25.06176,121.222816",0,2,140
1551072651,2019-02-25T05:30:51Z,CAL561,"25.06148,121.223068",0,12,140
1551072672,2019-02-25T05:31:12Z,CAL561,"25.061199,121.223404",0,17,129
1551072681,2019-02-25T05:31:21Z,CAL561,"25.061129,121.223717",0,19,106
1551072692,2019-02-25T05:31:32Z,CAL561,"25.061304,121.224075",0,22,47
1551072701,2019-02-25T05:31:41Z,CAL561,"25.061577,121.224388",0,22,50
1551072712,2019-02-25T05:31:52Z,CAL561,"25.061781,121.224663",0,15,50
1551072732,2019-02-25T05:32:12Z,CAL561,"25.064096,121.2276",0,70,47
1551072753,2019-02-25T05:32:33Z,CAL561,"25.070684,121.235954",0,140,47
1551072768,2019-02-25T05:32:48Z,CAL561,"25.07872,121.246185",275,164,49
1551072778,2019-02-25T05:32:58Z,CAL561,"25.083603,121.252319",700,158,48
1551072789,2019-02-25T05:33:09Z,CAL561,"25.088398,121.258484",1050,158,49
1551072799,2019-02-25T05:33:19Z,CAL561,"25.093414,121.265053",1375,158,49
1551072810,2019-02-25T05:33:30Z,CAL561,"25.098406,121.271652",1525,167,50
1551072820,2019-02-25T05:33:40Z,CAL561,"25.103621,121.278595",1600,180,50
1551072830,2019-02-25T05:33:50Z,CAL561,"25.109159,121.286057",1700,193,50
1551072840,2019-02-25T05:34:00Z,CAL561,"25.115025,121.293884",1825,206,50
1551072850,2019-02-25T05:34:10Z,CAL561,"25.121635,121.30217",1950,220,47
1551072859,2019-02-25T05:34:19Z,CAL561,"25.130667,121.308655",2100,238,26
1551072869,2019-02-25T05:34:29Z,CAL561,"25.142715,121.311089",2400,249,9
1551072890,2019-02-25T05:34:50Z,CAL561,"25.164463,121.304871",3275,261,339
1551072900,2019-02-25T05:35:00Z,CAL561,"25.177032,121.299736",3725,263,340
1551072914,2019-02-25T05:35:14Z,CAL561,"25.19463,121.29409",4275,268,345
1551072923,2019-02-25T05:35:23Z,CAL561,"25.206314,121.291443",4450,267,349
1551072930,2019-02-25T05:35:30Z,CAL561,"25.214228,121.290047",4550,270,351
1551072944,2019-02-25T05:35:44Z,CAL561,"25.230801,121.288078",4800,270,355
1551072957,2019-02-25T05:35:57Z,CAL561,"25.246256,121.286888",4900,271,356
1551072966,2019-02-25T05:36:06Z,CAL561,"25.258621,121.286217",4900,272,357
1551072976,2019-02-25T05:36:16Z,CAL561,"25.272139,121.285645",5050,274,357
1551072991,2019-02-25T05:36:31Z,CAL561,"25.29071,121.285042",5625,276,358
1551073000,2019-02-25T05:36:40Z,CAL561,"25.302771,121.284706",6100,276,358
1551073021,2019-02-25T05:37:01Z,CAL561,"25.329351,121.283775",6950,283,358
1551073051,2019-02-25T05:37:31Z,CAL561,"25.370224,121.282692",8125,295,359
1551073073,2019-02-25T05:37:53Z,CAL561,"25.39801,121.294197",8975,309,37
1551073084,2019-02-25T05:38:04Z,CAL561,"25.410074,121.307716",9450,312,49
1551073128,2019-02-25T05:38:48Z,CAL561,"25.453135,121.364204",10350,339,49
1551073144,2019-02-25T05:39:04Z,CAL561,"25.469742,121.385597",10550,353,49
1551073155,2019-02-25T05:39:15Z,CAL561,"25.482136,121.401466",10675,363,49
1551073168,2019-02-25T05:39:28Z,CAL561,"25.49675,121.420189",10825,375,49
1551073181,2019-02-25T05:39:41Z,CAL561,"25.511372,121.438881",10975,386,49
1551073196,2019-02-25T05:39:56Z,CAL561,"25.52515,121.456398",11175,394,49
1551073213,2019-02-25T05:40:13Z,CAL561,"25.547653,121.485237",11700,398,49
1551073224,2019-02-25T05:40:24Z,CAL561,"25.562668,121.504417",12100,399,49
1551073259,2019-02-25T05:40:59Z,CAL561,"25.601852,121.554665",13125,402,49
1551073290,2019-02-25T05:41:30Z,CAL561,"25.643625,121.608238",14175,403,49
1551073320,2019-02-25T05:42:00Z,CAL561,"25.68045,121.655479",14825,412,49
