Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547462668,2019-01-14T10:44:28Z,CAL562,"34.464203,108.549103",7850,256,315
1547462681,2019-01-14T10:44:41Z,CAL562,"34.473793,108.537369",8525,254,314
1547462692,2019-01-14T10:44:52Z,CAL562,"34.483616,108.525177",9175,253,314
1547462704,2019-01-14T10:45:04Z,CAL562,"34.49437,108.511909",9800,255,314
1547462717,2019-01-14T10:45:17Z,CAL562,"34.504623,108.499519",10350,257,315
1547462729,2019-01-14T10:45:29Z,CAL562,"34.513916,108.488365",10950,258,314
1547462741,2019-01-14T10:45:41Z,CAL562,"34.524948,108.475021",11425,261,315
1547462752,2019-01-14T10:45:52Z,CAL562,"34.534012,108.466896",11700,267,326
1547462761,2019-01-14T10:46:01Z,CAL562,"34.544136,108.460983",11925,273,336
1547462768,2019-01-14T10:46:08Z,CAL562,"34.555069,108.457703",12175,279,348
1547462833,2019-01-14T10:47:13Z,CAL562,"34.616226,108.524185",14500,312,62
1547462873,2019-01-14T10:47:53Z,CAL562,"34.643875,108.587463",16000,324,62
1547462894,2019-01-14T10:48:14Z,CAL562,"34.658421,108.62085",16725,331,62
1547462954,2019-01-14T10:49:14Z,CAL562,"34.701691,108.720535",19000,344,62
1547463018,2019-01-14T10:50:18Z,CAL562,"34.756119,108.836174",19925,399,55
1547467116,2019-01-14T11:58:36Z,CAL562,"32.736092,115.776001",39100,590,126
1547467197,2019-01-14T11:59:57Z,CAL562,"32.600418,115.977554",39100,589,128
1547467294,2019-01-14T12:01:34Z,CAL562,"32.432526,116.218704",39100,590,128
1547467331,2019-01-14T12:02:11Z,CAL562,"32.367447,116.313934",39100,588,128
1547467370,2019-01-14T12:02:50Z,CAL562,"32.301178,116.410088",39100,588,128
1547467424,2019-01-14T12:03:44Z,CAL562,"32.208801,116.543465",39100,590,129
1547467498,2019-01-14T12:04:58Z,CAL562,"32.078659,116.729843",39100,588,129
1547467599,2019-01-14T12:06:39Z,CAL562,"31.902054,116.974075",39100,591,130
1547467661,2019-01-14T12:07:41Z,CAL562,"31.802208,117.136848",39100,612,120
1547467675,2019-01-14T12:07:55Z,CAL562,"31.781708,117.18045",39100,616,117
1547467765,2019-01-14T12:09:25Z,CAL562,"31.692064,117.465599",39100,634,103
1547467829,2019-01-14T12:10:29Z,CAL562,"31.665577,117.682198",39100,636,94
1547467891,2019-01-14T12:11:31Z,CAL562,"31.649424,117.900055",39100,637,95
1547467956,2019-01-14T12:12:36Z,CAL562,"31.633301,118.119133",39100,635,94
1547468016,2019-01-14T12:13:36Z,CAL562,"31.619118,118.325882",39100,638,94
1547468084,2019-01-14T12:14:44Z,CAL562,"31.602964,118.554565",39100,639,94
1547468148,2019-01-14T12:15:48Z,CAL562,"31.560183,118.772812",39100,630,109
1547468211,2019-01-14T12:16:51Z,CAL562,"31.477507,118.959084",39100,609,123
1547468261,2019-01-14T12:17:41Z,CAL562,"31.394394,119.087814",39100,589,133
1547468267,2019-01-14T12:17:47Z,CAL562,"31.378536,119.105423",39100,581,137
1547468274,2019-01-14T12:17:54Z,CAL562,"31.367432,119.116783",39100,576,138
1547468340,2019-01-14T12:19:00Z,CAL562,"31.227102,119.240936",39100,562,143
1547468410,2019-01-14T12:20:10Z,CAL562,"31.08252,119.366402",38700,566,142
1547468476,2019-01-14T12:21:16Z,CAL562,"30.947927,119.48423",38175,570,143
1547468493,2019-01-14T12:21:33Z,CAL562,"30.909073,119.511703",38100,543,152
1547468502,2019-01-14T12:21:42Z,CAL562,"30.888382,119.522308",38100,528,157
1547468511,2019-01-14T12:21:51Z,CAL562,"30.869488,119.530045",38100,517,161
1547468520,2019-01-14T12:22:00Z,CAL562,"30.848557,119.536583",38100,502,166
1547468529,2019-01-14T12:22:09Z,CAL562,"30.827265,119.541245",38100,487,170
1547468599,2019-01-14T12:23:19Z,CAL562,"30.675293,119.558823",38100,474,174
1547468659,2019-01-14T12:24:19Z,CAL562,"30.539474,119.573959",38100,475,174
1547468722,2019-01-14T12:25:22Z,CAL562,"30.404663,119.588928",38100,477,174
1547468785,2019-01-14T12:26:25Z,CAL562,"30.263809,119.604492",38100,481,174
1547468845,2019-01-14T12:27:25Z,CAL562,"30.130424,119.619415",38100,481,174
1547468907,2019-01-14T12:28:27Z,CAL562,"29.990662,119.634811",38100,481,174
1547468916,2019-01-14T12:28:36Z,CAL562,"29.973171,119.636772",38100,481,174
1547469007,2019-01-14T12:30:07Z,CAL562,"29.770063,119.657379",38100,475,178
1547469013,2019-01-14T12:30:13Z,CAL562,"29.756935,119.657593",38100,472,179
1547469053,2019-01-14T12:30:53Z,CAL562,"29.668812,119.652641",38100,460,183
1547469144,2019-01-14T12:32:24Z,CAL562,"29.4776,119.646873",38100,469,180
1547469208,2019-01-14T12:33:28Z,CAL562,"29.340107,119.640793",38100,455,184
1547469270,2019-01-14T12:34:30Z,CAL562,"29.206781,119.629158",38100,459,184
1547469331,2019-01-14T12:35:31Z,CAL562,"29.081772,119.609634",38100,424,197
1547469351,2019-01-14T12:35:51Z,CAL562,"29.04451,119.592575",38100,412,202
1547469443,2019-01-14T12:37:23Z,CAL562,"28.884501,119.515366",38100,432,194
1547469455,2019-01-14T12:37:35Z,CAL562,"28.859848,119.510651",38100,448,187
1547469462,2019-01-14T12:37:42Z,CAL562,"28.843441,119.508736",38100,453,185
1547469471,2019-01-14T12:37:51Z,CAL562,"28.828537,119.507584",38100,457,183
1547469538,2019-01-14T12:38:58Z,CAL562,"28.6875,119.500984",37100,465,182
1547469868,2019-01-14T12:44:28Z,CAL562,"27.977942,119.703423",34100,565,123
1547469875,2019-01-14T12:44:35Z,CAL562,"27.970871,119.716324",34100,566,121
1547469886,2019-01-14T12:44:46Z,CAL562,"27.958099,119.742317",34100,570,117
1547469900,2019-01-14T12:45:00Z,CAL562,"27.941391,119.783569",34100,574,112
1547469960,2019-01-14T12:46:00Z,CAL562,"27.884766,119.954689",34100,575,110
