Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549276599,2019-02-04T10:36:39Z,CAL562,"36.226906,110.103867",33725,526,53
1549276664,2019-02-04T10:37:44Z,CAL562,"36.323967,110.263344",34425,536,53
1549276729,2019-02-04T10:38:49Z,CAL562,"36.420284,110.422295",35100,539,53
1549276792,2019-02-04T10:39:52Z,CAL562,"36.511852,110.576576",35100,548,55
1549276855,2019-02-04T10:40:55Z,CAL562,"36.603973,110.745621",35125,551,55
1549276916,2019-02-04T10:41:56Z,CAL562,"36.690613,110.902832",35100,556,55
1549276978,2019-02-04T10:42:58Z,CAL562,"36.781528,111.068504",35100,556,55
1549277039,2019-02-04T10:43:59Z,CAL562,"36.871536,111.23336",35100,557,55
1549277101,2019-02-04T10:45:01Z,CAL562,"36.961258,111.398445",35100,557,55
1549277122,2019-02-04T10:45:22Z,CAL562,"36.986664,111.457062",35100,560,66
1549277130,2019-02-04T10:45:30Z,CAL562,"36.992706,111.477859",35100,561,70
1549277139,2019-02-04T10:45:39Z,CAL562,"36.998749,111.505211",35100,561,75
1549277148,2019-02-04T10:45:48Z,CAL562,"37.002686,111.530922",35100,560,80
1549277157,2019-02-04T10:45:57Z,CAL562,"37.005211,111.564552",35100,558,86
1549277164,2019-02-04T10:46:04Z,CAL562,"37.005432,111.583694",35100,556,90
1549277171,2019-02-04T10:46:11Z,CAL562,"37.004093,111.612259",35125,552,94
1549277178,2019-02-04T10:46:18Z,CAL562,"37.001862,111.633072",35125,550,98
1549277184,2019-02-04T10:46:24Z,CAL562,"36.999531,111.648438",35125,549,100
1549277245,2019-02-04T10:47:25Z,CAL562,"36.969086,111.84333",35125,552,100
1549277306,2019-02-04T10:48:26Z,CAL562,"36.939743,112.028816",35100,550,101
1549277323,2019-02-04T10:48:43Z,CAL562,"36.930359,112.08725",35125,549,101
1549280019,2019-02-04T11:33:39Z,CAL562,"32.343521,116.411133",39100,550,129
1549280109,2019-02-04T11:35:09Z,CAL562,"32.200089,116.618195",39100,544,129
1549280155,2019-02-04T11:35:55Z,CAL562,"32.12384,116.727486",39100,541,129
1549280247,2019-02-04T11:37:27Z,CAL562,"31.974518,116.934357",39100,544,130
1549280312,2019-02-04T11:38:32Z,CAL562,"31.873123,117.080917",39100,554,125
1549280361,2019-02-04T11:39:21Z,CAL562,"31.807562,117.208427",39100,570,117
1549280453,2019-02-04T11:40:53Z,CAL562,"31.722427,117.486824",39100,597,103
1549280462,2019-02-04T11:41:02Z,CAL562,"31.716934,117.517357",39100,598,101
1549280553,2019-02-04T11:42:33Z,CAL562,"31.689468,117.813507",39100,610,95
1549280613,2019-02-04T11:43:33Z,CAL562,"31.674728,118.011528",39100,612,94
1549280678,2019-02-04T11:44:38Z,CAL562,"31.659758,118.220528",39100,611,94
1549280740,2019-02-04T11:45:40Z,CAL562,"31.645386,118.429604",39100,610,94
1549280802,2019-02-04T11:46:42Z,CAL562,"31.628893,118.633171",39100,608,98
1549280866,2019-02-04T11:47:46Z,CAL562,"31.578665,118.833176",39100,584,112
1549280930,2019-02-04T11:48:50Z,CAL562,"31.497482,119.000031",39100,556,125
1549280974,2019-02-04T11:49:34Z,CAL562,"31.427183,119.104813",39100,535,134
1549280980,2019-02-04T11:49:40Z,CAL562,"31.415222,119.118294",39100,529,136
1549280987,2019-02-04T11:49:47Z,CAL562,"31.404465,119.129761",39100,526,137
1549281039,2019-02-04T11:50:39Z,CAL562,"31.307236,119.214531",38650,492,152
1549281046,2019-02-04T11:50:46Z,CAL562,"31.291903,119.222588",38525,480,157
1549281053,2019-02-04T11:50:53Z,CAL562,"31.276154,119.229233",38400,472,160
1549281060,2019-02-04T11:51:00Z,CAL562,"31.263412,119.233574",38300,462,164
1549281069,2019-02-04T11:51:09Z,CAL562,"31.244978,119.238739",38175,456,166
1549281137,2019-02-04T11:52:17Z,CAL562,"31.103897,119.279373",38100,455,166
1549281200,2019-02-04T11:53:20Z,CAL562,"30.975115,119.31636",38100,456,166
1549281263,2019-02-04T11:54:23Z,CAL562,"30.846313,119.353424",38100,459,166
1549281326,2019-02-04T11:55:26Z,CAL562,"30.713928,119.391281",38100,457,166
1549281389,2019-02-04T11:56:29Z,CAL562,"30.585434,119.427956",38100,454,166
1549281454,2019-02-04T11:57:34Z,CAL562,"30.457031,119.464363",38100,454,166
1549281513,2019-02-04T11:58:33Z,CAL562,"30.333252,119.499443",38100,455,166
1549281578,2019-02-04T11:59:38Z,CAL562,"30.197891,119.537712",38100,455,166
1549281643,2019-02-04T12:00:43Z,CAL562,"30.068298,119.57428",38100,457,166
1549281675,2019-02-04T12:01:15Z,CAL562,"30.000916,119.589531",38100,427,177
1549281696,2019-02-04T12:01:36Z,CAL562,"29.961765,119.583542",38100,389,196
1549281703,2019-02-04T12:01:43Z,CAL562,"29.952164,119.579559",38100,380,200
1549281709,2019-02-04T12:01:49Z,CAL562,"29.942139,119.574173",38100,372,206
1549281717,2019-02-04T12:01:57Z,CAL562,"29.930855,119.56723",38100,367,209
1549281723,2019-02-04T12:02:03Z,CAL562,"29.919937,119.560005",38100,366,209
