Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549627098,2019-02-08T11:58:18Z,CAL562,"36.486923,112.251953",35100,574,109
1549629661,2019-02-08T12:41:01Z,CAL562,"32.224228,116.583511",39100,612,129
1549629692,2019-02-08T12:41:32Z,CAL562,"32.168015,116.66449",39100,611,129
1549629736,2019-02-08T12:42:16Z,CAL562,"32.089417,116.775826",39100,610,130
1549629826,2019-02-08T12:43:46Z,CAL562,"31.924175,117.004173",39100,608,130
1549629837,2019-02-08T12:43:57Z,CAL562,"31.904343,117.032578",39100,609,129
1549629927,2019-02-08T12:45:27Z,CAL562,"31.776419,117.291664",39100,622,112
1549629988,2019-02-08T12:46:28Z,CAL562,"31.722153,117.493881",39100,620,103
1549630050,2019-02-08T12:47:30Z,CAL562,"31.698349,117.693573",39100,614,94
1549630112,2019-02-08T12:48:32Z,CAL562,"31.683407,117.895111",39100,616,95
1549630174,2019-02-08T12:49:34Z,CAL562,"31.667858,118.106155",39100,618,94
1549630239,2019-02-08T12:50:39Z,CAL562,"31.653334,118.316383",39100,616,94
1549630299,2019-02-08T12:51:39Z,CAL562,"31.638657,118.524658",39100,619,94
1549630360,2019-02-08T12:52:40Z,CAL562,"31.610825,118.728119",39100,627,105
1549630424,2019-02-08T12:53:44Z,CAL562,"31.538452,118.926247",39100,627,119
1549630487,2019-02-08T12:54:47Z,CAL562,"31.434036,119.09745",39125,615,131
1549630519,2019-02-08T12:55:19Z,CAL562,"31.369675,119.166115",39100,598,141
1549630527,2019-02-08T12:55:27Z,CAL562,"31.352921,119.181358",39100,597,142
1549630590,2019-02-08T12:56:30Z,CAL562,"31.207224,119.29142",39275,561,157
1549630602,2019-02-08T12:56:42Z,CAL562,"31.17778,119.302208",39350,544,163
1549630608,2019-02-08T12:56:48Z,CAL562,"31.163837,119.306084",39400,535,167
1549630615,2019-02-08T12:56:55Z,CAL562,"31.150431,119.309433",39425,534,167
1549630677,2019-02-08T12:57:57Z,CAL562,"30.996714,119.348656",39850,534,167
1549630742,2019-02-08T12:59:02Z,CAL562,"30.843201,119.387779",40100,534,167
1549630802,2019-02-08T13:00:02Z,CAL562,"30.69068,119.426605",40100,535,167
1549630866,2019-02-08T13:01:06Z,CAL562,"30.537756,119.465385",40100,536,167
