Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550231027,2019-02-15T11:43:47Z,CAL562,"32.50383,116.177567",35100,519,129
1550231086,2019-02-15T11:44:46Z,CAL562,"32.413925,116.308685",35100,524,128
1550231168,2019-02-15T11:46:08Z,CAL562,"32.29068,116.48748",35100,522,129
1550231197,2019-02-15T11:46:37Z,CAL562,"32.245991,116.551941",35100,523,129
1550231304,2019-02-15T11:48:24Z,CAL562,"32.081848,116.785789",35100,520,130
1550231449,2019-02-15T11:50:49Z,CAL562,"31.856781,117.102669",35100,525,126
1550231511,2019-02-15T11:51:51Z,CAL562,"31.781937,117.254662",35100,539,114
1550231572,2019-02-15T11:52:52Z,CAL562,"31.730051,117.425224",35100,548,104
1550231634,2019-02-15T11:53:54Z,CAL562,"31.703796,117.6101",35100,558,94
1550231696,2019-02-15T11:54:56Z,CAL562,"31.690063,117.801727",35100,561,95
1550231758,2019-02-15T11:55:58Z,CAL562,"31.676697,117.985466",35100,561,94
1550231821,2019-02-15T11:57:01Z,CAL562,"31.662691,118.177788",35100,561,94
1550231881,2019-02-15T11:58:01Z,CAL562,"31.650261,118.359833",35100,561,94
1550231945,2019-02-15T11:59:05Z,CAL562,"31.636642,118.551903",35100,563,94
1550232005,2019-02-15T12:00:05Z,CAL562,"31.610041,118.731003",35100,560,105
1550232069,2019-02-15T12:01:09Z,CAL562,"31.549383,118.903656",35100,545,117
1550232134,2019-02-15T12:02:14Z,CAL562,"31.458893,119.063362",35100,536,127
1550232155,2019-02-15T12:02:35Z,CAL562,"31.423279,119.109619",35100,525,135
1550232206,2019-02-15T12:03:26Z,CAL562,"31.329117,119.200317",35100,511,142
1550232280,2019-02-15T12:04:40Z,CAL562,"31.18646,119.324379",35100,513,143
1550232346,2019-02-15T12:05:46Z,CAL562,"31.063051,119.432701",35975,500,142
1550232418,2019-02-15T12:06:58Z,CAL562,"30.931046,119.547729",36100,502,143
1550232479,2019-02-15T12:07:59Z,CAL562,"30.817116,119.646988",36100,500,143
1550232545,2019-02-15T12:09:05Z,CAL562,"30.700968,119.747734",36100,500,143
1550232608,2019-02-15T12:10:08Z,CAL562,"30.581177,119.850502",36100,499,143
1550232662,2019-02-15T12:11:02Z,CAL562,"30.477703,119.927635",36100,475,154
1550232671,2019-02-15T12:11:11Z,CAL562,"30.459366,119.936775",36100,469,157
1550232681,2019-02-15T12:11:21Z,CAL562,"30.436111,119.946632",36100,461,161
1550232714,2019-02-15T12:11:54Z,CAL562,"30.368774,119.96489",36100,439,171
1550232784,2019-02-15T12:13:04Z,CAL562,"30.237762,119.960686",36100,403,191
1550232803,2019-02-15T12:13:23Z,CAL562,"30.198343,119.948898",36100,392,197
1550232868,2019-02-15T12:14:28Z,CAL562,"30.097595,119.892563",36100,371,213
1550232932,2019-02-15T12:15:32Z,CAL562,"30.013596,119.817322",36100,367,217
1550232993,2019-02-15T12:16:33Z,CAL562,"29.930878,119.741333",36100,370,219
1550233058,2019-02-15T12:17:38Z,CAL562,"29.838959,119.666939",36100,383,209
1550233118,2019-02-15T12:18:38Z,CAL562,"29.737663,119.617363",36100,401,197
1550233182,2019-02-15T12:19:42Z,CAL562,"29.616852,119.592888",36100,423,185
1550233245,2019-02-15T12:20:45Z,CAL562,"29.489227,119.589981",36100,438,180
1550233310,2019-02-15T12:21:50Z,CAL562,"29.359612,119.584946",36100,432,184
1550233372,2019-02-15T12:22:52Z,CAL562,"29.233841,119.573929",36100,439,183
1550233432,2019-02-15T12:23:52Z,CAL562,"29.115259,119.564964",36100,440,183
1550233495,2019-02-15T12:24:55Z,CAL562,"28.984085,119.556496",36100,444,182
1550233561,2019-02-15T12:26:01Z,CAL562,"28.846001,119.548592",35700,444,182
1550233624,2019-02-15T12:27:04Z,CAL562,"28.722078,119.541588",34700,433,183
1550233655,2019-02-15T12:27:35Z,CAL562,"28.658295,119.537537",34175,433,183
1550233714,2019-02-15T12:28:34Z,CAL562,"28.54113,119.530708",34100,425,182
1550233766,2019-02-15T12:29:26Z,CAL562,"28.439667,119.524651",34100,428,182
1550233893,2019-02-15T12:31:33Z,CAL562,"28.177048,119.566956",34100,489,155
1550233997,2019-02-15T12:33:17Z,CAL562,"27.994171,119.75425",34100,553,121
1550234035,2019-02-15T12:33:55Z,CAL562,"27.952194,119.8591",34100,567,109
1550234097,2019-02-15T12:34:57Z,CAL562,"27.89502,120.031593",34100,572,110
1550234163,2019-02-15T12:36:03Z,CAL562,"27.834503,120.214478",34100,577,110
1550234222,2019-02-15T12:37:02Z,CAL562,"27.777924,120.38533",34100,580,110
1550234287,2019-02-15T12:38:07Z,CAL562,"27.718094,120.566818",34100,581,109
1550234353,2019-02-15T12:39:13Z,CAL562,"27.675613,120.764671",34100,588,100
1550234417,2019-02-15T12:40:17Z,CAL562,"27.642672,120.957047",34100,592,101
1550234620,2019-02-15T12:43:40Z,CAL562,"27.535492,121.566673",34100,588,101
1550234984,2019-02-15T12:49:44Z,CAL562,"27.408554,122.671577",33825,580,107
1550235014,2019-02-15T12:50:14Z,CAL562,"27.374634,122.750244",33600,560,120
1550235028,2019-02-15T12:50:28Z,CAL562,"27.354095,122.785896",33475,554,124
1550235148,2019-02-15T12:52:28Z,CAL562,"27.129526,122.965485",32500,457,174
1550235174,2019-02-15T12:52:54Z,CAL562,"27.07534,122.959885",32275,426,191
1550235180,2019-02-15T12:53:00Z,CAL562,"27.06601,122.957535",32225,424,192
1550235242,2019-02-15T12:54:02Z,CAL562,"26.959763,122.90509",32000,390,213
1550235305,2019-02-15T12:55:05Z,CAL562,"26.868576,122.833313",31875,373,214
1550235367,2019-02-15T12:56:07Z,CAL562,"26.78639,122.768677",31375,339,215
1550235426,2019-02-15T12:57:06Z,CAL562,"26.710323,122.708092",30850,338,215
1550235491,2019-02-15T12:58:11Z,CAL562,"26.627321,122.642548",30325,334,215
1550235513,2019-02-15T12:58:33Z,CAL562,"26.599716,122.623215",30125,345,203
1550235523,2019-02-15T12:58:43Z,CAL562,"26.583515,122.618088",30050,360,191
1550235531,2019-02-15T12:58:51Z,CAL562,"26.567459,122.616959",30000,374,181
1550235552,2019-02-15T12:59:12Z,CAL562,"26.532541,122.621048",30000,386,172
1550235615,2019-02-15T13:00:15Z,CAL562,"26.419605,122.637054",30000,389,172
1550235623,2019-02-15T13:00:23Z,CAL562,"26.403946,122.639244",30000,388,172
1550235718,2019-02-15T13:01:58Z,CAL562,"26.235584,122.662247",30000,392,172
1550235779,2019-02-15T13:02:59Z,CAL562,"26.123337,122.676918",29050,384,173
1550235826,2019-02-15T13:03:46Z,CAL562,"26.043594,122.686966",28275,374,173
1550235918,2019-02-15T13:05:18Z,CAL562,"25.885185,122.705666",26525,365,174
1550235988,2019-02-15T13:06:28Z,CAL562,"25.773743,122.705742",23950,314,207
1550235994,2019-02-15T13:06:34Z,CAL562,"25.76619,122.700043",23675,309,213
1550236000,2019-02-15T13:06:40Z,CAL562,"25.760971,122.694649",23400,301,224
1550236016,2019-02-15T13:06:56Z,CAL562,"25.750463,122.67453",22575,297,249
1550236026,2019-02-15T13:07:06Z,CAL562,"25.746552,122.66037",22075,302,254
1550236035,2019-02-15T13:07:15Z,CAL562,"25.742502,122.643494",21750,303,255
1550236047,2019-02-15T13:07:27Z,CAL562,"25.739803,122.627525",21500,303,262
1550236078,2019-02-15T13:07:58Z,CAL562,"25.7444,122.57975",20775,303,279
1550236143,2019-02-15T13:09:03Z,CAL562,"25.75914,122.480827",20000,294,279
1550236204,2019-02-15T13:10:04Z,CAL562,"25.772095,122.389778",20000,296,278
1550236266,2019-02-15T13:11:06Z,CAL562,"25.784637,122.2994",20000,295,278
1550236323,2019-02-15T13:12:03Z,CAL562,"25.796551,122.212952",20000,294,278
