Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551162286,2019-02-26T06:24:46Z,CAL101,"35.773155,140.392365",0,9,143
1551162621,2019-02-26T06:30:21Z,CAL101,"35.771084,140.393845",0,26,149
1551162675,2019-02-26T06:31:15Z,CAL101,"35.770111,140.39592",0,23,61
1551162687,2019-02-26T06:31:27Z,CAL101,"35.770203,140.396606",0,28,87
1551162713,2019-02-26T06:31:53Z,CAL101,"35.769623,140.398178",0,29,115
1551162721,2019-02-26T06:32:01Z,CAL101,"35.769436,140.398682",0,30,115
1551162730,2019-02-26T06:32:10Z,CAL101,"35.769089,140.399033",0,30,146
1551162738,2019-02-26T06:32:18Z,CAL101,"35.768635,140.398941",0,27,182
1551162750,2019-02-26T06:32:30Z,CAL101,"35.767925,140.398926",0,31,182
1551162780,2019-02-26T06:33:00Z,CAL101,"35.76614,140.397446",0,18,210
1551162789,2019-02-26T06:33:09Z,CAL101,"35.765457,140.397079",0,19,202
1551162868,2019-02-26T06:34:28Z,CAL101,"35.759583,140.393845",0,17,205
1551162958,2019-02-26T06:35:58Z,CAL101,"35.754765,140.389999",0,34,205
1551163137,2019-02-26T06:38:57Z,CAL101,"35.745274,140.391891",0,17,149
1551163154,2019-02-26T06:39:14Z,CAL101,"35.744785,140.392258",0,18,149
1551163186,2019-02-26T06:39:46Z,CAL101,"35.744156,140.392319",0,13,199
1551163202,2019-02-26T06:40:02Z,CAL101,"35.744076,140.392044",0,2,230
1551163301,2019-02-26T06:41:41Z,CAL101,"35.744064,140.391937",0,0,264
1551163391,2019-02-26T06:43:11Z,CAL101,"35.743847,140.391495",0,16,239
1551163412,2019-02-26T06:43:32Z,CAL101,"35.743599,140.390976",0,15,239
1551163434,2019-02-26T06:43:54Z,CAL101,"35.743938,140.390274",0,21,317
1551163468,2019-02-26T06:44:28Z,CAL101,"35.747196,140.387939",0,80,329
1551163511,2019-02-26T06:45:11Z,CAL101,"35.772125,140.369736",650,169,328
1551163517,2019-02-26T06:45:17Z,CAL101,"35.775833,140.366989",875,169,329
1551163525,2019-02-26T06:45:25Z,CAL101,"35.780411,140.363617",1150,169,328
1551163536,2019-02-26T06:45:36Z,CAL101,"35.78857,140.35759",1625,170,328
1551163542,2019-02-26T06:45:42Z,CAL101,"35.792618,140.354614",1850,170,329
1551163548,2019-02-26T06:45:48Z,CAL101,"35.796623,140.351746",2075,172,330
